Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,1,1,1,2,3,3,4
2020-03-15,1,1,1,2,3,4,5
2020-03-16,1,1,2,3,5,6,7
2020-03-17,1,1,1,2,4,4,5
2020-03-18,1,1,1,2,4,4,5
2020-03-19,1,1,1,1,3,3,4
2020-03-20,1,1,1,2,3,3,4
2020-03-21,1,1,1,2,4,5,6
2020-03-22,1,2,2,4,6,7,8
2020-03-23,1,1,1,2,4,5,6
2020-03-24,3,3,3,6,9,10,12
2020-03-25,1,1,1,3,5,6,8
2020-03-26,2,3,3,6,9,10,11
2020-03-27,5,6,7,10,14,15,17
2020-03-28,1,1,2,4,9,10,13
2020-03-29,1,2,2,5,9,10,13
2020-03-30,1,2,2,5,8,9,12
2020-03-31,4,5,6,9,14,15,17
2020-04-01,3,3,4,7,11,12,14
2020-04-02,5,6,7,11,15,16,18
2020-04-03,1,1,2,6,13,15,19
2020-04-04,4,5,5,9,14,15,17
2020-04-05,3,3,4,7,11,12,15
2020-04-06,2,3,4,7,11,12,14
2020-04-07,5,7,8,14,20,21,23
2020-04-08,6,9,10,15,21,22,24
2020-04-09,7,9,10,19,32,34,37
2020-04-10,3,4,4,12,24,27,32
2020-04-11,11,13,14,21,28,30,34
2020-04-12,18,20,21,29,37,39,43
2020-04-13,14,17,19,41,65,68,72
2020-04-14,10,12,13,22,41,49,61
2020-04-15,8,9,10,16,25,33,55
2020-04-16,20,22,23,31,40,43,49
2020-04-17,16,18,19,26,34,36,40
2020-04-18,18,21,22,30,39,41,45
2020-04-19,19,21,23,30,39,41,46
2020-04-20,21,26,30,42,53,55,60
