Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,1,1,2,3,6,6,7
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,1,1,1,2,3,3,4
2020-03-06,0,0,0,0,0,0,0
2020-03-07,1,1,1,2,4,4,5
2020-03-08,1,1,1,2,4,4,5
2020-03-09,0,0,0,0,0,0,1
2020-03-10,1,1,1,3,4,5,6
2020-03-11,1,1,1,2,4,4,5
2020-03-12,1,2,2,4,6,7,8
2020-03-13,0,0,0,0,2,3,4
2020-03-14,2,3,3,5,7,8,9
2020-03-15,2,2,3,5,8,8,9
2020-03-16,3,4,4,7,10,10,11
2020-03-17,2,3,3,6,8,9,10
2020-03-18,3,4,4,8,11,12,14
2020-03-19,2,3,3,6,9,10,12
2020-03-20,4,5,5,9,12,13,15
2020-03-21,4,6,7,12,16,17,19
2020-03-22,5,6,7,11,15,16,18
2020-03-23,1,2,2,7,14,16,19
2020-03-24,1,2,2,6,13,15,19
2020-03-25,2,3,3,6,11,12,15
2020-03-26,5,6,7,11,16,17,19
2020-03-27,6,8,9,14,19,20,23
2020-03-28,5,6,7,11,16,17,20
2020-03-29,7,10,11,17,22,24,27
2020-03-30,6,7,8,13,18,20,23
2020-03-31,10,12,13,19,26,27,30
2020-04-01,12,15,17,23,31,32,35
2020-04-02,13,16,17,24,31,33,36
2020-04-03,14,17,18,28,41,45,53
2020-04-04,16,20,22,39,55,58,63
2020-04-05,21,27,31,59,76,79,84
2020-04-06,45,53,59,84,103,106,113
2020-04-07,58,63,66,81,97,101,109
2020-04-08,78,85,88,106,125,129,137
2020-04-09,57,63,67,104,143,150,163
2020-04-10,70,76,79,101,137,149,173
2020-04-11,97,117,123,149,177,184,197
2020-04-12,74,80,83,112,159,171,189
2020-04-13,65,69,72,119,180,191,213
2020-04-14,54,61,64,119,191,206,236
2020-04-15,50,56,59,103,182,197,227
2020-04-16,74,85,90,115,146,153,167
2020-04-17,86,100,105,130,159,164,176
2020-04-18,74,80,83,103,125,130,141
2020-04-19,84,102,113,144,172,177,191
2020-04-20,69,75,78,103,145,158,182
2020-04-21,67,73,76,95,118,125,149
2020-04-22,71,84,93,138,172,177,189
2020-04-23,94,111,116,142,170,177,190
2020-04-24,94,110,121,178,215,223,237
2020-04-25,101,120,131,205,264,271,285
2020-04-26,137,150,156,188,223,231,248
2020-04-27,159,170,176,209,245,253,268
2020-04-28,128,137,142,173,210,223,255
2020-04-29,134,155,166,243,298,308,327
2020-04-30,174,210,220,264,311,319,338
2020-05-01,206,244,263,318,373,384,401
2020-05-02,202,215,222,266,317,331,373
2020-05-03,249,277,288,339,395,406,430
2020-05-04,242,255,264,309,362,374,401
2020-05-05,240,266,283,406,503,516,552
2020-05-06,300,360,379,449,518,534,563
2020-05-07,249,267,276,355,496,530,589
2020-05-08,332,380,408,552,654,669,708
2020-05-09,347,369,381,451,529,547,585
2020-05-10,344,373,396,515,659,789,898
2020-05-11,434,474,490,571,661,683,729
2020-05-12,439,533,635,834,978,1008,1067
2020-05-13,606,639,658,768,892,922,984
2020-05-14,709,762,786,910,1045,1075,1138
2020-05-15,729,769,788,910,1043,1073,1129
2020-05-16,773,815,837,964,1104,1136,1202
2020-05-17,839,887,913,1049,1197,1230,1295
2020-05-18,747,790,813,950,1119,1172,1318
2020-05-19,865,915,939,1080,1236,1272,1340
2020-05-20,722,769,792,934,1135,1219,1387
2020-05-21,833,883,907,1047,1202,1237,1309
2020-05-22,793,835,859,994,1145,1181,1262
2020-05-23,754,796,817,947,1092,1129,1217
2020-05-24,705,745,766,890,1030,1063,1151
2020-05-25,591,621,641,757,909,979,1109
2020-05-26,524,554,571,670,789,828,946
2020-05-27,536,570,587,684,791,814,862
2020-05-28,470,554,609,754,872,896,950
2020-05-29,426,490,519,758,1005,1053,1108
2020-05-30,456,532,588,869,1031,1063,1120
2020-05-31,640,697,718,834,958,985,1042
2020-06-01,596,628,646,750,864,890,954
2020-06-02,638,695,722,834,956,982,1030
2020-06-03,582,616,633,733,843,870,925
2020-06-04,488,518,532,625,737,773,888
2020-06-05,537,580,599,696,801,824,873
2020-06-06,421,447,460,543,643,675,766
2020-06-07,428,516,552,655,758,780,823
2020-06-08,486,527,545,634,730,750,789
2020-06-09,481,514,531,616,708,728,767
2020-06-10,487,538,556,646,741,760,803
2020-06-11,479,510,525,608,699,720,760
2020-06-12,432,459,472,548,632,652,697
2020-06-13,419,445,458,533,618,635,675
2020-06-14,381,403,415,483,562,580,628
2020-06-15,395,421,432,504,582,599,632
2020-06-16,397,427,440,510,587,602,631
2020-06-17,394,444,460,539,619,635,673
2020-06-18,413,441,454,526,604,621,656
2020-06-19,427,470,487,566,649,669,706
2020-06-20,389,411,424,493,570,589,632
2020-06-21,406,428,440,511,588,604,641
2020-06-22,424,484,504,588,677,694,730
2020-06-23,432,497,536,655,755,774,808
2020-06-24,468,542,583,732,846,869,914
2020-06-25,553,644,686,812,930,955,1005
2020-06-26,675,726,749,864,989,1014,1068
2020-06-27,608,641,659,768,896,933,1027
2020-06-28,532,556,575,743,1018,1072,1169
2020-06-29,522,551,570,684,887,974,1119
2020-06-30,561,591,607,706,818,845,911
2020-07-01,595,631,649,748,859,883,935
2020-07-02,651,718,739,856,982,1011,1068
2020-07-03,658,694,712,821,942,968,1022
2020-07-04,571,600,615,726,865,919,1043
2020-07-05,561,590,609,711,831,867,956
2020-07-06,585,617,635,734,845,870,927
2020-07-07,523,552,565,663,776,809,902
2020-07-08,584,623,643,745,856,881,932
2020-07-09,611,665,685,793,907,932,984
2020-07-10,598,631,647,750,862,886,946
2020-07-11,456,485,497,634,869,909,1005
2020-07-12,574,649,674,789,916,942,990
2020-07-13,519,550,565,659,765,788,840
2020-07-14,536,568,583,677,782,806,853
2020-07-15,548,582,600,695,799,822,868
2020-07-16,569,623,644,747,857,880,927
2020-07-17,481,509,523,611,720,753,845
2020-07-18,534,564,580,674,773,796,838
2020-07-19,370,456,492,640,801,835,910
2020-07-20,460,488,502,587,683,706,763
2020-07-21,515,547,561,648,743,763,808
2020-07-22,564,595,610,702,804,825,867
2020-07-23,531,566,583,675,773,797,847
2020-07-24,554,601,620,719,824,847,893
2020-07-25,548,579,596,688,791,812,862
2020-07-26,431,456,469,574,755,804,894
2020-07-27,490,519,532,617,714,737,783
2020-07-28,507,581,607,713,821,846,894
2020-07-29,566,607,625,724,828,850,893
2020-07-30,519,548,564,656,756,780,836
2020-07-31,402,431,445,571,781,825,927
2020-08-01,417,443,456,535,628,659,749
2020-08-02,387,412,422,495,576,596,642
2020-08-03,336,355,366,432,510,531,593
2020-08-04,364,388,399,464,536,553,586
2020-08-05,316,358,384,534,641,661,697
2020-08-06,359,433,466,561,652,669,704
2020-08-07,409,475,513,612,707,725,761
2020-08-08,396,421,434,508,592,615,676
2020-08-09,415,440,451,525,606,625,666
2020-08-10,433,502,528,623,719,739,778
2020-08-11,484,530,547,635,730,750,793
2020-08-12,522,569,587,678,775,795,839
2020-08-13,547,580,597,689,791,811,858
2020-08-14,555,592,608,701,805,831,876
2020-08-15,465,494,507,605,750,802,902
2020-08-16,453,478,491,581,699,741,850
2020-08-17,496,527,543,631,725,745,791
2020-08-18,510,540,555,645,742,764,808
2020-08-19,528,561,577,667,766,788,832
2020-08-20,510,538,554,640,739,763,807
2020-08-21,443,469,482,567,672,709,804
2020-08-22,518,555,572,663,762,783,825
2020-08-23,474,500,514,599,693,716,760
2020-08-24,390,415,428,513,646,696,785
2020-08-25,463,496,512,595,686,706,749
2020-08-26,467,535,559,652,750,770,809
2020-08-27,509,547,563,654,752,771,814
2020-08-28,505,535,550,637,734,754,797
2020-08-29,508,541,559,647,743,766,810
2020-08-30,395,413,428,542,739,778,852
2020-08-31,403,427,439,516,607,633,723
2020-09-01,434,509,540,641,741,765,809
2020-09-02,490,532,550,641,740,763,807
2020-09-03,469,528,570,768,906,928,985
2020-09-04,575,667,695,809,928,956,1002
2020-09-05,595,629,646,748,863,889,943
2020-09-06,538,570,586,688,807,847,946
2020-09-07,629,667,687,791,908,933,988
2020-09-08,660,704,723,834,955,981,1036
2020-09-09,665,707,728,839,962,987,1039
2020-09-10,629,661,680,789,911,939,1008
2020-09-11,575,607,625,732,861,900,1014
2020-09-12,609,642,661,765,881,907,972
2020-09-13,500,530,547,653,814,876,996
2020-09-14,567,598,616,713,820,844,894
2020-09-15,593,652,674,781,898,922,976
2020-09-16,565,598,615,714,820,845,896
2020-09-17,611,659,679,786,901,925,975
2020-09-18,575,609,624,723,832,858,909
2020-09-19,471,498,513,610,750,808,915
2020-09-20,376,403,417,578,797,836,925
2020-09-21,425,453,465,549,645,667,741
2020-09-22,420,510,553,659,766,787,832
2020-09-23,480,510,524,613,707,730,774
2020-09-24,448,473,488,569,659,677,724
2020-09-25,459,487,501,583,672,691,731
2020-09-26,437,507,548,669,776,797,838
2020-09-27,325,352,367,520,716,752,819
2020-09-28,355,377,388,464,555,583,671
2020-09-29,413,457,472,554,643,661,705
2020-09-30,431,480,499,581,670,687,725
2020-10-01,404,427,440,513,595,612,652
2020-10-02,351,373,383,451,530,553,622
2020-10-03,320,337,348,410,483,505,568
2020-10-04,332,390,423,508,590,605,641
2020-10-05,370,425,445,523,605,622,655
2020-10-06,377,435,472,591,688,712,750
2020-10-07,392,416,428,500,583,602,643
2020-10-08,425,489,525,625,719,740,779
2020-10-09,481,518,533,616,705,725,763
2020-10-10,424,450,464,541,631,654,719
2020-10-11,449,477,490,568,654,674,716
2020-10-12,478,552,588,697,803,824,867
2020-10-13,543,612,649,766,881,909,967
2020-10-14,474,502,519,615,743,796,898
2020-10-15,583,616,634,732,840,863,909
2020-10-16,588,621,640,738,847,871,920
