Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,2,3,3,6,9,10,12
2020-03-02,1,2,2,5,8,9,11
2020-03-03,0,0,0,3,8,9,11
2020-03-04,0,0,0,3,8,9,11
2020-03-05,1,2,2,4,7,8,10
2020-03-06,2,3,3,6,9,9,11
2020-03-07,0,0,0,2,6,7,9
2020-03-08,3,4,4,7,10,11,12
2020-03-09,0,0,0,2,6,7,9
2020-03-10,3,3,4,7,10,11,12
2020-03-11,3,4,4,9,14,16,17
2020-03-12,0,0,0,3,7,8,10
2020-03-13,3,4,5,10,14,15,17
2020-03-14,5,6,7,11,16,17,19
2020-03-15,6,8,9,13,17,18,20
2020-03-16,0,1,1,8,15,17,20
2020-03-17,5,6,6,10,15,16,19
2020-03-18,6,7,8,12,17,18,21
2020-03-19,9,12,13,19,25,26,29
2020-03-20,4,5,6,11,18,21,26
2020-03-21,9,12,13,20,27,28,31
2020-03-22,10,12,13,21,34,40,48
2020-03-23,11,13,14,20,27,28,32
2020-03-24,17,24,28,38,49,51,56
2020-03-25,11,13,14,22,32,39,53
2020-03-26,20,23,25,33,43,45,50
2020-03-27,16,19,20,28,37,40,47
2020-03-28,15,18,19,27,37,40,47
2020-03-29,18,20,21,29,38,40,45
2020-03-30,10,13,14,29,45,48,54
2020-03-31,16,19,20,28,37,39,46
2020-04-01,8,10,10,20,36,40,49
2020-04-02,10,12,13,19,27,29,35
2020-04-03,9,10,11,17,24,26,31
2020-04-04,7,9,10,15,22,24,28
2020-04-05,5,6,6,11,19,22,27
2020-04-06,7,8,9,14,20,21,24
2020-04-07,4,5,5,9,14,16,19
2020-04-08,6,7,9,17,26,27,31
2020-04-09,3,4,5,9,14,16,21
2020-04-10,6,8,10,19,27,28,31
2020-04-11,5,6,7,11,17,18,21
2020-04-12,5,7,7,12,17,18,21
2020-04-13,1,2,2,7,15,17,21
2020-04-14,4,5,5,9,14,15,17
2020-04-15,5,7,8,13,18,20,22
2020-04-16,2,3,4,7,11,12,15
2020-04-17,2,3,3,7,11,12,14
2020-04-18,2,2,3,5,9,10,13
2020-04-19,1,1,1,3,7,9,12
2020-04-20,1,2,2,4,8,8,10
2020-04-21,0,0,0,2,5,6,8
2020-04-22,1,2,2,4,7,8,9
2020-04-23,2,2,2,5,8,8,10
2020-04-24,2,3,3,6,9,10,11
2020-04-25,2,3,3,6,9,10,11
2020-04-26,1,1,2,4,7,7,9
2020-04-27,1,1,2,4,6,7,9
2020-04-28,2,3,3,6,9,9,11
2020-04-29,1,2,2,4,7,8,9
2020-04-30,1,2,2,4,7,8,9
