Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.97,0.98,0.98,1,1.02,1.02,1.03
2020-03-03,0.95,0.96,0.97,1,1.03,1.04,1.05
2020-03-04,0.93,0.95,0.96,1,1.05,1.05,1.07
2020-03-05,0.91,0.93,0.94,1,1.06,1.07,1.09
2020-03-06,0.88,0.91,0.92,1,1.08,1.09,1.12
2020-03-07,0.86,0.89,0.91,1,1.09,1.11,1.15
2020-03-08,0.83,0.87,0.89,1,1.11,1.13,1.18
2020-03-09,0.8,0.85,0.87,1,1.13,1.15,1.2
2020-03-10,0.77,0.83,0.85,1,1.15,1.17,1.23
2020-03-11,0.74,0.8,0.83,1,1.16,1.2,1.26
2020-03-12,0.71,0.78,0.81,1,1.18,1.22,1.29
2020-03-13,0.68,0.76,0.79,1,1.2,1.24,1.32
2020-03-14,0.65,0.73,0.77,1,1.22,1.26,1.35
2020-03-15,0.77,0.92,0.92,0.93,0.95,1.08,1.23
2020-03-16,0.75,0.91,0.91,0.93,0.94,1.08,1.24
2020-03-17,0.73,0.9,0.9,0.93,0.95,1.08,1.25
2020-03-18,0.75,0.88,0.89,0.93,0.97,1.09,1.26
2020-03-19,0.74,0.86,0.88,0.93,0.99,1.09,1.28
2020-03-20,0.73,0.84,0.86,0.93,1.01,1.1,1.31
2020-03-21,0.71,0.82,0.85,0.94,1.03,1.1,1.32
2020-03-22,0.7,0.81,0.83,0.94,1.05,1.11,1.33
2020-03-23,0.68,0.79,0.81,0.94,1.07,1.12,1.35
2020-03-24,0.67,0.77,0.8,0.94,1.09,1.14,1.36
2020-03-25,0.65,0.75,0.78,0.94,1.11,1.16,1.39
2020-03-26,0.63,0.73,0.76,0.95,1.13,1.18,1.4
2020-03-27,0.6,0.71,0.75,0.95,1.15,1.21,1.41
2020-03-28,0.58,0.69,0.73,0.95,1.18,1.23,1.41
2020-03-29,0.56,0.67,0.72,0.96,1.2,1.25,1.43
2020-03-30,0.54,0.65,0.7,0.96,1.22,1.28,1.43
2020-03-31,0.51,0.63,0.69,0.96,1.24,1.3,1.45
2020-04-01,0.48,0.61,0.67,0.96,1.26,1.33,1.44
2020-04-02,0.46,0.59,0.66,0.97,1.28,1.35,1.47
2020-04-03,0.44,0.58,0.64,0.97,1.3,1.37,1.49
2020-04-04,0.4,0.56,0.62,0.97,1.32,1.38,1.48
2020-04-05,0.37,0.54,0.61,0.97,1.34,1.4,1.53
2020-04-06,0.34,0.53,0.6,0.98,1.36,1.42,1.54
2020-04-07,0.28,0.5,0.59,0.98,1.39,1.44,1.55
2020-04-08,0.27,0.47,0.57,0.97,1.38,1.45,1.56
2020-04-09,0.26,0.49,0.58,1.02,1.47,1.56,2.06
2020-04-10,0.24,0.44,0.56,0.99,1.45,1.55,2.05
2020-04-11,0.26,0.5,0.6,1.11,1.65,2.11,2.14
2020-04-12,0.61,0.85,0.98,1.63,2.17,2.18,2.19
2020-04-13,0.61,0.86,0.97,1.57,2.19,2.21,2.23
2020-04-14,0.53,0.76,0.89,1.43,2.19,2.22,2.25
2020-04-15,0.86,1.05,1.13,1.66,2.24,2.26,2.29
2020-04-16,0.7,0.88,0.97,1.43,2.16,2.22,2.28
2020-04-17,0.97,1.16,1.24,1.78,2.27,2.3,2.34
2020-04-18,0.93,1.09,1.18,1.62,2.23,2.27,2.34
2020-04-19,0.94,1.1,1.17,1.58,2.17,2.23,2.31
2020-04-20,1.09,1.19,1.25,1.67,2.2,2.25,2.35
2020-04-21,1.1,1.2,1.27,1.66,2.16,2.23,2.34
2020-04-22,1.01,1.1,1.16,1.53,1.98,2.09,2.24
2020-04-23,0.88,0.98,1.04,1.41,1.82,1.92,2.13
2020-04-24,0.77,0.86,0.91,1.27,1.67,1.76,1.94
2020-04-25,0.87,1,1.07,1.47,1.87,1.99,2.15
2020-04-26,0.79,0.9,0.96,1.32,1.7,1.76,1.89
2020-04-27,0.71,0.83,0.89,1.25,1.6,1.67,1.79
2020-04-28,0.76,0.87,0.94,1.29,1.63,1.69,1.8
2020-04-29,0.78,0.9,0.97,1.29,1.62,1.68,1.79
2020-04-30,0.6,0.75,0.8,1.18,1.54,1.6,1.72
2020-05-01,0.5,0.54,0.63,1.02,1.42,1.49,1.63
2020-05-02,0.6,0.72,0.79,1.16,1.51,1.57,1.7
2020-05-03,0.49,0.61,0.67,1.03,1.38,1.44,1.58
2020-05-04,0.48,0.59,0.65,0.99,1.33,1.39,1.51
2020-05-05,0.54,0.66,0.72,1.03,1.36,1.42,1.55
2020-05-06,0.53,0.63,0.69,0.99,1.32,1.38,1.48
2020-05-07,0.58,0.68,0.73,1.03,1.34,1.4,1.51
2020-05-08,0.65,0.74,0.8,1.1,1.39,1.45,1.57
2020-05-09,0.68,0.79,0.84,1.13,1.42,1.48,1.63
2020-05-10,0.55,0.65,0.72,1.03,1.35,1.41,1.54
2020-05-11,0.52,0.64,0.69,0.99,1.31,1.36,1.48
2020-05-12,0.54,0.65,0.71,1,1.3,1.36,1.47
2020-05-13,0.42,0.54,0.6,0.89,1.18,1.24,1.36
2020-05-14,0.33,0.46,0.51,0.8,1.1,1.15,1.28
2020-05-15,0.3,0.41,0.46,0.74,1.04,1.09,1.19
2020-05-16,0.32,0.42,0.46,0.74,1.04,1.09,1.18
2020-05-17,0.34,0.43,0.48,0.75,1.04,1.09,1.19
2020-05-18,0.33,0.42,0.47,0.73,1.02,1.07,1.18
2020-05-19,0.33,0.41,0.46,0.72,1.02,1.07,1.17
2020-05-20,0.35,0.43,0.48,0.74,1.03,1.08,1.18
2020-05-21,0.38,0.47,0.51,0.78,1.07,1.12,1.22
2020-05-22,0.35,0.44,0.49,0.75,1.05,1.1,1.19
2020-05-23,0.44,0.53,0.57,0.85,1.14,1.18,1.31
2020-05-24,0.48,0.57,0.62,0.9,1.17,1.22,1.35
2020-05-25,0.56,0.67,0.71,0.99,1.27,1.34,1.44
2020-05-26,0.51,0.58,0.63,0.91,1.2,1.25,1.39
2020-05-27,0.47,0.52,0.58,0.86,1.15,1.21,1.32
2020-05-28,0.42,0.48,0.52,0.77,1.08,1.14,1.25
2020-05-29,0.41,0.47,0.52,0.78,1.09,1.14,1.25
2020-05-30,0.42,0.49,0.54,0.81,1.11,1.18,1.27
2020-05-31,0.46,0.57,0.62,0.9,1.2,1.25,1.35
2020-06-01,0.56,0.65,0.7,0.99,1.28,1.33,1.49
