Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,2,3,3,3
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,1,1,1,1,3,3,4
2020-03-12,0,0,0,0,0,0,0
2020-03-13,1,1,1,2,4,4,5
2020-03-14,1,1,1,2,4,4,5
2020-03-15,1,1,2,3,5,6,7
2020-03-16,1,1,2,3,6,6,7
2020-03-17,2,2,2,4,7,8,10
2020-03-18,1,2,2,4,7,7,9
2020-03-19,2,3,3,6,9,9,11
2020-03-20,3,5,5,8,12,13,14
2020-03-21,2,2,2,5,8,9,11
2020-03-22,2,3,3,6,9,10,12
2020-03-23,4,6,6,11,15,16,18
2020-03-24,2,3,4,7,11,12,14
2020-03-25,0,0,1,6,13,14,17
2020-03-26,2,2,3,6,10,12,15
2020-03-27,0,0,0,4,9,11,14
2020-03-28,2,3,4,7,11,11,13
2020-03-29,2,2,2,5,9,9,11
2020-03-30,2,3,3,6,9,10,12
2020-03-31,4,4,5,11,17,19,21
2020-04-01,1,2,2,5,10,11,15
2020-04-02,2,3,3,6,10,11,13
2020-04-03,3,4,4,8,12,13,15
2020-04-04,3,4,4,7,11,12,14
2020-04-05,4,5,5,9,13,14,16
2020-04-06,1,2,2,5,10,12,15
2020-04-07,3,4,4,7,11,12,14
2020-04-08,2,2,3,6,9,10,13
2020-04-09,1,1,1,4,8,10,13
2020-04-10,0,0,0,3,8,9,12
2020-04-11,2,3,4,7,10,11,13
2020-04-12,3,5,5,9,13,14,16
2020-04-13,3,3,4,7,11,11,13
2020-04-14,4,5,7,11,16,17,20
2020-04-15,2,3,3,7,11,12,15
2020-04-16,0,0,0,5,12,13,17
2020-04-17,2,3,4,7,10,12,14
2020-04-18,4,5,5,9,13,14,16
2020-04-19,5,7,8,13,18,19,21
2020-04-20,5,7,8,15,26,27,30
2020-04-21,3,4,5,9,14,16,21
2020-04-22,9,10,11,16,22,24,27
2020-04-23,10,13,15,26,36,38,42
2020-04-24,12,15,17,36,50,53,57
2020-04-25,21,27,29,39,49,52,56
2020-04-26,31,39,43,55,67,70,75
2020-04-27,42,47,50,61,74,77,82
2020-04-28,29,33,36,56,82,87,97
2020-04-29,26,30,32,57,91,97,108
