Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.97,0.98,0.98,1,1.02,1.02,1.03
2020-03-03,0.95,0.96,0.97,1,1.03,1.04,1.05
2020-03-04,0.93,0.95,0.95,1,1.04,1.05,1.07
2020-03-05,0.9,0.93,0.94,1,1.06,1.07,1.09
2020-03-06,0.88,0.91,0.92,1,1.07,1.09,1.12
2020-03-07,0.85,0.89,0.91,1,1.09,1.11,1.14
2020-03-08,0.83,0.87,0.89,1,1.11,1.13,1.17
2020-03-09,0.8,0.85,0.87,1,1.13,1.15,1.2
2020-03-10,0.77,0.82,0.85,1,1.15,1.17,1.22
2020-03-11,0.74,0.8,0.83,1,1.16,1.2,1.25
2020-03-12,0.71,0.78,0.81,1,1.18,1.22,1.28
2020-03-13,0.68,0.75,0.79,1,1.2,1.24,1.31
2020-03-14,0.65,0.73,0.77,1,1.22,1.26,1.34
2020-03-15,0.61,0.71,0.75,1,1.24,1.29,1.37
2020-03-16,0.59,0.68,0.74,1,1.26,1.31,1.4
2020-03-17,0.56,0.66,0.72,1,1.28,1.33,1.43
2020-03-18,0.65,0.7,0.7,0.74,1.07,1.17,1.31
2020-03-19,0.63,0.66,0.67,0.72,1.08,1.18,1.34
2020-03-20,0.61,0.63,0.64,0.7,1.08,1.19,1.35
2020-03-21,0.58,0.6,0.6,0.69,1.08,1.2,1.37
2020-03-22,0.54,0.56,0.57,0.67,1.09,1.21,1.38
2020-03-23,0.5,0.53,0.54,0.66,1.09,1.22,1.4
2020-03-24,0.46,0.5,0.51,0.65,1.09,1.23,1.42
2020-03-25,0.43,0.47,0.49,0.64,1.1,1.23,1.44
2020-03-26,0.39,0.44,0.46,0.63,1.1,1.24,1.45
2020-03-27,0.36,0.41,0.43,0.62,1.1,1.24,1.48
2020-03-28,0.32,0.38,0.41,0.61,1.1,1.25,1.5
2020-03-29,0.29,0.35,0.39,0.61,1.11,1.25,1.51
2020-03-30,0.26,0.33,0.37,0.61,1.11,1.25,1.51
2020-03-31,0.22,0.31,0.35,0.61,1.11,1.26,1.53
2020-04-01,0.2,0.29,0.33,0.61,1.12,1.26,1.54
2020-04-02,0.18,0.27,0.31,0.61,1.12,1.27,1.54
2020-04-03,0.15,0.25,0.3,0.62,1.12,1.28,1.55
2020-04-04,0.13,0.24,0.29,0.62,1.13,1.28,1.55
2020-04-05,0.12,0.22,0.28,0.63,1.13,1.28,1.57
2020-04-06,0.11,0.21,0.28,0.64,1.13,1.29,1.57
2020-04-07,0.11,0.2,0.27,0.65,1.15,1.3,1.58
2020-04-08,0.11,0.2,0.27,0.66,1.15,1.31,1.58
2020-04-09,0.11,0.2,0.27,0.64,1.14,1.29,1.59
2020-04-10,0.11,0.2,0.28,0.66,1.16,1.31,1.6
2020-04-11,0.11,0.21,0.28,0.67,1.17,1.32,1.61
2020-04-12,0.11,0.21,0.28,0.69,1.19,1.32,1.62
2020-04-13,0.12,0.22,0.29,0.71,1.21,1.33,1.63
2020-04-14,0.12,0.22,0.3,0.73,1.23,1.35,1.64
2020-04-15,0.13,0.23,0.31,0.74,1.25,1.37,1.64
2020-04-16,0.34,0.6,0.83,0.99,1.01,1.01,1.25
2020-04-17,0.36,0.62,0.86,1.01,1.04,1.04,1.27
2020-04-18,0.38,0.65,0.89,1.03,1.07,1.07,1.29
2020-04-19,0.39,0.67,0.91,1.04,1.1,1.1,1.31
2020-04-20,0.41,0.7,0.94,1.06,1.13,1.14,1.32
2020-04-21,0.41,0.72,0.96,1.08,1.16,1.18,1.33
2020-04-22,0.43,0.75,0.97,1.1,1.19,1.21,1.37
2020-04-23,0.44,0.77,0.97,1.11,1.22,1.25,1.39
2020-04-24,0.46,0.79,0.97,1.13,1.26,1.28,1.4
2020-04-25,0.47,0.81,0.97,1.14,1.29,1.32,1.43
2020-04-26,0.49,0.83,0.97,1.15,1.32,1.35,1.45
2020-04-27,0.49,0.85,0.96,1.16,1.35,1.39,1.49
2020-04-28,0.51,0.85,0.96,1.18,1.38,1.42,1.52
2020-04-29,0.54,0.85,0.95,1.19,1.41,1.45,1.56
2020-04-30,0.56,0.85,0.94,1.2,1.44,1.49,1.59
2020-05-01,0.58,0.85,0.93,1.2,1.47,1.52,1.62
2020-05-02,0.63,0.87,0.95,1.19,1.47,1.52,1.65
2020-05-03,0.63,0.86,0.94,1.2,1.49,1.55,1.68
2020-05-04,0.65,0.85,0.93,1.2,1.51,1.58,1.71
2020-05-05,0.64,0.83,0.92,1.21,1.54,1.6,1.74
2020-05-06,0.64,0.82,0.9,1.21,1.56,1.63,1.76
2020-05-07,0.63,0.8,0.89,1.21,1.57,1.65,1.79
2020-05-08,0.62,0.79,0.89,1.21,1.59,1.67,1.83
2020-05-09,0.61,0.78,0.87,1.21,1.6,1.69,1.84
2020-05-10,0.6,0.77,0.86,1.21,1.61,1.7,1.86
2020-05-11,0.58,0.75,0.85,1.21,1.63,1.72,1.89
2020-05-12,0.55,0.74,0.83,1.21,1.63,1.73,1.9
2020-05-13,0.54,0.72,0.82,1.2,1.64,1.74,1.92
2020-05-14,0.52,0.71,0.8,1.2,1.65,1.75,1.94
2020-05-15,0.51,0.69,0.78,1.19,1.66,1.77,1.95
2020-05-16,0.48,0.67,0.76,1.19,1.66,1.77,1.95
2020-05-17,0.46,0.65,0.74,1.18,1.66,1.77,1.96
2020-05-18,0.44,0.64,0.72,1.17,1.66,1.77,1.97
2020-05-19,0.42,0.62,0.7,1.17,1.66,1.77,1.97
2020-05-20,0.83,1.28,1.33,1.32,1.33,1.33,1.5
2020-05-21,0.81,1.27,1.34,1.34,1.36,1.36,1.49
2020-05-22,0.78,1.27,1.34,1.36,1.38,1.39,1.52
2020-05-23,0.77,1.25,1.34,1.37,1.41,1.42,1.5
2020-05-24,0.75,1.24,1.33,1.38,1.44,1.45,1.48
2020-05-25,0.74,1.23,1.33,1.39,1.46,1.48,1.51
2020-05-26,0.73,1.22,1.31,1.4,1.49,1.51,1.54
2020-05-27,0.7,1.2,1.3,1.4,1.51,1.53,1.57
2020-05-28,0.66,1.19,1.28,1.41,1.53,1.55,1.61
2020-05-29,0.65,1.17,1.26,1.41,1.55,1.58,1.63
2020-05-30,0.63,1.16,1.24,1.41,1.57,1.6,1.66
2020-05-31,0.63,1.13,1.22,1.41,1.59,1.62,1.69
2020-06-01,0.61,1.1,1.19,1.4,1.61,1.64,1.72
