Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0
2020-03-19,1,1,1,1,3,3,4
2020-03-20,0,0,0,0,0,0,0
2020-03-21,1,1,1,3,5,5,6
2020-03-22,2,3,3,4,6,7,8
2020-03-23,1,2,2,3,5,6,7
2020-03-24,2,3,3,5,7,7,9
2020-03-25,6,7,8,11,14,14,16
2020-03-26,16,17,17,22,27,28,30
2020-03-27,7,8,9,12,17,18,20
2020-03-28,7,8,9,15,22,24,29
2020-03-29,8,10,12,21,30,32,34
2020-03-30,10,12,13,18,24,26,29
2020-03-31,16,19,22,31,46,52,54
2020-04-01,23,27,29,38,47,49,53
2020-04-02,28,34,39,54,66,68,72
2020-04-03,39,42,44,54,66,68,73
2020-04-04,34,38,40,51,63,66,75
2020-04-05,37,41,43,54,68,73,83
2020-04-06,31,35,37,58,85,90,99
2020-04-07,34,38,39,55,79,88,102
2020-04-08,30,33,35,51,79,86,102
2020-04-09,38,41,43,55,68,71,80
2020-04-10,32,35,36,48,62,67,78
2020-04-11,31,34,36,47,60,64,74
2020-04-12,27,30,32,42,57,63,72
2020-04-13,19,23,24,41,63,68,78
2020-04-14,20,25,28,43,62,67,78
2020-04-15,16,18,19,31,51,56,67
2020-04-16,18,20,22,29,38,40,44
2020-04-17,16,18,20,27,35,37,40
2020-04-18,14,18,20,36,48,50,55
2020-04-19,15,18,20,31,46,49,60
2020-04-20,13,15,16,23,31,34,39
