Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,1,1,1,1,3,3,4
2020-03-07,0,0,0,0,0,0,0
2020-03-08,1,1,1,1,3,3,4
2020-03-09,0,0,0,0,0,0,0
2020-03-10,1,1,1,2,3,3,4
2020-03-11,1,1,1,2,3,3,4
2020-03-12,1,1,2,3,6,6,7
2020-03-13,1,2,2,3,6,6,8
2020-03-14,2,2,2,4,6,7,10
2020-03-15,2,2,3,5,7,8,9
2020-03-16,4,5,6,10,15,16,17
2020-03-17,6,7,8,12,17,18,20
2020-03-18,7,8,9,14,19,20,23
2020-03-19,11,12,13,19,25,26,29
2020-03-20,51,55,57,66,78,78,78
2020-03-21,69,72,74,84,95,98,103
2020-03-22,62,66,68,79,91,93,98
2020-03-23,46,53,55,68,81,84,89
2020-03-24,49,55,58,75,95,99,107
2020-03-25,57,63,67,87,109,113,123
2020-03-26,77,86,90,108,127,130,138
2020-03-27,103,110,113,133,155,160,168
2020-03-28,144,152,157,184,213,222,234
2020-03-29,106,113,118,144,179,195,233
2020-03-30,120,132,140,182,228,242,275
2020-03-31,152,163,168,197,230,238,254
2020-04-01,131,140,144,174,205,213,242
2020-04-02,146,156,160,190,223,230,245
2020-04-03,125,138,144,204,276,290,316
2020-04-04,123,135,143,216,295,312,344
2020-04-05,144,161,169,235,319,337,374
2020-04-06,141,156,163,217,285,299,332
2020-04-07,122,132,137,174,237,251,284
2020-04-08,79,85,89,111,134,140,151
2020-04-09,83,90,93,114,136,141,151
2020-04-10,94,100,103,124,148,154,170
2020-04-11,81,92,98,127,159,166,182
2020-04-12,76,84,89,116,147,154,171
2020-04-13,67,75,79,106,136,142,158
2020-04-14,59,66,67,87,110,116,116
2020-04-15,51,55,58,71,86,89,95
2020-04-16,50,54,56,69,83,86,93
2020-04-17,29,32,34,44,55,57,63
2020-04-18,30,37,39,51,63,66,71
2020-04-19,11,14,15,29,49,53,62
2020-04-20,6,7,8,17,35,39,47
