Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,1,1,1,1,3,3,4
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,1,1,1,1,3,3,4
2020-03-09,1,1,1,2,4,4,5
2020-03-10,1,1,1,2,3,3,4
2020-03-11,1,1,1,2,3,3,4
2020-03-12,0,0,0,0,0,0,1
2020-03-13,1,1,2,3,5,6,6
2020-03-14,1,1,2,4,6,7,8
2020-03-15,1,1,1,3,5,6,7
2020-03-16,1,1,1,3,6,6,8
2020-03-17,2,3,3,6,11,11,13
2020-03-18,3,3,4,7,11,13,15
2020-03-19,3,4,4,9,13,14,15
2020-03-20,4,5,5,11,17,18,21
2020-03-21,5,6,7,10,15,16,18
2020-03-22,6,7,8,12,17,18,20
2020-03-23,6,8,9,15,23,26,30
2020-03-24,8,10,10,15,21,22,25
2020-03-25,12,14,15,20,27,29,31
2020-03-26,13,15,16,22,28,30,33
2020-03-27,14,19,21,30,38,40,43
2020-03-28,16,18,19,27,35,36,41
2020-03-29,22,26,28,37,46,48,52
2020-03-30,21,23,24,33,42,44,49
2020-03-31,18,20,21,30,43,47,56
2020-04-01,28,33,34,44,55,57,62
2020-04-02,16,20,23,41,58,62,70
2020-04-03,25,28,30,40,51,54,62
2020-04-04,15,17,19,30,52,57,70
2020-04-05,18,20,21,30,39,42,49
2020-04-06,10,13,14,30,46,50,58
2020-04-07,8,10,11,28,45,49,57
2020-04-08,17,20,21,30,39,42,47
2020-04-09,8,10,11,17,25,26,30
2020-04-10,12,15,16,23,31,32,36
2020-04-11,10,12,13,20,27,29,33
2020-04-12,11,14,15,21,28,30,33
2020-04-13,3,5,5,14,27,29,34
2020-04-14,1,2,3,10,22,25,31
2020-04-15,4,5,5,10,15,17,22
2020-04-16,4,5,5,9,13,15,17
2020-04-17,3,4,4,7,11,12,14
2020-04-18,4,5,5,12,22,24,27
2020-04-19,4,6,7,12,18,19,21
2020-04-20,5,6,7,11,16,17,20
2020-04-21,4,5,6,9,14,15,17
2020-04-22,5,6,7,11,16,17,20
2020-04-23,5,8,9,13,19,20,22
2020-04-24,3,4,4,8,13,14,17
2020-04-25,5,7,9,14,20,21,23
2020-04-26,4,5,5,9,14,15,17
2020-04-27,3,4,4,8,12,13,16
2020-04-28,5,7,8,13,18,20,22
2020-04-29,5,7,8,12,16,17,19
2020-04-30,4,5,6,10,14,15,18
2020-05-01,5,7,7,11,16,17,19
2020-05-02,1,1,2,7,14,16,19
2020-05-03,3,5,5,9,13,14,16
2020-05-04,6,8,9,13,18,19,21
2020-05-05,0,0,1,5,12,14,17
2020-05-06,2,2,3,6,10,11,14
2020-05-07,3,4,5,8,12,13,15
2020-05-08,4,7,8,13,18,19,21
2020-05-09,1,2,2,5,11,13,16
2020-05-10,4,5,5,9,13,14,16
2020-05-11,3,4,4,8,12,13,15
2020-05-12,2,2,3,6,10,11,13
2020-05-13,1,1,1,4,9,10,13
2020-05-14,3,5,5,9,13,14,16
2020-05-15,3,4,4,8,11,12,14
2020-05-16,4,5,6,13,21,22,25
2020-05-17,4,6,6,10,15,16,19
2020-05-18,1,1,1,6,14,16,20
2020-05-19,1,2,2,5,10,11,17
2020-05-20,2,2,3,5,9,10,12
2020-05-21,3,4,5,8,12,13,15
2020-05-22,2,3,3,6,9,10,12
2020-05-23,4,5,6,11,16,17,19
2020-05-24,1,1,1,5,10,12,16
2020-05-25,1,1,2,4,8,10,13
2020-05-26,2,2,2,5,8,9,11
2020-05-27,1,2,2,5,8,9,11
2020-05-28,1,2,2,5,8,9,10
2020-05-29,1,1,2,4,7,8,10
2020-05-30,1,1,1,3,6,7,9
2020-05-31,1,1,1,3,5,6,8
2020-06-01,0,0,0,1,4,5,7
2020-06-02,1,2,2,4,7,7,8
2020-06-03,2,3,3,5,8,9,11
2020-06-04,1,1,1,3,6,7,8
2020-06-05,1,1,1,3,6,7,8
2020-06-06,1,1,1,2,5,5,7
2020-06-07,1,1,1,3,5,6,7
2020-06-08,0,0,0,1,3,4,6
2020-06-09,1,1,1,2,4,4,6
2020-06-10,1,1,1,3,5,6,7
2020-06-11,1,1,1,2,4,5,6
2020-06-12,1,1,1,2,4,5,6
2020-06-13,1,1,1,2,4,4,6
2020-06-14,0,0,0,1,3,3,5
2020-06-15,0,0,0,0,2,3,4
2020-06-16,1,1,1,2,3,4,5
2020-06-17,1,2,2,4,6,6,8
2020-06-18,1,1,1,3,5,6,7
2020-06-19,1,1,1,2,4,5,6
2020-06-20,1,1,1,2,4,4,6
2020-06-21,0,0,0,1,3,3,5
2020-06-22,0,0,0,1,3,3,5
2020-06-23,0,0,0,1,2,3,4
2020-06-24,0,0,0,0,2,3,4
2020-06-25,0,0,0,0,2,2,4
2020-06-26,1,1,1,1,3,3,4
2020-06-27,1,1,1,2,4,4,5
2020-06-28,1,1,1,2,3,3,4
2020-06-29,1,1,1,2,3,3,4
2020-06-30,1,1,1,2,3,3,5
2020-07-01,1,1,1,2,4,5,6
2020-07-02,1,1,1,2,3,4,5
2020-07-03,0,0,0,0,2,3,4
2020-07-04,1,1,1,2,3,4,5
2020-07-05,1,1,1,2,3,4,5
2020-07-06,1,1,1,2,4,5,6
2020-07-07,1,2,2,4,7,7,9
2020-07-08,2,2,2,5,7,8,10
2020-07-09,2,3,4,7,11,12,14
2020-07-10,3,4,5,8,12,13,15
2020-07-11,3,4,4,8,11,12,14
2020-07-12,0,0,0,5,12,13,16
2020-07-13,1,1,1,4,10,12,15
2020-07-14,0,0,0,3,9,10,14
2020-07-15,1,2,2,5,8,9,11
2020-07-16,1,1,1,3,6,7,9
2020-07-17,2,2,3,5,8,9,11
2020-07-18,1,2,2,4,7,8,10
2020-07-19,1,1,2,4,7,7,9
2020-07-20,0,0,0,2,5,7,9
2020-07-21,1,1,1,2,5,6,8
2020-07-22,1,2,2,4,6,7,8
2020-07-23,2,2,3,5,8,8,10
2020-07-24,1,1,1,3,6,6,8
2020-07-25,1,1,1,2,5,5,7
2020-07-26,2,3,3,7,11,12,14
2020-07-27,0,0,0,2,5,6,8
2020-07-28,1,1,1,2,5,5,7
2020-07-29,1,1,2,4,6,7,8
2020-07-30,1,2,2,4,6,7,9
2020-07-31,1,1,1,3,6,7,8
2020-08-01,2,2,3,5,8,9,11
2020-08-02,1,2,2,5,7,8,9
2020-08-03,1,1,2,4,6,7,9
2020-08-04,1,1,2,4,6,7,9
2020-08-05,2,3,3,6,9,10,12
2020-08-06,3,4,4,9,14,15,17
2020-08-07,2,3,3,6,10,11,13
2020-08-08,3,3,4,7,11,11,13
2020-08-09,1,1,2,4,8,9,13
2020-08-10,0,0,0,3,8,9,12
2020-08-11,1,1,2,4,7,8,10
2020-08-12,3,4,4,8,11,12,14
2020-08-13,1,2,2,5,8,9,10
2020-08-14,1,1,1,3,7,8,10
2020-08-15,2,3,3,6,9,10,12
2020-08-16,2,3,3,6,10,10,12
2020-08-17,1,1,1,3,6,7,10
2020-08-18,0,0,0,2,6,7,10
2020-08-19,1,1,1,4,6,7,9
2020-08-20,1,1,1,2,5,5,7
2020-08-21,1,1,1,3,6,6,8
2020-08-22,1,1,1,3,6,6,7
2020-08-23,1,1,2,4,6,7,8
2020-08-24,0,0,0,1,4,4,6
2020-08-25,1,2,2,4,6,7,8
2020-08-26,2,3,3,6,11,12,14
2020-08-27,2,2,3,5,8,9,10
2020-08-28,3,3,4,7,10,11,13
2020-08-29,2,3,3,6,9,10,12
2020-08-30,3,5,5,9,13,14,16
2020-08-31,1,2,2,5,9,10,13
2020-09-01,3,4,4,8,11,12,14
2020-09-02,1,1,2,4,9,10,13
2020-09-03,2,2,3,5,9,10,12
2020-09-04,2,3,3,6,10,11,13
2020-09-05,3,4,5,8,12,13,15
2020-09-06,1,2,2,5,8,10,12
2020-09-07,1,1,1,4,8,9,12
2020-09-08,1,2,2,4,7,8,10
2020-09-09,3,4,5,8,12,13,15
2020-09-10,2,2,3,6,9,10,11
2020-09-11,3,5,5,9,12,13,15
2020-09-12,2,3,3,6,10,11,13
2020-09-13,4,5,5,9,13,14,16
2020-09-14,1,2,2,5,9,10,13
2020-09-15,2,3,3,6,10,11,13
2020-09-16,2,2,3,5,9,10,12
2020-09-17,3,4,4,7,11,12,14
2020-09-18,2,2,3,5,9,10,12
2020-09-19,4,5,6,11,16,17,19
2020-09-20,4,5,6,9,13,14,16
2020-09-21,1,1,1,5,11,13,17
2020-09-22,5,6,7,12,22,24,28
2020-09-23,5,6,7,11,16,17,20
2020-09-24,10,12,12,18,24,25,28
2020-09-25,12,16,17,24,32,33,37
2020-09-26,14,17,19,26,34,35,39
2020-09-27,14,16,17,24,31,33,37
2020-09-28,14,16,17,24,31,33,38
2020-09-29,19,21,23,30,39,41,45
2020-09-30,18,22,23,35,48,51,60
2020-10-01,24,29,31,41,51,54,59
2020-10-02,33,46,49,61,74,78,85
2020-10-03,48,52,54,67,81,84,91
2020-10-04,48,52,55,68,83,86,93
2020-10-05,37,41,43,62,92,97,110
2020-10-06,51,56,58,72,88,92,101
2020-10-07,52,56,59,73,89,93,101
2020-10-08,65,76,81,99,118,122,130
2020-10-09,73,88,97,120,144,149,158
2020-10-10,72,79,82,101,125,131,149
2020-10-11,65,71,74,96,132,142,161
2020-10-12,75,80,83,103,124,130,144
2020-10-13,63,68,72,91,117,127,148
2020-10-14,75,81,85,104,124,129,140
2020-10-15,81,89,92,112,133,138,148
2020-10-16,88,103,109,133,157,162,172
2020-10-17,88,103,114,156,187,193,206
2020-10-18,63,75,83,137,182,191,211
2020-10-19,53,54,61,138,191,201,219
2020-10-20,87,96,101,125,155,164,191
2020-10-21,131,139,144,172,202,209,224
2020-10-22,121,131,135,161,189,196,210
2020-10-23,115,135,146,208,251,260,274
2020-10-24,143,175,191,233,273,281,297
2020-10-25,166,177,183,217,255,263,282
2020-10-26,142,164,173,230,291,305,331
2020-10-27,122,134,141,196,282,300,335
2020-10-28,184,197,204,242,286,296,318
2020-10-29,190,204,209,247,290,299,317
2020-10-30,206,223,232,272,316,326,347
2020-10-31,179,191,197,235,278,290,323
2020-11-01,189,201,208,247,289,298,316
2020-11-02,131,145,150,221,304,320,352
2020-11-03,139,151,157,191,234,250,299
2020-11-04,140,164,178,265,317,326,343
2020-11-05,156,204,262,320,374,385,406
2020-11-06,245,276,286,335,388,398,421
2020-11-07,264,302,316,372,427,437,457
2020-11-08,200,215,223,300,415,436,471
2020-11-09,205,234,249,334,429,451,494
2020-11-10,180,195,203,264,383,417,474
2020-11-11,264,326,344,414,490,506,531
2020-11-12,389,411,423,488,557,575,606
2020-11-13,364,387,397,460,529,543,572
2020-11-14,338,358,368,430,500,519,565
2020-11-15,288,309,319,390,508,545,609
2020-11-16,286,314,330,431,547,575,629
2020-11-17,250,266,274,346,476,511,588
2020-11-18,330,351,361,422,492,507,543
2020-11-19,294,312,320,376,436,450,477
2020-11-20,297,315,325,379,439,455,482
2020-11-21,256,279,294,418,576,599,637
2020-11-22,288,311,320,380,446,461,502
2020-11-23,238,282,307,416,532,557,611
2020-11-24,343,370,382,446,517,533,567
2020-11-25,425,446,458,528,605,622,657
2020-11-26,598,627,643,737,831,841,890
2020-11-27,507,538,552,641,739,763,808
2020-11-28,563,607,625,727,836,861,909
2020-11-29,423,455,472,674,892,928,1016
2020-11-30,470,517,542,728,940,980,1070
2020-12-01,513,541,555,655,773,810,947
2020-12-02,552,582,598,695,805,829,876
2020-12-03,692,727,744,855,980,1006,1058
2020-12-04,582,616,634,736,851,881,958
2020-12-05,638,677,695,800,917,944,997
2020-12-06,497,530,546,689,927,977,1077
2020-12-07,508,554,580,757,965,1012,1110
2020-12-08,497,526,541,642,762,808,960
2020-12-09,560,588,605,702,812,835,879
2020-12-10,659,692,711,817,934,964,1017
2020-12-11,565,593,611,709,818,844,904
2020-12-12,550,579,593,688,795,820,877
2020-12-13,518,548,566,658,762,783,841
2020-12-14,447,492,515,661,828,862,932
2020-12-15,480,508,523,611,709,732,786
2020-12-16,508,667,732,860,991,1021,1068
2020-12-17,755,793,812,927,1058,1083,1132
2020-12-18,701,743,763,880,1005,1032,1092
2020-12-19,701,744,763,881,1009,1039,1095
2020-12-20,588,618,635,758,942,1008,1128
2020-12-21,503,604,645,840,1055,1097,1205
2020-12-22,699,786,817,952,1096,1127,1197
2020-12-23,855,905,928,1067,1217,1248,1312
2020-12-24,959,1006,1034,1183,1348,1384,1463
2020-12-25,677,722,749,1043,1370,1440,1582
2020-12-26,731,813,855,1123,1440,1512,1647
2020-12-27,608,726,807,1139,1502,1577,1735
2020-12-28,506,527,527,907,1290,1353,1475
2020-12-29,656,698,721,869,1026,1059,1124
2020-12-30,616,989,1046,1214,1400,1440,1512
2020-12-31,631,1031,1343,1552,1789,1827,1948
2021-01-01,559,591,627,1095,1652,1725,1880
2021-01-02,341,374,410,1353,1810,1896,2059
2021-01-03,429,454,468,775,1698,1815,2025
2021-01-04,379,434,465,558,650,672,730
2021-01-05,344,382,402,622,865,894,945
2021-01-06,341,384,410,726,1205,1239,1396
2021-01-07,396,491,580,1188,1462,1503,1591
2021-01-08,940,1042,1073,1245,1426,1466,1548
2021-01-09,970,1026,1055,1213,1391,1433,1529
2021-01-10,713,894,978,1245,1542,1613,1743
2021-01-11,811,927,981,1248,1560,1635,1776
2021-01-12,758,802,828,1033,1325,1434,1672
2021-01-13,988,1041,1070,1225,1398,1434,1517
2021-01-14,825,873,897,1037,1191,1224,1289
2021-01-15,871,922,949,1096,1259,1293,1379
2021-01-16,841,887,913,1054,1211,1245,1314
2021-01-17,598,654,684,993,1280,1335,1449
2021-01-18,623,684,722,975,1256,1313,1444
2021-01-19,662,704,723,852,1004,1044,1159
2021-01-20,813,859,881,1020,1171,1209,1279
2021-01-21,732,769,791,915,1050,1079,1140
2021-01-22,707,744,766,886,1020,1051,1114
2021-01-23,701,754,775,894,1027,1054,1117
2021-01-24,495,528,546,737,1004,1051,1147
2021-01-25,488,538,567,755,985,1033,1137
2021-01-26,544,581,601,704,823,850,916
2021-01-27,621,803,835,965,1114,1145,1203
2021-01-28,744,782,803,925,1061,1090,1150
2021-01-29,725,772,794,914,1046,1078,1142
2021-01-30,661,697,715,830,957,985,1060
2021-01-31,520,545,561,735,1004,1057,1183
2021-02-01,431,464,484,737,990,1049,1169
2021-02-02,575,632,654,770,899,930,1001
2021-02-03,523,631,831,1050,1226,1258,1333
2021-02-04,612,660,685,805,933,958,1015
2021-02-05,697,740,764,883,1017,1043,1102
2021-02-06,753,823,852,985,1127,1157,1210
2021-02-07,546,612,668,923,1152,1202,1307
2021-02-08,616,681,717,937,1181,1233,1331
2021-02-09,646,691,712,838,980,1020,1149
2021-02-10,769,809,831,960,1103,1133,1194
2021-02-11,701,737,757,875,1004,1034,1092
2021-02-12,675,714,732,848,979,1010,1086
2021-02-13,650,688,705,816,940,969,1043
2021-02-14,482,546,600,821,1037,1079,1176
2021-02-15,499,578,612,815,1038,1087,1195
2021-02-16,579,615,634,745,870,904,989
2021-02-17,710,748,769,887,1020,1049,1108
2021-02-18,594,629,649,751,865,891,942
2021-02-19,575,606,624,726,839,864,926
2021-02-20,562,636,678,906,1064,1096,1151
2021-02-21,418,459,491,769,1004,1046,1135
2021-02-22,305,333,518,779,1016,1059,1161
2021-02-23,546,581,600,709,832,864,972
2021-02-24,729,766,786,906,1040,1071,1130
2021-02-25,659,696,713,824,948,973,1030
2021-02-26,611,645,662,769,890,916,984
2021-02-27,652,692,711,822,942,968,1026
2021-02-28,501,590,625,806,997,1040,1130
2021-03-01,537,587,618,801,1007,1054,1146
2021-03-02,544,573,592,697,821,858,959
2021-03-03,689,726,745,859,983,1014,1071
2021-03-04,557,587,602,699,806,832,880
2021-03-05,594,630,647,747,860,884,934
2021-03-06,517,544,559,650,760,790,872
2021-03-07,394,474,516,676,854,894,969
2021-03-08,425,470,497,656,836,879,962
2021-03-09,399,425,441,527,638,689,805
2021-03-10,487,513,527,612,705,726,769
2021-03-11,490,518,531,615,706,730,776
2021-03-12,480,514,528,614,707,727,768
2021-03-13,460,487,500,582,670,690,734
2021-03-14,320,351,372,548,706,736,804
2021-03-15,336,376,401,542,697,729,795
2021-03-16,423,496,519,611,711,731,776
2021-03-17,588,624,641,736,845,866,910
2021-03-18,432,454,468,546,633,651,688
2021-03-19,490,520,535,621,713,734,778
2021-03-20,494,525,540,625,719,739,778
2021-03-21,417,462,483,618,769,803,867
2021-03-22,408,451,473,615,776,812,889
2021-03-23,423,449,463,547,645,671,756
2021-03-24,569,598,614,709,813,838,886
2021-03-25,497,525,542,623,718,739,783
2021-03-26,509,539,554,642,739,761,806
2021-03-27,494,523,537,623,718,740,789
2021-03-28,374,413,450,627,791,824,899
2021-03-29,400,453,480,631,801,838,911
2021-03-30,433,462,475,562,661,690,772
2021-03-31,494,520,535,620,715,736,778
2021-04-01,503,530,544,630,723,744,791
2021-04-02,477,504,518,602,695,716,759
2021-04-03,364,435,466,603,755,788,853
2021-04-04,384,433,459,601,762,796,875
2021-04-05,368,411,435,592,770,806,884
2021-04-06,274,291,299,367,437,454,500
2021-04-07,452,478,491,569,666,675,718
2021-04-08,525,551,565,652,751,775,834
2021-04-09,487,526,542,627,721,742,790
2021-04-10,511,545,560,644,736,758,800
2021-04-11,365,389,410,564,745,774,851
2021-04-12,388,434,457,603,758,792,863
2021-04-13,436,463,477,562,658,681,737
2021-04-14,546,576,592,684,785,809,854
2021-04-15,513,543,557,645,743,764,809
2021-04-16,500,528,544,630,727,750,797
2021-04-17,519,550,566,655,755,776,821
2021-04-18,379,423,454,641,810,846,914
2021-04-19,422,466,489,649,823,863,934
2021-04-20,525,565,585,682,790,814,863
2021-04-21,589,620,638,737,848,871,921
2021-04-22,502,530,543,631,728,747,792
2021-04-23,546,577,593,686,789,813,863
2021-04-24,561,594,610,706,810,833,881
2021-04-25,406,453,489,685,858,898,975
2021-04-26,444,497,525,691,877,916,995
2021-04-27,488,521,535,633,739,770,858
2021-04-28,691,730,748,863,990,1016,1073
2021-04-29,579,612,630,728,840,863,912
2021-04-30,611,647,664,769,884,909,962
2021-05-01,637,677,695,803,917,944,996
2021-05-02,486,580,616,793,984,1026,1112
2021-05-03,534,589,617,802,1006,1053,1152
2021-05-04,425,460,486,747,1019,1073,1187
2021-05-05,345,360,370,439,517,564,739
2021-05-06,540,571,587,689,801,824,906
2021-05-07,397,460,497,852,1053,1078,1119
2021-05-08,592,661,687,811,938,962,1017
