Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,1,1,1,1,3,3,4
2020-03-03,0,0,1,1,1,1,1
2020-03-04,0,0,0,0,0,0,0
2020-03-05,1,1,1,1,3,3,4
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,1,1,1,1,3,3,4
2020-03-11,1,1,1,2,3,3,4
2020-03-12,1,1,1,1,3,3,4
2020-03-13,1,1,1,1,3,3,4
2020-03-14,1,1,2,3,6,6,7
2020-03-15,1,1,2,4,6,7,8
2020-03-16,1,1,1,2,3,3,4
2020-03-17,2,2,3,5,7,8,9
2020-03-18,2,2,3,6,9,9,10
2020-03-19,2,3,3,7,11,11,13
2020-03-20,3,3,4,8,12,13,14
2020-03-21,3,4,5,10,15,16,18
2020-03-22,4,6,7,12,17,18,20
2020-03-23,5,7,7,15,22,24,27
2020-03-24,7,9,11,19,25,26,29
2020-03-25,9,11,12,20,29,32,37
2020-03-26,11,14,15,26,39,40,45
2020-03-27,14,16,18,28,43,47,53
2020-03-28,27,32,35,44,54,57,60
2020-03-29,33,40,44,60,73,75,80
2020-03-30,47,53,55,68,81,84,89
2020-03-31,46,50,53,65,79,82,88
2020-04-01,37,41,44,67,95,101,111
2020-04-02,45,49,52,67,87,95,110
2020-04-03,60,66,68,84,101,105,113
2020-04-04,70,87,92,113,135,139,148
2020-04-05,79,85,88,107,128,133,144
2020-04-06,80,86,90,109,132,138,153
2020-04-07,65,70,74,113,161,168,186
2020-04-08,75,81,84,106,136,148,173
2020-04-09,79,85,88,108,130,136,149
2020-04-10,65,70,73,93,123,133,152
2020-04-11,75,81,84,102,123,127,138
2020-04-12,83,90,93,113,134,139,148
2020-04-13,78,84,87,105,126,130,140
2020-04-14,85,94,98,118,140,145,155
2020-04-15,91,101,105,127,151,156,165
2020-04-16,78,87,92,126,167,184,209
2020-04-17,78,88,93,131,179,193,236
2020-04-18,90,97,101,123,148,154,168
2020-04-19,119,126,130,155,183,189,201
2020-04-20,134,143,147,174,203,210,222
2020-04-21,123,132,137,163,192,199,212
2020-04-22,124,143,157,203,240,248,265
2020-04-23,107,115,119,150,199,214,244
2020-04-24,138,149,154,183,216,223,238
2020-04-25,114,123,127,153,182,189,211
2020-04-26,124,135,140,167,197,203,217
2020-04-27,97,111,119,160,206,216,238
2020-04-28,105,113,117,142,170,177,197
2020-04-29,67,70,72,96,141,167,201
2020-04-30,76,82,86,104,125,130,139
2020-05-01,67,81,91,124,150,156,168
2020-05-02,70,84,93,134,165,170,180
2020-05-03,78,95,107,148,180,185,197
2020-05-04,101,114,118,143,170,176,189
2020-05-05,106,122,128,154,182,188,199
2020-05-06,110,130,139,169,200,205,219
2020-05-07,109,117,121,146,172,178,191
2020-05-08,119,128,133,158,186,192,205
2020-05-09,120,142,149,179,209,215,227
2020-05-10,120,129,133,158,186,193,206
2020-05-11,126,149,160,193,225,232,243
2020-05-12,115,123,128,154,183,191,212
2020-05-13,89,96,100,138,199,212,232
2020-05-14,80,86,90,116,160,179,210
2020-05-15,55,64,71,117,165,178,209
2020-05-16,66,73,76,96,119,126,147
2020-05-17,83,94,98,119,141,146,155
2020-05-18,65,70,73,90,108,113,121
2020-05-19,56,61,64,79,98,103,118
2020-05-20,60,73,78,98,117,121,129
2020-05-21,57,63,65,81,98,102,111
2020-05-22,55,66,73,100,122,126,133
2020-05-23,56,60,63,78,96,100,109
2020-05-24,32,38,42,75,104,110,122
2020-05-25,55,68,73,90,108,112,121
2020-05-26,38,42,44,57,72,76,85
2020-05-27,22,25,27,38,60,67,80
2020-05-28,27,31,33,43,56,59,65
2020-05-29,25,31,36,57,72,75,82
2020-05-30,32,42,45,58,72,75,81
2020-05-31,21,24,26,37,55,61,73
2020-06-01,18,21,23,32,43,48,60
2020-06-02,21,23,25,33,43,45,50
2020-06-03,19,24,28,44,57,59,64
2020-06-04,20,24,26,47,72,75,82
2020-06-05,24,32,37,58,74,77,82
2020-06-06,38,48,53,70,86,89,95
2020-06-07,48,54,56,70,85,88,95
2020-06-08,53,58,61,75,91,94,101
2020-06-09,49,57,61,92,121,124,132
2020-06-10,54,59,62,77,94,98,108
2020-06-11,33,40,44,86,117,123,135
2020-06-12,54,60,63,81,102,107,122
2020-06-13,60,66,69,86,105,109,119
2020-06-14,71,78,81,99,119,123,132
2020-06-15,70,76,79,96,117,121,131
2020-06-16,48,54,58,95,133,141,155
2020-06-17,54,59,62,81,110,124,144
2020-06-18,58,63,66,82,100,105,115
2020-06-19,62,69,73,96,123,129,142
2020-06-20,57,65,69,95,125,132,156
2020-06-21,69,85,94,121,145,151,162
2020-06-22,128,135,140,166,199,206,214
2020-06-23,127,135,140,166,196,203,218
2020-06-24,120,134,141,187,241,254,278
2020-06-25,130,145,154,208,273,292,338
2020-06-26,170,207,223,272,319,328,345
2020-06-27,199,212,219,259,303,312,332
2020-06-28,158,171,177,214,255,266,343
2020-06-29,192,204,210,249,294,304,329
2020-06-30,197,209,217,256,300,311,337
2020-07-01,179,200,212,279,355,373,404
2020-07-02,244,266,275,322,375,386,411
2020-07-03,255,271,279,326,379,389,412
2020-07-04,375,391,401,462,528,540,571
2020-07-05,325,344,354,413,478,492,527
2020-07-06,312,343,359,459,571,594,644
2020-07-07,289,337,369,489,618,646,705
2020-07-08,339,373,394,523,671,706,773
2020-07-09,283,298,309,366,430,446,475
2020-07-10,230,247,253,297,347,358,383
2020-07-11,205,217,224,262,304,315,336
2020-07-12,190,203,209,252,315,336,373
2020-07-13,175,185,192,229,277,293,329
2020-07-14,149,158,163,199,248,265,295
2020-07-15,137,147,152,180,214,222,243
2020-07-16,115,131,140,214,269,278,296
2020-07-17,128,143,149,180,213,219,235
2020-07-18,109,125,134,202,263,270,289
2020-07-19,126,158,168,203,238,246,261
2020-07-20,118,136,145,207,281,293,319
2020-07-21,136,147,152,182,216,223,239
2020-07-22,157,168,174,204,238,245,261
2020-07-23,140,161,175,241,287,294,307
2020-07-24,141,156,164,213,264,275,297
2020-07-25,143,162,170,220,275,285,307
2020-07-26,146,163,171,224,283,291,317
2020-07-27,348,359,367,414,466,478,516
2020-07-28,329,345,353,399,449,459,480
2020-07-29,464,482,490,548,609,620,641
2020-07-30,301,327,340,413,494,511,544
2020-07-31,327,355,368,451,542,561,598
2020-08-01,371,410,432,563,659,675,705
2020-08-02,430,452,464,534,610,627,659
2020-08-03,512,537,551,631,719,736,773
2020-08-04,504,544,571,765,937,967,1016
2020-08-05,541,595,624,835,1117,1164,1225
2020-08-06,696,822,882,1053,1229,1255,1302
2020-08-07,839,882,906,1053,1220,1260,1351
2020-08-08,1048,1104,1132,1304,1499,1542,1632
2020-08-09,1047,1101,1130,1303,1502,1553,1680
2020-08-10,919,1004,1063,1482,1865,1945,2123
2020-08-11,1043,1091,1140,1382,1848,1975,2208
2020-08-12,1244,1309,1342,1552,1788,1846,1976
2020-08-13,1128,1189,1221,1419,1652,1714,1875
2020-08-14,1158,1221,1255,1464,1710,1796,2027
2020-08-15,1407,1487,1526,1751,1992,2046,2167
2020-08-16,1286,1353,1395,1612,1869,1939,2122
2020-08-17,1073,1123,1162,1631,2157,2244,2447
2020-08-18,1086,1149,1187,1413,1790,2003,2312
2020-08-19,1194,1268,1301,1506,1745,1805,1934
2020-08-20,1101,1161,1191,1379,1587,1635,1747
2020-08-21,1192,1288,1326,1536,1761,1807,1901
2020-08-22,1208,1291,1329,1529,1749,1796,1893
2020-08-23,1215,1284,1319,1519,1734,1781,1879
2020-08-24,873,928,961,1269,1725,1799,1956
2020-08-25,1027,1085,1112,1295,1507,1555,1653
2020-08-26,1030,1099,1134,1315,1516,1562,1640
2020-08-27,976,1037,1066,1233,1414,1455,1535
2020-08-28,974,1101,1141,1323,1516,1561,1643
2020-08-29,950,1119,1202,1418,1632,1682,1771
2020-08-30,1044,1115,1144,1321,1513,1557,1642
2020-08-31,976,1029,1059,1220,1403,1442,1537
2020-09-01,953,1009,1039,1200,1381,1420,1501
2020-09-02,880,988,1056,1415,1672,1708,1805
2020-09-03,1051,1141,1175,1355,1552,1593,1675
2020-09-04,1049,1189,1280,1551,1789,1833,1929
2020-09-05,1195,1276,1308,1507,1720,1768,1866
2020-09-06,1098,1213,1273,1749,2135,2178,2286
2020-09-07,1163,1230,1266,1473,1708,1765,1900
2020-09-08,1433,1532,1577,1813,2064,2123,2229
2020-09-09,1554,1687,1740,1994,2263,2319,2445
2020-09-10,1536,1621,1663,1908,2178,2237,2363
2020-09-11,1695,1882,1951,2248,2557,2624,2760
2020-09-12,1809,1891,1947,2230,2535,2605,2734
2020-09-13,1849,1946,1997,2287,2609,2677,2825
2020-09-14,1468,1581,1634,2104,2799,2919,3188
2020-09-15,1761,1860,1915,2210,2548,2624,2833
2020-09-16,1529,1607,1647,1931,2270,2379,2686
2020-09-17,1814,1989,2055,2370,2712,2783,2934
2020-09-18,1957,2163,2234,2583,2968,3039,3205
2020-09-19,2041,2165,2225,2546,2912,2987,3150
2020-09-20,1748,1835,1884,2208,2651,2836,3225
2020-09-21,1450,1547,1617,2341,3022,3163,3449
2020-09-22,1815,1922,1980,2300,2668,2751,2948
2020-09-23,1916,2023,2079,2401,2754,2829,2974
2020-09-24,1921,2024,2077,2386,2737,2803,2952
2020-09-25,1939,2057,2111,2429,2776,2859,3015
2020-09-26,2063,2208,2278,2611,2981,3063,3214
2020-09-27,2016,2112,2161,2489,2835,2927,3129
2020-09-28,1491,1587,1663,2382,3059,3178,3439
2020-09-29,1735,1819,1887,2200,2559,2659,2882
2020-09-30,1910,2038,2096,2418,2770,2849,3017
2020-10-01,1916,2016,2069,2383,2728,2796,2952
2020-10-02,1960,2086,2144,2467,2816,2900,3066
2020-10-03,2035,2171,2231,2568,2942,3026,3177
2020-10-04,1763,1864,1913,2211,2554,2646,2895
2020-10-05,1392,1478,1525,2023,2726,2871,3172
2020-10-06,1748,1994,2078,2425,2803,2880,3043
2020-10-07,1970,2198,2271,2622,3007,3075,3262
2020-10-08,2242,2365,2427,2784,3180,3263,3442
2020-10-09,2174,2467,2637,3124,3599,3680,3893
2020-10-10,2507,2738,2831,3260,3717,3818,4030
2020-10-11,2239,2365,2429,2816,3269,3409,3850
2020-10-12,2139,2347,2450,3092,3801,3978,4286
2020-10-13,2552,2702,2766,3190,3656,3751,3964
2020-10-14,2715,2849,2923,3352,3817,3920,4136
2020-10-15,2719,2854,2930,3351,3823,3931,4145
2020-10-16,2802,2966,3041,3500,3986,4092,4318
2020-10-17,2971,3142,3227,3697,4211,4323,4559
2020-10-18,2476,2609,2682,3151,3825,4063,4560
2020-10-19,2058,2213,2303,3118,4177,4376,4790
2020-10-20,2594,2753,2827,3287,3799,3916,4173
2020-10-21,2764,2950,3034,3500,4024,4133,4349
2020-10-22,3026,3307,3410,3907,4450,4583,4799
2020-10-23,2991,3160,3236,3723,4254,4368,4626
2020-10-24,3175,3372,3463,3973,4531,4645,4903
2020-10-25,2686,2839,2920,3395,3979,4158,4726
2020-10-26,2166,2294,2393,3255,4384,4591,4958
2020-10-27,2930,3206,3316,3845,4423,4564,4842
2020-10-28,3100,3304,3395,3926,4488,4600,4864
2020-10-29,3373,3555,3650,4179,4766,4897,5146
2020-10-30,2846,3015,3094,3582,4154,4329,4817
2020-10-31,3080,3245,3331,3831,4392,4504,4776
2020-11-01,2908,3066,3151,3613,4139,4267,4541
2020-11-02,2369,2485,2544,3093,4016,4277,4740
2020-11-03,2642,3059,3310,4046,4696,4820,5121
2020-11-04,2628,2990,3202,4727,5684,5827,6064
2020-11-05,3561,4368,4553,5223,5925,6068,6424
2020-11-06,4269,4518,4640,5295,6006,6151,6477
2020-11-07,4566,4837,4966,5666,6447,6603,6915
2020-11-08,4075,4291,4398,5086,5864,6093,6759
2020-11-09,3362,3646,3861,5470,6863,7153,7693
2020-11-10,4317,4550,4678,5422,6251,6449,6935
2020-11-11,4480,4724,4847,5584,6387,6565,6908
2020-11-12,4924,5171,5295,6079,6938,7109,7479
2020-11-13,4634,4882,5002,5748,6564,6759,7193
2020-11-14,4821,5074,5193,5967,6807,6994,7383
2020-11-15,4348,4598,4708,5439,6258,6527,7251
2020-11-16,3516,4030,4408,5758,7137,7425,8105
2020-11-17,4445,4704,4838,5583,6415,6614,7038
2020-11-18,4443,4678,4794,5505,6284,6457,6827
2020-11-19,3958,4161,4267,4908,5619,5782,6087
2020-11-20,3909,4133,4235,4886,5611,5783,6171
2020-11-21,3845,4053,4154,4786,5477,5628,5961
2020-11-22,3406,3584,3672,4244,4906,5078,5512
2020-11-23,2488,2699,2789,3731,5061,5308,5814
2020-11-24,3061,3286,3387,3951,4572,4737,5019
2020-11-25,2928,3670,3909,4561,5248,5368,5690
2020-11-26,3347,3542,3632,4165,4746,4863,5130
2020-11-27,3415,3709,3815,4391,5003,5121,5425
2020-11-28,3439,3656,3766,4309,4894,5029,5299
2020-11-29,3327,3509,3600,4126,4707,4824,5108
2020-11-30,2448,2599,2679,3463,4681,4900,5373
2020-12-01,2830,2985,3064,3555,4102,4216,4505
2020-12-02,2824,3328,3478,4044,4649,4765,5004
2020-12-03,3238,3537,3642,4197,4808,4933,5171
2020-12-04,3213,3376,3468,3999,4576,4698,4981
2020-12-05,3263,3447,3542,4072,4643,4763,5042
2020-12-06,2643,2786,2861,3369,4088,4384,4914
2020-12-07,2498,2694,2810,3616,4506,4703,5104
2020-12-08,2479,2607,2675,3119,3625,3762,4218
2020-12-09,3060,3225,3314,3800,4335,4452,4722
2020-12-10,2759,2886,2963,3399,3890,3982,4212
2020-12-11,2554,2681,2756,3175,3647,3759,4000
2020-12-12,2506,2637,2715,3115,3571,3670,3891
2020-12-13,1896,2017,2077,2607,3518,3705,4083
2020-12-14,1745,1984,2092,2733,3501,3701,4054
2020-12-15,2140,2302,2370,2758,3185,3289,3509
2020-12-16,2507,2649,2724,3133,3593,3677,3849
2020-12-17,2276,2394,2452,2819,3237,3325,3493
2020-12-18,2171,2291,2359,2717,3112,3211,3410
2020-12-19,2257,2383,2441,2801,3206,3288,3492
2020-12-20,1750,1844,1893,2263,2867,3058,3420
2020-12-21,1660,1800,1894,2421,3039,3170,3490
2020-12-22,1963,2140,2209,2555,2933,3025,3223
2020-12-23,2048,2141,2194,2528,2890,2974,3143
2020-12-24,2102,2204,2259,2592,2950,3032,3200
2020-12-25,1929,2033,2091,2402,2757,2836,3022
2020-12-26,1926,2033,2089,2406,2756,2832,2996
2020-12-27,1458,1551,1605,2048,2779,2913,3202
2020-12-28,1305,1566,1655,2165,2771,2919,3205
2020-12-29,1685,1800,1854,2154,2492,2573,2751
2020-12-30,1710,1810,1854,2138,2465,2535,2689
2020-12-31,1555,1635,1684,1943,2233,2289,2417
2021-01-01,1484,1565,1606,1853,2130,2196,2346
2021-01-02,1133,1184,1218,1571,2147,2256,2488
2021-01-03,950,1004,1032,1345,1933,2060,2316
2021-01-04,713,785,834,1308,1848,1992,2278
2021-01-05,899,1121,1265,1559,1845,1906,2039
2021-01-06,1268,1344,1382,1604,1849,1899,2004
2021-01-07,1267,1334,1371,1581,1813,1863,1969
2021-01-08,1228,1302,1338,1542,1769,1819,1919
2021-01-09,1166,1227,1257,1454,1662,1709,1820
2021-01-10,868,918,949,1251,1704,1787,1974
2021-01-11,854,945,991,1302,1671,1757,1931
2021-01-12,713,764,786,983,1405,1530,1771
2021-01-13,935,1001,1030,1206,1423,1476,1565
2021-01-14,982,1035,1062,1235,1434,1477,1568
2021-01-15,981,1046,1080,1258,1449,1488,1579
2021-01-16,972,1034,1066,1233,1416,1456,1547
2021-01-17,743,788,812,991,1318,1405,1566
2021-01-18,645,767,810,1061,1365,1426,1570
2021-01-19,838,964,1005,1182,1369,1412,1494
2021-01-20,913,967,992,1146,1318,1354,1444
2021-01-21,928,978,1003,1155,1326,1363,1432
2021-01-22,910,964,990,1143,1309,1345,1430
2021-01-23,799,840,868,1010,1174,1222,1339
2021-01-24,646,755,814,1062,1325,1384,1503
2021-01-25,685,757,798,1045,1325,1388,1518
2021-01-26,712,764,787,925,1085,1130,1272
2021-01-27,725,764,787,915,1055,1085,1146
2021-01-28,637,675,696,810,932,959,1015
2021-01-29,670,711,731,848,974,1001,1068
2021-01-30,593,627,644,748,865,892,963
2021-01-31,444,467,486,636,878,925,1013
2021-02-01,353,445,479,654,857,901,995
2021-02-02,474,571,633,776,905,930,978
2021-02-03,602,638,656,762,881,904,955
2021-02-04,522,552,567,660,764,787,836
2021-02-05,558,590,608,704,807,829,879
2021-02-06,495,522,536,624,723,745,804
2021-02-07,367,393,409,540,747,787,862
2021-02-08,325,391,417,562,737,778,860
2021-02-09,414,445,458,540,631,650,704
2021-02-10,437,459,473,551,640,661,697
2021-02-11,387,408,420,490,567,584,620
2021-02-12,389,414,426,495,572,588,623
2021-02-13,375,400,412,479,552,571,603
2021-02-14,298,317,328,390,471,506,576
2021-02-15,277,302,314,408,515,539,593
2021-02-16,318,366,380,448,520,537,565
2021-02-17,376,398,411,475,547,560,596
2021-02-18,370,391,402,465,535,549,582
2021-02-19,355,377,387,451,521,537,570
2021-02-20,350,374,385,447,518,533,570
2021-02-21,262,308,336,441,554,580,627
2021-02-22,285,318,335,439,558,583,642
2021-02-23,345,369,381,446,520,536,570
2021-02-24,341,357,368,430,496,509,541
2021-02-25,321,338,349,406,469,483,511
2021-02-26,354,383,395,459,529,543,573
2021-02-27,337,357,367,428,495,509,543
2021-02-28,245,265,277,398,532,558,606
2021-03-01,259,289,308,415,536,563,615
2021-03-02,306,328,339,402,472,490,527
2021-03-03,424,448,461,532,613,632,666
2021-03-04,336,356,366,427,496,510,542
2021-03-05,344,365,375,439,509,524,560
2021-03-06,336,356,367,428,496,511,550
2021-03-07,254,273,282,405,541,566,617
2021-03-08,256,289,307,420,548,573,629
2021-03-09,329,392,410,486,566,584,616
2021-03-10,364,384,395,462,537,552,586
2021-03-11,372,392,403,471,543,560,591
2021-03-12,354,375,387,451,524,540,577
2021-03-13,363,386,397,461,534,549,585
2021-03-14,285,302,310,389,525,559,620
2021-03-15,282,309,325,427,547,578,635
2021-03-16,336,397,416,493,575,593,630
2021-03-17,368,390,402,469,543,560,592
2021-03-18,384,406,418,485,559,576,606
2021-03-19,363,384,396,462,534,550,590
2021-03-20,362,384,394,458,530,547,584
2021-03-21,264,289,307,448,577,603,658
2021-03-22,282,316,336,453,583,611,669
2021-03-23,361,432,453,534,620,639,670
2021-03-24,362,385,396,464,540,555,588
2021-03-25,401,425,437,506,583,600,634
