Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,1,1,1,1,3,3,4
2020-03-09,0,0,0,0,0,0,0
2020-03-10,1,1,1,2,3,3,4
2020-03-11,0,0,0,1,1,1,1
2020-03-12,0,0,0,0,0,0,0
2020-03-13,1,1,1,2,3,4,5
2020-03-14,1,1,1,3,5,5,6
2020-03-15,1,2,2,4,6,7,8
2020-03-16,0,0,0,0,1,2,3
2020-03-17,1,2,2,4,6,7,8
2020-03-18,0,0,0,1,3,3,4
2020-03-19,2,2,3,5,8,9,11
2020-03-20,2,2,3,6,10,11,12
2020-03-21,2,3,3,7,11,12,14
2020-03-22,4,5,6,9,13,14,15
2020-03-23,5,6,7,11,15,16,18
2020-03-24,5,7,8,13,18,19,21
2020-03-25,7,9,10,17,23,24,26
2020-03-26,8,11,13,20,27,28,31
2020-03-27,11,13,14,20,26,27,30
2020-03-28,14,18,19,26,33,35,38
2020-03-29,18,20,21,29,36,38,41
2020-03-30,20,23,25,32,41,43,46
2020-03-31,22,28,32,44,54,57,61
2020-04-01,28,34,38,55,68,70,75
2020-04-02,38,46,51,68,82,86,91
2020-04-03,53,61,63,78,92,96,102
2020-04-04,54,61,65,91,127,132,142
2020-04-05,78,85,89,107,126,131,140
2020-04-06,81,87,90,108,129,134,144
2020-04-07,79,85,88,107,128,133,150
2020-04-08,95,102,105,127,150,156,169
2020-04-09,97,104,107,129,156,163,181
2020-04-10,115,123,127,152,179,185,198
2020-04-11,105,113,117,143,174,184,212
2020-04-12,96,101,106,141,199,211,235
2020-04-13,104,116,123,166,219,231,259
2020-04-14,137,161,171,207,246,254,274
2020-04-15,105,114,118,143,173,180,204
2020-04-16,94,101,105,127,152,157,168
2020-04-17,93,100,103,125,151,160,184
2020-04-18,91,98,101,122,146,151,166
2020-04-19,78,84,87,106,128,135,153
2020-04-20,64,69,72,90,112,119,135
