Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0
2020-03-20,1,1,1,2,3,4,5
2020-03-21,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0
2020-03-23,1,1,2,3,5,6,7
2020-03-24,1,1,1,3,4,5,5
2020-03-25,1,1,1,2,3,3,4
2020-03-26,1,1,1,2,4,5,5
2020-03-27,1,1,1,2,4,4,5
2020-03-28,0,0,0,0,2,3,4
2020-03-29,2,2,2,5,8,9,11
2020-03-30,1,1,2,3,6,6,8
2020-03-31,2,3,4,8,12,13,14
2020-04-01,0,0,0,2,7,8,10
2020-04-02,1,1,1,3,6,7,9
2020-04-03,3,4,5,8,12,13,14
2020-04-04,0,0,0,3,7,9,11
2020-04-05,1,1,1,3,7,7,10
2020-04-06,3,4,4,8,11,12,14
2020-04-07,2,3,3,6,10,11,12
2020-04-08,2,3,3,6,9,10,12
2020-04-09,0,0,0,3,9,10,13
2020-04-10,0,0,0,3,8,9,12
2020-04-11,3,4,4,7,11,12,14
2020-04-12,1,2,2,5,8,9,10
2020-04-13,0,0,0,2,6,7,10
2020-04-14,1,1,1,3,6,7,9
2020-04-15,1,1,1,3,6,6,8
2020-04-16,1,1,1,2,5,5,7
2020-04-17,2,2,2,5,7,8,10
2020-04-18,1,1,1,3,6,7,8
2020-04-19,1,1,1,2,5,5,7
2020-04-20,0,0,0,1,4,4,7
