Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,1,1,1,1,3,3,4
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,1,1,1,1,3,3,4
2020-03-07,0,0,0,0,0,0,0
2020-03-08,1,1,1,1,3,3,4
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,1,1,1,1,3,3,4
2020-03-12,1,1,1,2,4,4,5
2020-03-13,1,2,2,3,5,6,7
2020-03-14,1,2,2,3,5,6,8
2020-03-15,1,2,2,4,7,8,9
2020-03-16,3,3,3,6,8,9,11
2020-03-17,3,4,4,7,10,11,12
2020-03-18,3,4,5,10,16,17,19
2020-03-19,5,6,7,11,15,16,18
2020-03-20,5,7,7,12,17,18,21
2020-03-21,6,7,8,13,24,27,30
2020-03-22,9,10,11,17,24,26,28
2020-03-23,22,24,25,32,38,40,43
2020-03-24,20,22,23,29,36,38,41
2020-03-25,21,22,33,44,53,55,58
2020-03-26,20,24,25,35,46,49,53
2020-03-27,24,28,29,41,53,56,61
2020-03-28,27,31,33,46,60,62,68
2020-03-29,42,42,42,71,98,102,112
2020-03-30,64,68,70,84,99,102,108
2020-03-31,78,82,85,101,118,121,128
2020-04-01,74,83,89,123,151,155,163
2020-04-02,97,105,108,129,151,155,165
2020-04-03,122,134,138,162,188,193,204
2020-04-04,145,156,161,188,217,223,237
2020-04-05,168,188,195,228,262,269,283
2020-04-06,199,221,230,269,308,316,332
2020-04-07,243,264,274,318,363,372,391
2020-04-08,289,312,322,371,423,435,456
2020-04-09,251,267,275,346,458,482,522
2020-04-10,330,350,361,419,486,500,532
2020-04-11,334,351,360,420,492,511,559
2020-04-12,374,395,405,471,545,562,600
2020-04-13,338,355,365,458,612,648,714
2020-04-14,342,363,376,452,567,613,704
2020-04-15,374,396,408,478,558,576,625
2020-04-16,376,396,408,477,556,577,615
2020-04-17,427,463,477,557,643,662,700
2020-04-18,466,500,517,600,690,709,747
2020-04-19,487,568,596,697,798,820,861
2020-04-20,449,476,490,576,682,720,816
2020-04-21,548,586,604,699,801,822,870
2020-04-22,511,566,600,839,1015,1043,1093
2020-04-23,580,695,758,962,1115,1148,1198
2020-04-24,724,848,917,1099,1264,1296,1365
2020-04-25,807,849,874,1012,1161,1194,1271
2020-04-26,738,782,802,939,1105,1158,1317
2020-04-27,731,772,794,925,1075,1112,1227
2020-04-28,819,938,976,1137,1304,1337,1409
2020-04-29,847,898,921,1060,1218,1252,1328
2020-04-30,866,991,1070,1276,1468,1505,1577
2020-05-01,971,1119,1179,1379,1576,1614,1692
2020-05-02,1067,1134,1165,1337,1522,1564,1662
2020-05-03,1107,1167,1199,1377,1570,1613,1705
2020-05-04,1138,1205,1238,1421,1619,1666,1758
2020-05-05,985,1042,1072,1241,1444,1502,1683
2020-05-06,1168,1258,1300,1503,1721,1763,1861
2020-05-07,1103,1246,1335,1717,1999,2057,2146
2020-05-08,1332,1497,1548,1787,2043,2096,2203
2020-05-09,1473,1573,1624,1867,2134,2195,2309
2020-05-10,1348,1415,1451,1678,1934,2000,2157
2020-05-11,1183,1249,1285,1514,1855,1997,2248
2020-05-12,1412,1570,1623,1878,2154,2214,2344
2020-05-13,1455,1551,1597,1836,2113,2162,2270
2020-05-14,1453,1701,1824,2170,2504,2577,2716
2020-05-15,1711,1906,1976,2286,2613,2683,2845
2020-05-16,1733,1829,1878,2158,2473,2545,2696
2020-05-17,1730,1823,1872,2145,2457,2528,2653
2020-05-18,1883,1999,2052,2352,2684,2748,2900
2020-05-19,2001,2168,2235,2567,2920,3009,3161
2020-05-20,1902,1995,2049,2351,2689,2779,2944
2020-05-21,2128,2336,2409,2767,3159,3237,3402
2020-05-22,2278,2422,2486,2849,3232,3340,3499
2020-05-23,2442,2646,2730,3133,3556,3645,3837
2020-05-24,2329,2456,2519,2895,3309,3401,3631
2020-05-25,2179,2300,2365,2729,3157,3281,3613
2020-05-26,2536,2773,2857,3287,3738,3833,4016
2020-05-27,2700,2862,2940,3369,3840,3941,4147
2020-05-28,2735,2881,2954,3386,3856,3961,4193
2020-05-29,2686,2830,2898,3330,3815,3924,4143
2020-05-30,2523,2646,2711,3130,3616,3727,4026
2020-05-31,2611,2756,2824,3243,3712,3820,4053
2020-06-01,2391,2515,2584,2991,3440,3558,3857
2020-06-02,2665,2992,3104,3591,4095,4223,4439
2020-06-03,2866,3130,3222,3702,4222,4328,4542
