Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,1,1,1,2,3,3,4
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,1,1,1,1,1
2020-03-10,1,1,1,2,4,4,5
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,1,1,2,3,5,5,6
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,1,1,1,2,4,4,5
2020-03-17,1,1,2,3,5,6,7
2020-03-18,1,1,2,4,6,7,8
2020-03-19,2,2,2,4,8,8,10
2020-03-20,2,2,3,5,9,10,12
2020-03-21,2,3,3,6,11,12,14
2020-03-22,3,4,4,8,12,13,16
2020-03-23,4,5,6,11,17,18,19
2020-03-24,5,6,7,10,14,15,17
2020-03-25,9,12,13,19,24,25,27
2020-03-26,8,11,12,18,24,25,27
2020-03-27,10,11,12,17,23,24,27
2020-03-28,12,14,15,20,27,28,31
2020-03-29,11,13,14,20,26,28,31
2020-03-30,15,17,18,25,32,33,36
2020-03-31,16,21,23,34,43,45,48
2020-04-01,17,19,21,28,36,38,43
2020-04-02,20,23,24,32,41,42,47
2020-04-03,27,31,33,42,52,54,58
2020-04-04,32,36,38,48,59,61,66
2020-04-05,35,44,47,61,75,77,83
2020-04-06,28,36,40,58,78,83,92
2020-04-07,27,31,33,56,84,90,100
2020-04-08,21,24,25,65,97,103,115
2020-04-09,30,34,36,51,68,71,78
2020-04-10,32,36,38,50,65,68,75
2020-04-11,33,37,39,50,63,67,73
2020-04-12,39,46,49,63,78,80,87
2020-04-13,24,28,29,49,77,82,95
2020-04-14,36,40,43,55,69,73,80
2020-04-15,42,47,50,63,77,81,86
2020-04-16,40,50,57,86,105,109,117
2020-04-17,30,34,36,57,92,98,109
2020-04-18,37,41,43,56,72,77,91
2020-04-19,28,31,33,43,56,60,74
2020-04-20,16,18,20,36,59,64,75
