Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.97,0.98,0.98,1,1.02,1.02,1.03
2020-03-03,0.95,0.96,0.97,1,1.03,1.04,1.05
2020-03-04,0.93,0.95,0.96,1,1.04,1.05,1.07
2020-03-05,0.92,0.94,0.95,1.02,1.05,1.06,1.09
2020-03-06,0.89,0.92,0.94,1.02,1.06,1.08,1.11
2020-03-07,0.86,0.9,0.93,1.02,1.08,1.09,1.14
2020-03-08,0.84,0.89,0.91,1.03,1.1,1.11,1.16
2020-03-09,0.81,0.87,0.9,1.03,1.12,1.13,1.19
2020-03-10,0.78,0.85,0.88,1.03,1.14,1.16,1.21
2020-03-11,0.75,0.83,0.87,1.04,1.16,1.18,1.24
2020-03-12,0.73,0.81,0.86,1.04,1.18,1.21,1.27
2020-03-13,0.7,0.79,0.84,1.04,1.2,1.23,1.3
2020-03-14,0.68,0.77,0.82,1.04,1.23,1.26,1.33
2020-03-15,0.65,0.75,0.81,1.05,1.25,1.29,1.36
2020-03-16,0.62,0.73,0.79,1.05,1.27,1.31,1.39
2020-03-17,0.59,0.71,0.77,1.05,1.29,1.33,1.42
2020-03-18,0.57,0.69,0.76,1.05,1.31,1.36,1.45
2020-03-19,0.55,0.67,0.74,1.05,1.33,1.38,1.48
2020-03-20,0.52,0.66,0.73,1.05,1.35,1.41,1.5
2020-03-21,0.5,0.64,0.71,1.06,1.37,1.43,1.53
2020-03-22,0.48,0.62,0.7,1.06,1.39,1.45,1.56
2020-03-23,0.45,0.61,0.68,1.06,1.4,1.47,1.59
2020-03-24,0.43,0.6,0.67,1.06,1.42,1.48,1.61
2020-03-25,0.41,0.58,0.67,1.06,1.44,1.5,1.63
2020-03-26,0.37,0.56,0.65,1.06,1.46,1.53,1.66
2020-03-27,0.35,0.54,0.63,1.06,1.47,1.54,1.67
2020-03-28,0.32,0.53,0.62,1.06,1.49,1.56,1.71
2020-03-29,0.3,0.5,0.59,1.03,1.46,1.54,1.73
2020-03-30,0.33,0.55,0.63,1.11,1.57,1.66,1.84
2020-03-31,0.36,0.58,0.66,1.16,1.62,1.76,1.87
2020-04-01,0.4,0.62,0.72,1.22,1.66,1.86,1.91
2020-04-02,0.56,0.77,0.88,1.32,1.84,1.91,1.95
2020-04-03,0.62,0.83,0.92,1.35,1.86,1.92,1.97
2020-04-04,0.65,0.83,0.91,1.32,1.77,1.92,1.98
2020-04-05,0.74,0.88,0.96,1.35,1.79,1.92,2
2020-04-06,0.73,0.86,0.93,1.32,1.71,1.86,1.98
2020-04-07,0.85,0.99,1.06,1.43,1.89,1.94,2.02
2020-04-08,0.85,0.97,1.04,1.4,1.82,1.92,2
2020-04-09,0.99,1.12,1.18,1.55,1.95,2,2.08
2020-04-10,1.11,1.23,1.3,1.65,2,2.03,2.09
2020-04-11,0.99,1.11,1.17,1.55,1.94,2,2.08
2020-04-12,1.15,1.28,1.34,1.71,2.02,2.06,2.12
2020-04-13,1.27,1.39,1.45,1.78,2.04,2.07,2.14
2020-04-14,1.35,1.47,1.53,1.82,2.04,2.09,2.17
2020-04-15,1.2,1.34,1.41,1.74,2.01,2.04,2.13
2020-04-16,1.3,1.41,1.47,1.77,2.01,2.06,2.15
2020-04-17,1.17,1.29,1.36,1.67,1.96,2.01,2.12
2020-04-18,1.26,1.39,1.46,1.78,2.05,2.12,2.21
2020-04-19,1.06,1.14,1.23,1.56,1.88,1.94,2.07
2020-04-20,1.05,1.19,1.25,1.54,1.84,1.89,2.04
2020-04-21,0.98,1.06,1.12,1.41,1.7,1.76,1.86
2020-04-22,1.06,1.16,1.22,1.49,1.77,1.82,1.94
2020-04-23,0.99,1.06,1.12,1.4,1.67,1.73,1.82
2020-04-24,0.9,0.99,1.03,1.3,1.57,1.63,1.76
2020-04-25,0.96,1.06,1.12,1.4,1.69,1.75,1.85
2020-04-26,0.88,0.98,1.04,1.3,1.58,1.63,1.75
2020-04-27,0.82,0.9,0.96,1.22,1.48,1.53,1.65
2020-04-28,0.74,0.82,0.86,1.11,1.37,1.42,1.52
2020-04-29,0.74,0.83,0.87,1.15,1.47,1.53,1.67
2020-04-30,0.56,0.66,0.7,0.97,1.29,1.35,1.48
2020-05-01,0.58,0.65,0.69,0.92,1.19,1.25,1.36
2020-05-02,0.71,0.79,0.83,1.07,1.32,1.37,1.46
2020-05-03,0.67,0.74,0.78,1,1.24,1.29,1.38
2020-05-04,0.62,0.69,0.73,0.94,1.17,1.2,1.3
2020-05-05,0.67,0.74,0.77,0.99,1.2,1.25,1.35
2020-05-06,0.63,0.7,0.74,0.95,1.16,1.2,1.29
2020-05-07,0.6,0.67,0.71,0.91,1.12,1.16,1.23
2020-05-08,0.57,0.64,0.68,0.87,1.08,1.12,1.19
2020-05-09,0.58,0.65,0.69,0.89,1.09,1.13,1.2
2020-05-10,0.52,0.59,0.62,0.81,1.02,1.06,1.15
2020-05-11,0.44,0.51,0.54,0.72,0.93,0.98,1.07
2020-05-12,0.46,0.51,0.54,0.73,0.94,0.99,1.08
2020-05-13,0.49,0.56,0.6,0.81,1.02,1.08,1.14
2020-05-14,0.54,0.61,0.65,0.85,1.06,1.1,1.17
2020-05-15,0.6,0.67,0.71,0.91,1.11,1.15,1.21
2020-05-16,0.67,0.74,0.77,0.97,1.17,1.19,1.23
2020-05-17,0.7,0.77,0.8,0.99,1.19,1.21,1.25
2020-05-18,0.66,0.72,0.76,0.94,1.14,1.18,1.23
2020-05-19,0.69,0.76,0.79,0.98,1.18,1.21,1.27
2020-05-20,0.74,0.8,0.83,1.03,1.22,1.25,1.32
2020-05-21,0.7,0.76,0.8,0.99,1.18,1.22,1.29
2020-05-22,0.69,0.77,0.8,0.99,1.18,1.22,1.28
2020-05-23,0.75,0.83,0.87,1.08,1.28,1.31,1.42
2020-05-24,0.69,0.77,0.8,1.02,1.22,1.26,1.33
2020-05-25,0.75,0.82,0.86,1.06,1.25,1.29,1.35
2020-05-26,0.73,0.78,0.82,1.02,1.22,1.25,1.33
2020-05-27,0.79,0.87,0.9,1.1,1.3,1.33,1.38
2020-05-28,0.82,0.89,0.92,1.13,1.34,1.37,1.43
2020-05-29,0.86,0.92,0.96,1.15,1.36,1.39,1.45
2020-05-30,0.83,0.9,0.93,1.12,1.33,1.37,1.44
2020-05-31,0.76,0.82,0.85,1.04,1.23,1.27,1.35
2020-06-01,0.8,0.88,0.92,1.13,1.34,1.38,1.46
