Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,1,3,3,3
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0
2020-03-25,1,1,1,2,3,3,4
2020-03-26,1,1,1,2,3,3,4
2020-03-27,1,1,2,3,5,5,6
2020-03-28,1,1,1,3,5,5,6
2020-03-29,0,0,0,0,0,0,0
2020-03-30,1,1,2,3,5,6,7
2020-03-31,1,1,1,2,4,5,6
2020-04-01,1,1,1,3,5,5,6
2020-04-02,1,2,2,4,6,7,8
2020-04-03,1,1,1,3,5,6,7
2020-04-04,1,1,1,3,5,6,7
2020-04-05,1,1,2,4,6,7,8
2020-04-06,1,1,1,3,5,6,8
2020-04-07,2,3,3,6,10,10,12
2020-04-08,1,1,2,4,7,8,9
2020-04-09,3,4,5,9,14,14,17
2020-04-10,4,5,6,10,15,16,18
2020-04-11,0,0,1,6,13,14,18
2020-04-12,5,7,8,14,19,21,23
2020-04-13,8,10,11,16,21,23,25
2020-04-14,11,12,13,19,25,26,29
2020-04-15,4,5,6,14,25,27,32
2020-04-16,11,14,15,21,29,30,33
2020-04-17,4,7,9,18,28,31,35
2020-04-18,11,14,16,30,43,45,49
2020-04-19,6,7,8,15,27,30,37
2020-04-20,13,14,15,22,29,31,34
