Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,1,1,1,2,3,4,5
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,1,1,1,2,3,3,4
2020-03-11,1,1,1,1,3,3,4
2020-03-12,0,0,0,0,0,0,0
2020-03-13,1,1,1,3,5,5,6
2020-03-14,1,1,1,3,5,5,6
2020-03-15,1,1,1,2,4,4,5
2020-03-16,1,2,2,4,6,7,8
2020-03-17,1,2,2,4,7,8,9
2020-03-18,0,0,0,1,3,4,5
2020-03-19,2,2,3,6,10,11,13
2020-03-20,2,3,4,7,11,11,13
2020-03-21,3,4,4,7,11,12,13
2020-03-22,4,6,7,12,17,18,20
2020-03-23,5,8,9,13,19,20,22
2020-03-24,2,3,3,8,16,18,21
2020-03-25,8,10,11,16,22,23,26
2020-03-26,3,4,5,9,16,19,23
2020-03-27,3,4,5,9,15,18,22
2020-03-28,5,6,7,11,17,18,21
2020-03-29,2,2,3,8,17,19,23
2020-03-30,3,4,4,8,13,15,20
2020-03-31,6,7,8,12,17,18,20
2020-04-01,7,10,10,16,22,23,26
2020-04-02,4,6,6,11,16,17,21
2020-04-03,4,4,5,9,15,17,22
2020-04-04,6,7,7,12,17,18,21
2020-04-05,6,8,9,13,19,20,22
2020-04-06,7,8,9,14,19,20,23
2020-04-07,8,10,10,17,26,28,36
2020-04-08,4,5,6,11,18,21,26
2020-04-09,9,12,14,26,35,37,41
2020-04-10,8,9,10,16,22,23,26
2020-04-11,11,13,14,20,26,28,31
2020-04-12,6,7,8,14,23,26,33
2020-04-13,4,5,6,12,22,25,31
2020-04-14,5,6,7,11,17,19,24
2020-04-15,3,4,5,9,14,16,20
2020-04-16,6,7,8,12,17,18,21
2020-04-17,5,6,7,11,15,16,19
2020-04-18,2,3,3,7,12,13,18
2020-04-19,1,1,1,5,11,13,17
2020-04-20,2,2,2,5,9,10,12
