Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,2,2,2,2
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,1,1,1,1
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,1,1,1,2,3,3,4
2020-03-18,0,0,0,0,0,0,0
2020-03-19,1,1,1,1,3,3,4
2020-03-20,1,1,2,3,6,6,7
2020-03-21,0,0,0,0,0,0,0
2020-03-22,1,1,2,3,5,6,6
2020-03-23,1,1,2,3,5,5,6
2020-03-24,2,2,2,4,7,7,9
2020-03-25,1,1,2,4,6,6,8
2020-03-26,2,3,4,8,12,13,15
2020-03-27,4,5,6,9,12,13,15
2020-03-28,1,1,2,4,8,9,12
2020-03-29,1,1,1,4,9,10,13
2020-03-30,2,3,3,6,10,11,13
2020-03-31,4,6,7,12,17,18,20
2020-04-01,6,7,8,12,17,18,20
2020-04-02,7,10,11,16,22,23,26
2020-04-03,9,12,13,22,29,30,33
2020-04-04,13,16,17,24,30,32,35
2020-04-05,9,11,12,18,26,29,34
2020-04-06,12,14,15,22,29,30,35
2020-04-07,7,9,10,19,34,36,42
2020-04-08,6,8,9,19,34,37,42
2020-04-09,5,6,7,19,35,38,45
2020-04-10,4,5,6,16,30,33,39
2020-04-11,5,7,7,12,19,22,28
2020-04-12,6,7,7,12,17,18,21
2020-04-13,2,3,3,9,17,19,23
2020-04-14,5,6,7,11,16,17,19
2020-04-15,3,4,4,8,13,14,17
2020-04-16,6,8,9,13,18,19,21
2020-04-17,0,1,2,8,16,17,20
2020-04-18,2,3,3,7,11,13,17
2020-04-19,1,1,1,4,8,10,14
2020-04-20,1,2,2,5,8,9,10
2020-04-21,1,1,1,2,5,6,9
2020-04-22,1,1,1,2,5,6,7
2020-04-23,1,1,1,2,4,4,6
2020-04-24,1,1,1,2,5,5,6
2020-04-25,1,1,1,2,3,4,5
2020-04-26,1,1,1,2,3,3,5
2020-04-27,0,0,0,0,1,1,3
2020-04-28,0,0,0,0,0,0,1
2020-04-29,1,1,1,1,3,3,4
2020-04-30,0,0,0,0,0,0,2
2020-05-01,0,0,0,0,0,0,0
2020-05-02,0,0,0,0,0,0,0
2020-05-03,0,0,0,0,0,0,0
2020-05-04,1,1,1,1,3,3,4
2020-05-05,1,1,1,1,3,3,4
2020-05-06,0,0,0,0,0,0,0
2020-05-07,0,0,0,0,0,0,0
2020-05-08,0,0,0,0,0,0,0
2020-05-09,0,0,0,0,0,0,0
2020-05-10,0,0,0,0,0,0,0
2020-05-11,0,0,0,0,0,0,0
2020-05-12,0,0,0,0,0,0,0
2020-05-13,0,0,0,0,0,0,0
2020-05-14,0,0,0,0,0,0,0
2020-05-15,0,0,0,0,0,0,0
2020-05-16,0,0,0,0,0,0,0
2020-05-17,0,0,0,0,0,0,0
2020-05-18,0,0,0,0,0,0,0
2020-05-19,0,0,0,0,0,0,0
2020-05-20,0,0,0,0,0,0,0
2020-05-21,0,0,0,0,0,0,0
2020-05-22,0,0,0,2,2,2,2
2020-05-23,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0,0
2020-05-27,0,0,0,0,0,0,0
2020-05-28,0,0,0,0,0,0,0
2020-05-29,0,0,0,0,0,0,0
2020-05-30,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,0
2020-06-02,0,0,0,0,0,0,0
2020-06-03,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0
2020-06-05,0,0,0,0,0,0,0
2020-06-06,0,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,0,0
2020-06-09,0,0,0,0,0,0,0
2020-06-10,0,0,0,0,0,0,0
2020-06-11,0,0,0,0,0,0,0
2020-06-12,0,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,0,0
2020-06-14,1,1,1,1,3,3,4
2020-06-15,1,1,1,1,3,3,4
2020-06-16,0,0,0,0,0,0,0
2020-06-17,1,1,1,3,5,5,6
2020-06-18,1,1,1,2,4,4,5
2020-06-19,2,2,2,4,7,8,10
2020-06-20,1,1,1,3,5,6,7
2020-06-21,1,1,1,3,5,6,8
2020-06-22,2,2,2,4,7,8,9
2020-06-23,2,4,4,8,12,12,14
2020-06-24,3,5,5,9,13,14,17
2020-06-25,5,6,7,15,22,23,26
2020-06-26,8,11,13,20,26,27,30
2020-06-27,13,17,18,25,32,33,37
2020-06-28,9,11,12,18,28,31,36
2020-06-29,13,15,16,23,31,33,37
2020-06-30,19,25,28,38,48,50,54
2020-07-01,20,23,24,32,41,44,49
2020-07-02,27,30,31,41,51,53,58
2020-07-03,31,35,37,47,58,61,66
2020-07-04,38,42,44,55,67,70,76
2020-07-05,43,47,49,61,74,77,83
2020-07-06,45,49,51,63,78,81,88
2020-07-07,49,54,56,69,84,88,96
2020-07-08,43,48,50,64,81,87,102
2020-07-09,47,51,53,67,82,87,98
2020-07-10,41,48,51,73,97,103,115
2020-07-11,48,56,60,97,135,140,151
2020-07-12,45,49,52,66,85,90,106
2020-07-13,48,53,55,69,84,88,95
2020-07-14,41,54,57,81,109,114,127
2020-07-15,40,47,51,77,108,114,128
2020-07-16,34,42,45,72,104,111,126
2020-07-17,338,339,339,382,388,388,388
2020-07-18,110,118,122,146,172,178,188
2020-07-19,118,125,130,155,182,188,201
2020-07-20,142,156,163,204,248,257,274
2020-07-21,158,168,173,202,233,241,256
2020-07-22,108,118,123,190,252,261,288
2020-07-23,100,109,114,137,163,169,180
2020-07-24,96,104,108,145,199,209,229
2020-07-25,81,88,91,129,183,193,214
2020-07-26,62,70,76,122,172,183,206
2020-07-27,70,76,79,97,119,125,139
2020-07-28,45,49,52,65,79,83,90
2020-07-29,44,49,51,63,77,81,87
2020-07-30,19,24,26,43,62,66,77
2020-07-31,19,24,28,47,61,63,69
2020-08-01,16,19,21,33,48,54,76
2020-08-02,33,37,39,52,68,72,77
2020-08-03,27,30,32,43,55,57,62
2020-08-04,30,38,41,51,62,64,68
2020-08-05,27,33,34,44,54,56,60
2020-08-06,21,24,26,43,59,61,67
2020-08-07,18,22,24,41,59,61,67
2020-08-08,22,26,27,36,46,48,52
2020-08-09,19,22,23,31,40,41,46
2020-08-10,18,21,23,36,56,60,66
2020-08-11,20,24,28,42,54,56,60
2020-08-12,22,29,34,50,62,64,68
2020-08-13,28,32,33,43,53,56,60
2020-08-14,26,32,35,55,70,72,78
2020-08-15,23,26,27,37,49,54,63
2020-08-16,31,37,42,60,74,77,82
2020-08-17,34,38,40,51,63,65,71
2020-08-18,33,37,39,50,62,64,70
2020-08-19,31,35,36,47,59,62,69
2020-08-20,37,41,43,54,67,69,75
2020-08-21,35,38,40,51,63,66,73
2020-08-22,29,32,33,44,57,62,74
2020-08-23,25,28,29,40,57,62,72
2020-08-24,27,29,31,40,52,56,64
2020-08-25,32,40,44,57,70,73,78
2020-08-26,36,40,42,54,66,69,75
2020-08-27,39,44,46,57,70,73,79
2020-08-28,36,42,46,74,96,100,110
2020-08-29,45,50,52,66,81,84,91
2020-08-30,47,50,53,66,81,85,93
2020-08-31,37,40,42,56,74,82,97
2020-09-01,51,58,61,76,93,97,105
2020-09-02,55,67,72,91,110,114,123
2020-09-03,58,69,75,116,145,150,159
2020-09-04,80,87,90,111,133,138,149
2020-09-05,100,110,115,137,162,168,178
2020-09-06,102,109,114,136,161,167,180
2020-09-07,92,99,102,126,156,168,194
2020-09-08,116,135,148,187,221,228,242
2020-09-09,150,166,172,205,241,248,261
2020-09-10,119,128,133,170,233,249,276
2020-09-11,136,145,150,180,216,227,256
2020-09-12,125,135,140,169,206,222,260
2020-09-13,143,153,158,188,222,230,246
2020-09-14,148,158,163,194,227,234,252
2020-09-15,135,145,150,180,214,223,250
2020-09-16,165,180,186,219,256,264,279
2020-09-17,165,177,182,215,251,259,276
2020-09-18,166,177,183,216,251,259,275
2020-09-19,156,167,171,204,241,250,272
2020-09-20,155,172,180,234,292,305,332
2020-09-21,176,189,196,232,272,282,300
2020-09-22,216,229,236,275,318,327,346
2020-09-23,221,233,240,281,327,336,352
2020-09-24,221,236,245,286,332,341,364
2020-09-25,205,218,224,264,310,321,349
2020-09-26,198,210,217,256,300,311,342
2020-09-27,156,188,204,271,343,357,390
2020-09-28,128,148,161,259,344,360,392
2020-09-29,118,125,131,196,317,340,381
2020-09-30,137,153,159,196,240,250,270
2020-10-01,142,166,172,208,249,257,273
2020-10-02,122,137,145,191,244,254,285
2020-10-03,129,155,171,217,257,266,280
2020-10-04,147,157,163,193,226,232,248
2020-10-05,168,178,183,215,249,257,272
2020-10-06,157,174,180,212,247,255,270
2020-10-07,157,168,174,205,239,245,261
2020-10-08,157,168,174,205,239,247,263
2020-10-09,134,149,157,222,300,311,332
2020-10-10,151,175,196,254,300,309,327
2020-10-11,176,189,196,232,272,281,298
2020-10-12,150,162,167,201,240,251,287
2020-10-13,167,179,185,219,258,266,281
2020-10-14,155,166,171,203,239,248,269
2020-10-15,162,173,179,211,248,256,272
2020-10-16,144,159,167,219,276,288,313
2020-10-17,127,135,139,172,216,234,272
2020-10-18,145,154,159,188,222,229,245
2020-10-19,120,128,132,159,188,194,207
