Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.97,0.98,0.98,1,1.02,1.02,1.03
2020-03-03,0.95,0.96,0.97,1,1.03,1.04,1.05
2020-03-04,0.93,0.95,0.95,1,1.05,1.05,1.07
2020-03-05,0.9,0.93,0.94,1,1.06,1.07,1.09
2020-03-06,0.88,0.91,0.92,1,1.08,1.09,1.12
2020-03-07,0.85,0.89,0.91,1,1.1,1.11,1.15
2020-03-08,0.91,0.98,0.99,0.99,0.99,1.03,1.11
2020-03-09,0.89,0.98,0.98,1,1.01,1.03,1.12
2020-03-10,0.98,0.99,0.99,0.99,0.99,1,1.01
2020-03-11,0.96,0.98,0.98,0.99,1,1,1.03
2020-03-12,0.95,0.96,0.97,0.99,1.01,1.01,1.04
2020-03-13,0.93,0.94,0.95,0.98,1.02,1.02,1.06
2020-03-14,0.9,0.92,0.93,0.98,1.03,1.04,1.07
2020-03-15,0.87,0.9,0.91,0.98,1.04,1.05,1.09
2020-03-16,0.84,0.88,0.9,0.98,1.05,1.07,1.11
2020-03-17,0.81,0.86,0.88,0.97,1.07,1.09,1.13
2020-03-18,0.79,0.83,0.86,0.97,1.08,1.11,1.16
2020-03-19,0.75,0.8,0.83,0.97,1.1,1.12,1.18
2020-03-20,0.72,0.77,0.81,0.97,1.11,1.14,1.21
2020-03-21,0.69,0.75,0.79,0.97,1.13,1.17,1.24
2020-03-22,0.66,0.73,0.77,0.97,1.15,1.19,1.27
2020-03-23,0.62,0.71,0.75,0.97,1.17,1.21,1.29
2020-03-24,0.58,0.68,0.73,0.96,1.19,1.23,1.32
2020-03-25,0.55,0.66,0.71,0.96,1.21,1.25,1.36
2020-03-26,0.54,0.64,0.69,0.96,1.22,1.28,1.39
2020-03-27,0.5,0.61,0.67,0.96,1.24,1.3,1.42
2020-03-28,0.49,0.59,0.65,0.96,1.26,1.31,1.45
2020-03-29,0.46,0.57,0.63,0.96,1.27,1.33,1.47
2020-03-30,0.44,0.55,0.62,0.96,1.29,1.36,1.5
2020-03-31,0.41,0.53,0.6,0.96,1.31,1.37,1.53
2020-04-01,0.38,0.51,0.59,0.96,1.33,1.4,1.55
2020-04-02,0.35,0.49,0.57,0.97,1.34,1.41,1.58
2020-04-03,0.33,0.48,0.56,0.97,1.35,1.43,1.59
2020-04-04,0.31,0.46,0.55,0.97,1.37,1.45,1.61
2020-04-05,0.3,0.45,0.54,0.97,1.38,1.47,1.63
2020-04-06,0.28,0.44,0.53,0.97,1.4,1.48,1.65
2020-04-07,0.25,0.43,0.52,0.97,1.41,1.49,1.66
2020-04-08,0.24,0.41,0.51,0.97,1.42,1.51,1.69
2020-04-09,0.21,0.4,0.51,0.98,1.43,1.51,1.69
2020-04-10,0.2,0.4,0.5,0.98,1.44,1.52,1.71
2020-04-11,0.17,0.39,0.49,0.98,1.45,1.53,1.73
2020-04-12,0.16,0.39,0.48,0.98,1.46,1.54,1.74
2020-04-13,0.15,0.37,0.48,0.98,1.47,1.55,1.74
2020-04-14,0.15,0.37,0.47,0.98,1.48,1.57,1.76
2020-04-15,0.15,0.36,0.47,0.99,1.49,1.58,1.77
2020-04-16,0.14,0.36,0.46,0.99,1.49,1.58,1.78
2020-04-17,0.15,0.36,0.46,0.99,1.5,1.59,1.78
2020-04-18,0.16,0.35,0.46,0.99,1.51,1.6,1.78
2020-04-19,0.16,0.35,0.46,0.99,1.52,1.6,1.79
2020-04-20,0.17,0.35,0.46,1,1.53,1.61,1.78
2020-04-21,0.18,0.36,0.46,1,1.53,1.62,1.78
2020-04-22,0.19,0.36,0.46,1,1.53,1.62,1.79
2020-04-23,0.2,0.37,0.46,1,1.54,1.63,1.79
2020-04-24,0.2,0.37,0.46,1,1.54,1.63,1.8
2020-04-25,0.21,0.37,0.47,1,1.53,1.64,1.82
2020-04-26,0.21,0.38,0.47,1.01,1.53,1.64,1.83
2020-04-27,0.21,0.38,0.48,1.01,1.54,1.63,1.84
2020-04-28,0.2,0.38,0.48,1.01,1.54,1.64,1.84
2020-04-29,0.21,0.38,0.48,1.01,1.54,1.64,1.85
2020-04-30,0.19,0.38,0.48,1.01,1.55,1.64,1.85
2020-05-01,0.2,0.39,0.49,1.02,1.55,1.64,1.85
2020-05-02,0.68,0.74,0.74,0.74,0.74,0.79,1.36
2020-05-03,0.68,0.73,0.73,0.75,0.75,0.8,1.35
2020-05-04,0.69,0.72,0.72,0.75,0.76,0.8,1.35
2020-05-05,0.67,0.71,0.71,0.75,0.78,0.82,1.35
2020-05-06,0.66,0.69,0.7,0.76,0.8,0.84,1.36
2020-05-07,0.65,0.68,0.69,0.76,0.83,0.86,1.37
2020-05-08,0.67,0.72,0.75,0.76,0.78,0.81,0.86
2020-05-09,0.66,0.72,0.75,0.77,0.8,0.83,0.89
2020-05-10,0.65,0.71,0.75,0.77,0.81,0.85,0.92
2020-05-11,0.64,0.72,0.74,0.78,0.83,0.87,0.95
2020-05-12,0.63,0.71,0.73,0.79,0.85,0.89,0.96
2020-05-13,0.61,0.7,0.73,0.8,0.88,0.91,1.01
2020-05-14,0.61,0.69,0.72,0.81,0.91,0.94,1.04
2020-05-15,0.6,0.68,0.71,0.82,0.93,0.97,1.1
2020-05-16,0.6,0.68,0.71,0.85,0.98,1.05,1.81
2020-05-17,0.64,0.71,0.74,0.97,1.77,1.98,1.98
2020-05-18,0.71,0.78,0.82,1.51,2.02,2.03,2.03
2020-05-19,0.94,1.66,1.67,1.93,2.07,2.07,2.08
2020-05-20,1.59,1.62,1.63,1.97,2.1,2.11,2.13
2020-05-21,1.59,1.99,2.02,2.08,2.14,2.15,2.17
2020-05-22,1.97,2.01,2.02,2.1,2.18,2.19,2.22
2020-05-23,1.97,2,2.02,2.12,2.21,2.23,2.26
2020-05-24,1.93,1.98,2,2.12,2.23,2.25,2.29
2020-05-25,1.91,1.97,1.99,2.12,2.25,2.27,2.32
2020-05-26,1.8,1.93,1.96,2.1,2.26,2.29,2.34
2020-05-27,1.75,1.88,1.92,2.08,2.25,2.28,2.34
2020-05-28,1.84,1.9,1.93,2.11,2.29,2.32,2.39
2020-05-29,1.87,1.94,1.98,2.17,2.35,2.39,2.44
2020-05-30,1.85,1.92,1.96,2.16,2.36,2.4,2.46
2020-05-31,1.77,1.84,1.89,2.1,2.3,2.34,2.42
2020-06-01,1.69,1.77,1.82,2.03,2.25,2.29,2.36
