Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.97,0.98,0.98,1,1.02,1.02,1.03
2020-03-03,0.95,0.96,0.97,1,1.03,1.04,1.05
2020-03-04,0.93,0.95,0.96,1,1.04,1.05,1.07
2020-03-05,0.91,0.93,0.94,1,1.06,1.07,1.09
2020-03-06,0.88,0.91,0.92,1,1.08,1.09,1.12
2020-03-07,0.85,0.89,0.91,1,1.09,1.11,1.14
2020-03-08,0.82,0.87,0.89,1,1.11,1.13,1.17
2020-03-09,0.79,0.85,0.87,1,1.13,1.15,1.2
2020-03-10,0.76,0.82,0.85,1,1.15,1.17,1.23
2020-03-11,0.73,0.8,0.83,1,1.17,1.2,1.26
2020-03-12,0.7,0.78,0.81,1,1.19,1.22,1.29
2020-03-13,0.67,0.75,0.79,1,1.2,1.24,1.32
2020-03-14,0.64,0.73,0.77,1,1.22,1.27,1.35
2020-03-15,0.61,0.71,0.75,1,1.24,1.29,1.39
2020-03-16,0.57,0.68,0.73,1,1.26,1.32,1.41
2020-03-17,0.55,0.66,0.71,1,1.28,1.34,1.44
2020-03-18,0.51,0.64,0.7,1,1.3,1.36,1.47
2020-03-19,0.49,0.62,0.69,1,1.32,1.39,1.49
2020-03-20,0.46,0.6,0.66,1,1.33,1.4,1.52
2020-03-21,0.44,0.58,0.64,1,1.35,1.42,1.55
2020-03-22,0.42,0.56,0.63,1,1.37,1.44,1.58
2020-03-23,0.42,0.56,0.62,1.04,1.45,1.53,1.7
2020-03-24,0.48,0.62,0.72,1.21,1.72,1.73,1.83
2020-03-25,0.59,0.81,0.91,1.36,1.76,1.8,1.96
2020-03-26,0.78,0.97,1.06,1.47,1.81,1.87,1.98
2020-03-27,1.06,1.2,1.27,1.65,1.91,1.99,2.03
2020-03-28,1.18,1.31,1.37,1.74,1.98,2.01,2.06
2020-03-29,1.2,1.33,1.4,1.75,1.98,2.03,2.08
2020-03-30,1.14,1.28,1.35,1.72,1.97,2.01,2.08
2020-03-31,1.27,1.42,1.49,1.8,2.01,2.04,2.14
2020-04-01,1.37,1.51,1.56,1.84,2.04,2.08,2.17
2020-04-02,1.36,1.48,1.53,1.83,2.03,2.07,2.16
2020-04-03,1.39,1.5,1.55,1.83,2.04,2.08,2.18
2020-04-04,1.37,1.47,1.52,1.81,2.04,2.08,2.16
2020-04-05,1.29,1.39,1.44,1.74,2,2.05,2.13
2020-04-06,1.37,1.47,1.52,1.81,2.05,2.09,2.18
2020-04-07,1.32,1.42,1.47,1.75,2.01,2.05,2.14
2020-04-08,1.31,1.41,1.46,1.74,1.99,2.04,2.12
2020-04-09,1.19,1.32,1.38,1.68,1.96,2.01,2.12
2020-04-10,1.32,1.43,1.49,1.75,2.01,2.06,2.15
2020-04-11,1.05,1.21,1.27,1.59,1.89,1.96,2.05
2020-04-12,0.96,1.01,1.17,1.49,1.8,1.86,1.95
2020-04-13,0.87,0.89,0.89,1.3,1.73,1.8,1.92
2020-04-14,0.65,0.66,0.66,0.94,1.39,1.46,1.66
2020-04-15,0.54,0.55,0.56,0.77,0.97,1.01,1.16
2020-04-16,0.41,0.43,0.44,0.61,0.86,0.9,1.03
2020-04-17,0.29,0.31,0.33,0.42,0.68,0.72,0.82
2020-04-18,0.17,0.2,0.23,0.3,0.38,0.53,0.65
2020-04-19,0.1,0.11,0.13,0.22,0.31,0.34,0.57
2020-04-20,0.1,0.1,0.1,0.17,0.28,0.42,0.56
2020-04-21,0.1,0.1,0.1,0.13,0.22,0.3,0.45
2020-04-22,0.1,0.1,0.1,0.11,0.16,0.2,0.38
2020-04-23,0.1,0.1,0.1,0.11,0.14,0.17,0.35
2020-04-24,0.1,0.1,0.1,0.12,0.15,0.17,0.31
2020-04-25,0.1,0.1,0.1,0.13,0.17,0.19,0.27
2020-04-26,0.1,0.1,0.1,0.14,0.2,0.21,0.26
2020-04-27,0.1,0.1,0.1,0.15,0.22,0.24,0.28
2020-04-28,0.1,0.1,0.11,0.17,0.26,0.28,0.32
2020-04-29,0.1,0.11,0.12,0.2,0.3,0.32,0.36
2020-04-30,0.1,0.11,0.12,0.22,0.34,0.37,0.42
2020-05-01,0.15,0.23,0.25,0.25,0.25,0.27,0.37
2020-05-02,0.16,0.26,0.27,0.28,0.29,0.31,0.41
2020-05-03,0.18,0.28,0.29,0.31,0.33,0.35,0.46
2020-05-04,0.19,0.29,0.31,0.34,0.38,0.39,0.52
2020-05-05,0.22,0.31,0.33,0.38,0.43,0.45,0.58
2020-05-06,0.24,0.33,0.35,0.41,0.48,0.5,0.63
2020-05-07,0.26,0.35,0.37,0.45,0.54,0.56,0.69
2020-05-08,0.28,0.37,0.39,0.49,0.59,0.62,0.74
2020-05-09,0.3,0.38,0.41,0.53,0.65,0.68,0.8
2020-05-10,0.32,0.4,0.43,0.57,0.71,0.75,0.86
2020-05-11,0.34,0.42,0.46,0.62,0.78,0.81,0.92
2020-05-12,0.36,0.45,0.48,0.66,0.84,0.88,0.99
2020-05-13,0.38,0.47,0.51,0.7,0.9,0.94,1.06
2020-05-14,0.39,0.49,0.53,0.75,0.97,1.01,1.13
2020-05-15,0.41,0.51,0.56,0.79,1.03,1.08,1.2
2020-05-16,0.43,0.53,0.58,0.83,1.09,1.14,1.27
2020-05-17,0.45,0.55,0.61,0.88,1.16,1.21,1.34
2020-05-18,0.46,0.58,0.63,0.92,1.21,1.27,1.41
2020-05-19,0.48,0.6,0.66,0.96,1.27,1.34,1.48
2020-05-20,0.5,0.62,0.68,1.01,1.33,1.4,1.54
2020-05-21,0.52,0.65,0.71,1.05,1.39,1.46,1.6
2020-05-22,0.54,0.67,0.73,1.09,1.45,1.52,1.67
2020-05-23,0.55,0.69,0.76,1.13,1.5,1.58,1.73
2020-05-24,0.57,0.71,0.78,1.17,1.56,1.64,1.79
2020-05-25,0.59,0.72,0.8,1.2,1.6,1.69,1.84
2020-05-26,0.6,0.75,0.82,1.24,1.65,1.74,1.9
2020-05-27,0.61,0.76,0.84,1.27,1.7,1.79,1.95
2020-05-28,0.62,0.78,0.86,1.3,1.75,1.84,2
2020-05-29,0.63,0.8,0.88,1.33,1.79,1.88,2.05
2020-05-30,0.6,0.82,0.9,1.36,1.83,1.92,2.1
2020-05-31,0.6,0.82,0.91,1.38,1.87,1.96,2.15
2020-06-01,0.6,0.83,0.93,1.41,1.91,2,2.18
