Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,1,1,1,3,5,5,6
2020-03-04,1,2,2,3,5,6,7
2020-03-05,1,1,1,3,5,5,6
2020-03-06,2,3,3,5,7,7,9
2020-03-07,2,2,3,5,8,8,9
2020-03-08,2,2,2,4,7,7,8
2020-03-09,5,6,7,9,13,13,15
2020-03-10,3,4,4,8,11,12,13
2020-03-11,3,4,4,9,14,15,17
2020-03-12,3,4,5,8,11,12,14
2020-03-13,5,6,7,11,16,17,20
2020-03-14,6,7,7,12,18,19,23
2020-03-15,12,13,14,20,27,28,31
2020-03-16,12,15,16,22,29,31,34
2020-03-17,13,15,16,23,31,32,36
2020-03-18,44,47,49,57,65,68,71
2020-03-19,48,51,53,62,71,74,78
2020-03-20,61,64,66,77,88,90,95
2020-03-21,34,39,41,55,70,74,80
2020-03-22,40,45,48,66,91,96,105
2020-03-23,47,53,56,73,92,97,104
2020-03-24,71,76,79,93,109,113,119
2020-03-25,104,110,113,132,153,157,166
2020-03-26,140,149,153,176,203,207,217
2020-03-27,107,115,119,141,167,174,189
2020-03-28,128,136,141,166,195,202,216
2020-03-29,129,138,143,171,203,211,236
2020-03-30,137,146,151,182,218,229,259
2020-03-31,131,141,146,185,250,264,292
2020-04-01,131,140,146,187,259,277,304
2020-04-02,166,176,182,215,253,262,283
2020-04-03,175,185,190,225,263,272,290
2020-04-04,144,152,158,202,276,293,323
2020-04-05,155,165,171,204,244,259,299
2020-04-06,130,141,147,200,271,286,316
2020-04-07,149,157,162,194,230,242,275
2020-04-08,138,146,151,181,216,225,252
2020-04-09,107,116,121,169,234,247,271
2020-04-10,102,109,113,142,189,208,241
2020-04-11,117,134,141,173,207,214,227
2020-04-12,113,123,128,154,183,189,203
2020-04-13,102,110,114,139,166,172,186
2020-04-14,102,123,130,156,185,191,203
2020-04-15,73,79,83,107,148,160,182
2020-04-16,80,87,91,110,133,138,149
2020-04-17,56,61,63,80,101,107,126
2020-04-18,42,47,49,63,80,85,101
2020-04-19,40,51,57,74,91,94,102
2020-04-20,27,30,32,44,58,63,77
