Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,6
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0
2020-03-19,0,0,0,1,1,1,1
2020-03-20,1,1,1,1,3,3,4
2020-03-21,0,0,0,0,0,0,0
2020-03-22,1,1,1,1,3,3,4
2020-03-23,1,1,1,1,3,3,4
2020-03-24,0,0,0,0,0,0,0
2020-03-25,1,1,1,2,4,4,5
2020-03-26,1,1,1,2,4,4,5
2020-03-27,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0
2020-03-29,1,1,2,3,5,6,7
2020-03-30,1,1,2,3,6,6,7
2020-03-31,0,0,0,0,0,0,1
2020-04-01,3,3,4,6,8,9,11
2020-04-02,2,3,3,6,9,10,12
2020-04-03,3,3,3,7,13,15,17
2020-04-04,8,10,10,15,19,20,23
2020-04-05,7,8,9,15,23,25,28
2020-04-06,9,11,12,17,24,26,29
2020-04-07,11,14,15,21,27,28,31
2020-04-08,13,15,15,28,43,46,50
2020-04-09,33,36,37,45,54,56,59
2020-04-10,20,22,23,31,40,41,46
2020-04-11,30,34,36,46,56,58,63
2020-04-12,28,31,32,42,52,54,59
2020-04-13,25,30,33,48,64,68,75
2020-04-14,32,35,37,47,60,63,71
2020-04-15,18,22,25,54,78,83,94
2020-04-16,4,6,7,12,19,22,25
2020-04-17,25,29,30,39,49,51,56
2020-04-18,13,15,16,29,46,49,57
2020-04-19,11,14,16,30,45,49,56
2020-04-20,14,17,19,30,44,48,57
