Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,2,2,2,2
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,1,1,1,1,3,3,4
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,2,2,2,2
2020-03-17,1,1,1,1,3,3,4
2020-03-18,1,1,1,3,4,5,5
2020-03-19,0,0,0,0,0,0,0
2020-03-20,1,1,1,2,4,4,5
2020-03-21,1,1,2,3,6,6,7
2020-03-22,1,1,2,4,6,6,8
2020-03-23,1,2,2,5,7,8,9
2020-03-24,1,1,2,3,5,6,7
2020-03-25,2,2,3,5,7,8,9
2020-03-26,2,3,3,7,11,11,13
2020-03-27,2,2,2,5,8,8,10
2020-03-28,3,4,4,9,14,15,17
2020-03-29,3,4,5,10,16,17,20
2020-03-30,4,6,7,13,18,19,21
2020-03-31,2,3,3,7,11,12,16
2020-04-01,6,7,8,15,24,27,31
2020-04-02,5,7,7,11,16,18,21
2020-04-03,12,14,15,20,27,28,31
2020-04-04,3,4,5,10,18,22,30
2020-04-05,9,11,12,17,23,24,28
2020-04-06,4,6,6,11,20,22,27
2020-04-07,8,10,11,16,22,23,26
2020-04-08,11,13,14,19,26,27,30
2020-04-09,7,9,10,15,21,22,25
2020-04-10,10,11,12,18,24,25,28
2020-04-11,8,10,10,16,22,23,27
2020-04-12,4,5,6,13,24,26,31
2020-04-13,10,12,13,19,25,27,30
2020-04-14,11,16,18,25,32,34,38
2020-04-15,16,20,21,29,37,39,42
2020-04-16,18,22,24,32,40,42,46
2020-04-17,20,25,28,41,52,54,59
2020-04-18,26,32,34,44,55,57,63
2020-04-19,28,33,35,58,78,82,88
2020-04-20,28,32,34,45,58,62,74
2020-04-21,29,35,38,57,78,83,93
2020-04-22,41,47,51,70,94,99,113
2020-04-23,53,65,72,94,115,118,128
2020-04-24,80,85,88,107,129,133,143
2020-04-25,69,75,78,96,116,120,129
2020-04-26,74,80,83,101,122,128,143
2020-04-27,60,66,69,97,139,149,166
2020-04-28,77,90,97,151,194,201,213
2020-04-29,114,143,151,182,214,223,235
2020-04-30,154,164,169,200,235,242,256
2020-05-01,177,190,196,231,269,277,294
2020-05-02,178,189,195,231,270,279,304
2020-05-03,157,167,173,216,289,310,344
2020-05-04,193,206,212,251,293,302,326
2020-05-05,146,157,164,230,316,334,367
2020-05-06,163,174,180,216,262,279,327
2020-05-07,164,189,205,313,385,397,427
2020-05-08,220,291,305,361,424,439,463
2020-05-09,199,217,226,281,351,380,436
2020-05-10,204,217,224,272,328,346,400
2020-05-11,197,210,215,259,308,320,359
2020-05-12,141,151,157,224,324,344,385
2020-05-13,149,159,165,198,238,252,298
2020-05-14,147,157,163,193,228,236,253
2020-05-15,128,146,157,233,285,298,312
2020-05-16,132,143,148,180,215,224,245
2020-05-17,119,135,143,207,295,309,330
2020-05-18,140,163,171,207,247,255,271
2020-05-19,164,176,182,216,254,262,278
2020-05-20,165,196,206,245,285,292,309
2020-05-21,152,174,186,267,326,336,358
2020-05-22,183,199,206,243,285,294,314
2020-05-23,198,211,219,257,299,308,328
2020-05-24,206,233,242,287,333,344,362
2020-05-25,189,201,208,245,288,297,321
2020-05-26,208,223,231,270,313,323,342
2020-05-27,194,222,241,323,382,391,415
2020-05-28,163,175,181,233,324,346,384
2020-05-29,212,248,270,340,402,416,437
2020-05-30,208,235,250,400,517,531,560
2020-05-31,240,258,267,321,385,397,425
2020-06-01,309,327,338,400,466,481,512
2020-06-02,220,233,240,309,461,492,544
2020-06-03,266,285,294,347,410,424,462
2020-06-04,271,289,298,350,408,420,449
2020-06-05,262,280,288,338,395,405,429
2020-06-06,291,312,323,375,434,447,472
2020-06-07,230,243,251,304,386,414,466
2020-06-08,253,269,277,326,380,393,420
2020-06-09,228,252,264,347,458,521,597
2020-06-10,272,311,325,384,448,464,501
2020-06-11,262,310,348,556,675,716,736
2020-06-12,459,500,516,605,696,715,759
2020-06-13,425,451,464,549,645,674,755
2020-06-14,364,390,403,500,693,738,825
2020-06-15,449,478,492,574,670,692,742
2020-06-16,415,438,452,528,615,638,690
2020-06-17,463,490,504,585,674,693,736
2020-06-18,500,565,588,686,789,812,853
2020-06-19,528,561,577,670,770,791,841
2020-06-20,539,571,586,679,780,801,851
2020-06-21,424,456,472,621,844,883,963
2020-06-22,537,568,585,682,791,816,874
2020-06-23,417,443,456,549,699,750,853
2020-06-24,503,536,552,640,738,760,804
2020-06-25,482,511,525,608,700,720,767
2020-06-26,525,556,572,660,756,777,818
2020-06-27,530,597,620,723,830,850,898
2020-06-28,438,464,478,569,695,746,845
2020-06-29,469,494,508,590,681,703,757
2020-06-30,459,484,496,575,662,682,726
2020-07-01,445,511,550,693,801,826,867
2020-07-02,496,525,541,628,723,743,785
2020-07-03,402,425,438,521,630,675,771
2020-07-04,463,494,508,590,679,697,740
2020-07-05,436,463,477,553,638,657,697
2020-07-06,446,474,488,566,651,669,709
2020-07-07,410,435,447,520,600,618,658
2020-07-08,382,403,414,483,562,579,615
2020-07-09,388,413,425,495,570,588,619
2020-07-10,393,443,460,535,615,633,667
2020-07-11,375,441,478,584,676,693,745
2020-07-12,435,466,480,555,638,658,694
2020-07-13,452,481,496,575,662,680,721
2020-07-14,394,416,428,500,582,601,656
2020-07-15,445,498,516,597,686,706,738
2020-07-16,461,490,504,583,667,687,727
2020-07-17,469,498,512,591,677,696,736
2020-07-18,490,525,542,628,720,739,781
2020-07-19,461,488,502,581,669,691,736
2020-07-20,464,489,503,583,672,692,734
2020-07-21,470,495,508,590,678,697,739
2020-07-22,451,475,489,568,656,676,719
2020-07-23,475,504,520,600,689,708,748
2020-07-24,475,502,516,596,683,705,746
2020-07-25,390,415,427,505,607,648,736
2020-07-26,439,467,480,557,641,660,700
2020-07-27,468,510,527,611,703,721,763
2020-07-28,483,514,527,609,697,716,760
2020-07-29,371,394,405,492,636,681,767
2020-07-30,397,421,433,505,587,606,653
2020-07-31,380,403,414,484,560,578,615
2020-08-01,332,349,360,425,499,523,578
2020-08-02,271,288,298,362,464,499,569
2020-08-03,248,263,271,321,383,404,465
2020-08-04,244,257,265,311,362,374,398
2020-08-05,207,233,250,364,446,460,492
2020-08-06,247,279,289,342,398,409,433
2020-08-07,245,290,316,389,455,467,489
2020-08-08,270,317,340,403,465,476,501
2020-08-09,307,336,349,404,463,474,501
2020-08-10,254,269,276,327,387,404,448
2020-08-11,299,328,340,396,456,467,493
2020-08-12,310,348,360,419,483,494,524
2020-08-13,300,319,328,382,441,455,483
2020-08-14,278,295,304,356,414,427,466
2020-08-15,273,287,296,348,405,417,451
2020-08-16,253,267,275,324,380,394,429
2020-08-17,284,319,331,387,446,458,485
2020-08-18,300,326,337,392,450,462,492
2020-08-19,270,301,321,455,563,578,612
2020-08-20,345,378,392,458,528,542,575
2020-08-21,294,313,324,383,457,482,550
2020-08-22,365,421,449,533,616,632,667
2020-08-23,300,315,327,405,539,575,641
2020-08-24,283,299,311,376,472,516,603
2020-08-25,238,251,260,332,478,511,580
2020-08-26,213,225,232,300,427,460,536
2020-08-27,238,250,259,304,353,367,396
2020-08-28,166,178,185,260,347,367,398
2020-08-29,199,212,218,256,299,309,332
2020-08-30,131,141,146,185,255,274,311
2020-08-31,121,129,133,162,194,206,236
2020-09-01,114,133,146,203,244,252,268
2020-09-02,131,156,165,199,234,244,258
2020-09-03,104,112,116,142,173,183,210
2020-09-04,113,122,127,152,180,186,199
2020-09-05,108,122,127,153,180,187,199
2020-09-06,82,89,92,113,139,146,168
2020-09-07,89,106,113,139,165,170,181
2020-09-08,76,86,91,124,160,168,185
2020-09-09,78,91,101,145,177,184,199
2020-09-10,87,116,138,168,200,204,217
2020-09-11,134,142,147,174,203,210,222
2020-09-12,121,130,134,161,190,197,211
2020-09-13,82,92,96,149,206,216,238
2020-09-14,103,112,116,141,169,177,198
2020-09-15,79,86,89,111,138,149,172
2020-09-16,94,101,105,127,150,156,167
2020-09-17,96,103,107,129,153,158,168
2020-09-18,82,94,100,150,200,209,222
2020-09-19,97,121,134,168,200,207,222
2020-09-20,83,90,94,121,168,184,209
2020-09-21,127,142,148,177,209,217,230
2020-09-22,130,140,145,174,205,212,226
2020-09-23,99,107,111,137,173,187,215
2020-09-24,103,111,115,139,167,175,197
2020-09-25,115,136,149,186,219,226,242
2020-09-26,112,120,125,150,179,187,205
2020-09-27,105,114,117,142,171,179,202
2020-09-28,108,116,120,144,171,178,192
2020-09-29,122,138,145,173,203,209,223
2020-09-30,135,150,156,186,217,223,238
2020-10-01,124,133,138,164,194,201,217
2020-10-02,108,117,120,148,182,195,222
2020-10-03,124,133,137,163,192,199,214
2020-10-04,101,116,124,164,209,220,241
2020-10-05,102,109,113,139,172,184,212
2020-10-06,97,105,108,130,155,161,173
2020-10-07,115,122,126,150,176,181,193
2020-10-08,87,93,97,119,146,155,179
2020-10-09,103,114,119,143,168,174,186
2020-10-10,89,95,99,120,143,149,163
2020-10-11,97,115,121,147,173,178,190
2020-10-12,106,121,126,151,178,184,196
2020-10-13,98,113,122,177,216,221,231
2020-10-14,127,139,144,172,203,209,223
2020-10-15,119,127,131,157,186,193,209
2020-10-16,142,159,164,195,227,234,248
2020-10-17,104,112,116,150,209,222,251
2020-10-18,111,118,122,148,179,188,215
2020-10-19,100,106,109,134,163,172,195
