Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,4,4,5,8,12,13,15
2020-03-02,3,4,4,7,11,12,14
2020-03-03,5,6,7,11,15,16,17
2020-03-04,6,7,7,11,16,17,20
2020-03-05,6,7,7,12,17,18,20
2020-03-06,7,8,8,13,18,19,22
2020-03-07,9,9,9,11,12,12,12
2020-03-08,20,22,23,28,33,35,37
2020-03-09,22,24,25,31,37,38,40
2020-03-10,40,42,43,50,58,60,63
2020-03-11,13,15,16,23,31,33,36
2020-03-12,17,20,21,29,37,39,43
2020-03-13,18,20,21,29,38,41,45
2020-03-14,67,70,72,82,96,99,106
2020-03-15,102,106,108,121,135,140,145
2020-03-16,117,122,124,139,156,159,165
2020-03-17,54,60,63,81,100,104,113
2020-03-18,64,70,74,94,115,120,130
2020-03-19,73,80,84,106,131,136,147
2020-03-20,260,269,276,288,313,322,357
2020-03-21,272,284,290,322,357,364,376
2020-03-22,298,310,317,354,394,403,418
2020-03-23,208,225,234,285,341,354,377
2020-03-24,243,263,274,334,399,413,441
2020-03-25,280,304,316,386,462,478,509
2020-03-26,644,669,689,766,852,892,908
2020-03-27,729,760,776,867,965,985,1027
2020-03-28,801,833,853,959,1076,1100,1147
2020-03-29,768,808,830,950,1082,1113,1171
2020-03-30,802,844,867,1026,1256,1317,1435
2020-03-31,929,972,996,1165,1363,1431,1606
2020-04-01,1007,1055,1087,1262,1500,1592,1790
2020-04-02,1002,1054,1087,1356,1785,1876,2060
2020-04-03,996,1105,1172,1646,2087,2188,2395
2020-04-04,1123,1183,1213,1524,2098,2263,2542
2020-04-05,994,1072,1108,1596,2274,2426,2727
2020-04-06,1158,1271,1324,1667,2120,2231,2403
2020-04-07,1103,1199,1262,1738,2272,2391,2626
2020-04-08,1158,1220,1256,1477,1815,1936,2156
2020-04-09,1214,1279,1316,1512,1730,1774,1866
2020-04-10,1186,1252,1283,1489,1707,1757,1871
2020-04-11,1087,1150,1176,1397,1730,1847,2045
2020-04-12,947,977,1003,1298,1772,1876,2026
2020-04-13,827,881,907,1129,1577,1690,1922
2020-04-14,715,757,777,958,1292,1411,1681
2020-04-15,799,854,879,1018,1172,1206,1291
2020-04-16,668,765,841,1102,1302,1348,1428
2020-04-17,757,890,923,1080,1254,1298,1375
2020-04-18,771,856,884,1032,1195,1232,1302
2020-04-19,635,673,691,809,944,978,1081
2020-04-20,590,623,640,741,853,880,932
2020-04-21,538,578,596,693,800,823,870
2020-04-22,428,485,519,736,886,913,972
2020-04-23,441,532,592,723,835,858,910
2020-04-24,501,537,553,642,736,757,798
2020-04-25,482,523,540,627,719,741,782
2020-04-26,354,375,385,460,557,593,674
2020-04-27,281,319,338,448,578,608,671
2020-04-28,301,322,333,393,462,477,514
2020-04-29,364,388,399,463,532,549,580
2020-04-30,354,373,384,446,513,530,555
2020-05-01,325,353,365,426,489,504,538
2020-05-02,276,293,302,354,412,427,459
2020-05-03,193,207,213,296,414,437,488
2020-05-04,234,255,264,313,368,380,406
2020-05-05,190,204,210,250,295,306,328
2020-05-06,160,178,190,294,417,430,456
2020-05-07,192,233,251,305,359,370,393
2020-05-08,222,238,246,290,339,349,374
2020-05-09,199,212,219,259,306,317,344
2020-05-10,146,157,163,210,297,320,359
2020-05-11,156,166,172,206,244,254,280
2020-05-12,163,178,185,220,258,267,284
2020-05-13,159,190,203,243,286,294,311
2020-05-14,158,170,175,208,244,252,270
2020-05-15,151,161,166,197,232,240,259
2020-05-16,113,122,127,161,219,236,265
2020-05-17,117,126,130,157,187,196,215
2020-05-18,93,100,104,129,160,173,204
2020-05-19,99,119,132,171,204,211,225
2020-05-20,97,112,120,191,242,251,264
2020-05-21,130,147,153,185,218,225,239
2020-05-22,136,145,150,180,211,219,233
2020-05-23,135,144,149,178,209,216,232
2020-05-24,148,162,168,199,233,240,254
2020-05-25,118,126,130,159,198,214,246
2020-05-26,142,152,158,187,219,226,239
2020-05-27,140,150,155,184,216,222,237
2020-05-28,138,148,153,182,213,220,236
2020-05-29,115,123,127,155,193,207,238
2020-05-30,138,149,154,182,214,220,234
2020-05-31,97,105,109,146,207,220,243
2020-06-01,90,98,102,129,176,192,222
2020-06-02,76,82,86,110,151,166,200
2020-06-03,78,89,97,161,217,230,246
2020-06-04,96,131,154,196,238,248,262
2020-06-05,139,150,156,187,221,229,245
2020-06-06,157,179,187,223,262,269,288
2020-06-07,140,149,154,186,224,235,267
2020-06-08,136,146,151,181,216,225,252
2020-06-09,146,155,161,190,224,231,250
2020-06-10,136,145,150,179,211,219,237
2020-06-11,154,167,172,204,237,244,259
2020-06-12,144,153,159,188,221,228,245
2020-06-13,124,132,137,166,201,216,247
2020-06-14,132,140,145,173,204,211,227
2020-06-15,116,124,128,155,186,194,217
