Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,1,2,2,4,7,7,9
2020-03-02,2,2,3,5,8,8,10
2020-03-03,2,3,3,6,8,9,10
2020-03-04,3,4,4,7,11,12,14
2020-03-05,3,4,5,7,11,12,14
2020-03-06,3,4,4,8,14,15,17
2020-03-07,5,5,6,9,13,14,17
2020-03-08,5,7,8,15,20,21,23
2020-03-09,6,8,9,16,22,24,26
2020-03-10,12,15,15,21,27,29,31
2020-03-11,14,16,17,23,30,31,35
2020-03-12,12,14,15,22,29,31,34
2020-03-13,84,88,90,99,111,113,118
2020-03-14,45,47,49,58,68,70,74
2020-03-15,62,66,67,78,90,93,99
2020-03-16,34,38,41,57,78,83,92
2020-03-17,39,44,47,65,87,94,105
2020-03-18,54,61,64,78,93,97,103
2020-03-19,56,66,71,94,127,135,147
2020-03-20,71,81,86,123,153,158,167
2020-03-21,82,93,100,149,188,194,202
2020-03-22,113,125,133,191,233,239,253
2020-03-23,151,172,180,212,244,250,264
2020-03-24,182,195,201,233,269,276,292
2020-03-25,186,197,203,238,276,285,302
2020-03-26,227,239,246,286,330,339,358
2020-03-27,273,298,308,358,411,421,441
2020-03-28,242,257,264,320,404,431,482
2020-03-29,248,268,275,338,442,471,520
2020-03-30,284,313,328,418,521,546,603
2020-03-31,294,335,353,456,577,606,657
2020-04-01,274,334,367,489,620,648,711
2020-04-02,260,269,276,336,407,421,452
2020-04-03,214,228,236,286,358,378,420
2020-04-04,210,232,245,329,407,424,457
2020-04-05,248,269,281,347,423,440,479
2020-04-06,224,255,274,354,432,449,483
2020-04-07,217,232,239,285,349,375,410
2020-04-08,246,246,246,323,406,406,406
2020-04-09,238,258,269,328,391,404,432
2020-04-10,242,262,274,335,402,415,445
2020-04-11,137,146,151,185,222,229,245
2020-04-12,146,156,161,194,231,238,255
2020-04-13,113,122,126,154,184,192,206
2020-04-14,176,192,201,250,304,316,340
2020-04-15,145,161,173,233,289,301,323
2020-04-16,142,152,157,189,234,250,283
2020-04-17,64,69,72,90,112,116,128
2020-04-18,89,95,99,119,143,150,171
2020-04-19,69,80,85,114,147,154,168
2020-04-20,62,67,70,85,104,109,121
2020-04-21,33,36,37,50,65,73,95
