Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,1,1,1,1
2020-03-03,0,0,0,1,4,4,4
2020-03-04,1,1,1,2,3,3,4
2020-03-05,0,0,0,0,0,0,0
2020-03-06,1,1,1,1,3,3,4
2020-03-07,1,1,1,1,3,3,4
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,1,1,1,1,3,3,4
2020-03-15,1,1,1,2,3,3,4
2020-03-16,0,0,0,0,0,0,0
2020-03-17,1,1,1,2,4,4,5
2020-03-18,1,1,2,3,5,6,7
2020-03-19,1,1,2,4,6,6,7
2020-03-20,1,2,2,5,8,8,10
2020-03-21,2,2,3,6,10,10,12
2020-03-22,4,5,5,9,12,13,15
2020-03-23,0,0,0,3,8,9,12
2020-03-24,5,6,7,11,16,17,19
2020-03-25,18,20,21,27,32,33,35
2020-03-26,30,32,34,40,48,49,52
2020-03-27,38,40,41,50,58,60,63
2020-03-28,21,24,26,37,52,56,64
2020-03-29,30,36,40,52,64,66,70
2020-03-30,45,50,52,64,77,80,85
2020-03-31,44,47,49,61,75,77,83
2020-04-01,48,52,54,67,82,85,93
2020-04-02,63,68,71,86,102,106,113
2020-04-03,59,64,66,82,99,104,117
2020-04-04,66,71,74,90,109,113,124
2020-04-05,72,77,80,98,117,122,133
2020-04-06,62,67,71,94,131,140,156
2020-04-07,58,65,69,107,147,155,172
2020-04-08,55,63,69,114,159,169,190
2020-04-09,66,75,80,117,161,170,188
2020-04-10,50,55,60,99,140,148,170
2020-04-11,44,57,63,93,126,134,149
2020-04-12,33,43,49,70,96,100,113
2020-04-13,32,41,44,65,89,95,105
2020-04-14,23,27,30,52,73,75,86
2020-04-15,19,22,24,33,46,51,60
2020-04-16,13,15,16,24,32,34,39
2020-04-17,7,9,10,18,33,36,42
2020-04-18,8,9,10,15,21,23,28
2020-04-19,4,5,6,10,15,16,19
2020-04-20,3,4,5,8,13,14,16
2020-04-21,1,2,2,5,8,9,11
2020-04-22,2,2,2,5,8,8,10
2020-04-23,1,2,2,4,6,7,8
2020-04-24,1,2,2,4,6,6,8
2020-04-25,1,2,2,5,7,8,9
2020-04-26,0,0,0,1,3,3,5
2020-04-27,1,1,1,3,4,5,6
2020-04-28,1,1,1,2,4,4,6
2020-04-29,1,1,1,2,4,4,5
2020-04-30,1,1,1,2,4,5,6
2020-05-01,1,2,2,4,6,7,8
2020-05-02,1,1,1,2,4,5,6
2020-05-03,0,0,0,1,2,3,4
2020-05-04,0,0,0,1,2,3,4
2020-05-05,1,1,1,2,4,4,5
2020-05-06,1,1,1,2,3,4,5
2020-05-07,1,1,1,2,3,4,5
2020-05-08,1,1,1,2,4,4,5
2020-05-09,1,1,1,2,4,4,5
2020-05-10,1,1,1,2,4,5,6
2020-05-11,0,0,0,1,2,3,3
2020-05-12,0,0,0,0,2,3,4
2020-05-13,0,0,0,1,2,2,4
2020-05-14,1,1,1,2,3,3,4
2020-05-15,0,0,0,0,2,3,3
2020-05-16,1,1,1,2,3,3,4
2020-05-17,0,0,0,0,1,2,3
2020-05-18,0,0,0,0,2,2,3
2020-05-19,1,1,1,3,4,5,6
2020-05-20,0,0,0,0,2,2,3
2020-05-21,1,1,1,2,3,3,5
2020-05-22,0,0,0,0,1,2,4
2020-05-23,0,0,0,0,2,2,4
2020-05-24,0,0,0,0,1,2,4
2020-05-25,0,0,0,0,1,2,3
2020-05-26,0,0,0,0,0,1,2
2020-05-27,0,0,0,0,0,0,2
2020-05-28,0,0,0,0,0,0,2
2020-05-29,0,0,0,0,0,0,1
2020-05-30,0,0,0,0,0,0,2
2020-05-31,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,0
2020-06-02,0,0,0,0,0,0,0
2020-06-03,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0
2020-06-05,0,0,0,0,0,0,0
2020-06-06,0,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,0,0
2020-06-09,0,0,0,0,0,0,0
2020-06-10,0,0,0,0,0,0,0
2020-06-11,0,0,0,0,0,0,0
2020-06-12,0,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0
2020-06-15,1,1,1,2,3,3,4
2020-06-16,0,0,0,0,0,0,0
2020-06-17,1,1,1,1,3,3,4
2020-06-18,0,0,0,0,0,0,0
2020-06-19,1,1,1,2,3,3,4
2020-06-20,1,1,1,2,3,3,4
2020-06-21,1,1,1,2,3,3,4
2020-06-22,1,1,1,2,3,4,5
2020-06-23,1,1,1,2,3,3,4
2020-06-24,1,1,1,2,4,5,6
2020-06-25,1,1,1,2,3,4,5
2020-06-26,1,1,1,2,4,5,6
2020-06-27,1,1,1,3,5,6,7
2020-06-28,1,1,1,2,5,5,6
2020-06-29,0,0,0,1,3,4,5
2020-06-30,0,0,0,1,3,4,5
2020-07-01,1,1,1,2,4,5,6
2020-07-02,0,0,0,1,2,3,5
2020-07-03,0,0,0,1,2,3,4
2020-07-04,1,1,1,2,4,5,6
2020-07-05,1,1,1,2,3,4,5
2020-07-06,1,1,1,2,4,4,5
2020-07-07,1,1,1,2,3,4,5
2020-07-08,1,1,1,3,5,5,6
2020-07-09,1,1,1,2,4,5,6
2020-07-10,1,1,1,2,4,4,5
2020-07-11,1,1,1,2,4,4,5
2020-07-12,0,0,0,1,3,6,6
2020-07-13,1,1,1,2,3,4,5
2020-07-14,1,1,1,2,4,4,5
2020-07-15,1,1,1,2,3,4,5
2020-07-16,1,1,1,2,3,4,5
2020-07-17,1,1,1,2,3,4,5
2020-07-18,1,1,1,2,4,5,6
2020-07-19,1,1,1,2,3,4,5
2020-07-20,1,1,1,2,3,4,5
2020-07-21,0,0,0,0,2,3,4
2020-07-22,0,0,0,0,2,2,4
2020-07-23,1,1,1,2,3,3,4
2020-07-24,0,0,0,0,1,2,3
2020-07-25,0,0,0,0,2,2,3
2020-07-26,0,0,0,0,0,1,1
2020-07-27,1,1,1,1,3,3,4
2020-07-28,1,1,1,2,3,4,4
2020-07-29,1,1,1,1,3,3,4
2020-07-30,0,0,0,0,0,0,2
2020-07-31,1,1,1,2,3,3,4
2020-08-01,1,1,1,2,4,4,5
2020-08-02,1,1,1,2,3,4,5
2020-08-03,0,0,0,0,1,2,3
2020-08-04,1,1,1,2,3,4,5
2020-08-05,0,0,0,0,1,2,3
2020-08-06,0,0,0,0,0,1,3
2020-08-07,0,0,0,1,1,1,1
2020-08-08,0,0,0,0,0,0,0
2020-08-09,0,0,0,0,0,0,0
2020-08-10,1,1,1,1,3,3,4
2020-08-11,0,0,0,0,0,0,0
2020-08-12,2,2,2,3,5,6,7
2020-08-13,1,2,2,3,6,6,7
2020-08-14,1,2,2,4,6,6,7
2020-08-15,3,4,4,7,9,10,11
2020-08-16,2,3,4,6,9,10,11
2020-08-17,3,4,4,8,11,12,14
2020-08-18,2,3,3,6,10,10,12
2020-08-19,2,3,3,6,10,11,13
2020-08-20,4,5,6,10,14,15,16
2020-08-21,3,4,4,8,12,13,15
2020-08-22,2,2,3,6,12,13,17
2020-08-23,4,5,6,9,14,15,17
2020-08-24,4,5,5,9,13,14,17
2020-08-25,3,4,4,8,12,14,17
2020-08-26,4,5,5,9,13,14,17
2020-08-27,5,7,7,12,16,18,20
2020-08-28,6,8,8,13,18,19,21
2020-08-29,2,3,3,9,18,20,24
2020-08-30,5,6,6,11,16,17,20
2020-08-31,7,8,9,13,19,20,22
2020-09-01,3,4,5,9,14,15,19
2020-09-02,1,2,3,8,16,18,22
2020-09-03,3,3,4,7,12,14,18
2020-09-04,1,2,2,6,10,11,15
2020-09-05,2,3,3,6,10,11,13
2020-09-06,2,2,3,5,9,10,12
2020-09-07,2,3,3,6,10,10,12
2020-09-08,2,3,3,6,10,10,12
2020-09-09,1,2,2,5,8,9,11
2020-09-10,1,1,1,3,6,8,10
2020-09-11,1,1,1,3,6,7,9
2020-09-12,1,1,1,3,5,6,8
2020-09-13,1,1,1,2,4,5,7
2020-09-14,1,1,1,3,5,6,7
2020-09-15,1,1,1,2,4,4,6
2020-09-16,1,2,2,4,7,8,9
2020-09-17,0,0,0,1,3,4,5
2020-09-18,1,1,1,2,4,5,6
2020-09-19,1,1,1,3,5,6,7
2020-09-20,0,0,0,1,2,3,5
2020-09-21,0,0,0,0,2,3,4
2020-09-22,1,2,2,4,7,8,9
2020-09-23,1,1,1,3,5,5,6
2020-09-24,1,1,1,2,4,5,6
2020-09-25,1,1,1,2,4,5,6
2020-09-26,1,1,1,2,4,5,6
2020-09-27,0,0,0,1,3,3,5
2020-09-28,1,1,1,2,4,4,5
2020-09-29,1,1,1,2,3,4,5
2020-09-30,2,2,2,5,8,9,10
2020-10-01,0,0,0,1,3,4,5
2020-10-02,1,1,1,2,4,4,5
2020-10-03,1,2,2,4,6,7,8
2020-10-04,1,1,1,2,4,4,6
2020-10-05,1,1,1,3,5,6,7
2020-10-06,1,1,1,3,5,6,7
2020-10-07,1,1,1,3,5,6,7
2020-10-08,1,1,1,3,5,5,7
2020-10-09,1,1,2,4,6,7,8
2020-10-10,1,1,1,2,4,5,6
2020-10-11,0,0,0,1,4,4,6
2020-10-12,1,1,1,2,4,5,6
2020-10-13,1,1,1,2,4,5,6
2020-10-14,1,1,1,2,4,5,6
2020-10-15,1,1,2,3,6,6,7
2020-10-16,1,1,1,3,5,6,7
2020-10-17,1,1,1,3,5,6,7
2020-10-18,0,0,0,1,4,5,6
2020-10-19,1,1,1,2,4,5,6
2020-10-20,3,3,3,6,9,10,13
2020-10-21,1,1,1,3,5,6,8
2020-10-22,3,3,4,6,9,10,12
2020-10-23,4,5,5,8,11,12,14
2020-10-24,1,1,1,3,7,9,12
