Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,1,1,1,1,1,1.01
2020-03-02,0.99,0.99,0.99,0.99,1,1,1.01
2020-03-03,0.97,0.98,0.98,0.99,1,1.01,1.02
2020-03-04,0.95,0.96,0.96,0.98,1.01,1.01,1.03
2020-03-05,0.93,0.94,0.95,0.98,1.01,1.02,1.05
2020-03-06,0.9,0.92,0.93,0.98,1.03,1.03,1.07
2020-03-07,0.87,0.9,0.91,0.97,1.04,1.05,1.08
2020-03-08,0.84,0.87,0.89,0.97,1.05,1.06,1.1
2020-03-09,0.8,0.85,0.87,0.96,1.05,1.07,1.11
2020-03-10,0.78,0.82,0.85,0.95,1.07,1.09,1.13
2020-03-11,0.74,0.79,0.82,0.95,1.08,1.11,1.16
2020-03-12,0.77,0.85,0.89,0.93,0.99,1.04,1.12
2020-03-13,0.74,0.83,0.88,0.92,0.99,1.04,1.15
2020-03-14,0.71,0.82,0.87,0.91,0.99,1.04,1.16
2020-03-15,0.68,0.8,0.85,0.91,0.99,1.05,1.17
2020-03-16,0.77,0.85,0.87,0.97,1,1,1.1
2020-03-17,0.74,0.83,0.85,0.97,1.01,1.01,1.11
2020-03-18,0.76,0.83,0.85,0.98,1.02,1.02,1.09
2020-03-19,0.75,0.82,0.86,0.98,1.03,1.04,1.2
2020-03-20,0.71,0.8,0.84,0.98,1.04,1.05,1.13
2020-03-21,0.72,0.81,0.86,0.99,1.06,1.07,1.26
2020-03-22,0.71,0.82,0.88,1,1.07,1.1,1.32
2020-03-23,0.78,0.88,0.92,1.02,1.11,1.19,1.42
2020-03-24,0.84,0.9,0.92,1.07,1.43,1.45,1.55
2020-03-25,0.88,0.93,0.96,1.26,1.53,1.56,1.59
2020-03-26,0.92,0.98,1.02,1.4,1.57,1.59,1.62
2020-03-27,1.09,1.39,1.42,1.49,1.58,1.61,1.64
2020-03-28,1.34,1.41,1.42,1.51,1.6,1.62,1.66
2020-03-29,1.35,1.4,1.42,1.52,1.62,1.64,1.69
2020-03-30,1.33,1.39,1.41,1.53,1.64,1.67,1.71
2020-03-31,1.32,1.38,1.41,1.54,1.67,1.69,1.74
2020-04-01,1.31,1.37,1.4,1.55,1.69,1.72,1.77
2020-04-02,1.31,1.37,1.4,1.56,1.72,1.74,1.8
2020-04-03,1.29,1.36,1.4,1.57,1.74,1.77,1.83
2020-04-04,1.28,1.36,1.4,1.58,1.76,1.79,1.87
2020-04-05,1.26,1.34,1.38,1.57,1.77,1.8,1.88
2020-04-06,1.28,1.36,1.4,1.6,1.8,1.84,1.91
2020-04-07,1.31,1.39,1.43,1.64,1.84,1.87,1.95
2020-04-08,1.36,1.44,1.48,1.69,1.89,1.92,2.03
2020-04-09,1.35,1.43,1.47,1.68,1.89,1.92,2.01
2020-04-10,1.27,1.36,1.4,1.62,1.84,1.89,1.95
2020-04-11,1.34,1.41,1.45,1.68,1.9,1.94,2
2020-04-12,1.34,1.41,1.46,1.68,1.9,1.94,2.01
2020-04-13,1.33,1.41,1.46,1.7,1.95,2,2.14
2020-04-14,1.41,1.5,1.54,1.78,2.02,2.07,2.17
2020-04-15,1.5,1.58,1.62,1.83,2.06,2.1,2.19
2020-04-16,1.55,1.62,1.66,1.86,2.07,2.11,2.19
2020-04-17,1.43,1.54,1.58,1.81,2.05,2.09,2.18
2020-04-18,1.45,1.53,1.57,1.78,2,2.05,2.11
2020-04-19,1.35,1.43,1.47,1.67,1.87,1.91,2
2020-04-20,1.4,1.46,1.5,1.69,1.89,1.93,2
2020-04-21,1.3,1.38,1.41,1.6,1.8,1.83,1.91
2020-04-22,1.22,1.3,1.33,1.52,1.71,1.74,1.82
2020-04-23,1.16,1.21,1.24,1.43,1.61,1.65,1.72
2020-04-24,1.04,1.09,1.11,1.3,1.51,1.56,1.64
2020-04-25,1,1.05,1.07,1.25,1.44,1.48,1.56
2020-04-26,0.92,0.96,0.99,1.16,1.34,1.37,1.44
2020-04-27,0.8,0.84,0.87,1.04,1.25,1.29,1.37
2020-04-28,0.73,0.77,0.8,0.95,1.13,1.17,1.25
2020-04-29,0.7,0.77,0.81,1.03,1.22,1.26,1.33
2020-04-30,0.64,0.7,0.73,0.92,1.09,1.12,1.19
2020-05-01,0.69,0.75,0.78,0.92,1.07,1.1,1.15
2020-05-02,0.55,0.61,0.64,0.83,1.02,1.05,1.11
2020-05-03,0.59,0.65,0.68,0.83,0.99,1.02,1.07
2020-05-04,0.57,0.62,0.65,0.78,0.92,0.95,1
2020-05-05,0.61,0.66,0.69,0.81,0.95,0.97,1.02
2020-05-06,0.59,0.63,0.66,0.8,0.96,0.98,1.05
2020-05-07,0.53,0.57,0.6,0.72,0.86,0.89,0.96
2020-05-08,0.53,0.59,0.61,0.81,1.03,1.05,1.08
2020-05-09,0.7,0.76,0.79,0.95,1.08,1.09,1.15
2020-05-10,0.76,0.82,0.85,1.02,1.13,1.16,1.19
2020-05-11,0.82,0.89,0.94,1.07,1.17,1.19,1.22
2020-05-12,0.92,0.98,1.01,1.1,1.2,1.23,1.25
2020-05-13,0.94,0.99,1.02,1.11,1.22,1.24,1.28
2020-05-14,0.94,1,1.02,1.13,1.25,1.27,1.31
2020-05-15,0.94,1,1.02,1.14,1.29,1.31,1.36
2020-05-16,1.08,1.08,1.08,1.21,1.34,1.34,1.39
2020-05-17,1.06,1.07,1.07,1.19,1.37,1.38,1.38
2020-05-18,1.04,1.05,1.06,1.2,1.4,1.41,1.42
2020-05-19,1.06,1.15,1.16,1.34,1.44,1.45,1.48
2020-05-20,1.13,1.2,1.26,1.4,1.49,1.53,1.68
2020-05-21,1.29,1.35,1.36,1.44,1.54,1.57,1.72
2020-05-22,1.35,1.38,1.4,1.5,1.65,1.76,1.78
2020-05-23,1.38,1.42,1.44,1.57,1.8,1.82,1.84
2020-05-24,1.43,1.47,1.49,1.66,1.86,1.87,1.9
2020-05-25,1.43,1.48,1.5,1.67,1.89,1.91,1.94
2020-05-26,1.37,1.42,1.44,1.6,1.82,1.89,1.96
2020-05-27,1.32,1.36,1.39,1.67,1.93,1.97,2.02
2020-05-28,1.41,1.49,1.52,1.69,1.86,1.9,2
2020-05-29,1.5,1.56,1.59,1.74,1.9,1.93,2
2020-05-30,1.45,1.5,1.53,1.68,1.83,1.86,1.91
