Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,2,2,2,2
2020-03-02,0,0,0,2,2,2,2
2020-03-03,1,1,1,3,5,5,6
2020-03-04,1,1,1,2,4,4,5
2020-03-05,1,1,1,2,3,4,4
2020-03-06,0,0,0,0,2,2,3
2020-03-07,0,0,0,0,2,2,4
2020-03-08,0,0,0,0,1,2,3
2020-03-09,0,0,0,0,0,1,3
2020-03-10,1,1,1,2,3,4,4
2020-03-11,0,0,0,0,0,0,2
2020-03-12,0,0,0,2,2,2,2
2020-03-13,1,1,1,1,3,3,4
2020-03-14,0,0,0,0,0,0,0
2020-03-15,1,1,1,2,3,4,5
2020-03-16,0,0,0,2,3,3,3
2020-03-17,1,1,1,2,3,3,4
2020-03-18,1,2,2,3,5,6,7
2020-03-19,1,1,2,4,6,6,7
2020-03-20,0,0,0,0,2,2,3
2020-03-21,1,1,1,3,5,5,6
2020-03-22,1,1,1,2,4,5,6
2020-03-23,1,2,2,5,8,8,10
2020-03-24,2,2,3,5,10,11,13
2020-03-25,2,3,3,8,13,13,15
2020-03-26,3,4,5,8,12,13,15
2020-03-27,5,7,8,13,19,19,21
2020-03-28,6,8,9,15,20,21,23
2020-03-29,7,9,9,14,19,20,22
2020-03-30,7,8,9,13,18,19,21
2020-03-31,7,9,9,14,19,20,23
2020-04-01,9,11,12,17,23,24,27
2020-04-02,11,13,14,19,26,27,30
2020-04-03,12,14,15,20,27,28,31
2020-04-04,14,16,17,23,30,32,35
2020-04-05,13,15,16,22,29,31,35
2020-04-06,18,21,22,29,37,39,42
2020-04-07,20,24,26,35,43,45,50
2020-04-08,24,29,31,41,51,53,58
2020-04-09,26,29,30,39,49,51,57
2020-04-10,21,24,25,35,46,51,60
2020-04-11,31,39,42,54,66,69,75
2020-04-12,36,40,42,53,65,68,73
2020-04-13,35,40,42,63,97,103,113
2020-04-14,46,58,61,78,95,98,108
2020-04-15,66,71,74,91,110,114,123
2020-04-16,77,83,86,104,125,130,139
2020-04-17,53,58,62,100,141,149,166
2020-04-18,83,89,93,114,137,142,154
2020-04-19,72,77,80,99,121,126,138
2020-04-20,98,108,112,135,160,166,176
2020-04-21,83,89,92,114,141,150,174
2020-04-22,87,93,96,117,141,148,165
2020-04-23,84,90,93,114,138,145,162
2020-04-24,67,73,77,102,145,156,176
2020-04-25,85,92,95,116,139,144,156
2020-04-26,74,79,82,101,122,128,141
2020-04-27,50,55,58,88,129,137,154
2020-04-28,61,66,69,86,105,110,122
2020-04-29,56,66,73,116,144,150,160
2020-04-30,55,61,64,81,101,104,113
2020-05-01,67,74,77,95,114,119,127
2020-05-02,34,39,42,74,112,119,133
2020-05-03,52,62,66,83,101,105,114
2020-05-04,50,55,57,72,88,92,99
2020-05-05,59,68,71,87,104,108,117
2020-05-06,45,51,55,78,111,123,138
2020-05-07,41,45,47,61,76,80,93
2020-05-08,41,47,50,85,131,137,143
2020-05-09,71,80,84,103,123,126,134
2020-05-10,63,72,78,126,159,165,174
2020-05-11,70,85,95,139,168,172,182
2020-05-12,100,112,116,139,162,167,177
2020-05-13,92,103,108,140,174,181,199
2020-05-14,95,106,112,145,180,188,204
2020-05-15,98,110,116,154,206,219,240
2020-05-16,130,130,130,195,236,254,291
2020-05-17,130,138,142,169,198,205,219
2020-05-18,148,157,162,190,222,229,244
2020-05-19,199,211,217,256,296,305,324
2020-05-20,168,191,205,290,350,358,379
2020-05-21,234,255,264,307,354,365,383
2020-05-22,258,291,311,369,427,441,473
2020-05-23,300,341,356,419,489,504,535
2020-05-24,355,394,409,481,561,578,614
2020-05-25,334,365,382,495,630,654,718
2020-05-26,326,348,358,453,636,686,766
2020-05-27,267,307,326,573,788,826,904
2020-05-28,504,533,549,644,749,772,823
2020-05-29,624,656,674,782,898,925,979
2020-05-30,534,565,583,679,787,810,859
2020-05-31,689,777,807,936,1072,1102,1156
2020-06-01,681,718,738,859,996,1035,1138
2020-06-02,584,624,647,916,1205,1256,1365
2020-06-03,641,673,696,840,1053,1150,1330
2020-06-04,658,697,718,835,972,1005,1095
2020-06-05,651,686,709,822,951,986,1055
2020-06-06,722,771,792,917,1052,1082,1142
2020-06-07,710,748,767,889,1024,1055,1116
2020-06-08,560,593,614,767,1035,1099,1218
2020-06-09,596,631,649,758,882,914,1007
2020-06-10,570,603,620,721,834,861,919
2020-06-11,535,599,643,893,1066,1094,1148
2020-06-12,585,685,759,984,1154,1190,1249
2020-06-13,751,816,841,975,1119,1149,1219
2020-06-14,717,804,853,1162,1374,1416,1485
2020-06-15,835,887,913,1058,1214,1250,1319
2020-06-16,663,708,727,881,1133,1230,1373
2020-06-17,680,716,737,860,998,1034,1139
2020-06-18,629,658,676,786,916,947,1032
2020-06-19,656,698,719,834,960,988,1045
2020-06-20,661,717,739,856,980,1008,1059
2020-06-21,672,720,740,862,989,1018,1069
2020-06-22,565,615,644,822,1029,1081,1264
2020-06-23,546,604,642,951,1247,1267,1394
2020-06-24,651,855,913,1085,1265,1304,1385
2020-06-25,1021,1070,1098,1268,1445,1482,1560
2020-06-26,928,981,1008,1167,1346,1387,1466
2020-06-27,819,860,882,1037,1228,1311,1512
2020-06-28,947,997,1024,1179,1349,1388,1466
2020-06-29,803,846,870,1014,1181,1233,1394
2020-06-30,840,886,908,1045,1200,1238,1330
2020-07-01,884,935,962,1105,1262,1295,1373
2020-07-02,892,1014,1063,1244,1427,1463,1534
2020-07-03,976,1083,1119,1293,1478,1516,1595
2020-07-04,965,1018,1045,1207,1388,1427,1516
2020-07-05,912,961,988,1139,1309,1346,1455
2020-07-06,1006,1143,1205,1412,1621,1661,1751
2020-07-07,1028,1090,1119,1288,1476,1521,1617
2020-07-08,1006,1062,1091,1260,1446,1490,1579
2020-07-09,1125,1213,1248,1443,1646,1686,1777
2020-07-10,1117,1269,1366,1661,1910,1964,2071
2020-07-11,994,1043,1072,1293,1647,1762,1979
2020-07-12,1089,1150,1179,1369,1580,1627,1734
2020-07-13,1112,1235,1316,1791,2130,2200,2306
2020-07-14,1167,1240,1270,1481,1716,1769,1897
2020-07-15,1323,1401,1438,1659,1899,1948,2061
2020-07-16,1153,1215,1244,1450,1684,1756,1980
2020-07-17,1284,1361,1397,1609,1842,1898,2010
2020-07-18,1137,1193,1228,1427,1653,1707,1876
2020-07-19,1026,1086,1113,1301,1535,1606,1839
2020-07-20,1170,1324,1381,1606,1845,1894,2004
2020-07-21,1199,1263,1296,1497,1711,1762,1874
2020-07-22,1268,1351,1390,1601,1829,1880,1981
2020-07-23,996,1058,1085,1288,1599,1720,1949
2020-07-24,984,1038,1062,1244,1438,1490,1651
2020-07-25,915,960,989,1150,1334,1377,1505
2020-07-26,925,980,1004,1160,1330,1368,1453
2020-07-27,859,907,935,1082,1240,1272,1360
2020-07-28,724,767,791,923,1073,1112,1242
2020-07-29,589,623,639,766,935,1006,1145
2020-07-30,507,537,554,653,773,817,944
2020-07-31,385,432,455,609,783,828,914
2020-08-01,306,346,370,524,702,740,818
2020-08-02,226,262,282,438,611,649,731
2020-08-03,44,44,47,48,59,59,59
2020-08-04,11,14,16,25,37,39,44
2020-08-05,270,282,282,296,310,341,341
2020-08-06,43,47,50,64,79,82,89
2020-08-07,38,42,44,58,72,75,82
2020-08-08,34,38,41,54,70,74,80
2020-08-09,104,110,113,126,139,140,150
2020-08-10,103,108,111,126,144,147,154
2020-08-11,125,130,133,151,171,174,182
2020-08-12,59,65,69,90,112,117,127
2020-08-13,61,68,72,94,117,123,133
2020-08-14,62,69,73,96,122,128,141
2020-08-15,111,117,120,139,160,164,175
2020-08-16,108,115,118,138,159,164,172
2020-08-17,103,109,112,133,155,159,168
2020-08-18,100,114,122,159,187,193,204
2020-08-19,119,136,142,170,198,203,214
2020-08-20,127,135,140,165,193,200,212
2020-08-21,118,131,138,179,224,233,253
2020-08-22,125,140,148,194,245,256,279
2020-08-23,132,149,157,209,268,280,309
2020-08-24,413,418,439,501,560,560,560
2020-08-25,178,183,185,225,270,282,303
2020-08-26,184,195,200,238,278,287,306
2020-08-27,225,248,266,350,432,451,488
2020-08-28,278,301,314,388,476,498,546
2020-08-29,306,331,347,431,529,557,619
2020-08-30,417,439,450,517,593,610,647
2020-08-31,228,246,254,305,358,370,396
2020-09-01,246,264,271,323,379,393,418
2020-09-02,361,395,410,505,611,635,681
2020-09-03,397,419,430,498,576,596,644
2020-09-04,408,433,457,586,725,757,805
2020-09-05,66,75,80,112,152,156,163
2020-09-06,496,518,530,599,674,688,721
2020-09-07,288,308,317,372,433,446,471
2020-09-08,369,418,435,533,638,661,700
2020-09-09,357,378,389,500,640,666,716
2020-09-10,373,394,405,479,580,621,694
2020-09-11,336,375,395,509,621,647,689
2020-09-12,352,381,399,504,624,651,702
2020-09-13,365,397,415,530,659,686,733
2020-09-14,388,410,420,491,572,590,628
2020-09-15,361,382,393,457,531,548,585
2020-09-16,407,429,441,512,591,608,643
2020-09-17,398,436,451,531,616,634,667
2020-09-18,318,352,372,488,619,648,709
2020-09-19,288,326,345,467,610,639,700
2020-09-20,311,349,370,501,648,679,752
2020-09-21,435,458,471,552,642,665,698
2020-09-22,490,518,531,617,707,727,771
2020-09-23,488,513,528,611,704,725,765
2020-09-24,455,483,498,578,666,685,730
2020-09-25,380,419,439,566,708,737,802
2020-09-26,360,395,418,548,700,736,801
2020-09-27,363,405,428,572,731,770,840
2020-09-28,468,494,509,595,688,708,750
2020-09-29,431,454,466,543,629,647,685
2020-09-30,63,63,63,82,94,115,115
2020-10-01,202,220,229,283,342,355,380
2020-10-02,177,193,203,251,305,316,339
2020-10-03,155,169,176,222,273,283,307
