Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,1,1,1,1,3,3,4
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,1,1,1,1,3,3,4
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,1,1,2,3,6,6,7
2020-03-10,1,1,1,2,4,4,5
2020-03-11,1,1,1,1,3,3,4
2020-03-12,1,2,2,4,6,6,7
2020-03-13,1,1,1,2,4,4,5
2020-03-14,2,2,3,4,7,8,9
2020-03-15,5,5,6,8,11,12,13
2020-03-16,6,7,7,10,14,15,16
2020-03-17,6,6,7,11,15,15,17
2020-03-18,42,43,44,51,58,59,62
2020-03-19,21,22,23,29,36,37,40
2020-03-20,71,75,77,87,96,98,102
2020-03-21,27,31,32,41,50,52,56
2020-03-22,28,32,35,49,68,73,80
2020-03-23,35,40,43,64,84,87,93
2020-03-24,49,58,63,78,92,95,101
2020-03-25,62,70,77,104,124,128,136
2020-03-26,68,76,80,113,149,155,163
2020-03-27,90,98,101,121,142,148,158
2020-03-28,86,93,96,116,139,146,163
2020-03-29,99,106,110,131,155,162,174
2020-03-30,119,137,149,189,223,229,241
2020-03-31,142,151,156,185,217,223,240
2020-04-01,169,192,210,261,306,313,335
2020-04-02,208,222,228,267,310,318,338
2020-04-03,177,218,234,304,379,396,430
2020-04-04,269,285,295,345,399,410,438
2020-04-05,360,435,449,520,596,612,646
2020-04-06,264,272,272,339,409,423,470
2020-04-07,212,226,234,349,577,606,669
2020-04-08,212,224,231,286,488,577,672
2020-04-09,205,218,224,286,375,408,661
2020-04-10,256,270,277,321,367,377,398
2020-04-11,211,224,232,278,349,368,403
2020-04-12,232,245,251,294,341,352,376
2020-04-13,263,280,288,332,379,390,412
2020-04-14,230,252,264,354,471,486,513
2020-04-15,234,260,275,400,514,528,557
2020-04-16,215,242,257,363,481,504,556
2020-04-17,298,345,371,515,618,634,670
2020-04-18,388,488,532,625,714,734,771
2020-04-19,136,136,136,138,152,152,169
2020-04-20,589,621,621,650,681,681,681
2020-04-21,356,372,380,431,484,495,519
2020-04-22,274,296,308,373,443,458,487
2020-04-23,267,289,300,365,436,450,481
2020-04-24,259,280,291,356,428,443,474
2020-04-25,390,407,418,470,533,541,560
2020-04-26,392,411,421,479,542,552,583
2020-04-27,378,466,479,545,613,625,653
2020-04-28,321,348,361,447,539,559,599
2020-04-29,329,358,373,464,563,583,630
2020-04-30,330,362,379,475,582,607,654
2020-05-01,403,472,506,698,830,843,872
2020-05-02,664,695,713,805,905,924,970
2020-05-03,650,683,700,802,913,935,978
2020-05-04,645,725,779,954,1094,1122,1169
2020-05-05,675,738,771,948,1132,1171,1245
2020-05-06,589,629,663,952,1206,1247,1328
2020-05-07,818,885,930,1206,1546,1599,1684
2020-05-08,1490,1563,1601,1796,2017,2052,2128
2020-05-09,1308,1373,1408,1606,1818,1862,1953
2020-05-10,1445,1516,1557,1776,2013,2067,2177
2020-05-11,1729,1838,1890,2150,2431,2497,2618
2020-05-12,1646,1781,1861,2285,2757,2859,3067
2020-05-13,1819,1976,2053,2545,3089,3200,3429
2020-05-14,2382,2524,2589,2966,3371,3462,3641
2020-05-15,263,263,263,264,286,286,286
2020-05-16,1358,1425,1460,1676,1911,1958,2057
2020-05-17,1653,1730,1772,2007,2259,2316,2419
2020-05-18,1593,1665,1708,1948,2206,2261,2378
2020-05-19,1637,1710,1754,2004,2272,2326,2449
2020-05-20,1756,1846,1892,2157,2439,2507,2635
2020-05-21,1845,2032,2097,2409,2735,2799,2944
2020-05-22,1583,1666,1706,1990,2352,2475,2791
2020-05-23,1763,1864,1909,2191,2501,2579,2720
2020-05-24,1546,1627,1670,1931,2245,2329,2594
2020-05-25,1275,1363,1390,1731,2303,2448,2701
2020-05-26,1261,1328,1367,1595,1868,1960,2259
2020-05-27,1311,1522,1616,1901,2188,2249,2380
2020-05-28,1168,1305,1376,2068,2703,2804,2976
2020-05-29,1383,1752,1936,2307,2676,2763,2897
2020-05-30,1706,2001,2186,2708,3138,3212,3404
2020-05-31,2119,2354,2431,2801,3195,3271,3423
2020-06-01,2054,2265,2397,3231,3802,3889,4049
2020-06-02,2334,2664,2893,3557,4074,4167,4377
2020-06-03,2564,2869,3062,3976,4611,4725,4914
2020-06-04,3147,3328,3420,3900,4417,4524,4741
2020-06-05,3549,3778,3880,4423,4990,5106,5366
2020-06-06,3805,4042,4141,4712,5329,5449,5646
2020-06-07,3875,4082,4184,4753,5378,5507,5803
2020-06-08,3919,4118,4225,4815,5482,5626,5940
2020-06-09,4325,4562,4670,5318,6042,6195,6489
2020-06-10,4627,4912,5032,5735,6513,6660,6966
2020-06-11,5024,5300,5441,6215,7042,7224,7597
2020-06-12,4478,4836,5054,6288,7623,7915,8588
2020-06-13,5328,5601,5742,6592,7550,7764,8183
2020-06-14,5524,6147,6916,9645,11186,11458,12284
2020-06-15,3843,4308,4308,5260,6139,6338,6750
2020-06-16,4782,5045,5170,5943,6807,6980,7412
2020-06-17,4505,4752,4874,5626,6437,6607,6948
2020-06-18,4196,4438,4563,5302,6121,6320,6865
2020-06-19,4635,5218,5417,6226,7088,7274,7602
2020-06-20,4248,4472,4604,5328,6132,6335,6818
2020-06-21,3860,4068,4177,4877,5661,5883,6529
2020-06-22,3448,3623,3729,4330,5052,5285,6070
2020-06-23,3234,3449,3522,4073,4685,4830,5142
2020-06-24,3209,3413,3502,4029,4609,4736,4995
2020-06-25,2470,2616,2684,3146,3741,3985,4540
2020-06-26,2516,2666,2736,3147,3596,3708,3922
2020-06-27,2194,2495,2662,3517,4109,4209,4417
2020-06-28,2445,2802,2906,3359,3845,3944,4143
2020-06-29,2319,2446,2511,2895,3328,3413,3620
2020-06-30,2057,2316,2459,3376,4017,4141,4349
2020-07-01,2103,2414,2577,3633,4323,4411,4661
2020-07-02,2593,3106,3260,3779,4301,4420,4656
2020-07-03,2304,2591,2745,3494,4305,4470,4804
2020-07-04,2744,2910,2989,3452,3969,4075,4319
2020-07-05,2481,2700,2929,4521,5697,5886,6106
2020-07-06,2289,2407,2477,2919,3412,3530,3783
2020-07-07,2404,2541,2612,3017,3466,3572,3785
2020-07-08,2629,2760,2827,3245,3698,3794,4007
2020-07-09,2292,2443,2504,2887,3327,3416,3640
2020-07-10,2264,2397,2457,2831,3251,3339,3542
2020-07-11,2130,2234,2300,2647,3041,3138,3375
2020-07-12,2207,2323,2375,2737,3126,3203,3392
2020-07-13,1780,1869,1926,2249,2669,2834,3243
2020-07-14,1805,1913,1957,2253,2582,2662,2865
2020-07-15,1754,1848,1900,2188,2511,2577,2731
2020-07-16,1438,1570,1644,2088,2581,2691,2917
2020-07-17,1401,1531,1610,2085,2650,2820,3321
2020-07-18,1323,1415,1452,1708,1998,2087,2364
2020-07-19,1302,1374,1408,1630,1878,1926,2037
2020-07-20,927,982,1010,1180,1365,1406,1482
2020-07-21,1027,1095,1127,1307,1501,1538,1634
2020-07-22,864,972,1034,1441,1724,1770,1878
2020-07-23,959,1025,1056,1227,1417,1456,1550
2020-07-24,975,1135,1179,1371,1566,1602,1682
2020-07-25,986,1041,1071,1233,1411,1449,1536
2020-07-26,801,876,917,1168,1455,1514,1643
2020-07-27,922,980,1008,1167,1343,1386,1464
2020-07-28,794,836,859,998,1152,1187,1260
2020-07-29,849,891,914,1052,1204,1237,1301
2020-07-30,840,903,930,1075,1235,1267,1337
2020-07-31,760,795,817,947,1091,1125,1203
2020-08-01,642,707,740,940,1168,1218,1326
2020-08-02,671,758,806,1144,1378,1408,1501
2020-08-03,648,686,707,836,982,1018,1109
2020-08-04,62,62,62,112,118,138,139
2020-08-05,478,500,512,578,648,664,694
2020-08-06,331,358,372,480,632,670,707
2020-08-07,297,322,336,438,644,692,734
2020-08-08,268,295,309,419,636,688,747
2020-08-09,320,389,457,563,649,666,695
2020-08-10,424,448,460,526,598,612,646
2020-08-11,420,441,453,519,592,607,637
2020-08-12,376,417,441,588,696,720,752
2020-08-13,380,434,466,623,730,748,786
2020-08-14,472,507,523,604,690,707,743
2020-08-15,506,569,591,684,780,806,846
2020-08-16,469,512,535,689,932,983,1056
2020-08-17,461,507,530,685,865,913,993
2020-08-18,514,542,557,651,759,782,854
2020-08-19,512,541,556,645,744,766,809
2020-08-20,458,483,495,575,665,686,723
2020-08-21,509,539,553,640,735,757,801
2020-08-22,488,516,530,617,712,734,786
2020-08-23,464,514,539,731,965,999,1071
2020-08-24,445,494,520,686,876,920,1005
2020-08-25,408,432,443,562,794,856,973
2020-08-26,407,432,445,520,605,624,669
2020-08-27,377,400,409,479,556,572,604
2020-08-28,351,371,383,449,524,543,595
2020-08-29,289,305,317,383,491,525,597
2020-08-30,242,256,266,330,445,481,545
2020-08-31,191,204,212,273,388,417,482
2020-09-01,217,239,248,294,345,356,381
2020-09-02,175,195,206,271,345,360,395
2020-09-03,154,175,187,260,387,425,462
2020-09-04,148,166,178,287,503,503,572
2020-09-05,16,16,16,28,39,39,42
2020-09-06,316,318,318,340,353,353,353
2020-09-07,160,167,170,191,215,219,230
2020-09-08,70,77,81,103,127,132,143
2020-09-09,62,69,73,95,120,125,135
2020-09-10,56,63,67,89,114,119,129
2020-09-11,225,225,238,265,280,280,284
2020-09-12,217,226,230,255,281,287,297
2020-09-13,231,240,245,272,301,306,316
2020-09-14,103,113,117,147,179,186,200
2020-09-15,114,124,130,162,198,205,220
2020-09-16,117,128,135,170,208,217,231
2020-09-17,344,354,363,398,443,458,469
2020-09-18,337,351,358,399,442,451,471
2020-09-19,365,380,388,433,483,491,512
2020-09-20,250,271,282,345,414,432,475
2020-09-21,293,321,336,442,530,543,570
2020-09-22,389,417,429,493,559,574,596
2020-09-23,511,565,582,662,747,764,795
2020-09-24,553,609,630,723,820,840,879
2020-09-25,521,551,567,665,794,840,927
2020-09-26,608,642,658,764,883,916,993
2020-09-27,567,605,628,827,1091,1139,1239
2020-09-28,628,660,677,830,1110,1181,1316
2020-09-29,671,708,726,853,1016,1076,1252
2020-09-30,626,694,736,994,1242,1294,1406
2020-10-01,674,725,753,1056,1367,1437,1573
2020-10-02,799,888,937,1213,1531,1609,1746
2020-10-03,730,803,853,1134,1396,1463,1609
2020-10-04,900,965,1006,1231,1481,1534,1649
2020-10-05,981,1033,1060,1215,1386,1424,1501
2020-10-06,744,777,794,1023,1148,1648,1648
2020-10-07,682,722,741,865,1003,1034,1089
2020-10-08,856,975,1024,1259,1505,1563,1676
2020-10-09,875,995,1053,1305,1579,1641,1758
2020-10-10,918,1031,1083,1360,1673,1739,1872
2020-10-11,903,980,1029,1264,1565,1619,1693
2020-10-12,798,948,992,1239,1542,1607,1700
2020-10-13,670,716,746,1058,1352,1374,1475
2020-10-14,691,729,750,869,1010,1044,1108
2020-10-15,617,646,665,767,880,906,970
2020-10-16,536,573,590,698,863,916,1005
2020-10-17,494,518,532,627,736,767,849
2020-10-18,384,403,414,490,595,641,741
2020-10-19,353,415,444,539,632,652,693
2020-10-20,293,334,361,567,701,724,757
2020-10-21,268,339,387,610,734,757,809
2020-10-22,336,420,464,632,748,764,804
2020-10-23,364,415,445,641,792,812,853
2020-10-24,366,426,463,654,786,808,841
2020-10-25,457,530,554,641,729,747,786
2020-10-26,461,526,558,666,761,780,822
2020-10-27,446,498,528,682,794,815,856
2020-10-28,437,483,509,695,838,863,924
2020-10-29,428,478,501,671,903,937,998
2020-10-30,528,614,642,750,863,884,931
2020-10-31,656,728,753,868,985,1007,1059
2020-11-01,676,766,814,966,1100,1128,1178
2020-11-02,736,830,879,1030,1173,1200,1245
2020-11-03,807,910,972,1149,1308,1341,1406
2020-11-04,952,1030,1063,1215,1378,1413,1469
2020-11-05,1058,1121,1151,1314,1488,1530,1604
2020-11-06,1158,1231,1263,1445,1643,1684,1765
2020-11-07,1189,1252,1286,1472,1680,1729,1819
2020-11-08,1337,1406,1441,1648,1872,1919,2022
2020-11-09,1379,1446,1482,1702,1939,1997,2116
2020-11-10,1448,1527,1561,1793,2051,2111,2240
2020-11-11,1528,1614,1653,1902,2172,2232,2380
2020-11-12,1799,1911,1963,2240,2547,2616,2742
2020-11-13,1824,1918,1967,2251,2566,2647,2803
2020-11-14,2011,2108,2164,2480,2827,2908,3066
2020-11-15,1919,2002,2056,2380,2761,2871,3188
2020-11-16,1864,1967,2019,2360,2816,2983,3367
2020-11-17,2007,2107,2163,2486,2858,2957,3206
2020-11-18,2124,2251,2308,2646,3021,3101,3283
2020-11-19,2252,2366,2427,2791,3190,3273,3460
2020-11-20,2344,2453,2521,2893,3299,3396,3594
2020-11-21,2265,2394,2452,2820,3221,3320,3556
2020-11-22,2314,2441,2502,2875,3300,3388,3604
2020-11-23,2406,2555,2615,3001,3429,3517,3717
2020-11-24,2468,2596,2661,3052,3486,3575,3767
2020-11-25,2613,2759,2834,3244,3689,3788,3975
2020-11-26,2560,2694,2766,3169,3620,3714,3944
2020-11-27,2529,2668,2741,3139,3573,3678,3915
2020-11-28,2414,2527,2594,2987,3425,3526,3777
2020-11-29,2378,2490,2557,2953,3375,3474,3693
2020-11-30,2119,2242,2305,2670,3077,3183,3497
2020-12-01,2261,2387,2451,2814,3210,3297,3502
2020-12-02,2160,2517,2695,3173,3623,3714,3922
2020-12-03,2444,2635,2711,3117,3559,3643,3836
2020-12-04,2451,2595,2671,3063,3492,3591,3765
2020-12-05,2504,2695,2771,3189,3637,3724,3911
2020-12-06,2551,2900,3016,3481,3963,4053,4253
2020-12-07,2441,2569,2639,3032,3473,3583,3824
2020-12-08,2450,2577,2642,3045,3475,3569,3779
2020-12-09,2524,2649,2719,3123,3579,3672,3875
2020-12-10,2462,2602,2670,3065,3499,3592,3775
2020-12-11,2291,2418,2478,2855,3276,3363,3585
2020-12-12,2460,2680,2769,3191,3644,3733,3932
2020-12-13,2065,2187,2241,2609,3036,3153,3518
2020-12-14,2067,2175,2232,2573,2958,3048,3248
2020-12-15,2139,2275,2340,2684,3065,3142,3321
2020-12-16,2050,2166,2229,2554,2921,2996,3176
2020-12-17,2075,2322,2404,2779,3182,3260,3422
2020-12-18,2144,2431,2533,2933,3343,3431,3615
2020-12-19,2144,2259,2319,2665,3042,3123,3307
2020-12-20,1605,1697,1755,2260,3080,3218,3506
2020-12-21,1498,1586,1625,1935,2384,2631,3080
2020-12-22,1644,1756,1807,2099,2416,2488,2632
2020-12-23,1637,1808,1867,2156,2475,2541,2671
2020-12-24,1660,1769,1826,2103,2410,2477,2615
2020-12-25,1668,1811,1868,2158,2473,2537,2664
2020-12-26,1540,1625,1671,1923,2202,2261,2404
2020-12-27,1572,1660,1705,1960,2240,2304,2434
2020-12-28,1460,1550,1588,1829,2086,2145,2255
2020-12-29,1550,1702,1758,2023,2306,2371,2493
2020-12-30,1499,1735,1854,2211,2543,2609,2720
2020-12-31,1706,1912,1981,2280,2603,2664,2804
2021-01-01,1765,1853,1897,2180,2486,2554,2691
2021-01-02,1815,1915,1965,2250,2562,2637,2782
2021-01-03,1633,1723,1770,2044,2354,2440,2647
2021-01-04,1638,1732,1775,2048,2348,2420,2584
2021-01-05,1718,1815,1863,2138,2438,2502,2656
2021-01-06,1839,1992,2052,2356,2678,2748,2889
2021-01-07,1898,2026,2083,2382,2701,2776,2938
2021-01-08,1737,1828,1877,2160,2483,2563,2751
2021-01-09,1941,2197,2286,2658,3026,3100,3250
2021-01-10,1688,1787,1838,2150,2557,2711,3082
2021-01-11,1943,2044,2095,2409,2759,2828,2974
2021-01-12,1799,1898,1953,2250,2587,2663,2860
2021-01-13,1957,2239,2381,2795,3198,3271,3437
2021-01-14,2017,2127,2180,2505,2868,2953,3138
2021-01-15,2028,2140,2192,2514,2875,2957,3161
2021-01-16,2071,2191,2243,2573,2943,3029,3212
2021-01-17,1757,1846,1900,2240,2711,2889,3231
2021-01-18,1622,1703,1759,2074,2519,2721,3101
2021-01-19,1557,1636,1681,1953,2278,2380,2711
2021-01-20,1733,1891,1949,2250,2572,2642,2780
2021-01-21,1500,1586,1626,1881,2163,2231,2424
2021-01-22,1551,1636,1681,1937,2219,2284,2413
2021-01-23,1359,1431,1472,1704,1972,2031,2193
2021-01-24,1351,1412,1451,1669,1914,1964,2086
2021-01-25,1370,1496,1545,1783,2043,2090,2197
2021-01-26,1275,1351,1390,1597,1832,1876,2001
2021-01-27,1322,1470,1528,1771,2026,2087,2181
2021-01-28,1312,1386,1423,1639,1875,1925,2037
2021-01-29,1274,1411,1532,1904,2199,2266,2365
2021-01-30,1323,1390,1428,1649,1886,1939,2069
2021-01-31,1313,1394,1429,1642,1877,1933,2045
2021-02-01,1095,1154,1184,1383,1641,1750,2000
2021-02-02,1133,1198,1231,1424,1637,1684,1796
2021-02-03,1167,1244,1281,1474,1686,1731,1818
2021-02-04,1077,1138,1168,1345,1538,1585,1689
2021-02-05,1049,1106,1136,1310,1501,1544,1637
2021-02-06,1059,1123,1153,1329,1521,1562,1651
2021-02-07,899,945,971,1128,1309,1367,1511
2021-02-08,849,896,921,1068,1233,1272,1377
2021-02-09,856,908,934,1077,1234,1269,1347
2021-02-10,770,869,925,1258,1484,1527,1611
2021-02-11,930,1011,1049,1219,1397,1432,1509
2021-02-12,974,1035,1065,1228,1404,1440,1519
2021-02-13,1031,1110,1146,1322,1508,1543,1619
2021-02-14,903,951,978,1132,1308,1354,1472
2021-02-15,814,891,937,1189,1466,1530,1653
2021-02-16,858,943,999,1433,1819,1874,1979
2021-02-17,1014,1080,1111,1301,1503,1548,1639
2021-02-18,1021,1076,1102,1282,1473,1521,1602
2021-02-19,1076,1131,1161,1340,1540,1582,1679
2021-02-20,1075,1134,1168,1345,1543,1585,1685
2021-02-21,987,1048,1073,1242,1438,1489,1620
2021-02-22,922,972,1000,1161,1354,1410,1577
2021-02-23,980,1032,1061,1222,1395,1433,1525
2021-02-24,1046,1115,1148,1318,1502,1543,1632
2021-02-25,1083,1207,1248,1437,1640,1681,1771
2021-02-26,1078,1136,1168,1344,1540,1584,1672
2021-02-27,1005,1061,1093,1266,1455,1501,1626
2021-02-28,1106,1166,1199,1380,1572,1616,1708
2021-03-01,999,1056,1082,1253,1447,1493,1612
2021-03-02,1100,1161,1193,1374,1568,1608,1694
2021-03-03,1151,1235,1269,1463,1668,1715,1803
2021-03-04,1208,1293,1327,1525,1736,1789,1888
2021-03-05,1287,1381,1422,1635,1861,1910,2009
2021-03-06,1366,1456,1494,1716,1956,2014,2109
2021-03-07,1330,1396,1431,1644,1880,1931,2053
2021-03-08,1203,1267,1299,1510,1762,1839,2031
