Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,1,1,1,1,3,3,4
2020-03-11,1,1,2,3,5,5,6
2020-03-12,1,1,1,2,3,4,5
2020-03-13,1,2,2,3,5,6,7
2020-03-14,1,1,2,4,6,6,7
2020-03-15,1,2,2,4,6,7,8
2020-03-16,3,4,4,6,9,10,11
2020-03-17,2,3,3,7,11,12,13
2020-03-18,3,4,4,9,13,14,16
2020-03-19,4,5,5,11,17,18,20
2020-03-20,5,6,7,13,21,22,25
2020-03-21,8,9,10,15,21,23,26
2020-03-22,11,13,14,20,27,29,32
2020-03-23,12,15,17,24,31,33,36
2020-03-24,1,2,2,7,12,13,15
2020-03-25,40,43,45,53,63,65,69
2020-03-26,19,22,24,34,45,47,52
2020-03-27,22,26,27,39,51,54,59
2020-03-28,25,29,31,44,58,61,69
2020-03-29,63,67,70,84,96,99,106
2020-03-30,60,65,67,82,98,101,108
2020-03-31,66,75,77,105,144,150,161
2020-04-01,71,80,86,114,143,149,162
2020-04-02,102,110,114,136,159,164,175
2020-04-03,123,131,135,158,185,190,202
2020-04-04,151,160,164,192,222,228,241
2020-04-05,126,135,141,186,250,264,287
2020-04-06,160,170,176,209,247,257,284
2020-04-07,132,156,177,245,309,323,351
2020-04-08,139,149,154,233,337,353,384
2020-04-09,197,222,232,284,337,350,377
2020-04-10,183,195,202,245,294,305,325
2020-04-11,183,194,200,239,286,298,332
2020-04-12,202,216,223,264,310,320,346
2020-04-13,159,170,176,234,331,353,385
2020-04-14,172,190,199,265,350,369,413
2020-04-15,169,190,200,270,362,385,429
2020-04-16,156,169,174,213,267,289,336
2020-04-17,199,211,218,255,297,307,327
2020-04-18,163,173,179,212,249,256,272
2020-04-19,139,156,165,218,277,291,317
2020-04-20,154,164,169,202,238,246,266
