Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,1,1,1,1,3,3,4
2020-03-07,0,0,0,0,0,0,0
2020-03-08,1,1,1,3,4,5,5
2020-03-09,1,1,1,1,3,3,4
2020-03-10,1,1,1,2,4,4,5
2020-03-11,0,0,0,2,3,3,3
2020-03-12,1,1,1,2,4,4,5
2020-03-13,1,2,2,4,6,7,8
2020-03-14,1,2,2,4,7,8,9
2020-03-15,1,2,2,4,6,6,8
2020-03-16,4,4,5,8,11,12,14
2020-03-17,4,4,5,8,13,14,17
2020-03-18,4,5,6,10,16,18,20
2020-03-19,28,30,32,38,44,45,47
2020-03-20,3,6,8,16,24,26,29
2020-03-21,13,15,17,24,33,35,39
2020-03-22,15,19,21,33,42,44,47
2020-03-23,21,23,24,31,39,41,45
2020-03-24,16,18,20,27,35,37,40
2020-03-25,25,30,33,49,61,63,67
2020-03-26,27,31,34,50,72,77,85
2020-03-27,37,41,43,54,67,70,75
2020-03-28,30,33,35,46,58,62,75
2020-03-29,48,53,57,79,102,108,126
2020-03-30,67,74,77,94,112,116,124
2020-03-31,83,89,92,110,130,134,143
2020-04-01,98,109,118,184,221,226,247
2020-04-02,89,98,102,150,211,222,243
2020-04-03,139,148,152,184,220,228,246
2020-04-04,127,137,141,170,202,210,233
2020-04-05,141,155,163,211,265,278,306
2020-04-06,192,214,222,262,303,312,330
2020-04-07,270,292,301,348,401,409,433
2020-04-08,324,336,349,468,578,622,622
2020-04-09,347,387,412,535,680,718,776
2020-04-10,493,529,545,627,715,736,773
2020-04-11,689,724,740,839,944,966,1013
2020-04-12,597,633,652,753,863,889,950
2020-04-13,686,746,778,961,1159,1199,1284
2020-04-14,634,730,813,1051,1288,1336,1433
2020-04-15,939,1001,1029,1187,1355,1391,1480
2020-04-16,886,936,965,1127,1303,1337,1409
2020-04-17,870,923,950,1104,1284,1323,1403
2020-04-18,830,878,903,1062,1280,1388,1621
