Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,2,3,3,3
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,1,1,1,2,3,3,4
2020-03-07,1,1,1,1,3,3,4
2020-03-08,1,1,1,2,4,4,5
2020-03-09,1,1,2,3,6,6,7
2020-03-10,1,2,2,4,6,7,8
2020-03-11,2,2,2,4,7,8,10
2020-03-12,1,1,1,3,5,5,6
2020-03-13,3,4,4,6,9,10,11
2020-03-14,4,5,5,8,12,13,14
2020-03-15,3,4,5,8,12,13,16
2020-03-16,1,1,2,4,7,9,10
2020-03-17,15,16,17,22,28,29,30
2020-03-18,7,8,9,13,17,18,21
2020-03-19,7,9,9,14,19,20,22
2020-03-20,7,8,9,13,19,20,22
2020-03-21,10,12,13,19,26,28,32
2020-03-22,11,13,14,21,29,31,34
2020-03-23,12,14,16,23,32,34,38
2020-03-24,41,44,46,54,64,64,67
2020-03-25,47,50,52,63,73,76,80
2020-03-26,47,51,53,63,75,78,83
2020-03-27,50,59,63,80,95,98,104
2020-03-28,57,63,67,84,105,109,118
2020-03-29,67,74,78,100,124,130,140
2020-03-30,90,98,101,121,141,145,154
2020-03-31,259,274,280,289,316,329,343
2020-04-01,179,190,195,228,263,270,285
2020-04-02,233,253,260,301,344,353,372
2020-04-03,291,310,318,366,416,428,450
2020-04-04,295,319,334,412,495,514,551
2020-04-05,348,380,397,491,591,613,652
2020-04-06,385,405,417,497,617,655,721
2020-04-07,180,197,198,241,294,311,331
2020-04-08,182,197,204,250,300,311,333
2020-04-09,390,421,438,532,634,655,698
2020-04-10,417,452,469,573,687,712,761
2020-04-11,457,492,513,630,762,790,846
2020-04-12,345,525,525,591,720,720,720
2020-04-13,324,348,359,423,493,509,539
2020-04-14,315,338,347,408,474,491,520
2020-04-15,392,424,441,538,644,666,709
2020-04-16,383,416,433,535,644,667,713
2020-04-17,365,402,418,530,650,674,726
2020-04-18,230,252,256,313,446,498,566
2020-04-19,183,195,202,241,284,295,331
2020-04-20,177,188,194,227,266,274,291
