Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.97,0.98,0.98,1,1.02,1.02,1.03
2020-03-03,0.95,0.96,0.97,1,1.03,1.04,1.05
2020-03-04,0.93,0.95,0.95,1,1.04,1.05,1.07
2020-03-05,0.9,0.93,0.94,1,1.06,1.07,1.09
2020-03-06,0.88,0.91,0.92,1,1.08,1.09,1.12
2020-03-07,0.85,0.89,0.91,1,1.09,1.11,1.14
2020-03-08,0.82,0.86,0.89,1,1.11,1.13,1.17
2020-03-09,0.8,0.85,0.87,1.01,1.13,1.15,1.2
2020-03-10,0.77,0.83,0.86,1.01,1.15,1.18,1.23
2020-03-11,0.74,0.8,0.84,1.01,1.16,1.2,1.26
2020-03-12,0.71,0.78,0.82,1.01,1.18,1.22,1.29
2020-03-13,0.68,0.76,0.8,1.02,1.21,1.25,1.32
2020-03-14,0.65,0.74,0.78,1.02,1.23,1.27,1.35
2020-03-15,0.63,0.72,0.76,1.02,1.25,1.29,1.38
2020-03-16,0.6,0.7,0.74,1.02,1.27,1.32,1.41
2020-03-17,0.58,0.68,0.73,1.02,1.3,1.34,1.45
2020-03-18,0.55,0.66,0.71,1.02,1.32,1.37,1.47
2020-03-19,0.52,0.64,0.69,1.02,1.34,1.39,1.5
2020-03-20,0.51,0.63,0.68,1.02,1.36,1.42,1.53
2020-03-21,0.49,0.61,0.66,1.02,1.38,1.45,1.55
2020-03-22,0.47,0.59,0.65,1.03,1.4,1.46,1.58
2020-03-23,0.43,0.57,0.63,1.03,1.41,1.48,1.61
2020-03-24,0.42,0.55,0.62,1.03,1.43,1.5,1.63
2020-03-25,0.39,0.54,0.61,1.03,1.44,1.52,1.65
2020-03-26,0.38,0.52,0.59,1.03,1.46,1.53,1.68
2020-03-27,0.64,0.92,1.22,1.21,1.22,1.22,1.43
2020-03-28,0.64,0.92,1.22,1.22,1.24,1.25,1.43
2020-03-29,0.62,0.92,1.22,1.23,1.27,1.27,1.43
2020-03-30,0.62,0.91,1.21,1.24,1.29,1.3,1.43
2020-03-31,0.62,0.91,1.2,1.25,1.32,1.33,1.44
2020-04-01,0.61,0.91,1.18,1.26,1.34,1.36,1.44
2020-04-02,1.2,1.27,1.3,1.29,1.3,1.3,1.35
2020-04-03,1.19,1.27,1.29,1.3,1.31,1.31,1.37
2020-04-04,1.18,1.27,1.28,1.3,1.32,1.33,1.39
2020-04-05,1.16,1.25,1.26,1.3,1.33,1.34,1.41
2020-04-06,1.14,1.23,1.25,1.3,1.35,1.36,1.43
2020-04-07,1.13,1.21,1.23,1.29,1.36,1.38,1.45
2020-04-08,1.1,1.19,1.21,1.29,1.38,1.39,1.47
2020-04-09,1.08,1.17,1.19,1.29,1.39,1.41,1.49
2020-04-10,1.05,1.14,1.17,1.28,1.4,1.43,1.51
2020-04-11,1.01,1.12,1.14,1.27,1.41,1.44,1.52
2020-04-12,0.98,1.09,1.12,1.27,1.42,1.46,1.54
2020-04-13,0.95,1.05,1.09,1.26,1.43,1.47,1.56
2020-04-14,0.91,1.02,1.06,1.25,1.44,1.48,1.58
2020-04-15,0.87,0.99,1.03,1.24,1.45,1.49,1.59
2020-04-16,0.86,0.96,1,1.23,1.46,1.5,1.62
2020-04-17,0.81,0.93,0.97,1.22,1.47,1.51,1.63
2020-04-18,0.78,0.89,0.94,1.21,1.48,1.52,1.65
2020-04-19,0.74,0.86,0.91,1.19,1.48,1.53,1.66
2020-04-20,0.71,0.82,0.88,1.18,1.49,1.54,1.67
2020-04-21,0.66,0.79,0.85,1.17,1.49,1.55,1.67
2020-04-22,0.63,0.75,0.82,1.15,1.49,1.56,1.69
2020-04-23,0.59,0.72,0.78,1.14,1.49,1.57,1.69
2020-04-24,0.55,0.69,0.75,1.12,1.49,1.57,1.7
2020-04-25,0.52,0.66,0.72,1.11,1.5,1.57,1.71
2020-04-26,0.49,0.63,0.69,1.09,1.49,1.57,1.71
2020-04-27,0.45,0.6,0.67,1.08,1.49,1.57,1.72
2020-04-28,0.43,0.56,0.64,1.06,1.49,1.57,1.72
2020-04-29,0.4,0.53,0.61,1.04,1.49,1.57,1.72
2020-04-30,0.36,0.5,0.59,1.03,1.49,1.57,1.73
2020-05-01,0.33,0.48,0.57,1.01,1.49,1.57,1.72
2020-05-02,0.29,0.45,0.54,1,1.48,1.57,1.72
2020-05-03,0.25,0.43,0.52,0.99,1.47,1.56,1.71
2020-05-04,0.22,0.41,0.49,0.97,1.47,1.56,1.72
2020-05-05,0.2,0.39,0.47,0.96,1.46,1.55,1.72
2020-05-06,0.18,0.36,0.45,0.94,1.46,1.54,1.72
2020-05-07,0.16,0.34,0.43,0.93,1.45,1.54,1.72
2020-05-08,0.15,0.32,0.42,0.92,1.45,1.53,1.71
2020-05-09,0.14,0.3,0.4,0.91,1.44,1.52,1.71
2020-05-10,0.13,0.29,0.38,0.9,1.43,1.52,1.71
2020-05-11,0.12,0.27,0.37,0.89,1.42,1.52,1.71
2020-05-12,0.12,0.26,0.35,0.88,1.42,1.51,1.7
2020-05-13,0.12,0.25,0.34,0.87,1.41,1.51,1.71
2020-05-14,0.11,0.23,0.33,0.86,1.4,1.51,1.71
2020-05-15,0.11,0.23,0.32,0.85,1.39,1.5,1.71
2020-05-16,0.11,0.22,0.32,0.84,1.39,1.5,1.71
2020-05-17,0.11,0.21,0.31,0.84,1.39,1.49,1.7
2020-05-18,0.11,0.21,0.3,0.83,1.38,1.5,1.7
2020-05-19,0.11,0.2,0.3,0.83,1.37,1.49,1.71
2020-05-20,0.11,0.21,0.29,0.82,1.37,1.48,1.7
2020-05-21,0.11,0.2,0.29,0.82,1.36,1.47,1.7
2020-05-22,0.11,0.2,0.29,0.82,1.36,1.47,1.7
2020-05-23,0.12,0.2,0.29,0.82,1.36,1.47,1.69
2020-05-24,0.46,0.92,0.92,0.92,0.92,0.92,1.22
2020-05-25,0.48,0.92,0.92,0.93,0.94,0.94,1.21
2020-05-26,0.46,0.91,0.92,0.94,0.96,0.97,1.22
2020-05-27,0.47,0.9,0.92,0.95,0.98,0.99,1.22
2020-05-28,0.49,0.89,0.91,0.96,1.01,1.02,1.23
2020-05-29,0.49,0.88,0.91,0.97,1.04,1.05,1.23
2020-05-30,0.5,0.87,0.9,0.98,1.07,1.08,1.23
2020-05-31,0.49,0.86,0.89,0.99,1.09,1.11,1.23
2020-06-01,0.51,0.84,0.88,1,1.12,1.15,1.25
