Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,1,1,1,1,3,3,4
2020-03-05,0,0,0,0,0,0,0
2020-03-06,1,1,1,2,4,4,5
2020-03-07,0,0,0,0,0,0,0
2020-03-08,1,1,1,3,5,5,6
2020-03-09,1,1,1,3,4,5,6
2020-03-10,1,1,2,3,5,5,6
2020-03-11,1,2,2,4,7,7,8
2020-03-12,2,2,2,5,8,9,10
2020-03-13,2,3,3,5,9,10,13
2020-03-14,3,4,4,7,11,11,13
2020-03-15,4,5,6,10,14,15,16
2020-03-16,6,7,8,12,16,17,20
2020-03-17,21,22,23,29,35,36,38
2020-03-18,7,8,9,13,18,19,21
2020-03-19,37,40,41,48,56,58,61
2020-03-20,14,16,18,26,35,37,42
2020-03-21,18,21,22,31,41,44,48
2020-03-22,20,23,24,35,46,48,54
2020-03-23,26,32,32,44,57,66,72
2020-03-24,74,79,81,94,109,113,117
2020-03-25,85,89,92,106,122,125,132
2020-03-26,68,78,90,123,144,148,156
2020-03-27,82,93,99,133,158,163,171
2020-03-28,93,104,109,142,187,197,213
2020-03-29,124,141,152,189,220,227,239
2020-03-30,151,160,165,194,224,231,243
2020-03-31,192,203,209,242,278,286,301
2020-04-01,198,211,217,253,292,301,319
2020-04-02,241,277,292,347,399,410,432
2020-04-03,305,336,348,404,463,474,500
2020-04-04,257,277,290,407,523,543,590
2020-04-05,381,403,415,484,558,574,610
2020-04-06,304,327,340,435,598,630,709
2020-04-07,370,390,403,474,555,575,634
2020-04-08,337,356,365,451,601,641,723
2020-04-09,337,357,367,441,559,606,697
2020-04-10,341,359,370,435,518,550,635
2020-04-11,350,367,376,439,509,528,584
2020-04-12,304,320,331,400,517,552,618
2020-04-13,275,291,301,408,536,563,627
2020-04-14,259,276,285,359,487,519,595
2020-04-15,301,317,327,381,441,454,484
2020-04-16,270,286,296,345,400,412,435
2020-04-17,242,290,320,404,474,486,513
2020-04-18,275,296,306,358,414,427,454
2020-04-19,233,260,274,397,512,527,556
2020-04-20,241,259,268,319,375,389,424
