Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,1,1,1,2,3,3,4
2020-03-03,0,0,0,0,0,0,0
2020-03-04,1,1,1,2,3,4,5
2020-03-05,1,1,1,2,4,4,5
2020-03-06,1,1,1,3,4,5,6
2020-03-07,1,1,2,3,5,6,7
2020-03-08,1,2,2,4,7,7,9
2020-03-09,0,0,0,1,3,3,5
2020-03-10,2,2,2,5,8,9,10
2020-03-11,2,3,3,6,10,11,12
2020-03-12,0,0,0,1,4,5,7
2020-03-13,4,5,5,9,13,14,15
2020-03-14,5,6,7,10,15,16,18
2020-03-15,7,8,8,13,18,19,21
2020-03-16,28,31,32,38,45,46,48
2020-03-17,43,45,46,54,62,64,67
2020-03-18,2,3,4,9,15,16,19
2020-03-19,26,29,31,40,51,54,59
2020-03-20,27,30,32,44,57,60,65
2020-03-21,32,36,38,51,66,69,75
2020-03-22,131,131,131,152,166,166,166
2020-03-23,186,193,197,220,242,247,256
2020-03-24,171,178,183,207,233,240,250
2020-03-25,134,146,152,190,231,239,256
2020-03-26,162,176,184,230,278,288,311
2020-03-27,192,211,220,275,334,346,370
2020-03-28,490,513,527,595,651,653,694
2020-03-29,539,560,574,646,722,738,769
2020-03-30,427,449,463,538,620,637,671
2020-03-31,605,684,733,893,1019,1044,1089
2020-04-01,703,742,763,881,1012,1041,1131
2020-04-02,715,762,786,939,1186,1258,1387
2020-04-03,782,820,840,997,1243,1355,1531
2020-04-04,768,876,944,1250,1584,1664,1833
2020-04-05,829,888,946,1386,1804,1899,2102
2020-04-06,1012,1151,1196,1592,2039,2135,2307
2020-04-07,836,932,986,1375,1766,1844,2032
2020-04-08,836,946,1052,1419,1769,1843,2019
2020-04-09,798,836,859,1000,1152,1183,1257
2020-04-10,1087,1177,1209,1392,1612,1659,1756
2020-04-11,865,932,964,1180,1437,1518,1672
2020-04-12,754,867,918,1167,1444,1519,1678
2020-04-13,808,875,911,1152,1433,1519,1747
2020-04-14,559,569,592,696,812,835,887
2020-04-15,572,599,616,711,817,841,889
2020-04-16,580,612,628,724,829,851,899
2020-04-17,395,432,450,587,742,774,840
2020-04-18,372,447,497,602,701,724,772
2020-04-19,401,425,437,509,588,606,643
2020-04-20,458,483,496,570,651,671,708
2020-04-21,350,398,414,486,564,580,610
2020-04-22,286,323,348,493,587,608,642
2020-04-23,292,312,323,380,444,458,490
2020-04-24,282,327,343,406,470,482,511
2020-04-25,226,251,265,377,520,546,583
2020-04-26,226,268,303,421,497,511,542
2020-04-27,140,153,161,294,457,478,523
2020-04-28,223,239,250,310,373,388,429
2020-04-29,151,159,164,201,243,256,290
2020-04-30,115,130,138,195,262,425,517
2020-05-01,104,120,130,249,364,383,414
2020-05-02,70,84,92,157,303,334,386
2020-05-03,70,76,79,100,122,128,196
2020-05-04,162,182,200,249,300,309,378
2020-05-05,139,152,159,195,233,242,260
2020-05-06,97,108,114,173,379,399,427
2020-05-07,99,110,116,194,339,360,420
2020-05-08,102,115,123,246,371,402,458
2020-05-09,104,112,116,145,175,276,346
2020-05-10,124,132,136,161,188,194,212
2020-05-11,85,91,95,116,138,143,153
2020-05-12,87,99,105,156,210,218,230
2020-05-13,97,114,126,182,219,223,235
2020-05-14,135,147,153,180,210,217,231
2020-05-15,142,164,178,223,261,267,282
2020-05-16,169,181,187,219,254,261,276
2020-05-17,177,188,193,226,263,271,287
2020-05-18,154,164,169,203,245,261,298
2020-05-19,177,190,196,231,271,279,295
2020-05-20,185,197,203,239,279,287,307
2020-05-21,199,212,219,257,298,307,328
2020-05-22,222,236,244,284,329,339,358
2020-05-23,219,235,242,283,328,339,366
2020-05-24,180,200,215,304,384,402,438
2020-05-25,169,192,203,311,410,430,471
2020-05-26,187,200,207,260,364,401,461
2020-05-27,217,234,241,286,338,349,374
2020-05-28,232,248,256,302,352,364,389
2020-05-29,256,278,287,337,391,402,426
2020-05-30,223,236,244,289,345,364,418
2020-05-31,241,255,264,309,362,373,400
2020-06-01,189,203,211,274,379,401,446
2020-06-02,182,193,199,252,350,377,426
2020-06-03,226,264,280,336,396,409,443
2020-06-04,251,269,278,328,383,397,423
2020-06-05,275,299,308,362,422,438,458
2020-06-06,290,310,320,375,434,446,472
