Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.97,0.98,0.98,1,1.02,1.02,1.03
2020-03-03,0.95,0.96,0.97,1,1.03,1.04,1.05
2020-03-04,0.93,0.95,0.95,1,1.04,1.05,1.07
2020-03-05,0.91,0.93,0.94,1,1.06,1.07,1.1
2020-03-06,0.88,0.91,0.92,1,1.08,1.09,1.12
2020-03-07,0.84,0.89,0.91,1,1.1,1.11,1.15
2020-03-08,0.81,0.86,0.89,1,1.11,1.13,1.18
2020-03-09,0.79,0.85,0.87,1,1.13,1.16,1.22
2020-03-10,0.77,0.84,0.87,1.02,1.17,1.2,1.28
2020-03-11,0.76,0.83,0.86,1.03,1.2,1.24,1.34
2020-03-12,0.74,0.82,0.86,1,1.2,1.25,1.35
2020-03-13,0.71,0.8,0.84,1,1.22,1.27,1.37
2020-03-14,0.73,0.8,0.81,1.01,1.26,1.31,1.42
2020-03-15,0.71,0.78,0.79,1.02,1.29,1.35,1.46
2020-03-16,0.68,0.75,0.77,1.01,1.29,1.37,1.46
2020-03-17,0.67,0.73,0.75,1,1.3,1.38,1.47
2020-03-18,0.64,0.7,0.73,1.01,1.32,1.39,1.49
2020-03-19,0.61,0.69,0.73,1.03,1.36,1.42,1.52
2020-03-20,0.61,0.68,0.73,1.06,1.39,1.45,1.56
2020-03-21,0.57,0.66,0.71,1.05,1.39,1.46,1.58
2020-03-22,0.58,0.69,0.75,1.09,1.45,1.51,1.63
2020-03-23,0.66,0.78,0.83,1.18,1.53,1.6,1.7
2020-03-24,0.62,0.75,0.79,1.11,1.47,1.54,1.67
2020-03-25,0.58,0.73,0.77,1.04,1.38,1.46,1.61
2020-03-26,0.72,0.79,0.82,1.18,1.54,1.61,1.77
2020-03-27,0.76,0.86,0.92,1.26,1.61,1.72,1.82
2020-03-28,0.82,0.94,1,1.32,1.69,1.78,1.86
2020-03-29,0.94,1.06,1.11,1.44,1.83,1.86,1.9
2020-03-30,0.97,1.08,1.14,1.45,1.83,1.87,1.92
2020-03-31,0.92,1.03,1.08,1.39,1.73,1.83,1.91
2020-04-01,1.03,1.13,1.19,1.49,1.86,1.91,1.97
2020-04-02,1.11,1.23,1.29,1.64,1.96,2,2.08
2020-04-03,1.24,1.38,1.45,1.8,2.05,2.1,2.14
2020-04-04,1.38,1.5,1.57,1.85,2.1,2.14,2.17
2020-04-05,1.39,1.51,1.56,1.84,2.08,2.14,2.19
2020-04-06,1.34,1.46,1.51,1.78,2.04,2.09,2.18
2020-04-07,1.24,1.34,1.4,1.7,2.01,2.06,2.16
2020-04-08,1.17,1.26,1.33,1.65,1.98,2.04,2.15
2020-04-09,1.11,1.19,1.24,1.59,1.93,1.99,2.11
2020-04-10,0.94,1.06,1.1,1.4,1.75,1.81,1.95
2020-04-11,0.87,0.88,0.91,1.15,1.44,1.5,1.74
2020-04-12,0.8,0.82,0.83,1.04,1.24,1.28,1.37
2020-04-13,0.73,0.76,0.77,0.97,1.18,1.21,1.27
2020-04-14,0.68,0.72,0.73,0.97,1.18,1.2,1.27
2020-04-15,0.63,0.67,0.7,0.94,1.15,1.19,1.25
2020-04-16,0.56,0.61,0.63,0.88,1.07,1.14,1.21
2020-04-17,0.56,0.63,0.68,0.91,1.13,1.17,1.23
2020-04-18,0.52,0.61,0.66,0.88,1.1,1.15,1.21
2020-04-19,0.5,0.59,0.64,0.86,1.08,1.12,1.2
2020-04-20,0.53,0.62,0.67,0.87,1.1,1.14,1.22
2020-04-21,0.4,0.49,0.55,0.8,1.03,1.08,1.17
2020-04-22,0.41,0.51,0.56,0.79,1.03,1.07,1.16
2020-04-23,0.32,0.41,0.46,0.71,0.94,0.99,1.08
2020-04-24,0.3,0.4,0.45,0.69,0.92,0.97,1.06
2020-04-25,0.26,0.36,0.41,0.64,0.88,0.93,1.03
2020-04-26,0.19,0.26,0.33,0.57,0.81,0.86,0.96
2020-04-27,0.12,0.2,0.24,0.5,0.74,0.79,0.89
2020-04-28,0.1,0.16,0.21,0.47,0.71,0.76,0.87
2020-04-29,0.1,0.13,0.19,0.45,0.7,0.74,0.86
2020-04-30,0.1,0.1,0.14,0.42,0.67,0.71,0.8
2020-05-01,0.1,0.14,0.21,0.52,0.77,0.82,0.93
2020-05-02,0.1,0.12,0.17,0.47,0.74,0.79,0.89
2020-05-03,0.1,0.11,0.14,0.45,0.73,0.79,0.87
2020-05-04,0.1,0.13,0.2,0.56,0.87,0.89,1.08
2020-05-05,0.12,0.28,0.38,0.72,1.1,1.17,1.18
2020-05-06,0.15,0.36,0.42,0.76,1.14,1.2,1.22
2020-05-07,0.14,0.34,0.41,0.75,1,1.18,1.24
2020-05-08,0.11,0.28,0.36,0.72,0.99,1.03,1.24
2020-05-09,0.11,0.24,0.34,0.69,0.98,1.03,1.12
2020-05-10,0.11,0.21,0.3,0.68,0.98,1.03,1.11
2020-05-11,0.11,0.21,0.29,0.68,0.99,1.01,1.12
2020-05-12,0.12,0.21,0.28,0.68,1.01,1.02,1.15
2020-05-13,0.12,0.2,0.27,0.68,1.03,1.05,1.22
2020-05-14,0.12,0.2,0.26,0.66,1.05,1.07,1.23
2020-05-15,0.11,0.21,0.27,0.67,1.07,1.1,1.19
2020-05-16,0.12,0.21,0.27,0.68,1.1,1.14,1.24
2020-05-17,0.12,0.22,0.29,0.73,1.18,1.23,1.37
2020-05-18,0.13,0.26,0.33,0.86,1.28,1.31,1.44
2020-05-19,0.16,0.3,0.37,0.95,1.34,1.39,1.49
2020-05-20,0.31,0.52,0.72,1.19,1.42,1.49,1.54
2020-05-21,0.88,0.97,1,1.33,1.48,1.53,1.59
2020-05-22,0.68,0.9,0.94,1.31,1.52,1.56,1.63
2020-05-23,0.4,0.79,0.85,1.23,1.54,1.58,1.65
2020-05-24,0.34,0.55,0.73,1.11,1.54,1.58,1.66
2020-05-25,0.11,0.46,0.58,1.03,1.5,1.55,1.64
2020-05-26,0.47,0.76,0.83,1.16,1.59,1.64,1.73
2020-05-27,0.71,0.84,0.9,1.24,1.65,1.69,1.79
2020-05-28,0.86,0.98,1.03,1.45,1.75,1.81,1.88
2020-05-29,0.8,0.9,0.96,1.34,1.73,1.78,1.88
2020-05-30,0.76,0.84,0.91,1.26,1.69,1.75,1.86
2020-05-31,0.7,0.82,0.84,1.2,1.62,1.7,1.81
2020-06-01,0.67,0.79,0.83,1.15,1.56,1.63,1.78
