Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,1,1,1,2,4,4,5
2020-03-06,1,1,1,2,3,4,5
2020-03-07,1,1,2,3,5,6,7
2020-03-08,0,0,0,0,0,0,0
2020-03-09,1,1,1,2,4,4,5
2020-03-10,1,2,2,3,5,6,7
2020-03-11,1,1,1,3,5,5,6
2020-03-12,0,0,0,1,4,4,4
2020-03-13,1,1,1,2,3,4,5
2020-03-14,1,1,1,3,5,5,7
2020-03-15,1,1,1,3,5,5,6
2020-03-16,0,0,0,1,3,3,5
2020-03-17,1,1,1,2,3,4,5
2020-03-18,1,1,1,2,4,5,6
2020-03-19,1,1,1,3,5,5,6
2020-03-20,1,1,1,3,5,5,7
2020-03-21,1,1,1,2,4,4,6
2020-03-22,1,1,1,3,6,6,7
2020-03-23,2,2,2,5,7,8,10
2020-03-24,0,0,0,1,4,4,6
2020-03-25,0,0,0,1,3,4,6
2020-03-26,2,3,3,6,9,10,13
2020-03-27,2,2,3,5,8,9,11
2020-03-28,2,3,3,6,9,10,11
2020-03-29,4,5,5,8,12,13,15
2020-03-30,3,3,4,7,11,12,14
2020-03-31,1,2,2,5,9,10,13
2020-04-01,4,6,7,11,16,17,19
2020-04-02,5,6,7,16,24,25,29
2020-04-03,7,9,11,22,30,32,35
2020-04-04,12,14,15,22,29,30,34
2020-04-05,12,14,15,22,29,31,35
2020-04-06,11,13,14,21,29,30,36
2020-04-07,6,8,9,20,35,38,44
2020-04-08,5,8,10,23,37,40,46
2020-04-09,6,9,11,23,38,42,48
2020-04-10,3,5,5,16,30,33,40
2020-04-11,1,2,2,7,17,20,26
2020-04-12,2,2,3,6,10,11,13
2020-04-13,1,2,2,5,10,12,15
2020-04-14,4,5,6,9,13,14,16
2020-04-15,3,4,4,7,11,12,14
2020-04-16,1,2,2,5,9,10,12
2020-04-17,4,5,6,10,14,15,17
2020-04-18,2,3,4,7,10,11,13
2020-04-19,2,3,4,6,10,11,13
2020-04-20,3,4,5,8,12,13,15
