Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,2,2,2,2
2020-03-04,1,1,1,1,3,3,4
2020-03-05,1,1,1,2,3,3,4
2020-03-06,1,1,1,2,4,4,5
2020-03-07,0,0,0,0,0,0,0
2020-03-08,1,1,1,3,5,5,6
2020-03-09,0,0,0,0,1,1,4
2020-03-10,1,2,2,4,7,7,8
2020-03-11,2,2,2,4,7,8,10
2020-03-12,1,1,2,3,5,6,7
2020-03-13,3,4,4,7,10,11,13
2020-03-14,3,4,5,8,11,12,14
2020-03-15,3,4,4,7,10,11,12
2020-03-16,9,10,11,15,19,20,22
2020-03-17,9,11,12,16,22,22,25
2020-03-18,8,10,10,16,22,23,26
2020-03-19,8,10,11,15,21,22,24
2020-03-20,14,16,17,23,29,31,33
2020-03-21,27,29,30,37,44,45,49
2020-03-22,14,17,19,28,40,43,50
2020-03-23,20,22,24,34,45,47,53
2020-03-24,25,28,30,41,54,57,63
2020-03-25,28,32,35,49,67,73,83
2020-03-26,67,72,74,87,102,105,112
2020-03-27,124,130,134,151,169,173,182
2020-03-28,81,92,101,128,150,154,162
2020-03-29,92,101,106,135,166,173,185
2020-03-30,107,117,123,160,206,220,239
2020-03-31,117,125,130,156,186,194,215
2020-04-01,163,173,178,208,240,248,262
2020-04-02,205,216,222,258,298,306,321
2020-04-03,197,220,231,325,408,421,443
2020-04-04,278,322,337,397,458,470,494
2020-04-05,239,256,266,372,523,549,589
2020-04-06,212,239,263,491,638,667,731
2020-04-07,286,304,313,414,630,691,778
2020-04-08,282,299,307,362,424,440,477
2020-04-09,333,357,367,428,494,508,543
2020-04-10,261,279,290,393,536,565,621
2020-04-11,376,412,428,503,583,600,640
2020-04-12,291,308,318,388,503,543,604
2020-04-13,294,312,321,381,456,488,560
2020-04-14,236,252,259,353,502,533,596
2020-04-15,266,285,295,350,414,431,473
2020-04-16,261,310,350,441,520,534,567
2020-04-17,287,307,318,375,438,452,481
2020-04-18,281,298,307,361,421,435,465
2020-04-19,265,280,288,339,395,408,438
2020-04-20,179,194,201,274,389,415,456
