Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,1,1,1,1
2020-03-02,1,1,1,1,3,3,4
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,1,1,1,1,3,3,4
2020-03-06,1,1,2,3,5,6,7
2020-03-07,0,0,0,0,0,0,0
2020-03-08,1,1,1,2,4,4,5
2020-03-09,0,0,0,0,0,0,0
2020-03-10,1,1,1,2,4,4,5
2020-03-11,0,0,0,0,0,0,1
2020-03-12,1,1,2,3,6,6,7
2020-03-13,2,2,2,4,7,7,9
2020-03-14,2,2,2,5,9,9,11
2020-03-15,1,1,2,3,6,7,8
2020-03-16,3,3,4,8,14,16,18
2020-03-17,3,4,4,8,13,15,17
2020-03-18,4,5,5,9,14,16,19
2020-03-19,6,7,8,12,17,18,21
2020-03-20,7,8,9,14,20,21,24
2020-03-21,9,10,11,17,24,26,30
2020-03-22,26,28,29,35,42,44,47
2020-03-23,32,34,36,43,51,53,56
2020-03-24,23,28,31,42,51,53,57
2020-03-25,24,28,30,41,53,55,61
2020-03-26,28,32,34,47,62,64,71
2020-03-27,32,37,39,54,71,76,82
2020-03-28,108,113,118,136,156,160,160
2020-03-29,139,146,149,169,191,195,205
2020-03-30,169,177,181,206,232,237,247
2020-03-31,127,138,144,179,217,226,241
2020-04-01,149,163,170,212,259,268,290
2020-04-02,179,195,202,253,306,318,336
2020-04-03,361,377,385,435,490,499,514
2020-04-04,397,416,426,482,544,557,584
2020-04-05,470,492,504,571,643,656,688
2020-04-06,433,476,496,634,810,830,877
2020-04-07,516,560,585,754,976,1007,1071
2020-04-08,658,735,789,1011,1185,1236,1285
2020-04-09,1002,1105,1144,1327,1520,1555,1637
2020-04-10,1276,1404,1450,1672,1902,1950,2045
2020-04-11,1407,1484,1526,1770,2036,2101,2254
2020-04-12,1765,1862,1916,2204,2525,2587,2726
2020-04-13,2077,2199,2263,2602,2971,3050,3206
2020-04-14,2337,2461,2527,2913,3344,3441,3645
2020-04-15,2783,2941,3016,3468,3969,4072,4289
2020-04-16,2954,3134,3215,3709,4273,4409,4774
2020-04-17,3455,3595,3706,4251,4870,5014,5317
2020-04-18,3939,4150,4262,4889,5581,5731,6028
2020-04-19,4746,5015,5151,5885,6698,6854,7211
2020-04-20,4084,4310,4442,5503,7253,7616,8300
2020-04-21,4868,5087,5232,6041,6941,7167,7826
2020-04-22,4717,4960,5077,5885,6840,7165,8022
2020-04-23,4498,4671,4792,5678,7116,7643,8455
2020-04-24,4934,5183,5316,6114,7002,7212,7686
2020-04-25,4972,5232,5376,6168,7043,7232,7649
2020-04-26,5163,5423,5571,6379,7277,7473,7890
2020-04-27,5055,5336,5472,6274,7166,7366,7805
2020-04-28,5117,5398,5545,6354,7224,7408,7853
2020-04-29,4781,5038,5168,5960,6834,7030,7409
2020-04-30,4817,5468,5698,6596,7511,7726,8134
2020-05-01,4765,5448,5883,7070,8071,8252,8791
2020-05-02,4598,5113,5400,7605,9209,9478,10000
2020-05-03,4627,5292,5617,8284,10094,10319,11012
2020-05-04,5225,6524,7219,9221,10608,10824,11394
2020-05-05,7322,8040,8291,9439,10609,10839,11330
2020-05-06,7884,8430,8662,9852,11074,11306,11883
2020-05-07,8060,8789,9074,10331,11646,11915,12467
2020-05-08,8293,8789,9036,10241,11521,11800,12347
2020-05-09,8453,8905,9155,10419,11768,12075,12735
2020-05-10,8625,9136,9371,10658,12051,12353,12917
2020-05-11,8913,9475,9749,11120,12603,12908,13559
2020-05-12,8745,9274,9510,10864,12303,12623,13303
2020-05-13,8413,8844,9069,10369,11832,12151,12891
2020-05-14,8305,8739,8951,10257,11679,11990,12742
2020-05-15,8460,8976,9182,10519,11993,12308,12932
2020-05-16,7768,8145,8370,9627,11029,11317,12076
