Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,1,1,1,1
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,1,1,1,1
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,1,1,1,1,3,3,4
2020-03-15,0,0,0,0,0,0,0
2020-03-16,1,1,1,2,4,4,5
2020-03-17,1,1,1,2,3,3,4
2020-03-18,1,1,1,1,3,3,4
2020-03-19,0,0,0,0,0,0,0
2020-03-20,1,1,2,3,5,6,7
2020-03-21,0,0,0,0,0,0,0
2020-03-22,1,1,1,2,3,3,4
2020-03-23,2,2,2,4,6,6,8
2020-03-24,1,1,1,3,5,5,6
2020-03-25,1,1,1,2,3,4,5
2020-03-26,2,3,3,5,8,9,10
2020-03-27,1,1,2,4,6,7,8
2020-03-28,2,2,2,5,8,8,10
2020-03-29,2,3,4,7,11,12,14
2020-03-30,0,0,0,3,7,9,11
2020-03-31,2,2,3,5,8,9,11
2020-04-01,2,3,4,6,10,11,13
2020-04-02,1,1,1,4,7,8,10
2020-04-03,2,2,3,5,9,10,12
2020-04-04,3,5,6,9,13,15,17
2020-04-05,1,1,2,5,9,10,13
2020-04-06,1,1,1,4,9,10,13
2020-04-07,0,0,0,3,8,9,12
2020-04-08,2,2,3,5,9,9,11
2020-04-09,0,0,0,2,6,7,9
2020-04-10,2,3,3,6,9,10,12
2020-04-11,1,1,1,3,6,7,9
2020-04-12,2,3,3,5,9,9,10
2020-04-13,1,1,1,3,6,7,9
2020-04-14,2,3,3,6,9,10,11
2020-04-15,1,1,1,3,6,7,9
2020-04-16,1,1,1,3,6,7,8
2020-04-17,1,2,2,5,8,8,10
2020-04-18,1,1,1,3,5,6,8
2020-04-19,1,1,1,3,6,7,8
2020-04-20,0,0,0,1,4,5,7
2020-04-21,1,1,1,3,5,6,7
2020-04-22,1,1,1,3,5,6,7
2020-04-23,1,1,1,2,4,5,6
2020-04-24,2,3,3,6,9,11,14
2020-04-25,2,2,3,5,8,9,10
2020-04-26,2,3,3,6,10,10,12
