Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,1,1,1,1,3,3,4
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,1,1,1,2,4,4,5
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,1,1,1,3,5,5,6
2020-03-09,1,1,1,2,4,4,5
2020-03-10,1,1,1,3,4,5,6
2020-03-11,1,1,1,1,3,3,4
2020-03-12,2,2,3,4,7,7,8
2020-03-13,3,4,4,6,8,9,11
2020-03-14,2,3,3,6,10,11,13
2020-03-15,0,0,0,1,3,4,5
2020-03-16,5,5,6,9,12,13,14
2020-03-17,5,6,6,10,14,15,17
2020-03-18,0,0,0,5,11,12,14
2020-03-19,8,9,10,14,20,21,24
2020-03-20,26,28,29,35,41,43,46
2020-03-21,22,24,26,32,39,41,43
2020-03-22,49,52,54,63,73,75,78
2020-03-23,29,34,36,45,55,57,61
2020-03-24,34,38,40,54,69,72,78
2020-03-25,38,43,46,63,82,89,100
2020-03-26,50,57,63,89,109,112,119
2020-03-27,68,73,76,92,109,113,120
2020-03-28,76,82,85,103,122,126,135
2020-03-29,79,85,88,107,129,135,149
2020-03-30,108,118,123,146,172,177,188
2020-03-31,97,104,108,133,166,178,203
2020-04-01,124,133,137,163,192,199,213
2020-04-02,134,143,148,175,206,214,230
2020-04-03,134,142,147,176,211,222,250
2020-04-04,128,137,143,177,234,252,284
2020-04-05,171,182,188,221,259,267,285
2020-04-06,168,179,184,218,255,263,283
2020-04-07,164,174,179,214,252,263,293
2020-04-08,136,146,153,217,298,314,344
2020-04-09,180,210,232,310,368,381,400
2020-04-10,260,285,294,344,399,410,433
2020-04-11,292,312,321,373,430,441,464
2020-04-12,325,347,357,415,479,493,523
2020-04-13,357,383,394,457,526,542,574
2020-04-14,357,378,389,452,522,537,572
2020-04-15,393,416,428,494,569,585,620
2020-04-16,413,437,449,521,598,616,653
2020-04-17,418,477,513,656,765,787,826
2020-04-18,433,475,498,659,914,960,1035
2020-04-19,479,532,570,861,1068,1078,1126
2020-04-20,676,863,902,1044,1190,1219,1279
2020-04-21,909,959,984,1129,1282,1315,1381
2020-04-22,948,996,1020,1176,1346,1385,1461
2020-04-23,976,1029,1060,1219,1398,1443,1536
2020-04-24,1002,1056,1082,1249,1431,1480,1594
2020-04-25,1023,1074,1105,1275,1463,1510,1617
2020-04-26,1034,1095,1128,1295,1484,1524,1640
2020-04-27,1070,1127,1157,1331,1526,1569,1664
2020-04-28,1061,1115,1144,1316,1509,1555,1654
2020-04-29,1071,1136,1163,1343,1536,1583,1676
2020-04-30,1087,1149,1178,1359,1553,1594,1683
2020-05-01,1079,1141,1171,1348,1545,1587,1684
2020-05-02,1081,1144,1175,1354,1550,1585,1677
2020-05-03,1093,1224,1264,1459,1667,1709,1797
2020-05-04,1123,1275,1323,1530,1750,1795,1881
2020-05-05,1193,1291,1327,1528,1746,1790,1893
2020-05-06,1243,1345,1387,1597,1819,1870,1960
2020-05-07,1275,1409,1459,1677,1909,1957,2050
2020-05-08,1319,1405,1443,1659,1889,1938,2049
2020-05-09,1337,1422,1459,1672,1912,1960,2056
2020-05-10,1397,1527,1574,1804,2048,2099,2200
2020-05-11,1455,1579,1627,1868,2130,2194,2304
2020-05-12,1496,1580,1628,1868,2124,2181,2312
2020-05-13,1517,1598,1639,1887,2151,2205,2328
2020-05-14,1578,1677,1725,1979,2260,2321,2443
2020-05-15,1645,1816,1870,2157,2455,2514,2632
2020-05-16,1625,1838,1979,2469,2843,2907,3046
2020-05-17,1961,2164,2238,2565,2921,2993,3140
2020-05-18,2076,2186,2246,2573,2930,3003,3168
2020-05-19,2085,2182,2244,2574,2941,3023,3189
2020-05-20,2186,2309,2374,2713,3090,3178,3336
2020-05-21,2133,2245,2307,2647,3025,3114,3316
2020-05-22,2206,2317,2379,2726,3112,3192,3389
2020-05-23,2102,2206,2262,2606,2994,3090,3311
2020-05-24,2047,2162,2218,2555,2938,3019,3267
2020-05-25,1932,2033,2086,2415,2792,2884,3139
2020-05-26,1719,1826,1874,2180,2576,2715,3083
2020-05-27,1594,1682,1731,2004,2335,2445,2770
2020-05-28,1420,1513,1547,1807,2096,2186,2465
2020-05-29,1336,1403,1443,1668,1928,1988,2137
2020-05-30,1292,1364,1405,1623,1860,1911,2024
2020-05-31,1189,1412,1479,1734,1998,2047,2157
2020-06-01,1244,1435,1497,1742,1997,2051,2142
2020-06-02,1317,1457,1512,1753,2000,2050,2143
2020-06-03,1254,1429,1537,1907,2198,2259,2403
2020-06-04,1435,1576,1625,1871,2136,2189,2323
2020-06-05,1330,1469,1565,2126,2525,2580,2710
2020-06-06,1346,1479,1573,2257,2913,3010,3160
2020-06-07,1532,1811,1980,2652,3077,3160,3289
2020-06-08,2011,2343,2522,2969,3377,3454,3601
2020-06-09,2408,2630,2703,3072,3458,3536,3703
2020-06-10,2629,2884,2976,3392,3817,3915,4101
2020-06-11,2871,3044,3121,3553,4020,4113,4298
2020-06-12,3093,3261,3338,3794,4279,4388,4567
2020-06-13,2932,3065,3144,3615,4130,4246,4540
2020-06-14,3400,3571,3665,4172,4742,4855,5088
2020-06-15,3611,3811,3915,4466,5068,5194,5480
2020-06-16,3604,3806,3907,4460,5091,5226,5531
2020-06-17,3999,4222,4319,4941,5620,5767,6059
2020-06-18,4028,4231,4342,4966,5682,5832,6184
2020-06-19,3836,4027,4146,4782,5539,5772,6384
2020-06-20,3616,3815,3923,4612,5616,6015,6734
2020-06-21,3124,3276,3552,4489,6100,6412,7086
2020-06-22,3001,3169,3253,3972,5235,5700,6481
2020-06-23,2736,2868,2948,3471,4150,4459,5386
2020-06-24,2617,2749,2818,3258,3775,3906,4247
2020-06-25,2610,2790,2875,3323,3821,3934,4168
2020-06-26,2511,2986,3130,3633,4162,4271,4510
2020-06-27,2753,3076,3184,3676,4202,4318,4551
2020-06-28,2880,3158,3259,3759,4289,4404,4663
2020-06-29,2951,3191,3283,3779,4309,4431,4655
2020-06-30,2994,3389,3508,4055,4633,4752,5011
2020-07-01,2856,3005,3080,3550,4075,4191,4464
2020-07-02,2809,2956,3036,3487,3990,4100,4365
2020-07-03,2978,3298,3402,3920,4458,4575,4817
2020-07-04,3157,3351,3444,3944,4497,4610,4842
2020-07-05,2947,3106,3184,3662,4174,4285,4537
2020-07-06,3178,3417,3506,4020,4580,4695,4939
2020-07-07,2884,3026,3107,3566,4074,4200,4484
2020-07-08,2636,2772,2847,3294,3802,3943,4225
2020-07-09,2654,2784,2859,3291,3770,3882,4118
2020-07-10,2588,2729,2802,3218,3690,3793,4015
2020-07-11,2458,2602,2671,3070,3510,3604,3820
2020-07-12,2313,2441,2505,2882,3306,3399,3610
2020-07-13,2296,2424,2487,2865,3273,3365,3566
2020-07-14,2171,2308,2378,2732,3118,3200,3376
2020-07-15,2145,2263,2328,2671,3057,3132,3309
2020-07-16,2148,2284,2348,2698,3084,3160,3332
2020-07-17,2085,2207,2265,2595,2959,3031,3186
2020-07-18,2045,2161,2217,2548,2904,2984,3141
2020-07-19,2002,2119,2175,2491,2844,2915,3080
2020-07-20,1951,2062,2118,2431,2769,2849,3002
2020-07-21,1969,2076,2130,2442,2792,2868,3005
2020-07-22,1887,1988,2045,2347,2682,2750,2912
2020-07-23,1828,1925,1979,2270,2597,2672,2829
2020-07-24,1871,1976,2030,2336,2666,2735,2897
2020-07-25,1796,1899,1944,2226,2552,2617,2749
2020-07-26,1666,1749,1792,2065,2364,2439,2600
2020-07-27,1640,1726,1775,2041,2336,2399,2543
2020-07-28,1565,1655,1694,1955,2244,2310,2462
2020-07-29,1470,1551,1591,1838,2113,2175,2317
2020-07-30,1369,1446,1487,1717,1976,2035,2178
2020-07-31,1372,1441,1483,1709,1958,2012,2104
2020-08-01,1289,1361,1399,1614,1852,1908,2014
2020-08-02,1155,1215,1247,1446,1665,1721,1864
2020-08-03,1063,1125,1157,1333,1536,1584,1727
2020-08-04,1080,1143,1175,1357,1553,1598,1688
2020-08-05,1066,1132,1163,1340,1533,1577,1666
2020-08-06,1053,1137,1168,1347,1541,1581,1673
2020-08-07,1043,1182,1237,1439,1648,1692,1780
2020-08-08,1110,1187,1224,1414,1614,1658,1748
2020-08-09,1116,1185,1216,1401,1598,1642,1736
2020-08-10,1044,1101,1129,1303,1495,1540,1635
2020-08-11,1137,1219,1255,1447,1654,1700,1787
2020-08-12,1175,1266,1305,1499,1714,1755,1845
2020-08-13,1183,1249,1282,1473,1680,1728,1818
2020-08-14,1145,1205,1239,1425,1630,1674,1764
2020-08-15,1161,1220,1254,1443,1650,1699,1798
2020-08-16,1066,1120,1149,1332,1535,1584,1712
2020-08-17,1118,1186,1218,1398,1600,1642,1728
2020-08-18,1139,1205,1237,1420,1624,1666,1760
2020-08-19,1120,1182,1212,1396,1598,1638,1734
2020-08-20,1083,1137,1167,1346,1543,1589,1691
2020-08-21,1032,1089,1117,1290,1486,1531,1642
2020-08-22,1003,1056,1083,1251,1436,1480,1581
2020-08-23,944,994,1019,1182,1364,1411,1513
2020-08-24,959,1013,1039,1199,1374,1415,1499
2020-08-25,918,970,998,1149,1319,1357,1440
2020-08-26,879,929,953,1103,1266,1301,1386
2020-08-27,844,889,912,1058,1216,1252,1327
2020-08-28,848,902,928,1069,1227,1262,1334
2020-08-29,810,850,875,1008,1158,1191,1262
2020-08-30,753,796,818,948,1090,1123,1200
2020-08-31,759,803,825,953,1092,1123,1186
2020-09-01,725,767,788,912,1046,1078,1139
2020-09-02,675,714,735,849,975,1005,1066
2020-09-03,670,707,726,842,966,993,1052
2020-09-04,656,693,711,821,942,967,1021
2020-09-05,633,672,688,794,913,940,990
2020-09-06,608,641,661,766,881,906,958
2020-09-07,606,642,660,763,874,899,951
2020-09-08,601,642,663,765,878,903,953
2020-09-09,605,640,657,759,872,898,947
2020-09-10,573,607,622,720,827,849,900
2020-09-11,557,587,605,700,805,828,878
2020-09-12,526,558,575,667,765,786,839
2020-09-13,499,529,542,629,725,749,800
2020-09-14,493,520,535,620,713,733,779
2020-09-15,510,547,561,651,747,769,811
2020-09-16,491,522,537,621,717,738,782
2020-09-17,478,506,521,602,693,715,755
2020-09-18,465,492,507,586,675,694,735
2020-09-19,451,475,487,565,652,671,712
2020-09-20,402,429,443,516,599,617,666
2020-09-21,402,424,437,509,588,606,647
2020-09-22,421,449,463,538,619,637,670
2020-09-23,423,454,468,542,624,641,681
2020-09-24,402,427,439,508,585,602,639
2020-09-25,387,408,420,488,564,582,617
2020-09-26,373,396,407,475,549,563,598
2020-09-27,340,360,370,433,504,521,564
2020-09-28,358,379,391,453,524,538,569
2020-09-29,366,412,428,500,575,590,622
2020-09-30,344,365,375,437,508,523,554
2020-10-01,371,398,410,476,548,563,597
2020-10-02,373,397,408,473,544,560,593
2020-10-03,346,367,377,439,508,521,559
2020-10-04,324,346,356,415,482,498,539
2020-10-05,315,334,343,401,465,480,517
2020-10-06,349,377,389,452,520,536,565
2020-10-07,354,379,391,454,523,537,568
2020-10-08,340,359,370,430,496,512,541
2020-10-09,330,352,361,420,487,502,532
2020-10-10,328,347,357,416,481,496,526
2020-10-11,280,298,308,363,431,456,509
2020-10-12,286,304,312,366,425,441,472
2020-10-13,304,350,368,433,501,516,543
2020-10-14,323,375,391,460,531,545,577
2020-10-15,357,381,394,457,526,541,571
2020-10-16,349,368,379,441,508,524,557
2020-10-17,310,329,338,398,467,485,540
2020-10-18,301,315,325,382,448,465,509
2020-10-19,309,327,337,394,456,469,499
2020-10-20,308,327,336,393,455,468,498
2020-10-21,315,336,346,402,464,478,505
2020-10-22,313,334,345,400,463,477,508
2020-10-23,306,325,334,390,452,465,495
2020-10-24,312,332,341,395,457,471,500
2020-10-25,274,291,300,352,410,424,466
2020-10-26,287,303,311,364,422,435,461
2020-10-27,300,323,333,387,445,459,487
2020-10-28,307,332,344,399,459,472,498
2020-10-29,322,347,357,416,478,492,519
2020-10-30,317,335,345,401,461,475,503
2020-10-31,319,339,348,405,468,480,511
2020-11-01,305,325,335,390,451,466,496
2020-11-02,309,326,335,391,453,467,494
2020-11-03,335,370,383,444,512,526,556
2020-11-04,336,356,367,426,491,506,534
2020-11-05,350,372,383,445,511,525,552
2020-11-06,349,371,382,442,509,524,555
2020-11-07,337,356,366,426,494,508,540
2020-11-08,312,330,339,397,464,483,536
2020-11-09,320,340,349,406,470,485,518
2020-11-10,349,376,389,451,518,534,564
2020-11-11,323,343,353,410,475,490,523
2020-11-12,275,292,301,358,433,461,522
2020-11-13,326,353,364,423,488,501,530
2020-11-14,290,308,317,371,431,445,478
2020-11-15,262,277,286,337,395,413,454
2020-11-16,250,266,274,323,377,391,424
2020-11-17,271,290,300,351,405,417,441
2020-11-18,239,252,260,306,357,368,394
2020-11-19,247,263,271,316,366,376,399
2020-11-20,229,243,250,293,340,351,373
2020-11-21,190,202,208,248,295,311,349
2020-11-22,182,195,201,237,278,288,311
2020-11-23,179,191,198,233,272,281,300
2020-11-24,181,197,204,240,279,288,305
2020-11-25,161,182,198,271,324,332,351
2020-11-26,178,212,231,285,333,342,358
2020-11-27,212,234,242,284,329,340,361
2020-11-28,184,196,202,239,282,293,323
2020-11-29,179,190,196,232,272,281,304
2020-11-30,182,194,200,236,275,284,304
2020-12-01,192,207,215,253,293,301,320
2020-12-02,190,203,210,246,287,296,313
2020-12-03,183,194,200,236,275,283,303
2020-12-04,182,194,201,237,276,284,303
2020-12-05,160,170,176,209,248,257,285
2020-12-06,154,164,170,201,237,245,263
2020-12-07,161,172,177,209,245,253,270
2020-12-08,152,162,167,199,233,241,257
2020-12-09,133,142,146,175,207,216,239
2020-12-10,118,127,131,158,190,199,226
2020-12-11,127,136,141,168,198,204,218
2020-12-12,123,133,138,164,193,199,213
2020-12-13,110,118,122,146,173,180,194
2020-12-14,100,107,111,134,159,165,179
2020-12-15,104,112,117,140,165,170,182
2020-12-16,100,120,129,159,188,193,205
2020-12-17,111,130,136,164,193,201,212
2020-12-18,121,133,138,164,193,199,211
2020-12-19,119,129,133,158,186,191,205
2020-12-20,122,131,136,161,189,196,209
2020-12-21,126,135,140,165,194,200,214
2020-12-22,132,142,148,175,204,210,224
2020-12-23,135,143,148,175,205,212,226
2020-12-24,140,151,156,185,215,223,237
2020-12-25,139,148,153,181,212,219,233
2020-12-26,132,141,146,173,203,212,227
2020-12-27,127,136,141,168,198,206,226
2020-12-28,108,114,118,148,192,207,235
2020-12-29,120,127,131,157,186,192,209
2020-12-30,97,105,109,133,164,174,199
2020-12-31,107,115,119,143,169,175,187
2021-01-01,105,112,116,140,165,171,183
2021-01-02,84,91,95,116,142,151,171
2021-01-03,71,76,79,100,129,142,164
2021-01-04,73,78,81,100,120,125,137
2021-01-05,74,81,84,102,122,126,135
2021-01-06,72,85,89,109,130,134,143
2021-01-07,74,82,86,104,124,128,137
2021-01-08,71,77,80,97,116,120,130
2021-01-09,73,82,86,104,123,127,136
2021-01-10,75,85,89,108,128,132,140
2021-01-11,73,87,96,121,144,149,158
2021-01-12,80,97,105,129,153,157,168
2021-01-13,87,101,111,147,175,181,193
2021-01-14,107,124,129,155,182,188,199
2021-01-15,124,134,138,164,191,198,209
2021-01-16,114,121,126,151,178,185,200
2021-01-17,132,142,147,173,202,209,222
2021-01-18,133,142,147,174,204,210,224
2021-01-19,150,171,178,210,244,251,267
2021-01-20,171,186,193,225,260,267,284
2021-01-21,171,181,187,220,257,265,283
2021-01-22,174,185,191,225,263,272,293
2021-01-23,169,179,185,220,260,271,300
2021-01-24,164,173,178,214,256,272,309
2021-01-25,175,187,192,226,266,276,295
2021-01-26,179,192,197,233,272,281,302
2021-01-27,177,189,194,230,269,278,300
2021-01-28,197,209,215,252,292,301,321
2021-01-29,204,218,226,264,308,316,333
2021-01-30,211,224,231,270,314,323,343
2021-01-31,209,222,230,269,312,322,341
2021-02-01,206,219,226,266,310,320,345
2021-02-02,230,249,256,299,347,357,377
2021-02-03,236,252,260,303,352,362,384
2021-02-04,239,254,262,306,355,367,389
2021-02-05,252,269,277,323,375,386,409
2021-02-06,272,300,310,362,418,430,453
2021-02-07,261,276,284,332,385,398,424
2021-02-08,278,297,306,357,412,424,451
2021-02-09,282,299,308,358,415,427,453
2021-02-10,291,309,318,371,428,441,469
2021-02-11,293,310,319,371,428,440,467
2021-02-12,286,305,313,365,425,437,464
2021-02-13,277,294,303,355,411,424,453
2021-02-14,267,284,291,342,399,411,441
2021-02-15,260,274,283,332,386,399,427
2021-02-16,258,274,283,330,384,395,419
2021-02-17,261,277,286,334,387,399,422
2021-02-18,255,272,280,328,379,390,415
2021-02-19,257,276,285,332,386,396,421
2021-02-20,252,268,277,324,375,386,409
2021-02-21,246,263,271,317,366,377,400
2021-02-22,250,267,275,321,373,382,405
2021-02-23,250,269,277,326,376,387,409
2021-02-24,259,280,288,337,389,401,424
2021-02-25,264,284,293,342,395,405,425
2021-02-26,265,283,291,339,390,401,425
2021-02-27,264,280,289,337,389,400,423
2021-02-28,257,272,280,327,379,390,416
2021-03-01,253,269,276,323,374,386,412
2021-03-02,245,259,268,312,361,372,398
2021-03-03,254,271,279,326,377,389,413
2021-03-04,265,291,302,352,406,417,443
2021-03-05,279,302,313,365,420,430,454
2021-03-06,287,308,317,370,428,439,465
2021-03-07,284,301,310,360,417,429,457
2021-03-08,282,298,307,358,415,428,455
2021-03-09,299,320,329,383,441,455,483
2021-03-10,302,322,331,384,444,456,485
2021-03-11,309,326,336,390,450,463,492
2021-03-12,294,313,321,375,434,448,476
2021-03-13,289,308,318,369,427,440,471
2021-03-14,286,303,312,365,421,434,465
2021-03-15,282,299,308,359,418,430,459
2021-03-16,283,302,311,362,418,431,454
2021-03-17,300,320,329,384,442,455,481
2021-03-18,299,317,327,380,437,450,479
2021-03-19,304,324,333,388,448,460,490
2021-03-20,303,321,330,385,445,458,486
2021-03-21,296,313,322,377,436,450,478
2021-03-22,312,332,341,398,460,474,502
2021-03-23,320,339,349,406,470,483,508
2021-03-24,337,368,379,441,508,522,553
2021-03-25,358,384,396,461,530,544,573
2021-03-26,377,407,421,488,559,577,607
2021-03-27,391,415,428,496,571,586,618
2021-03-28,416,440,452,522,599,613,650
2021-03-29,428,454,467,539,619,637,675
2021-03-30,445,469,482,557,640,660,693
2021-03-31,465,492,505,584,671,690,728
2021-04-01,474,501,514,596,687,706,751
2021-04-02,526,574,592,685,784,803,851
2021-04-03,546,577,592,683,783,804,846
2021-04-04,547,583,599,691,794,820,868
2021-04-05,572,603,619,714,819,844,893
2021-04-06,621,658,676,780,892,917,970
