Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.97,0.98,0.98,1,1.02,1.02,1.03
2020-03-03,0.95,0.96,0.97,1,1.03,1.04,1.05
2020-03-04,0.93,0.95,0.96,1,1.04,1.05,1.07
2020-03-05,0.9,0.93,0.94,1,1.06,1.07,1.09
2020-03-06,0.88,0.91,0.92,1,1.08,1.09,1.12
2020-03-07,0.85,0.89,0.91,1,1.09,1.11,1.15
2020-03-08,0.82,0.87,0.89,1,1.11,1.13,1.17
2020-03-09,0.79,0.84,0.87,1,1.13,1.15,1.2
2020-03-10,0.77,0.82,0.85,1,1.15,1.18,1.23
2020-03-11,0.73,0.8,0.83,1,1.17,1.2,1.26
2020-03-12,0.7,0.77,0.81,1,1.19,1.22,1.29
2020-03-13,0.67,0.75,0.79,1,1.21,1.25,1.32
2020-03-14,0.63,0.72,0.77,1,1.23,1.27,1.35
2020-03-15,0.61,0.69,0.75,1,1.25,1.29,1.38
2020-03-16,0.58,0.67,0.73,1,1.27,1.32,1.41
2020-03-17,0.55,0.65,0.71,1,1.29,1.34,1.44
2020-03-18,0.53,0.63,0.69,1,1.31,1.37,1.46
2020-03-19,0.49,0.61,0.67,1,1.33,1.39,1.49
2020-03-20,0.46,0.59,0.65,1,1.34,1.41,1.52
2020-03-21,0.43,0.57,0.64,1,1.36,1.43,1.55
2020-03-22,0.4,0.56,0.62,1,1.38,1.45,1.58
2020-03-23,0.46,0.63,0.74,0.98,1.28,1.36,1.54
2020-03-24,0.43,0.63,0.73,0.99,1.29,1.4,1.59
2020-03-25,0.42,0.61,0.72,0.99,1.3,1.4,1.6
2020-03-26,0.42,0.6,0.71,0.99,1.31,1.41,1.63
2020-03-27,0.4,0.59,0.7,1,1.32,1.41,1.64
2020-03-28,0.4,0.58,0.69,1,1.33,1.42,1.64
2020-03-29,0.38,0.58,0.68,1,1.33,1.44,1.65
2020-03-30,0.37,0.58,0.69,1.01,1.34,1.45,1.67
2020-03-31,0.36,0.56,0.67,1.01,1.35,1.45,1.67
2020-04-01,0.36,0.56,0.66,1.01,1.34,1.45,1.68
2020-04-02,0.35,0.55,0.66,1.02,1.34,1.44,1.69
2020-04-03,0.34,0.55,0.65,1.02,1.35,1.44,1.7
2020-04-04,0.32,0.55,0.65,1.02,1.35,1.43,1.69
2020-04-05,0.35,0.56,0.66,1.03,1.36,1.44,1.7
2020-04-06,0.34,0.56,0.64,1.02,1.36,1.44,1.68
2020-04-07,0.33,0.55,0.64,1.03,1.37,1.45,1.68
2020-04-08,0.32,0.53,0.63,1.02,1.37,1.45,1.65
2020-04-09,0.31,0.52,0.62,1.02,1.37,1.44,1.63
2020-04-10,0.25,0.51,0.61,1.02,1.38,1.46,1.62
2020-04-11,0.28,0.51,0.61,1.03,1.41,1.5,1.64
2020-04-12,0.28,0.51,0.6,1.02,1.41,1.52,1.62
2020-04-13,0.29,0.49,0.59,1.01,1.39,1.49,1.61
2020-04-14,0.33,0.48,0.59,1.04,1.51,1.57,1.72
2020-04-15,0.34,0.49,0.59,1.08,1.58,1.6,1.8
2020-04-16,0.31,0.47,0.56,1.03,1.57,1.61,1.77
2020-04-17,0.26,0.45,0.53,1.01,1.47,1.6,1.72
2020-04-18,0.38,0.59,0.71,1.31,1.71,1.82,1.89
2020-04-19,0.3,0.51,0.63,1.21,1.7,1.73,1.85
2020-04-20,0.72,1.09,1.2,1.55,1.85,1.86,1.91
2020-04-21,1.3,1.37,1.44,1.7,1.86,1.87,1.93
2020-04-22,1.5,1.53,1.54,1.75,1.88,1.94,1.98
2020-04-23,1.5,1.53,1.57,1.78,1.88,1.93,2
2020-04-24,1.48,1.52,1.55,1.77,1.89,1.94,2.02
2020-04-25,1.49,1.63,1.67,1.79,1.89,1.91,2
2020-04-26,1.52,1.63,1.67,1.78,1.89,1.91,2
2020-04-27,1.59,1.64,1.66,1.78,1.91,1.93,2.01
2020-04-28,1.58,1.63,1.65,1.78,1.92,1.96,2.04
2020-04-29,1.57,1.62,1.65,1.8,1.95,2.02,2.07
2020-04-30,1.51,1.57,1.6,1.77,1.94,2,2.08
2020-05-01,1.52,1.58,1.61,1.8,2,2.04,2.12
2020-05-02,1.56,1.65,1.69,1.87,2.1,2.14,2.16
2020-05-03,1.52,1.61,1.65,1.84,2.05,2.12,2.18
2020-05-04,1.55,1.62,1.66,1.85,2.08,2.15,2.21
2020-05-05,1.57,1.63,1.67,1.87,2.1,2.17,2.23
2020-05-06,1.5,1.56,1.59,1.8,2.01,2.05,2.18
2020-05-07,1.42,1.48,1.52,1.72,1.93,1.96,2.05
2020-05-08,1.35,1.42,1.46,1.67,1.9,1.94,2.03
2020-05-09,1.36,1.45,1.5,1.76,2,2.04,2.16
2020-05-10,1.16,1.22,1.28,1.54,1.83,1.88,1.97
2020-05-11,1.44,1.52,1.56,1.78,2.04,2.06,2.12
2020-05-12,1.43,1.5,1.54,1.73,1.93,1.97,2.05
2020-05-13,1.34,1.41,1.44,1.62,1.82,1.85,1.92
2020-05-14,1.29,1.36,1.39,1.56,1.74,1.78,1.85
2020-05-15,1.23,1.28,1.31,1.47,1.64,1.67,1.75
2020-05-16,1.15,1.21,1.24,1.42,1.6,1.63,1.72
2020-05-17,1.11,1.18,1.21,1.43,1.67,1.72,1.79
2020-05-18,1.16,1.27,1.34,1.56,1.74,1.77,1.84
2020-05-19,0.93,0.93,0.93,0.93,0.93,0.93,1.01
2020-05-20,0.85,0.85,0.85,0.87,0.92,0.94,0.99
2020-05-21,0.87,0.9,0.91,0.97,0.98,0.98,1.04
2020-05-22,0.8,0.83,0.84,0.91,0.93,0.94,1
2020-05-23,0.72,0.76,0.81,0.86,0.88,0.9,0.96
2020-05-24,0.66,0.71,0.76,0.8,0.84,0.86,0.93
2020-05-25,0.71,0.72,0.73,0.78,0.87,0.9,0.92
2020-05-26,0.66,0.69,0.7,0.77,0.89,0.9,0.94
2020-05-27,0.66,0.69,0.7,0.82,0.93,0.93,0.94
2020-05-28,0.62,0.66,0.68,0.82,0.92,0.93,0.94
2020-05-29,0.57,0.61,0.63,0.79,0.92,0.92,0.94
2020-05-30,0.56,0.62,0.66,0.84,0.93,0.95,0.96
2020-05-31,0.66,0.71,0.73,0.85,0.93,0.94,0.96
2020-06-01,0.8,0.83,0.85,0.91,0.98,1,1.01
2020-06-02,0.8,0.84,0.85,0.92,1,1.02,1.03
