Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,1,2,2,4,7,7,9
2020-03-02,1,1,1,3,6,6,8
2020-03-03,1,1,1,3,6,6,8
2020-03-04,0,0,0,2,5,6,7
2020-03-05,2,3,3,5,8,9,10
2020-03-06,2,3,4,7,11,11,13
2020-03-07,2,3,3,6,9,10,11
2020-03-08,3,4,5,8,11,12,14
2020-03-09,0,0,0,3,7,8,10
2020-03-10,3,4,4,7,11,12,13
2020-03-11,3,4,5,10,15,16,18
2020-03-12,0,0,0,3,8,9,12
2020-03-13,4,5,5,11,17,18,20
2020-03-14,4,6,6,10,14,15,17
2020-03-15,6,7,8,12,16,17,20
2020-03-16,7,8,9,14,19,20,22
2020-03-17,7,10,11,17,23,25,27
2020-03-18,8,10,11,18,30,33,37
2020-03-19,11,14,16,25,33,34,37
2020-03-20,16,22,24,32,40,42,45
2020-03-21,24,28,30,38,48,50,54
2020-03-22,18,20,21,29,39,42,49
2020-03-23,28,34,36,47,57,60,65
2020-03-24,32,36,38,48,59,61,66
2020-03-25,38,47,50,63,77,80,86
2020-03-26,39,43,45,57,70,74,82
2020-03-27,39,43,45,57,72,76,89
2020-03-28,50,54,57,70,85,88,96
2020-03-29,38,42,44,60,87,94,108
2020-03-30,34,38,41,63,94,101,115
2020-03-31,39,43,44,58,76,85,104
2020-04-01,50,56,58,72,88,91,98
2020-04-02,39,43,46,58,73,77,86
2020-04-03,46,51,53,66,81,84,91
2020-04-04,51,56,59,73,88,91,98
2020-04-05,47,56,61,93,116,120,127
2020-04-06,50,55,58,73,91,95,107
2020-04-07,67,75,79,97,115,120,128
2020-04-08,67,79,86,118,143,147,157
2020-04-09,70,79,84,113,146,154,169
2020-04-10,75,87,94,147,190,195,204
2020-04-11,110,138,145,174,204,210,226
2020-04-12,165,175,180,211,245,253,270
2020-04-13,143,159,168,231,327,338,362
2020-04-14,185,213,236,300,355,365,380
2020-04-15,238,299,324,387,445,456,478
2020-04-16,280,311,326,408,505,534,590
2020-04-17,349,398,429,533,615,633,663
2020-04-18,375,422,443,629,816,836,894
2020-04-19,484,512,527,616,717,738,784
2020-04-20,576,622,648,809,1010,1082,1187
2020-04-21,760,848,882,1023,1167,1198,1253
2020-04-22,843,887,911,1048,1202,1234,1299
2020-04-23,893,943,966,1110,1270,1309,1383
2020-04-24,841,892,917,1108,1438,1515,1675
2020-04-25,907,1015,1066,1354,1679,1752,1906
2020-04-26,890,944,970,1244,1722,1828,2040
2020-04-27,788,833,863,1210,1843,1954,2193
2020-04-28,830,895,927,1146,1400,1465,1584
2020-04-29,745,793,827,1115,1421,1489,1642
2020-04-30,848,917,955,1175,1431,1486,1632
2020-05-01,837,880,904,1038,1184,1215,1277
2020-05-02,632,698,698,971,1183,1183,1183
2020-05-03,617,650,668,795,1003,1064,1165
2020-05-04,543,570,586,682,791,844,1024
2020-05-05,542,568,582,667,760,780,823
2020-05-06,521,585,612,710,811,833,883
2020-05-07,478,540,567,670,781,803,860
2020-05-08,430,489,532,692,826,853,897
2020-05-09,456,563,599,705,810,831,872
2020-05-10,465,539,582,749,869,893,929
2020-05-11,411,443,458,544,642,677,768
2020-05-12,412,463,495,686,826,847,890
2020-05-13,477,535,552,643,740,761,806
2020-05-14,480,561,588,685,786,807,852
2020-05-15,491,562,600,711,813,842,885
2020-05-16,411,436,449,533,638,682,775
2020-05-17,480,530,547,637,734,755,795
2020-05-18,313,339,357,529,697,728,793
2020-05-19,364,389,402,476,563,586,643
2020-05-20,404,447,462,539,621,640,676
2020-05-21,365,388,399,465,539,556,591
2020-05-22,360,416,453,549,637,656,688
2020-05-23,383,447,482,576,667,684,721
2020-05-24,425,450,464,540,624,640,675
2020-05-25,314,339,347,430,577,612,674
2020-05-26,321,340,350,413,485,504,561
2020-05-27,343,400,419,493,570,587,621
2020-05-28,314,331,341,400,467,484,521
2020-05-29,316,352,377,513,606,627,659
2020-05-30,376,407,420,489,564,581,615
2020-05-31,395,421,433,502,577,596,628
2020-06-01,344,367,377,441,513,534,579
2020-06-02,395,430,444,515,593,610,646
2020-06-03,420,450,464,539,621,637,669
2020-06-04,413,437,450,521,599,614,653
2020-06-05,306,346,380,520,655,683,744
2020-06-06,307,330,340,433,599,638,702
2020-06-07,316,336,347,410,481,499,559
2020-06-08,313,332,342,401,467,481,513
2020-06-09,216,236,246,358,491,515,567
2020-06-10,292,342,359,426,498,513,544
2020-06-11,324,347,358,418,484,497,529
2020-06-12,352,374,384,446,514,528,557
2020-06-13,294,311,322,379,445,462,509
2020-06-14,317,338,350,407,472,486,516
2020-06-15,223,243,253,372,489,511,564
2020-06-16,203,253,274,377,490,513,564
2020-06-17,209,224,231,288,387,432,501
2020-06-18,206,218,226,268,315,327,349
2020-06-19,132,142,146,177,217,231,267
2020-06-20,155,170,176,210,247,255,271
2020-06-21,139,166,183,230,272,278,296
2020-06-22,157,171,177,211,247,254,270
2020-06-23,107,115,119,154,214,231,259
2020-06-24,131,146,151,182,215,223,238
2020-06-25,95,103,106,131,160,170,194
2020-06-26,91,107,117,176,217,226,237
2020-06-27,88,102,109,172,268,279,290
2020-06-28,106,137,157,199,243,250,268
2020-06-29,149,160,166,200,237,246,264
2020-06-30,170,185,193,229,267,276,292
2020-07-01,166,177,183,216,253,261,277
2020-07-02,154,165,170,201,237,245,264
2020-07-03,143,152,157,188,223,233,258
2020-07-04,148,158,163,194,228,235,252
2020-07-05,122,131,135,165,210,226,259
2020-07-06,140,150,155,184,216,224,238
2020-07-07,127,135,140,167,197,204,221
2020-07-08,124,133,138,165,194,200,215
2020-07-09,106,113,117,142,172,181,208
2020-07-10,120,139,146,176,206,213,226
2020-07-11,125,135,140,167,195,202,214
2020-07-12,130,140,145,172,201,208,222
2020-07-13,112,125,131,179,253,268,292
2020-07-14,113,126,134,194,297,310,338
2020-07-15,136,168,186,233,280,289,308
2020-07-16,187,200,206,246,290,300,318
2020-07-17,230,248,258,304,352,363,384
2020-07-18,182,193,199,245,321,345,384
2020-07-19,208,220,227,268,316,326,356
2020-07-20,162,197,213,283,358,376,410
2020-07-21,237,275,298,359,418,430,455
2020-07-22,254,270,278,326,379,391,414
2020-07-23,283,298,307,358,414,426,452
2020-07-24,244,260,267,321,390,413,473
2020-07-25,278,330,360,449,522,541,571
2020-07-26,360,388,399,465,538,554,585
2020-07-27,379,399,411,477,550,565,600
2020-07-28,327,346,356,427,537,580,653
2020-07-29,307,326,336,412,547,585,659
2020-07-30,261,282,294,400,565,598,674
2020-07-31,317,337,347,410,481,498,544
2020-08-01,265,283,292,347,411,432,496
