Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.97,0.98,0.98,1,1.02,1.02,1.03
2020-03-03,0.95,0.96,0.97,1,1.03,1.04,1.05
2020-03-04,0.93,0.95,0.96,1,1.04,1.05,1.07
2020-03-05,0.91,0.93,0.94,1,1.06,1.07,1.09
2020-03-06,0.88,0.91,0.92,1,1.08,1.09,1.11
2020-03-07,0.85,0.89,0.91,1,1.09,1.11,1.14
2020-03-08,0.83,0.87,0.89,1,1.11,1.13,1.17
2020-03-09,0.8,0.84,0.87,1,1.13,1.15,1.2
2020-03-10,0.77,0.82,0.85,1,1.15,1.17,1.23
2020-03-11,0.75,0.8,0.83,1,1.17,1.2,1.26
2020-03-12,0.72,0.78,0.81,1,1.19,1.22,1.29
2020-03-13,0.69,0.76,0.79,1,1.2,1.24,1.32
2020-03-14,0.66,0.73,0.77,1,1.22,1.27,1.35
2020-03-15,0.63,0.71,0.75,1,1.24,1.29,1.38
2020-03-16,0.6,0.69,0.74,1,1.26,1.31,1.41
2020-03-17,0.56,0.67,0.72,1,1.28,1.33,1.44
2020-03-18,0.54,0.65,0.7,1,1.3,1.36,1.47
2020-03-19,0.51,0.63,0.68,1,1.32,1.38,1.5
2020-03-20,0.48,0.61,0.66,1,1.34,1.4,1.52
2020-03-21,0.46,0.59,0.65,1,1.35,1.42,1.55
2020-03-22,0.43,0.57,0.63,1,1.37,1.44,1.58
2020-03-23,0.4,0.55,0.62,1,1.38,1.45,1.61
2020-03-24,0.38,0.53,0.6,1,1.4,1.48,1.63
2020-03-25,0.35,0.51,0.59,1,1.41,1.49,1.65
2020-03-26,0.32,0.5,0.58,1,1.43,1.51,1.68
2020-03-27,0.31,0.48,0.57,1,1.44,1.52,1.7
2020-03-28,0.29,0.47,0.55,1,1.45,1.53,1.71
2020-03-29,0.26,0.46,0.55,1,1.46,1.55,1.73
2020-03-30,0.25,0.45,0.54,1,1.47,1.56,1.74
2020-03-31,0.24,0.44,0.53,1,1.47,1.57,1.75
2020-04-01,0.22,0.42,0.51,1,1.5,1.62,1.78
2020-04-02,0.2,0.4,0.5,1,1.5,1.63,1.8
2020-04-03,0.2,0.39,0.5,1,1.51,1.63,1.82
2020-04-04,0.18,0.38,0.49,1,1.51,1.63,1.82
2020-04-05,0.17,0.37,0.48,1,1.53,1.63,1.83
2020-04-06,0.18,0.36,0.46,1,1.52,1.62,1.82
2020-04-07,0.19,0.36,0.46,1,1.52,1.62,1.82
2020-04-08,0.18,0.37,0.47,1,1.52,1.62,1.83
2020-04-09,0.18,0.37,0.47,1,1.52,1.62,1.82
2020-04-10,0.18,0.38,0.48,1,1.51,1.6,1.8
2020-04-11,0.4,0.67,0.67,0.73,1.18,1.34,1.58
2020-04-12,0.4,0.63,0.63,0.71,1.19,1.35,1.57
2020-04-13,0.4,0.58,0.59,0.68,1.18,1.33,1.56
2020-04-14,0.4,0.54,0.55,0.66,1.21,1.34,1.56
2020-04-15,0.43,0.5,0.51,0.64,1.21,1.34,1.58
2020-04-16,0.42,0.46,0.48,0.62,1.22,1.34,1.59
2020-04-17,0.39,0.42,0.44,0.65,1.37,1.5,1.71
2020-04-18,0.35,0.39,0.41,0.7,1.5,1.59,1.79
2020-04-19,0.32,0.37,0.39,0.92,1.64,1.7,1.92
2020-04-20,0.35,0.43,0.49,1.34,1.75,1.77,1.94
2020-04-21,0.49,1.03,1.1,1.46,1.75,1.88,1.93
2020-04-22,1.02,1.15,1.22,1.52,1.85,1.9,1.94
2020-04-23,0.98,1.12,1.19,1.5,1.78,1.86,1.92
2020-04-24,1.11,1.24,1.29,1.56,1.84,1.88,1.94
2020-04-25,0.99,1.12,1.19,1.5,1.79,1.83,1.91
2020-04-26,1.06,1.19,1.24,1.54,1.8,1.84,1.92
2020-04-27,0.93,1.05,1.12,1.44,1.73,1.78,1.87
2020-04-28,1,1.11,1.16,1.47,1.76,1.81,1.89
2020-04-29,0.86,0.97,1.03,1.35,1.68,1.74,1.84
2020-04-30,0.96,1.1,1.16,1.47,1.78,1.85,1.91
2020-05-01,1.03,1.13,1.19,1.49,1.79,1.86,1.93
2020-05-02,1.11,1.2,1.26,1.55,1.86,1.9,2.01
2020-05-03,1.07,1.16,1.23,1.51,1.8,1.88,1.97
2020-05-04,1.04,1.13,1.19,1.47,1.77,1.83,1.95
2020-05-05,1.07,1.17,1.22,1.51,1.8,1.86,1.98
2020-05-06,1.12,1.21,1.27,1.56,1.86,1.92,2.03
2020-05-07,0.97,1.09,1.13,1.44,1.77,1.84,1.96
2020-05-08,1.04,1.13,1.19,1.5,1.81,1.87,1.98
2020-05-09,1.13,1.23,1.29,1.59,1.89,1.94,2.07
2020-05-10,1.03,1.14,1.19,1.47,1.75,1.81,1.92
2020-05-11,1.08,1.17,1.22,1.49,1.76,1.82,1.91
2020-05-12,0.99,1.11,1.15,1.44,1.73,1.78,1.88
2020-05-13,1.1,1.21,1.27,1.54,1.82,1.86,1.95
2020-05-14,0.99,1.08,1.14,1.41,1.68,1.73,1.83
2020-05-15,1.05,1.15,1.19,1.43,1.68,1.72,1.82
2020-05-16,0.9,0.99,1.04,1.3,1.57,1.63,1.75
2020-05-17,0.97,1.07,1.11,1.34,1.59,1.65,1.75
2020-05-18,0.81,0.9,0.94,1.18,1.43,1.47,1.57
2020-05-19,0.67,0.76,0.8,1.04,1.28,1.33,1.43
2020-05-20,0.74,0.82,0.86,1.08,1.3,1.36,1.43
2020-05-21,0.64,0.7,0.74,0.96,1.17,1.22,1.29
2020-05-22,0.59,0.67,0.71,0.91,1.11,1.16,1.23
2020-05-23,0.52,0.6,0.63,0.83,1.02,1.07,1.16
2020-05-24,0.55,0.61,0.65,0.84,1.05,1.1,1.17
2020-05-25,0.57,0.64,0.67,0.87,1.08,1.12,1.2
2020-05-26,0.55,0.61,0.65,0.83,1.03,1.07,1.14
2020-05-27,0.59,0.65,0.69,0.87,1.06,1.09,1.16
2020-05-28,0.62,0.68,0.71,0.9,1.08,1.11,1.18
2020-05-29,0.58,0.64,0.67,0.85,1.04,1.06,1.14
2020-05-30,0.58,0.64,0.68,0.85,1.03,1.06,1.14
2020-05-31,0.49,0.56,0.59,0.77,0.96,1,1.07
2020-06-01,0.4,0.46,0.5,0.69,0.9,0.94,1.03
2020-06-02,0.46,0.53,0.57,0.79,1.01,1.05,1.16
