Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,2,3,3,3
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,1,1,1,1
2020-03-08,0,0,0,1,1,1,1
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0
2020-03-19,1,1,1,1,3,3,4
2020-03-20,0,0,0,0,0,0,0
2020-03-21,1,1,1,2,3,3,4
2020-03-22,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0
2020-03-24,1,1,1,2,3,3,4
2020-03-25,1,1,1,2,4,4,5
2020-03-26,1,1,1,2,4,4,5
2020-03-27,0,0,0,0,0,0,0
2020-03-28,1,1,1,3,5,5,6
2020-03-29,1,1,1,3,5,5,6
2020-03-30,1,1,2,3,6,6,7
2020-03-31,1,1,1,2,4,5,6
2020-04-01,0,0,0,1,3,3,5
2020-04-02,2,2,3,5,8,9,10
2020-04-03,1,2,2,4,7,7,9
2020-04-04,2,3,4,7,10,11,12
2020-04-05,2,3,3,6,9,10,12
2020-04-06,2,3,4,7,10,11,13
2020-04-07,3,4,5,8,12,13,15
2020-04-08,5,7,7,12,17,18,20
2020-04-09,5,6,6,10,15,16,19
2020-04-10,7,8,9,13,19,20,22
2020-04-11,1,2,3,11,20,22,26
2020-04-12,4,5,6,10,16,18,22
2020-04-13,6,7,8,12,18,19,22
2020-04-14,6,8,8,13,18,19,22
2020-04-15,6,7,7,12,17,19,22
2020-04-16,3,4,5,9,17,19,24
2020-04-17,6,8,9,13,18,20,22
2020-04-18,7,8,9,13,18,20,23
2020-04-19,6,7,8,12,18,19,21
2020-04-20,8,10,11,16,21,23,25
