Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,1,1,1,1,3,3,4
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,1,1,1,2,4,4,5
2020-03-11,1,1,2,3,5,5,6
2020-03-12,1,1,2,3,5,5,6
2020-03-13,1,2,2,3,6,6,7
2020-03-14,1,2,2,4,7,8,9
2020-03-15,1,1,1,2,4,5,6
2020-03-16,2,2,3,5,7,8,9
2020-03-17,2,3,3,6,9,10,12
2020-03-18,3,3,4,8,13,14,16
2020-03-19,3,4,5,10,16,16,18
2020-03-20,4,6,6,11,19,21,24
2020-03-21,6,7,8,14,24,25,30
2020-03-22,8,9,10,17,25,27,32
2020-03-23,13,15,16,23,29,31,34
2020-03-24,19,24,27,38,47,49,52
2020-03-25,21,24,26,40,60,62,68
2020-03-26,19,24,26,39,54,57,65
2020-03-27,34,42,46,60,74,77,82
2020-03-28,40,45,49,65,86,89,98
2020-03-29,57,62,64,79,95,99,106
2020-03-30,40,44,46,59,73,76,83
2020-03-31,77,82,85,102,122,126,134
2020-04-01,72,84,91,130,160,165,175
2020-04-02,87,94,98,119,144,150,167
2020-04-03,98,110,117,157,212,231,261
2020-04-04,118,127,131,158,188,195,214
2020-04-05,191,204,211,247,286,296,314
2020-04-06,218,230,237,277,320,331,352
2020-04-07,209,222,229,270,317,329,361
2020-04-08,202,215,222,272,356,381,432
2020-04-09,195,209,217,288,398,422,470
2020-04-10,213,229,236,281,354,385,452
2020-04-11,232,246,253,297,346,358,390
2020-04-12,220,235,242,284,334,353,398
2020-04-13,257,297,317,379,439,453,479
2020-04-14,301,326,336,393,451,466,497
2020-04-15,318,338,348,404,466,479,507
2020-04-16,341,364,375,435,501,514,545
2020-04-17,313,331,340,399,465,480,521
2020-04-18,273,289,297,356,438,472,534
2020-04-19,271,289,297,349,408,424,466
2020-04-20,257,272,279,330,386,399,430
