Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,1,1,1,1,3,3,4
2020-03-07,0,0,0,0,0,0,0
2020-03-08,1,1,1,2,3,3,4
2020-03-09,1,1,1,2,3,3,4
2020-03-10,1,1,1,2,3,3,4
2020-03-11,0,0,0,0,0,0,0
2020-03-12,1,1,1,2,3,4,5
2020-03-13,1,1,2,3,6,6,7
2020-03-14,1,2,2,4,6,7,8
2020-03-15,1,2,2,5,8,8,10
2020-03-16,2,3,3,6,10,11,13
2020-03-17,2,3,4,7,10,11,12
2020-03-18,3,4,4,9,15,16,19
2020-03-19,3,4,4,7,11,12,14
2020-03-20,6,8,9,13,18,19,21
2020-03-21,6,7,8,12,17,18,20
2020-03-22,6,8,9,15,23,26,30
2020-03-23,4,5,6,10,16,18,22
2020-03-24,10,11,12,17,23,24,26
2020-03-25,7,9,9,14,19,20,23
2020-03-26,6,8,8,13,19,21,25
2020-03-27,9,11,12,23,35,37,41
2020-03-28,12,15,16,22,30,32,35
2020-03-29,13,15,16,23,30,32,36
2020-03-30,14,16,17,23,31,33,37
2020-03-31,16,18,20,27,35,37,40
2020-04-01,20,24,25,33,43,45,49
2020-04-02,18,20,21,29,38,40,45
2020-04-03,17,19,21,28,38,40,46
2020-04-04,16,18,19,27,36,40,48
2020-04-05,12,14,15,24,39,42,49
2020-04-06,19,24,28,40,52,54,59
2020-04-07,27,31,33,43,55,57,62
2020-04-08,24,28,30,55,87,90,98
2020-04-09,16,19,20,36,66,74,86
2020-04-10,12,14,15,28,61,71,88
2020-04-11,9,11,12,18,25,28,70
2020-04-12,9,11,12,17,24,26,32
2020-04-13,12,15,16,23,31,32,36
2020-04-14,11,13,14,23,35,40,50
2020-04-15,12,16,17,25,33,35,38
2020-04-16,15,18,20,32,46,54,59
2020-04-17,18,22,24,45,68,71,80
2020-04-18,24,28,30,40,52,54,60
2020-04-19,44,47,49,61,75,78,83
2020-04-20,21,30,34,53,73,77,85
