Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,1,1,1,2,3,3,4
2020-03-06,1,1,1,3,4,5,5
2020-03-07,0,0,0,2,3,3,3
2020-03-08,1,1,2,3,5,6,7
2020-03-09,0,0,0,0,0,0,0
2020-03-10,1,2,2,4,6,7,8
2020-03-11,2,2,3,4,7,7,8
2020-03-12,2,3,3,5,8,8,10
2020-03-13,4,4,5,7,11,12,13
2020-03-14,12,13,13,17,21,22,24
2020-03-15,13,14,15,19,23,24,26
2020-03-16,13,15,15,20,25,26,28
2020-03-17,8,10,12,17,23,23,26
2020-03-18,4,6,7,14,22,24,27
2020-03-19,7,9,9,14,20,22,26
2020-03-20,11,13,14,25,40,42,46
2020-03-21,18,24,25,33,41,43,47
2020-03-22,19,22,23,30,38,40,44
2020-03-23,19,22,23,30,39,41,45
2020-03-24,24,27,29,37,47,49,53
2020-03-25,29,33,35,45,55,57,62
2020-03-26,26,29,30,40,50,53,60
2020-03-27,36,43,47,60,73,75,81
2020-03-28,38,42,43,55,67,70,76
2020-03-29,37,40,42,54,67,70,79
2020-03-30,27,31,33,57,84,89,98
2020-03-31,35,39,42,54,70,76,92
2020-04-01,31,34,36,48,62,67,79
2020-04-02,39,43,45,57,70,73,79
2020-04-03,30,33,35,46,61,67,79
2020-04-04,32,35,37,48,61,64,72
2020-04-05,20,23,25,43,66,71,80
2020-04-06,19,22,23,34,54,60,71
2020-04-07,24,27,29,38,49,51,57
2020-04-08,21,24,25,34,43,46,50
2020-04-09,21,23,25,33,43,45,50
2020-04-10,21,24,26,34,44,46,50
2020-04-11,18,20,22,29,38,40,45
2020-04-12,12,14,15,22,31,34,41
2020-04-13,6,7,8,17,31,34,40
2020-04-14,5,6,7,12,21,24,30
2020-04-15,8,11,13,22,30,31,35
2020-04-16,10,12,13,19,25,27,30
2020-04-17,9,12,14,26,35,37,41
2020-04-18,7,9,10,16,22,25,30
2020-04-19,7,8,9,14,21,22,26
2020-04-20,3,4,5,9,16,19,24
