Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.97,0.98,0.98,1,1.02,1.02,1.03
2020-03-03,0.95,0.96,0.97,1,1.03,1.04,1.05
2020-03-04,0.93,0.95,0.96,1,1.05,1.05,1.07
2020-03-05,0.91,0.94,0.95,1.01,1.07,1.08,1.1
2020-03-06,0.89,0.93,0.94,1.02,1.09,1.12,1.17
2020-03-07,0.92,0.95,0.97,1.05,1.16,1.17,1.21
2020-03-08,0.96,0.98,0.99,1.12,1.21,1.23,1.26
2020-03-09,1.07,1.13,1.17,1.22,1.25,1.26,1.28
2020-03-10,1.12,1.17,1.21,1.25,1.3,1.31,1.33
2020-03-11,1.16,1.22,1.23,1.29,1.35,1.36,1.38
2020-03-12,1.2,1.23,1.25,1.32,1.4,1.41,1.43
2020-03-13,1.28,1.32,1.34,1.42,1.48,1.49,1.52
2020-03-14,1.34,1.37,1.4,1.49,1.55,1.55,1.57
2020-03-15,1.39,1.44,1.47,1.56,1.61,1.62,1.63
2020-03-16,1.45,1.51,1.54,1.62,1.67,1.68,1.7
2020-03-17,1.5,1.57,1.59,1.67,1.74,1.75,1.77
2020-03-18,1.53,1.61,1.63,1.72,1.8,1.81,1.86
2020-03-19,1.63,1.67,1.69,1.78,1.88,1.9,1.94
2020-03-20,1.7,1.74,1.76,1.86,1.97,1.99,2.02
2020-03-21,1.72,1.76,1.78,1.9,2.01,2.04,2.08
2020-03-22,1.68,1.74,1.77,1.9,2.03,2.06,2.11
2020-03-23,1.72,1.76,1.79,1.93,2.07,2.1,2.16
2020-03-24,1.75,1.8,1.83,1.98,2.13,2.16,2.22
2020-03-25,1.8,1.86,1.89,2.05,2.21,2.23,2.31
2020-03-26,1.82,1.88,1.91,2.07,2.23,2.26,2.34
2020-03-27,1.85,1.92,1.94,2.11,2.27,2.31,2.39
2020-03-28,1.81,1.87,1.9,2.07,2.24,2.27,2.35
2020-03-29,1.75,1.79,1.82,2,2.19,2.23,2.31
2020-03-30,1.73,1.77,1.8,1.97,2.16,2.19,2.27
2020-03-31,1.71,1.75,1.79,1.96,2.14,2.17,2.25
2020-04-01,1.67,1.72,1.75,1.91,2.09,2.13,2.19
2020-04-02,1.64,1.69,1.72,1.88,2.06,2.1,2.16
2020-04-03,1.6,1.65,1.68,1.85,2.02,2.05,2.12
2020-04-04,1.52,1.58,1.62,1.8,1.99,2.03,2.11
2020-04-05,1.42,1.51,1.55,1.76,1.97,2.01,2.09
2020-04-06,1.28,1.3,1.3,1.66,1.93,1.98,2.06
2020-04-07,1.31,1.38,1.42,1.62,1.81,1.84,1.92
2020-04-08,1.25,1.29,1.32,1.49,1.66,1.69,1.75
2020-04-09,1.17,1.21,1.23,1.39,1.55,1.58,1.64
2020-04-10,1.05,1.08,1.1,1.26,1.45,1.49,1.56
2020-04-11,0.9,0.96,0.97,1.11,1.32,1.37,1.48
2020-04-12,0.84,0.86,0.88,0.99,1.13,1.16,1.23
2020-04-13,0.75,0.77,0.79,0.9,1.03,1.06,1.1
2020-04-14,0.68,0.71,0.73,0.86,0.99,1.02,1.05
2020-04-15,0.63,0.7,0.73,0.88,1.01,1.03,1.09
2020-04-16,0.64,0.74,0.77,0.91,1.05,1.06,1.1
2020-04-17,0.68,0.77,0.8,0.94,1.07,1.08,1.15
2020-04-18,0.74,0.78,0.81,0.93,1.06,1.07,1.09
2020-04-19,0.67,0.71,0.73,0.85,0.98,1.01,1.05
2020-04-20,0.66,0.69,0.72,0.83,0.95,0.97,1.02
2020-04-21,0.62,0.67,0.69,0.85,1.01,1.03,1.09
2020-04-22,0.61,0.67,0.71,0.94,1.1,1.1,1.12
2020-04-23,0.67,0.82,0.89,1.03,1.12,1.13,1.14
2020-04-24,0.9,0.95,0.97,1.09,1.15,1.15,1.16
2020-04-25,0.83,0.88,0.91,1.04,1.15,1.16,1.18
2020-04-26,0.68,0.75,0.79,1.01,1.16,1.18,1.2
2020-04-27,0.79,0.84,0.87,1.01,1.14,1.17,1.2
2020-04-28,0.88,0.92,0.94,1.07,1.18,1.2,1.24
2020-04-29,0.94,0.98,1,1.12,1.22,1.24,1.28
2020-04-30,0.93,0.96,0.98,1.1,1.21,1.23,1.28
2020-05-01,0.89,0.92,0.94,1.05,1.17,1.19,1.24
2020-05-02,0.86,0.9,0.92,1.04,1.17,1.2,1.25
2020-05-03,0.82,0.87,0.89,1.03,1.18,1.21,1.26
2020-05-04,0.75,0.8,0.82,0.94,1.08,1.11,1.17
2020-05-05,0.8,0.84,0.86,0.97,1.1,1.12,1.17
2020-05-06,0.85,0.89,0.91,1.02,1.14,1.16,1.21
2020-05-07,0.89,0.93,0.95,1.06,1.18,1.2,1.24
2020-05-08,0.9,0.93,0.96,1.07,1.19,1.21,1.25
2020-05-09,0.85,0.88,0.9,1.02,1.14,1.17,1.22
2020-05-10,0.82,0.86,0.88,1.01,1.15,1.18,1.24
2020-05-11,0.76,0.79,0.81,0.93,1.07,1.1,1.17
2020-05-12,0.8,0.85,0.87,0.99,1.13,1.16,1.21
2020-05-13,0.84,0.87,0.89,1.02,1.14,1.17,1.21
2020-05-14,0.84,0.88,0.9,1.02,1.13,1.15,1.2
2020-05-15,0.84,0.89,0.91,1.02,1.14,1.16,1.21
2020-05-16,0.76,0.82,0.85,1,1.14,1.17,1.22
2020-05-17,0.72,0.77,0.81,1,1.15,1.18,1.24
2020-05-18,0.65,0.68,0.69,0.86,1.05,1.09,1.17
2020-05-19,0.75,0.79,0.81,0.95,1.1,1.13,1.18
2020-05-20,0.85,0.89,0.92,1.04,1.17,1.19,1.23
2020-05-21,0.83,0.87,0.9,1.02,1.14,1.16,1.2
2020-05-22,0.79,0.83,0.86,0.97,1.09,1.12,1.16
2020-05-23,0.71,0.76,0.77,0.9,1.04,1.08,1.14
2020-05-24,0.65,0.72,0.75,0.89,1.04,1.08,1.15
2020-05-25,0.68,0.71,0.73,0.86,0.98,1.01,1.07
2020-05-26,0.77,0.82,0.84,0.96,1.09,1.12,1.17
2020-05-27,0.86,0.9,0.92,1.04,1.17,1.2,1.25
2020-05-28,0.9,0.94,0.96,1.08,1.22,1.24,1.28
2020-05-29,0.92,0.96,0.99,1.11,1.24,1.26,1.3
2020-05-30,0.86,0.9,0.93,1.08,1.24,1.27,1.33
2020-05-31,0.84,0.88,0.91,1.09,1.26,1.3,1.35
