Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,1,1,1,3,4,5,6
2020-03-03,1,2,2,3,6,6,7
2020-03-04,2,3,3,4,7,7,8
2020-03-05,2,3,3,5,7,7,9
2020-03-06,4,4,5,7,10,11,12
2020-03-07,9,10,10,14,17,18,20
2020-03-08,14,15,16,20,24,25,27
2020-03-09,29,31,32,38,43,45,48
2020-03-10,10,12,12,18,24,26,28
2020-03-11,15,17,18,24,31,32,36
2020-03-12,15,17,18,25,34,36,40
2020-03-13,56,60,61,71,81,82,86
2020-03-14,38,41,43,52,62,64,68
2020-03-15,42,46,47,57,68,71,76
2020-03-16,40,47,52,68,82,84,90
2020-03-17,44,50,53,77,102,106,113
2020-03-18,51,57,61,87,120,124,132
2020-03-19,64,76,82,114,138,143,148
2020-03-20,88,103,112,145,173,177,187
2020-03-21,106,114,117,139,164,169,181
2020-03-22,103,110,114,139,169,179,205
2020-03-23,138,148,153,180,210,216,230
2020-03-24,166,180,186,218,253,260,275
2020-03-25,188,216,231,277,321,330,347
2020-03-26,225,241,248,290,334,344,366
2020-03-27,279,297,306,354,408,418,440
2020-03-28,264,281,290,342,404,426,475
2020-03-29,264,279,289,356,472,500,552
2020-03-30,338,358,368,428,496,511,544
2020-03-31,381,404,415,481,554,571,605
2020-04-01,405,425,437,508,588,603,644
2020-04-02,452,477,490,567,650,669,712
2020-04-03,493,521,535,617,708,728,772
2020-04-04,402,449,482,667,836,871,941
2020-04-05,423,508,554,727,916,958,1042
2020-04-06,394,415,432,729,992,1042,1146
2020-04-07,576,624,645,762,887,916,974
2020-04-08,549,585,602,705,818,845,895
2020-04-09,537,571,584,687,799,822,870
2020-04-10,418,453,470,608,856,905,1000
2020-04-11,356,389,404,532,776,836,954
2020-04-12,384,407,418,491,574,597,683
2020-04-13,356,377,388,451,524,540,579
2020-04-14,354,382,394,461,533,550,583
2020-04-15,293,338,364,507,601,616,656
2020-04-16,306,363,398,535,634,650,686
2020-04-17,324,379,406,569,678,694,736
2020-04-18,403,435,448,523,603,619,652
2020-04-19,331,352,362,427,504,526,591
2020-04-20,356,377,389,453,524,541,569
2020-04-21,291,323,341,495,660,686,714
2020-04-22,283,325,354,565,702,721,757
2020-04-23,319,417,475,649,755,776,817
2020-04-24,481,561,597,699,798,818,854
2020-04-25,419,447,461,551,675,725,806
2020-04-26,300,333,348,586,770,802,875
2020-04-27,448,479,495,583,680,703,755
2020-04-28,547,584,601,694,799,821,869
2020-04-29,602,633,652,752,858,885,926
2020-04-30,530,560,575,669,776,799,854
2020-05-01,466,498,513,604,716,755,871
2020-05-02,419,482,508,655,821,856,929
2020-05-03,428,477,501,652,829,869,954
2020-05-04,411,436,449,537,646,702,815
2020-05-05,503,529,543,631,728,749,795
2020-05-06,562,589,604,696,796,818,868
2020-05-07,543,610,634,736,846,870,922
2020-05-08,563,590,606,702,808,831,882
2020-05-09,459,483,500,596,731,790,889
2020-05-10,432,485,512,656,823,863,932
2020-05-11,408,434,446,536,685,738,842
2020-05-12,545,581,599,696,806,831,883
2020-05-13,545,572,587,681,785,809,858
2020-05-14,525,556,573,663,765,788,830
2020-05-15,537,572,588,681,784,804,856
2020-05-16,378,411,435,640,824,863,935
2020-05-17,355,440,466,649,838,874,952
2020-05-18,368,388,394,496,685,752,862
2020-05-19,489,524,539,634,742,764,819
2020-05-20,593,628,645,748,863,896,946
2020-05-21,506,535,550,641,743,764,811
2020-05-22,454,482,498,584,685,715,787
2020-05-23,375,398,408,510,696,743,839
2020-05-24,348,393,413,544,704,745,829
2020-05-25,390,416,429,502,586,607,660
2020-05-26,526,556,571,663,763,786,831
2020-05-27,581,613,630,728,838,862,903
2020-05-28,566,616,636,739,848,873,920
2020-05-29,601,636,654,758,872,894,946
2020-05-30,439,475,494,691,919,960,1043
2020-05-31,473,517,559,736,946,994,1089
2020-06-01,529,561,578,679,794,822,911
2020-06-02,670,708,727,843,970,998,1058
2020-06-03,778,819,838,963,1101,1132,1194
2020-06-04,783,840,864,997,1145,1175,1239
2020-06-05,860,921,947,1094,1253,1284,1348
2020-06-06,712,754,777,923,1146,1234,1377
2020-06-07,714,796,834,1061,1320,1377,1498
2020-06-08,639,677,701,924,1293,1376,1531
2020-06-09,758,801,822,958,1114,1152,1237
2020-06-10,1017,1094,1125,1298,1491,1534,1617
2020-06-11,1011,1076,1104,1276,1465,1506,1583
2020-06-12,1063,1129,1158,1334,1530,1576,1665
2020-06-13,931,983,1009,1181,1400,1489,1685
2020-06-14,912,1003,1047,1324,1644,1715,1856
