Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.98,0.98,0.98,0.98,0.99,1,1.02
2020-03-03,0.96,0.96,0.97,0.97,0.97,0.97,1
2020-03-04,0.94,0.94,0.94,0.95,0.96,0.97,1
2020-03-05,0.91,0.91,0.92,0.94,0.96,0.97,1
2020-03-06,0.87,0.88,0.89,0.92,0.96,0.97,1
2020-03-07,0.84,0.86,0.86,0.91,0.96,0.97,1.01
2020-03-08,0.8,0.83,0.84,0.9,0.96,0.98,1.02
2020-03-09,0.76,0.79,0.81,0.89,0.97,0.98,1.03
2020-03-10,0.72,0.76,0.78,0.88,0.97,0.99,1.04
2020-03-11,0.68,0.73,0.75,0.87,0.98,1.01,1.06
2020-03-12,0.64,0.7,0.72,0.86,0.99,1.02,1.08
2020-03-13,0.6,0.66,0.69,0.85,1,1.03,1.1
2020-03-14,0.57,0.64,0.67,0.84,1.01,1.05,1.13
2020-03-15,0.54,0.61,0.64,0.83,1.03,1.06,1.15
2020-03-16,0.5,0.57,0.61,0.83,1.04,1.08,1.18
2020-03-17,0.47,0.55,0.59,0.82,1.05,1.09,1.2
2020-03-18,0.43,0.52,0.57,0.82,1.07,1.11,1.22
2020-03-19,0.41,0.49,0.54,0.81,1.08,1.13,1.24
2020-03-20,0.37,0.47,0.52,0.81,1.1,1.15,1.27
2020-03-21,0.33,0.45,0.5,0.81,1.11,1.17,1.29
2020-03-22,0.31,0.42,0.49,0.81,1.13,1.19,1.32
2020-03-23,0.29,0.4,0.47,0.81,1.15,1.21,1.36
2020-03-24,0.25,0.38,0.45,0.81,1.16,1.24,1.38
2020-03-25,0.22,0.37,0.44,0.81,1.18,1.26,1.4
2020-03-26,0.19,0.35,0.43,0.81,1.2,1.28,1.44
2020-03-27,0.16,0.33,0.41,0.81,1.22,1.3,1.47
2020-03-28,0.15,0.32,0.4,0.82,1.24,1.33,1.5
2020-03-29,0.14,0.31,0.4,0.82,1.25,1.34,1.53
2020-03-30,0.13,0.3,0.39,0.82,1.26,1.36,1.54
2020-03-31,0.12,0.28,0.38,0.83,1.27,1.38,1.55
2020-04-01,0.13,0.28,0.38,0.83,1.29,1.39,1.58
2020-04-02,0.13,0.27,0.37,0.84,1.31,1.41,1.6
2020-04-03,0.13,0.27,0.37,0.84,1.32,1.43,1.61
2020-04-04,0.14,0.27,0.36,0.85,1.34,1.44,1.63
2020-04-05,0.14,0.27,0.37,0.86,1.36,1.46,1.64
2020-04-06,0.15,0.26,0.36,0.87,1.36,1.46,1.64
2020-04-07,0.15,0.26,0.37,0.87,1.37,1.47,1.66
2020-04-08,0.15,0.26,0.36,0.88,1.38,1.49,1.69
2020-04-09,0.15,0.26,0.36,0.89,1.39,1.51,1.7
2020-04-10,0.15,0.27,0.37,0.9,1.4,1.52,1.71
2020-04-11,0.15,0.27,0.38,0.91,1.42,1.52,1.72
2020-04-12,0.17,0.28,0.38,0.92,1.43,1.53,1.75
2020-04-13,0.18,0.3,0.39,0.93,1.45,1.55,1.78
2020-04-14,0.18,0.32,0.4,0.94,1.46,1.56,1.78
2020-04-15,0.18,0.32,0.41,0.94,1.47,1.56,1.79
2020-04-16,0.19,0.33,0.41,0.95,1.47,1.58,1.81
2020-04-17,0.19,0.34,0.42,0.96,1.48,1.58,1.79
2020-04-18,0.19,0.35,0.44,0.97,1.49,1.61,1.82
2020-04-19,0.53,0.74,0.74,0.76,0.74,1.09,1.38
2020-04-20,0.53,0.75,0.75,0.78,0.78,1.11,1.45
2020-04-21,0.54,0.76,0.76,0.81,0.89,1.22,1.69
2020-04-22,0.55,0.76,0.77,0.82,0.85,1.07,1.53
2020-04-23,0.78,0.82,0.84,0.84,0.84,0.84,0.87
2020-04-24,0.79,0.83,0.86,0.87,0.88,0.89,0.93
2020-04-25,0.8,0.87,0.88,0.91,0.92,0.93,1.47
2020-04-26,0.82,0.88,0.9,0.94,0.97,1.2,1.57
2020-04-27,0.86,0.9,0.91,1,1.43,1.55,1.58
2020-04-28,0.88,0.92,0.93,1.1,1.56,1.57,1.59
2020-04-29,0.92,0.96,0.97,1.31,1.58,1.6,1.63
2020-04-30,0.96,1.01,1.05,1.43,1.6,1.63,1.67
2020-05-01,0.99,1.06,1.11,1.44,1.62,1.66,1.71
2020-05-02,0.98,1.04,1.08,1.38,1.62,1.66,1.73
2020-05-03,0.97,1.04,1.09,1.34,1.61,1.67,1.75
2020-05-04,0.98,1.05,1.08,1.31,1.6,1.66,1.75
2020-05-05,0.96,1.01,1.04,1.27,1.55,1.63,1.75
2020-05-06,0.92,0.98,1.02,1.25,1.52,1.59,1.75
2020-05-07,0.91,0.99,1.03,1.31,1.61,1.69,1.81
2020-05-08,0.87,0.95,1,1.29,1.59,1.67,1.81
2020-05-09,0.81,0.9,0.95,1.25,1.55,1.61,1.77
2020-05-10,0.81,0.9,0.95,1.27,1.59,1.65,1.8
2020-05-11,0.73,0.82,0.87,1.21,1.54,1.61,1.75
2020-05-12,0.75,0.83,0.89,1.24,1.58,1.65,1.79
2020-05-13,0.67,0.75,0.81,1.16,1.53,1.59,1.73
2020-05-14,0.52,0.63,0.67,1.01,1.43,1.5,1.64
2020-05-15,0.47,0.57,0.61,0.93,1.35,1.44,1.58
2020-05-16,0.56,0.66,0.72,1.09,1.51,1.58,1.71
2020-05-17,0.46,0.55,0.6,0.92,1.34,1.43,1.58
2020-05-18,0.39,0.49,0.53,0.83,1.22,1.31,1.49
2020-05-19,0.37,0.46,0.5,0.79,1.15,1.24,1.43
2020-05-20,0.44,0.53,0.58,0.89,1.3,1.39,1.54
2020-05-21,0.43,0.5,0.55,0.85,1.22,1.32,1.47
2020-05-22,0.42,0.51,0.56,0.86,1.22,1.32,1.47
2020-05-23,0.53,0.63,0.68,1.02,1.42,1.48,1.61
2020-05-24,0.64,0.74,0.79,1.15,1.5,1.59,1.67
2020-05-25,0.64,0.74,0.79,1.13,1.48,1.56,1.66
2020-05-26,0.61,0.71,0.76,1.08,1.43,1.49,1.63
2020-05-27,0.68,0.78,0.83,1.15,1.48,1.56,1.65
2020-05-28,0.67,0.78,0.83,1.13,1.45,1.51,1.63
2020-05-29,0.57,0.66,0.72,1.03,1.38,1.43,1.57
2020-05-30,0.52,0.61,0.67,0.97,1.3,1.37,1.48
2020-05-31,0.46,0.55,0.6,0.88,1.18,1.24,1.39
2020-06-01,0.5,0.6,0.66,0.93,1.22,1.27,1.43
2020-06-02,0.44,0.53,0.57,0.85,1.13,1.19,1.31
2020-06-03,0.38,0.46,0.5,0.78,1.05,1.11,1.23
2020-06-04,0.39,0.48,0.53,0.79,1.06,1.12,1.24
2020-06-05,0.41,0.5,0.55,0.81,1.08,1.14,1.25
2020-06-06,0.51,0.61,0.66,0.94,1.22,1.29,1.46
2020-06-07,0.61,0.71,0.76,1.03,1.32,1.39,1.63
2020-06-08,0.64,0.73,0.78,1.05,1.33,1.39,1.63
2020-06-09,0.73,0.84,0.88,1.17,1.61,1.65,1.68
2020-06-10,0.83,0.94,1,1.34,1.68,1.69,1.78
2020-06-11,0.95,1.03,1.09,1.46,1.7,1.71,1.79
2020-06-12,1.08,1.2,1.28,1.55,1.73,1.75,1.84
2020-06-13,1.05,1.16,1.23,1.51,1.74,1.77,1.87
2020-06-14,0.9,0.98,1.02,1.33,1.66,1.71,1.81
2020-06-15,0.89,0.99,1.05,1.33,1.62,1.69,1.81
2020-06-16,0.88,0.98,1.03,1.31,1.57,1.64,1.77
2020-06-17,0.95,1.06,1.11,1.4,1.7,1.77,1.9
2020-06-18,1.02,1.11,1.15,1.43,1.7,1.77,1.93
2020-06-19,1.12,1.22,1.27,1.52,1.79,1.85,2
2020-06-20,1.06,1.17,1.23,1.51,1.78,1.85,2.01
2020-06-21,0.93,1.03,1.08,1.42,1.74,1.81,1.99
2020-06-22,0.8,0.84,0.9,1.22,1.64,1.72,1.86
2020-06-23,0.88,0.98,1.03,1.35,1.66,1.73,1.85
2020-06-24,0.82,0.89,0.93,1.18,1.45,1.52,1.61
2020-06-25,0.78,0.85,0.88,1.12,1.36,1.4,1.52
2020-06-26,0.78,0.84,0.88,1.12,1.35,1.39,1.5
2020-06-27,0.74,0.8,0.84,1.08,1.3,1.35,1.43
2020-06-28,0.77,0.86,0.9,1.15,1.37,1.42,1.53
2020-06-29,0.7,0.79,0.83,1.08,1.31,1.35,1.43
2020-06-30,0.67,0.75,0.79,1.03,1.27,1.31,1.39
2020-07-01,0.71,0.79,0.83,1.08,1.3,1.35,1.43
2020-07-02,0.77,0.85,0.91,1.14,1.35,1.39,1.49
2020-07-03,0.85,0.93,0.97,1.19,1.4,1.46,1.54
2020-07-04,0.92,1,1.05,1.26,1.5,1.55,1.6
2020-07-05,0.96,1.02,1.06,1.27,1.5,1.55,1.6
2020-07-06,0.88,0.97,1,1.21,1.42,1.48,1.56
2020-07-07,0.95,1.01,1.05,1.26,1.49,1.53,1.6
2020-07-08,0.94,1.03,1.07,1.32,1.59,1.63,1.71
2020-07-09,1.04,1.14,1.2,1.49,1.72,1.75,1.81
2020-07-10,1.04,1.13,1.17,1.43,1.66,1.7,1.78
2020-07-11,1.1,1.17,1.21,1.43,1.64,1.68,1.75
2020-07-12,1.05,1.11,1.14,1.35,1.56,1.6,1.69
2020-07-13,0.99,1.05,1.08,1.28,1.47,1.51,1.61
2020-07-14,0.97,1.03,1.05,1.24,1.43,1.47,1.54
2020-07-15,0.97,1.02,1.06,1.25,1.44,1.47,1.54
2020-07-16,0.98,1.05,1.09,1.27,1.45,1.49,1.55
2020-07-17,1.01,1.08,1.11,1.29,1.47,1.51,1.56
2020-07-18,1.03,1.11,1.15,1.36,1.55,1.59,1.7
2020-07-19,1.02,1.1,1.13,1.33,1.52,1.56,1.62
2020-07-20,0.88,0.95,0.99,1.23,1.49,1.53,1.62
2020-07-21,0.91,0.99,1.02,1.22,1.44,1.49,1.57
2020-07-22,0.83,0.91,0.94,1.11,1.3,1.34,1.42
2020-07-23,0.89,0.95,0.98,1.16,1.36,1.39,1.47
2020-07-24,0.85,0.9,0.93,1.1,1.28,1.32,1.4
