Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,1,1,1,1
2020-03-03,0,0,0,2,2,2,2
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,1,1,1,1,3,3,4
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0
2020-03-22,1,1,1,2,3,4,5
2020-03-23,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0
2020-03-26,1,1,1,2,3,3,4
2020-03-27,1,1,1,2,4,4,5
2020-03-28,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,6
2020-04-01,0,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0,0
2020-04-06,1,1,1,1,3,3,4
2020-04-07,0,0,0,0,0,0,0
2020-04-08,1,1,1,2,3,3,4
2020-04-09,0,0,0,0,0,0,0
2020-04-10,0,0,0,0,0,0,0
2020-04-11,0,0,0,0,0,0,0
2020-04-12,1,1,1,2,3,3,4
2020-04-13,1,1,1,1,3,3,4
2020-04-14,0,0,0,0,0,0,0
2020-04-15,0,0,0,0,0,0,0
2020-04-16,1,1,1,1,3,3,4
2020-04-17,0,0,0,0,0,0,0
2020-04-18,1,1,1,3,5,5,6
2020-04-19,0,0,0,1,1,1,1
2020-04-20,1,1,1,2,3,3,4
2020-04-21,1,1,1,3,5,5,6
2020-04-22,0,0,0,0,0,0,0
2020-04-23,0,0,0,1,1,1,1
2020-04-24,1,1,1,3,4,5,6
2020-04-25,2,2,2,4,6,6,7
2020-04-26,1,1,1,2,4,4,5
2020-04-27,1,2,2,4,6,6,7
2020-04-28,1,2,2,4,6,7,9
2020-04-29,2,3,3,7,12,13,16
2020-04-30,2,3,4,7,11,11,13
2020-05-01,2,3,3,6,10,10,12
2020-05-02,1,1,2,4,7,8,11
2020-05-03,1,2,2,5,9,9,12
2020-05-04,2,2,2,5,8,9,12
2020-05-05,1,2,2,4,8,9,11
2020-05-06,1,2,2,5,8,9,11
2020-05-07,4,4,5,9,14,16,21
2020-05-08,2,3,3,6,10,11,13
2020-05-09,2,2,3,5,9,9,11
2020-05-10,4,4,5,8,12,13,14
2020-05-11,1,2,2,5,9,10,13
2020-05-12,3,4,5,8,12,13,15
2020-05-13,1,2,2,5,9,10,13
2020-05-14,0,0,0,3,9,10,14
2020-05-15,1,1,2,4,7,8,10
2020-05-16,3,4,5,9,13,14,16
2020-05-17,1,1,1,3,6,7,10
2020-05-18,1,1,1,3,6,7,10
2020-05-19,1,1,1,4,6,7,9
2020-05-20,2,3,4,6,10,11,12
2020-05-21,1,1,2,4,7,8,9
2020-05-22,1,2,2,5,8,9,10
2020-05-23,3,4,4,8,13,14,15
2020-05-24,3,5,5,9,13,14,16
2020-05-25,2,3,4,7,11,11,13
2020-05-26,2,3,3,6,10,11,13
2020-05-27,4,5,6,9,14,15,17
2020-05-28,3,4,4,8,12,13,15
2020-05-29,0,0,0,5,11,13,16
2020-05-30,2,2,3,5,9,10,13
2020-05-31,1,1,1,4,7,8,10
2020-06-01,3,3,4,7,10,11,13
2020-06-02,1,1,1,3,6,8,10
2020-06-03,1,1,1,3,6,7,9
2020-06-04,1,2,2,5,7,8,10
2020-06-05,1,2,2,5,7,8,10
2020-06-06,2,3,4,9,14,15,17
2020-06-07,3,4,5,8,12,13,15
2020-06-08,3,3,4,7,11,12,14
2020-06-09,4,5,6,11,20,22,25
2020-06-10,5,6,7,16,24,25,28
2020-06-11,7,9,10,18,28,31,36
2020-06-12,12,14,15,21,27,29,32
2020-06-13,9,10,11,17,23,25,28
2020-06-14,3,4,5,10,17,24,34
2020-06-15,8,10,11,16,23,24,28
2020-06-16,8,9,10,15,21,23,27
2020-06-17,9,11,13,24,38,40,44
2020-06-18,12,15,16,22,30,32,36
2020-06-19,18,22,23,31,40,42,46
2020-06-20,7,11,13,28,42,45,52
2020-06-21,7,9,11,26,43,47,54
2020-06-22,7,8,9,19,41,45,53
2020-06-23,13,18,20,30,40,43,47
2020-06-24,10,12,13,19,27,29,33
2020-06-25,10,11,12,18,26,27,31
2020-06-26,12,14,15,21,28,30,34
2020-06-27,10,12,13,19,25,27,31
2020-06-28,12,15,18,28,36,38,42
2020-06-29,9,11,12,18,25,28,33
2020-06-30,10,12,13,19,26,27,31
2020-07-01,14,17,18,25,32,34,37
2020-07-02,14,19,20,28,36,38,42
2020-07-03,17,21,23,31,39,42,44
2020-07-04,18,23,27,37,46,49,53
2020-07-05,21,24,25,34,43,45,49
2020-07-06,17,19,20,28,37,40,48
2020-07-07,24,29,31,40,50,52,57
2020-07-08,21,25,28,46,69,73,80
2020-07-09,27,33,37,60,77,81,90
2020-07-10,31,35,37,49,63,67,77
2020-07-11,37,40,43,55,69,72,79
2020-07-12,31,34,36,47,61,66,79
2020-07-13,29,32,34,45,58,62,74
2020-07-14,32,35,37,48,60,63,69
2020-07-15,36,40,42,53,66,68,74
2020-07-16,40,45,47,59,72,75,81
2020-07-17,42,48,51,63,77,80,86
2020-07-18,39,46,50,79,103,107,113
2020-07-19,46,51,54,68,83,86,95
2020-07-20,30,34,36,57,92,99,111
2020-07-21,47,51,54,68,84,88,97
2020-07-22,35,38,40,52,67,71,82
2020-07-23,42,52,57,73,90,93,102
2020-07-24,39,43,45,57,72,75,84
2020-07-25,45,51,53,67,81,85,91
2020-07-26,46,50,52,65,79,83,90
2020-07-27,42,51,56,84,106,109,117
2020-07-28,56,64,67,83,100,104,111
2020-07-29,53,62,66,102,134,138,148
2020-07-30,36,53,60,91,124,132,145
2020-07-31,54,59,62,79,100,106,125
2020-08-01,45,50,52,66,82,86,94
2020-08-02,50,55,57,71,87,90,97
2020-08-03,46,51,53,66,81,85,93
2020-08-04,29,37,42,65,89,94,105
2020-08-05,39,43,45,57,72,77,85
2020-08-06,41,45,47,59,73,76,82
2020-08-07,46,49,52,64,78,81,87
2020-08-08,40,48,54,75,93,97,104
2020-08-09,42,50,55,84,105,108,117
2020-08-10,51,57,59,74,90,94,102
2020-08-11,59,69,73,90,108,112,119
2020-08-12,62,76,81,101,121,126,134
2020-08-13,59,64,66,82,99,104,115
2020-08-14,56,61,63,79,96,101,112
2020-08-15,57,62,65,80,97,101,109
2020-08-16,64,71,74,90,108,112,120
2020-08-17,47,51,53,69,91,101,115
2020-08-18,61,69,73,89,107,110,118
2020-08-19,53,58,60,75,91,95,104
2020-08-20,43,47,49,63,81,87,102
2020-08-21,33,42,46,68,93,99,112
2020-08-22,44,48,50,64,78,82,91
2020-08-23,29,33,35,45,57,60,67
2020-08-24,49,53,56,69,83,86,93
2020-08-25,22,26,28,47,73,78,88
2020-08-26,36,42,44,57,71,74,80
2020-08-27,32,36,38,48,60,63,69
2020-08-28,21,24,26,35,46,49,56
2020-08-29,28,33,35,45,57,59,64
2020-08-30,28,34,36,46,58,60,65
2020-08-31,15,17,18,31,51,55,63
2020-09-01,24,28,29,39,49,52,56
2020-09-02,26,32,34,44,55,58,62
2020-09-03,28,35,37,46,57,60,65
2020-09-04,29,36,39,52,64,67,72
2020-09-05,27,31,32,42,53,56,62
2020-09-06,25,27,29,38,49,52,59
2020-09-07,23,25,27,35,46,48,55
2020-09-08,16,18,20,29,43,47,56
2020-09-09,21,23,25,33,42,44,49
2020-09-10,19,25,28,45,58,60,64
2020-09-11,21,23,25,33,43,45,50
2020-09-12,18,20,21,29,38,41,48
2020-09-13,17,19,20,28,37,39,44
2020-09-14,18,20,22,29,38,40,44
2020-09-15,16,18,19,26,34,36,41
2020-09-16,16,19,20,27,35,37,41
2020-09-17,17,22,23,32,41,42,46
2020-09-18,16,18,19,26,34,36,40
2020-09-19,18,20,21,29,37,39,43
2020-09-20,15,18,19,26,34,35,40
2020-09-21,10,12,12,20,30,33,39
2020-09-22,14,17,18,25,32,34,37
2020-09-23,16,20,22,30,39,41,45
2020-09-24,18,21,22,30,38,39,43
2020-09-25,15,17,19,26,34,36,40
2020-09-26,14,15,16,23,31,33,38
2020-09-27,9,11,12,19,29,33,40
2020-09-28,13,15,16,22,29,31,35
2020-09-29,7,9,10,16,24,27,33
2020-09-30,11,13,14,20,26,28,31
2020-10-01,10,12,13,19,25,26,30
2020-10-02,11,13,14,20,27,28,31
2020-10-03,6,7,8,14,21,23,29
2020-10-04,9,11,13,25,35,37,41
2020-10-05,6,8,8,14,21,23,28
2020-10-06,10,12,13,18,25,26,29
2020-10-07,10,12,13,18,25,26,29
2020-10-08,9,10,11,16,22,24,27
2020-10-09,7,8,9,14,20,22,26
2020-10-10,8,10,11,16,22,23,26
2020-10-11,5,7,7,12,18,19,24
2020-10-12,7,9,9,14,20,21,24
2020-10-13,7,8,9,14,19,20,23
2020-10-14,8,10,11,17,22,24,27
2020-10-15,9,11,11,16,22,24,26
2020-10-16,7,9,9,14,20,21,24
2020-10-17,9,11,12,17,23,25,28
2020-10-18,8,10,11,15,21,22,26
2020-10-19,5,6,7,12,18,20,25
2020-10-20,7,8,9,13,19,20,23
2020-10-21,3,4,5,9,16,19,23
2020-10-22,5,6,6,11,16,17,20
2020-10-23,7,9,10,15,20,21,24
2020-10-24,7,9,10,15,20,21,24
