Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.97,0.98,0.98,1,1.02,1.02,1.03
2020-03-03,0.95,0.96,0.97,1,1.03,1.04,1.05
2020-03-04,0.93,0.95,0.95,1,1.05,1.05,1.07
2020-03-05,0.91,0.93,0.94,1,1.06,1.07,1.09
2020-03-06,0.88,0.91,0.92,1,1.08,1.09,1.12
2020-03-07,0.85,0.89,0.91,1,1.09,1.11,1.14
2020-03-08,0.83,0.87,0.89,1,1.11,1.13,1.17
2020-03-09,0.8,0.85,0.87,1,1.13,1.16,1.2
2020-03-10,0.77,0.82,0.85,1,1.15,1.18,1.23
2020-03-11,0.74,0.8,0.83,1,1.17,1.2,1.27
2020-03-12,0.71,0.78,0.82,1,1.19,1.22,1.3
2020-03-13,0.68,0.75,0.8,1,1.21,1.25,1.33
2020-03-14,0.65,0.73,0.78,1,1.23,1.27,1.36
2020-03-15,0.62,0.7,0.76,1,1.24,1.29,1.38
2020-03-16,0.59,0.68,0.74,1,1.26,1.32,1.42
2020-03-17,0.56,0.66,0.72,1,1.28,1.34,1.45
2020-03-18,0.53,0.63,0.69,1,1.3,1.35,1.49
2020-03-19,0.5,0.61,0.67,1,1.31,1.37,1.51
2020-03-20,0.47,0.59,0.65,1,1.32,1.38,1.54
2020-03-21,0.44,0.57,0.64,1,1.34,1.4,1.56
2020-03-22,0.42,0.55,0.62,1,1.35,1.42,1.57
2020-03-23,0.4,0.53,0.61,1,1.37,1.44,1.59
2020-03-24,0.37,0.51,0.6,1,1.38,1.46,1.61
2020-03-25,0.35,0.5,0.58,1,1.39,1.48,1.63
2020-03-26,0.32,0.49,0.57,1,1.41,1.49,1.64
2020-03-27,0.3,0.47,0.56,1,1.42,1.51,1.66
2020-03-28,0.28,0.45,0.55,1,1.43,1.52,1.67
2020-03-29,0.24,0.43,0.54,1,1.45,1.53,1.7
2020-03-30,0.23,0.42,0.52,1,1.46,1.55,1.71
2020-03-31,0.21,0.41,0.51,1,1.46,1.56,1.73
2020-04-01,0.22,0.41,0.5,1,1.47,1.57,1.74
2020-04-02,0.2,0.4,0.5,0.99,1.49,1.58,1.76
2020-04-03,0.19,0.39,0.49,1,1.49,1.59,1.79
2020-04-04,0.2,0.39,0.48,1,1.49,1.6,1.8
2020-04-05,0.19,0.38,0.47,1,1.5,1.61,1.81
2020-04-06,0.19,0.37,0.47,1,1.51,1.61,1.81
2020-04-07,0.21,0.37,0.47,1,1.5,1.6,1.82
2020-04-08,0.2,0.38,0.47,1,1.51,1.61,1.84
2020-04-09,0.2,0.37,0.47,1,1.51,1.6,1.84
2020-04-10,0.2,0.37,0.47,1,1.51,1.61,1.86
2020-04-11,0.2,0.37,0.47,1,1.51,1.61,1.86
2020-04-12,0.2,0.37,0.47,1,1.51,1.61,1.86
2020-04-13,0.2,0.37,0.47,1,1.51,1.62,1.86
2020-04-14,0.2,0.37,0.47,1,1.51,1.62,1.85
2020-04-15,0.2,0.37,0.47,1,1.52,1.63,1.86
2020-04-16,0.21,0.37,0.47,1,1.52,1.63,1.87
2020-04-17,0.2,0.37,0.46,1,1.53,1.63,1.88
2020-04-18,0.2,0.38,0.47,1,1.52,1.62,1.88
2020-04-19,0.21,0.38,0.47,1,1.52,1.62,1.88
2020-04-20,0.2,0.38,0.47,1,1.53,1.62,1.87
2020-04-21,0.21,0.38,0.47,1.01,1.53,1.62,1.87
2020-04-22,0.22,0.39,0.47,1.01,1.53,1.63,1.85
2020-04-23,0.22,0.39,0.47,1.01,1.52,1.63,1.85
2020-04-24,0.22,0.4,0.47,1.01,1.52,1.63,1.84
2020-04-25,0.23,0.39,0.47,1.01,1.52,1.63,1.84
2020-04-26,0.22,0.4,0.49,1.01,1.52,1.63,1.83
2020-04-27,0.21,0.39,0.49,1.01,1.53,1.63,1.83
2020-04-28,0.2,0.39,0.48,1.01,1.53,1.63,1.83
2020-04-29,0.57,0.9,1.23,1.21,1.23,1.23,1.44
2020-04-30,0.58,0.89,1.23,1.23,1.25,1.26,1.45
2020-05-01,0.57,0.89,1.22,1.24,1.28,1.29,1.49
2020-05-02,0.56,0.89,1.22,1.26,1.31,1.32,1.52
2020-05-03,0.55,0.88,1.21,1.27,1.33,1.35,1.53
2020-05-04,0.53,0.88,1.2,1.28,1.36,1.38,1.55
2020-05-05,0.53,0.88,1.19,1.29,1.39,1.41,1.57
2020-05-06,0.51,0.89,1.17,1.3,1.41,1.44,1.58
2020-05-07,0.52,0.89,1.15,1.3,1.44,1.47,1.58
2020-05-08,0.52,0.89,1.13,1.31,1.46,1.5,1.59
2020-05-09,0.52,0.89,1.11,1.31,1.49,1.52,1.62
2020-05-10,0.5,0.89,1.1,1.32,1.51,1.55,1.65
2020-05-11,0.51,0.88,1.08,1.32,1.53,1.57,1.68
2020-05-12,0.5,0.87,1.06,1.32,1.55,1.59,1.7
2020-05-13,1.08,1.26,1.38,1.56,1.58,1.58,1.58
2020-05-14,1.05,1.25,1.39,1.59,1.63,1.63,1.63
2020-05-15,1.03,1.24,1.39,1.63,1.67,1.68,1.68
2020-05-16,1.01,1.23,1.38,1.66,1.72,1.72,1.73
2020-05-17,0.99,1.21,1.38,1.68,1.76,1.77,1.78
2020-05-18,0.97,1.2,1.38,1.7,1.8,1.81,1.83
2020-05-19,0.93,1.18,1.38,1.72,1.84,1.85,1.88
2020-05-20,0.9,1.17,1.37,1.74,1.87,1.89,1.93
2020-05-21,0.87,1.15,1.37,1.75,1.9,1.92,1.97
2020-05-22,0.85,1.14,1.36,1.76,1.93,1.96,2.01
2020-05-23,0.83,1.12,1.35,1.77,1.96,1.99,2.05
2020-05-24,0.8,1.11,1.34,1.77,1.98,2.01,2.08
2020-05-25,0.78,1.09,1.33,1.77,2,2.04,2.11
2020-05-26,0.91,1.44,1.62,1.79,1.95,2,2.1
2020-05-27,0.88,1.42,1.6,1.78,1.96,2.01,2.12
2020-05-28,0.86,1.39,1.57,1.78,1.96,2.02,2.14
2020-05-29,0.84,1.36,1.54,1.77,1.97,2.03,2.16
2020-05-30,0.82,1.33,1.51,1.75,1.97,2.03,2.16
2020-05-31,0.81,1.29,1.48,1.74,1.96,2.03,2.17
2020-06-01,0.79,1.26,1.44,1.72,1.95,2.03,2.17
2020-06-02,0.77,1.23,1.41,1.7,1.94,2.02,2.18
2020-06-03,0.76,1.19,1.37,1.68,1.93,2.01,2.17
