Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.99,1,1.01,1.02,1.02,1.02,1.02
2020-03-03,0.98,1,1.01,1.03,1.04,1.04,1.04
2020-03-04,0.96,0.99,1.01,1.03,1.05,1.06,1.07
2020-03-05,0.95,0.99,1,1.04,1.07,1.08,1.09
2020-03-06,0.94,0.98,1,1.05,1.1,1.1,1.12
2020-03-07,0.92,0.97,0.99,1.06,1.12,1.13,1.15
2020-03-08,0.9,0.96,0.98,1.06,1.14,1.16,1.19
2020-03-09,0.89,0.94,0.97,1.07,1.16,1.18,1.22
2020-03-10,0.87,0.93,0.96,1.07,1.19,1.21,1.25
2020-03-11,0.84,0.91,0.94,1.08,1.21,1.24,1.29
2020-03-12,0.82,0.9,0.93,1.08,1.24,1.26,1.32
2020-03-13,0.8,0.88,0.92,1.09,1.26,1.29,1.36
2020-03-14,0.77,0.86,0.9,1.09,1.28,1.32,1.39
2020-03-15,0.75,0.84,0.89,1.1,1.3,1.34,1.42
2020-03-16,0.73,0.83,0.87,1.1,1.33,1.37,1.46
2020-03-17,0.7,0.81,0.85,1.1,1.35,1.39,1.49
2020-03-18,0.67,0.79,0.84,1.11,1.37,1.42,1.52
2020-03-19,0.65,0.76,0.82,1.1,1.39,1.44,1.56
2020-03-20,0.62,0.74,0.8,1.11,1.41,1.46,1.59
2020-03-21,0.58,0.72,0.78,1.11,1.42,1.49,1.62
2020-03-22,0.56,0.7,0.77,1.11,1.44,1.51,1.64
2020-03-23,0.54,0.68,0.75,1.11,1.46,1.53,1.67
2020-03-24,0.52,0.67,0.74,1.11,1.48,1.55,1.7
2020-03-25,0.66,0.86,0.89,0.93,1.24,1.36,1.54
2020-03-26,0.64,0.85,0.87,0.92,1.25,1.36,1.56
2020-03-27,0.62,0.83,0.84,0.9,1.25,1.37,1.57
2020-03-28,0.61,0.8,0.81,0.89,1.25,1.38,1.58
2020-03-29,0.57,0.77,0.79,0.88,1.25,1.38,1.6
2020-03-30,0.54,0.73,0.76,0.87,1.25,1.38,1.62
2020-03-31,0.5,0.7,0.73,0.86,1.24,1.38,1.63
2020-04-01,0.48,0.67,0.7,0.85,1.24,1.37,1.64
2020-04-02,0.45,0.64,0.67,0.84,1.23,1.4,1.65
2020-04-03,0.43,0.61,0.64,0.83,1.23,1.39,1.64
2020-04-04,0.41,0.57,0.62,0.83,1.23,1.38,1.61
2020-04-05,0.43,0.56,0.61,0.78,1.17,1.32,1.58
2020-04-06,0.41,0.54,0.59,0.77,1.16,1.32,1.58
2020-04-07,0.39,0.51,0.56,0.76,1.15,1.29,1.56
2020-04-08,0.38,0.49,0.54,0.75,1.14,1.28,1.55
2020-04-09,0.35,0.48,0.52,0.75,1.13,1.25,1.54
2020-04-10,0.33,0.46,0.5,0.74,1.14,1.24,1.52
2020-04-11,0.3,0.44,0.48,0.74,1.15,1.24,1.51
2020-04-12,0.28,0.42,0.46,0.74,1.15,1.25,1.51
2020-04-13,0.26,0.4,0.44,0.74,1.17,1.28,1.56
2020-04-14,0.24,0.38,0.43,0.73,1.18,1.24,1.44
2020-04-15,0.23,0.36,0.41,0.73,1.18,1.24,1.42
2020-04-16,0.21,0.34,0.4,0.75,1.25,1.28,1.46
2020-04-17,0.19,0.33,0.38,0.74,1.2,1.3,1.49
2020-04-18,0.2,0.33,0.38,0.78,1.33,1.33,1.5
2020-04-19,0.18,0.3,0.36,0.76,1.31,1.35,1.48
2020-04-20,0.16,0.29,0.36,0.74,1.22,1.34,1.48
2020-04-21,0.15,0.28,0.34,0.73,1.18,1.33,1.44
2020-04-22,0.15,0.27,0.34,0.74,1.2,1.35,1.44
2020-04-23,0.14,0.27,0.34,0.75,1.21,1.35,1.5
2020-04-24,0.14,0.27,0.35,0.79,1.36,1.4,1.64
2020-04-25,0.15,0.29,0.37,0.91,1.65,1.66,1.66
2020-04-26,0.14,0.28,0.36,0.86,1.42,1.66,1.69
2020-04-27,0.14,0.27,0.35,0.83,1.38,1.44,1.7
2020-04-28,0.16,0.32,0.4,1.02,1.69,1.71,1.75
2020-04-29,0.14,0.3,0.37,0.93,1.46,1.68,1.75
2020-04-30,0.28,0.5,0.63,1.32,1.74,1.78,1.83
2020-05-01,0.21,0.41,0.51,1.2,1.71,1.75,1.85
2020-05-02,1.14,1.2,1.22,1.54,1.8,1.85,1.9
2020-05-03,0.91,1.12,1.15,1.43,1.76,1.81,1.9
2020-05-04,0.77,0.98,1.07,1.32,1.7,1.74,1.84
2020-05-05,1.55,1.66,1.67,1.74,1.8,1.84,1.9
2020-05-06,1.25,1.37,1.51,1.72,1.91,2,2.03
2020-05-07,1.34,1.52,1.56,1.76,2.01,2.02,2.04
2020-05-08,1.29,1.39,1.49,1.71,1.97,2.03,2.06
2020-05-09,1.32,1.39,1.51,1.71,2.02,2.03,2.07
2020-05-10,1.24,1.25,1.3,1.55,1.76,1.8,1.91
2020-05-11,1.21,1.22,1.22,1.46,1.69,1.71,1.85
2020-05-12,1.19,1.29,1.32,1.69,2.04,2.04,2.04
2020-05-13,1.16,1.25,1.27,1.55,1.93,2.02,2.04
2020-05-14,1.2,1.25,1.3,1.66,2.01,2.02,2.04
2020-05-15,1.18,1.31,1.35,1.73,2,2.02,2.04
2020-05-16,1.32,1.5,1.62,1.87,2,2.01,2.04
2020-05-17,1.28,1.44,1.52,1.83,1.98,2,2.03
2020-05-18,1.12,1.21,1.25,1.65,1.94,1.96,2.01
2020-05-19,1.06,1.14,1.18,1.49,1.84,1.88,1.94
2020-05-20,0.99,1.05,1.1,1.35,1.63,1.69,1.81
2020-05-21,0.92,0.99,1.04,1.29,1.54,1.59,1.69
2020-05-22,0.86,0.94,0.99,1.23,1.48,1.53,1.62
2020-05-23,0.89,0.97,1.01,1.26,1.5,1.55,1.64
2020-05-24,0.87,0.94,0.98,1.22,1.45,1.5,1.59
2020-05-25,0.74,0.82,0.85,1.09,1.35,1.4,1.49
2020-05-26,0.63,0.7,0.74,0.96,1.2,1.26,1.37
2020-05-27,0.57,0.64,0.67,0.87,1.09,1.13,1.24
2020-05-28,0.5,0.54,0.58,0.77,0.98,1.02,1.11
2020-05-29,0.51,0.58,0.61,0.84,1.06,1.1,1.2
2020-05-30,0.4,0.46,0.5,0.75,0.99,1.03,1.12
2020-05-31,0.45,0.53,0.57,0.77,0.99,1.02,1.11
2020-06-01,0.42,0.49,0.53,0.72,0.92,0.96,1.04
2020-06-02,0.41,0.48,0.51,0.69,0.87,0.92,0.99
2020-06-03,0.44,0.49,0.53,0.7,0.88,0.92,0.99
2020-06-04,0.38,0.44,0.47,0.64,0.82,0.86,0.94
2020-06-05,0.34,0.4,0.43,0.6,0.77,0.81,0.9
2020-06-06,0.24,0.29,0.32,0.52,0.71,0.75,0.82
2020-06-07,0.16,0.21,0.23,0.41,0.62,0.66,0.75
2020-06-08,0.1,0.15,0.17,0.34,0.54,0.57,0.67
2020-06-09,0.1,0.15,0.18,0.35,0.54,0.58,0.66
2020-06-10,0.1,0.12,0.14,0.31,0.5,0.54,0.61
2020-06-11,0.1,0.1,0.12,0.29,0.47,0.52,0.58
2020-06-12,0.1,0.1,0.1,0.25,0.41,0.46,0.53
2020-06-13,0.1,0.1,0.1,0.22,0.38,0.41,0.49
2020-06-14,0.1,0.1,0.1,0.22,0.4,0.42,0.5
2020-06-15,0.1,0.1,0.1,0.2,0.39,0.42,0.49
2020-06-16,0.1,0.1,0.1,0.21,0.42,0.45,0.54
2020-06-17,0.1,0.1,0.1,0.22,0.43,0.47,0.56
2020-06-18,0.1,0.1,0.1,0.23,0.46,0.56,0.56
2020-06-19,0.1,0.1,0.1,0.25,0.55,0.56,0.65
2020-06-20,0.1,0.1,0.11,0.26,0.53,0.57,0.77
2020-06-21,0.1,0.1,0.11,0.27,0.53,0.57,0.65
2020-06-22,0.1,0.11,0.12,0.28,0.54,0.59,0.66
2020-06-23,0.1,0.11,0.12,0.31,0.57,0.61,0.7
2020-06-24,0.1,0.12,0.13,0.33,0.6,0.64,0.73
2020-06-25,0.1,0.12,0.14,0.36,0.64,0.68,0.78
2020-06-26,0.1,0.13,0.15,0.39,0.67,0.72,0.83
2020-06-27,0.11,0.13,0.17,0.42,0.71,0.76,0.88
2020-06-28,0.11,0.14,0.19,0.44,0.73,0.79,0.93
2020-06-29,0.11,0.16,0.2,0.48,0.78,0.83,0.97
2020-06-30,0.13,0.19,0.24,0.52,0.8,0.87,0.99
2020-07-01,0.14,0.21,0.26,0.56,0.85,0.92,1.04
2020-07-02,0.15,0.23,0.28,0.61,0.9,0.97,1.09
2020-07-03,0.17,0.25,0.31,0.65,0.96,1.02,1.16
2020-07-04,0.18,0.27,0.33,0.7,1.01,1.08,1.21
2020-07-05,0.2,0.29,0.37,0.74,1.06,1.13,1.26
2020-07-06,0.21,0.31,0.39,0.78,1.1,1.18,1.32
2020-07-07,0.24,0.34,0.42,0.83,1.16,1.24,1.39
2020-07-08,0.27,0.36,0.44,0.87,1.21,1.29,1.43
2020-07-09,0.28,0.39,0.47,0.91,1.26,1.33,1.48
2020-07-10,0.31,0.42,0.5,0.95,1.32,1.38,1.53
2020-07-11,0.6,0.93,1.21,1.33,1.35,1.35,1.35
2020-07-12,0.66,0.98,1.29,1.38,1.41,1.41,1.42
2020-07-13,1.42,1.45,1.46,1.45,1.46,1.46,1.47
2020-07-14,1.46,1.49,1.5,1.51,1.52,1.52,1.52
2020-07-15,1.49,1.53,1.53,1.55,1.57,1.58,1.59
2020-07-16,1.52,1.56,1.57,1.6,1.63,1.64,1.65
2020-07-17,1.54,1.58,1.59,1.64,1.69,1.7,1.72
2020-07-18,1.56,1.6,1.61,1.68,1.74,1.75,1.78
2020-07-19,1.57,1.61,1.63,1.71,1.79,1.8,1.84
2020-07-20,1.57,1.62,1.64,1.74,1.84,1.86,1.9
2020-07-21,1.58,1.63,1.65,1.76,1.88,1.9,1.96
2020-07-22,1.55,1.63,1.65,1.77,1.91,1.95,2.01
2020-07-23,1.6,1.64,1.66,1.81,1.97,2.01,2.06
2020-07-24,1.58,1.62,1.65,1.81,1.99,2.03,2.1
2020-07-25,1.55,1.6,1.64,1.81,2.01,2.05,2.13
2020-07-26,1.52,1.58,1.61,1.81,2.02,2.07,2.16
2020-07-27,1.51,1.58,1.62,1.83,2.06,2.11,2.21
2020-07-28,1.49,1.57,1.61,1.84,2.09,2.14,2.24
2020-07-29,1.44,1.53,1.57,1.81,2.08,2.13,2.24
2020-07-30,1.42,1.53,1.58,1.84,2.13,2.18,2.29
2020-07-31,1.37,1.47,1.52,1.8,2.09,2.15,2.28
2020-08-01,1.31,1.4,1.45,1.74,2.04,2.1,2.22
2020-08-02,1.26,1.36,1.4,1.68,1.98,2.04,2.19
2020-08-03,1.2,1.29,1.33,1.62,1.92,1.99,2.11
2020-08-04,1.14,1.25,1.28,1.58,1.9,1.96,2.09
2020-08-05,1.09,1.2,1.23,1.54,1.86,1.93,2.06
2020-08-06,1.05,1.15,1.19,1.51,1.85,1.92,2.05
2020-08-07,0.97,1.05,1.11,1.44,1.78,1.84,1.98
2020-08-08,0.92,1.01,1.05,1.36,1.72,1.79,1.93
2020-08-09,0.87,0.96,1,1.32,1.69,1.76,1.91
2020-08-10,0.82,0.9,0.95,1.27,1.64,1.72,1.89
2020-08-11,0.77,0.84,0.9,1.23,1.6,1.68,1.84
2020-08-12,0.71,0.81,0.87,1.21,1.58,1.67,1.83
2020-08-13,0.64,0.74,0.77,1.14,1.52,1.6,1.76
2020-08-14,0.59,0.68,0.75,1.11,1.48,1.56,1.72
2020-08-15,0.52,0.63,0.7,1.06,1.44,1.5,1.65
2020-08-16,0.52,0.62,0.72,1.08,1.44,1.51,1.68
2020-08-17,0.49,0.63,0.7,1.07,1.42,1.51,1.68
2020-08-18,0.63,0.76,0.83,1.2,1.6,1.65,1.82
2020-08-19,0.55,0.69,0.76,1.13,1.49,1.59,1.67
2020-08-20,0.44,0.64,0.69,1.06,1.41,1.47,1.61
2020-08-21,0.62,0.75,0.82,1.15,1.51,1.58,1.72
2020-08-22,0.55,0.68,0.74,1.07,1.4,1.47,1.61
2020-08-23,0.56,0.68,0.75,1.07,1.39,1.45,1.59
2020-08-24,0.46,0.62,0.67,0.99,1.31,1.37,1.52
2020-08-25,0.58,0.7,0.75,1.06,1.36,1.44,1.59
2020-08-26,0.57,0.67,0.72,1.02,1.32,1.39,1.54
2020-08-27,0.59,0.68,0.74,1.04,1.35,1.43,1.57
2020-08-28,0.57,0.67,0.72,1.02,1.33,1.41,1.53
2020-08-29,0.5,0.55,0.59,0.9,1.22,1.28,1.44
2020-08-30,0.48,0.54,0.58,0.9,1.22,1.29,1.44
2020-08-31,0.43,0.49,0.53,0.83,1.15,1.21,1.36
2020-09-01,0.42,0.48,0.53,0.85,1.16,1.22,1.38
2020-09-02,0.35,0.42,0.47,0.77,1.07,1.13,1.24
2020-09-03,0.28,0.38,0.43,0.73,1.03,1.09,1.21
2020-09-04,0.3,0.43,0.5,0.77,1.08,1.14,1.28
2020-09-05,0.46,0.55,0.61,0.9,1.22,1.28,1.35
2020-09-06,0.49,0.59,0.64,0.93,1.25,1.31,1.38
2020-09-07,0.45,0.54,0.59,0.88,1.18,1.25,1.35
2020-09-08,0.47,0.57,0.62,0.91,1.21,1.29,1.38
2020-09-09,0.47,0.57,0.61,0.9,1.2,1.28,1.38
