Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,1,1,1,1
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0
2020-03-19,1,1,1,1,3,3,4
2020-03-20,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0
2020-03-24,1,1,1,2,3,3,4
2020-03-25,0,0,0,2,2,2,2
2020-03-26,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0
2020-03-30,1,1,1,2,3,3,4
2020-03-31,1,1,1,2,3,3,4
2020-04-01,0,0,0,0,0,0,0
2020-04-02,1,1,1,1,3,3,4
2020-04-03,0,0,0,0,0,0,0
2020-04-04,1,1,1,1,3,3,4
2020-04-05,0,0,0,1,4,4,4
2020-04-06,0,0,0,0,0,0,0
2020-04-07,1,1,1,1,3,3,4
2020-04-08,0,0,0,0,0,0,0
2020-04-09,1,1,1,1,3,3,4
2020-04-10,0,0,0,0,0,0,0
2020-04-11,0,0,0,0,0,0,0
2020-04-12,1,1,2,3,5,5,6
2020-04-13,1,1,1,3,4,5,6
2020-04-14,0,0,0,0,0,0,1
2020-04-15,0,0,0,0,0,0,1
2020-04-16,1,1,1,2,4,4,5
2020-04-17,0,0,0,0,0,0,2
2020-04-18,1,1,1,3,5,6,6
2020-04-19,0,0,0,0,0,1,3
2020-04-20,0,0,0,0,0,0,2
2020-04-21,0,0,0,0,0,0,1
2020-04-22,0,0,0,0,0,0,1
2020-04-23,0,0,0,0,0,0,2
2020-04-24,1,1,2,3,5,6,6
2020-04-25,1,1,1,3,5,6,7
2020-04-26,0,0,0,0,2,2,4
2020-04-27,0,0,0,0,1,2,3
2020-04-28,1,1,2,3,6,7,8
2020-04-29,0,0,0,0,2,3,4
2020-04-30,2,2,3,5,9,10,13
2020-05-01,0,0,0,1,4,5,6
2020-05-02,4,4,5,8,12,13,16
2020-05-03,0,0,0,2,5,6,9
2020-05-04,0,0,0,1,4,4,6
2020-05-05,20,22,23,27,32,32,32
2020-05-06,0,1,2,7,14,16,18
2020-05-07,9,10,11,17,23,25,27
2020-05-08,5,6,6,11,17,19,23
2020-05-09,9,11,12,19,32,38,44
2020-05-10,0,1,1,5,9,10,12
2020-05-11,0,1,1,4,8,10,14
2020-05-12,14,17,18,26,35,38,41
2020-05-13,8,10,10,16,23,25,29
2020-05-14,11,14,16,24,34,36,40
2020-05-15,14,17,19,28,38,40,44
2020-05-16,19,27,30,41,51,53,57
2020-05-17,20,23,25,34,45,48,53
2020-05-18,13,15,16,31,53,56,64
2020-05-19,17,19,20,29,40,45,55
2020-05-20,14,16,17,24,33,35,44
2020-05-21,15,17,18,25,33,35,39
2020-05-22,15,17,18,25,33,34,39
2020-05-23,18,22,24,32,41,43,47
2020-05-24,17,19,21,28,36,38,43
2020-05-25,10,11,12,21,34,38,44
2020-05-26,9,11,12,18,27,30,38
2020-05-27,9,11,12,17,24,26,29
2020-05-28,7,8,9,14,20,22,26
2020-05-29,8,11,13,23,32,34,37
2020-05-30,1,4,5,14,25,27,31
2020-05-31,8,11,12,18,24,26,29
2020-06-01,7,8,9,13,19,20,23
2020-06-02,7,8,9,13,19,20,22
2020-06-03,7,9,10,15,21,22,25
2020-06-04,4,5,6,10,15,16,20
2020-06-05,4,5,5,9,14,15,18
2020-06-06,0,0,1,6,13,15,18
2020-06-07,1,1,1,4,9,10,14
2020-06-08,1,1,1,3,6,7,9
2020-06-09,1,2,2,4,7,8,10
2020-06-10,1,1,1,3,5,6,7
2020-06-11,1,1,1,2,5,5,7
2020-06-12,0,0,0,1,3,3,5
2020-06-13,0,0,0,0,2,2,4
2020-06-14,1,1,1,2,3,4,5
2020-06-15,0,0,0,0,0,1,3
2020-06-16,1,1,1,2,4,4,5
2020-06-17,1,1,1,1,3,3,4
2020-06-18,0,0,0,0,0,1,1
2020-06-19,1,1,1,2,4,4,5
2020-06-20,0,0,0,0,0,0,1
2020-06-21,0,0,0,0,0,0,0
2020-06-22,0,0,0,0,0,0,0
2020-06-23,1,1,1,2,3,3,4
2020-06-24,0,0,0,0,0,0,0
2020-06-25,1,1,1,2,3,4,5
2020-06-26,1,1,1,2,3,3,4
2020-06-27,0,0,0,0,0,0,0
2020-06-28,1,1,1,1,3,3,4
2020-06-29,0,0,0,0,0,0,0
2020-06-30,0,0,0,1,4,4,4
2020-07-01,0,0,0,0,0,0,0
2020-07-02,1,1,1,2,3,3,4
2020-07-03,1,1,1,2,3,4,5
2020-07-04,0,0,0,0,0,0,0
2020-07-05,1,1,1,1,3,3,4
2020-07-06,0,0,0,0,0,0,0
2020-07-07,1,1,1,1,3,3,4
2020-07-08,0,0,0,0,0,0,0
2020-07-09,0,0,0,0,0,0,0
2020-07-10,1,1,1,1,3,3,4
2020-07-11,0,0,0,1,1,1,1
2020-07-12,1,1,1,3,5,5,6
2020-07-13,0,0,0,1,1,1,1
2020-07-14,1,1,1,3,4,5,6
2020-07-15,1,1,1,2,3,4,5
2020-07-16,1,1,1,2,3,4,5
2020-07-17,1,1,1,2,4,4,5
2020-07-18,1,1,1,2,4,5,6
2020-07-19,0,0,0,1,3,4,5
2020-07-20,0,0,0,1,3,4,5
2020-07-21,0,0,0,1,3,4,5
2020-07-22,0,0,0,1,3,3,5
2020-07-23,2,3,3,5,8,9,10
2020-07-24,0,0,0,1,4,4,6
2020-07-25,0,0,0,1,3,4,5
2020-07-26,0,0,0,1,3,3,4
2020-07-27,2,2,2,5,7,8,9
2020-07-28,1,1,2,4,6,7,8
2020-07-29,0,0,0,2,5,6,8
2020-07-30,2,3,3,6,9,10,12
2020-07-31,1,1,1,3,6,7,9
2020-08-01,0,0,0,2,5,7,9
2020-08-02,0,0,0,2,5,6,8
2020-08-03,0,0,0,1,4,5,7
2020-08-04,1,1,1,3,5,6,7
2020-08-05,1,1,1,2,4,5,6
2020-08-06,1,1,1,3,5,6,7
2020-08-07,0,0,0,1,4,4,6
2020-08-08,0,0,0,1,3,4,6
2020-08-09,1,1,1,2,4,5,6
2020-08-10,1,1,1,2,4,4,6
2020-08-11,1,1,1,2,4,4,5
2020-08-12,1,1,1,3,5,5,6
2020-08-13,0,0,0,1,3,3,5
2020-08-14,1,1,1,2,4,5,6
2020-08-15,1,1,1,2,3,4,5
2020-08-16,1,1,1,3,5,6,7
2020-08-17,1,1,1,3,5,5,7
2020-08-18,2,2,3,6,9,10,11
2020-08-19,1,1,1,2,5,5,7
2020-08-20,1,1,1,2,4,5,7
2020-08-21,2,3,3,6,9,10,11
2020-08-22,1,1,1,2,5,5,7
2020-08-23,1,2,2,4,6,7,9
2020-08-24,1,1,1,2,5,5,7
2020-08-25,2,3,3,6,9,9,11
2020-08-26,1,1,1,3,6,7,8
2020-08-27,2,2,3,5,8,8,10
2020-08-28,1,2,2,4,7,8,9
2020-08-29,0,0,0,2,5,6,8
2020-08-30,1,1,2,4,6,7,9
2020-08-31,1,1,1,2,4,5,7
2020-09-01,1,1,2,4,6,7,8
2020-09-02,0,0,0,1,3,4,6
2020-09-03,1,1,1,2,4,4,6
2020-09-04,1,1,2,4,6,7,8
2020-09-05,2,2,3,6,9,10,11
2020-09-06,1,2,2,4,7,8,9
2020-09-07,1,1,1,2,5,5,7
2020-09-08,1,2,2,4,7,8,9
2020-09-09,1,1,1,3,6,7,8
2020-09-10,1,1,1,3,6,6,8
2020-09-11,3,4,4,7,11,12,14
2020-09-12,1,1,1,3,6,7,9
2020-09-13,1,1,1,2,5,5,7
2020-09-14,1,1,1,2,4,5,6
2020-09-15,1,1,1,3,5,6,7
2020-09-16,1,1,1,3,6,6,8
2020-09-17,3,3,3,6,10,11,13
2020-09-18,3,4,4,7,11,12,16
2020-09-19,1,1,1,3,6,7,9
2020-09-20,1,1,1,3,6,6,8
2020-09-21,1,1,1,3,6,6,7
2020-09-22,1,1,1,3,6,6,8
2020-09-23,2,3,3,6,10,10,12
2020-09-24,2,3,3,6,9,10,12
2020-09-25,1,2,2,5,8,8,10
2020-09-26,1,1,1,3,6,7,9
2020-09-27,1,1,1,3,6,7,9
2020-09-28,2,3,3,6,9,10,11
2020-09-29,2,3,4,6,10,11,12
2020-09-30,2,3,3,6,10,10,12
2020-10-01,1,2,2,4,8,9,11
2020-10-02,3,3,4,7,10,11,13
2020-10-03,1,2,2,4,8,9,11
2020-10-04,1,2,2,4,7,8,10
2020-10-05,2,3,3,6,9,10,12
2020-10-06,3,5,5,10,14,15,17
2020-10-07,4,5,6,10,15,16,18
2020-10-08,5,6,6,10,15,16,18
2020-10-09,5,6,7,11,16,17,19
2020-10-10,7,9,10,14,20,21,23
2020-10-11,7,8,9,13,18,20,22
2020-10-12,3,4,4,9,18,20,24
2020-10-13,7,8,9,13,19,20,23
2020-10-14,5,6,6,10,16,17,20
2020-10-15,8,11,12,17,23,25,28
2020-10-16,6,8,8,13,18,20,23
2020-10-17,3,4,5,10,19,21,26
2020-10-18,7,8,9,14,19,21,24
2020-10-19,6,7,8,12,18,19,22
2020-10-20,5,6,7,11,16,17,20
2020-10-21,3,4,4,9,15,16,21
2020-10-22,3,4,5,8,13,14,18
2020-10-23,5,7,8,12,16,18,20
2020-10-24,5,6,7,11,16,17,19
