Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.97,0.98,0.98,1,1.02,1.02,1.03
2020-03-03,0.95,0.96,0.97,1,1.03,1.04,1.05
2020-03-04,0.93,0.95,0.95,1,1.04,1.05,1.07
2020-03-05,0.91,0.93,0.94,1,1.06,1.07,1.09
2020-03-06,0.88,0.91,0.92,0.99,1.07,1.09,1.12
2020-03-07,0.85,0.89,0.91,0.99,1.09,1.11,1.14
2020-03-08,0.82,0.87,0.89,0.99,1.11,1.13,1.17
2020-03-09,0.8,0.85,0.87,0.99,1.12,1.15,1.2
2020-03-10,0.76,0.82,0.85,0.99,1.14,1.17,1.23
2020-03-11,0.74,0.8,0.83,0.99,1.16,1.19,1.25
2020-03-12,0.71,0.78,0.81,0.99,1.18,1.22,1.29
2020-03-13,0.68,0.75,0.79,0.99,1.2,1.24,1.31
2020-03-14,0.65,0.73,0.77,0.99,1.22,1.26,1.34
2020-03-15,0.65,0.75,0.79,0.95,1.18,1.24,1.33
2020-03-16,0.62,0.72,0.78,0.95,1.19,1.26,1.36
2020-03-17,0.59,0.7,0.76,0.95,1.21,1.28,1.38
2020-03-18,0.73,0.88,0.9,0.91,0.94,1.06,1.26
2020-03-19,0.71,0.87,0.89,0.91,0.95,1.07,1.28
2020-03-20,0.69,0.86,0.88,0.91,0.95,1.07,1.3
2020-03-21,0.68,0.85,0.87,0.91,0.96,1.08,1.32
2020-03-22,0.68,0.83,0.85,0.91,0.98,1.07,1.33
2020-03-23,0.67,0.81,0.83,0.91,1,1.08,1.34
2020-03-24,0.66,0.79,0.82,0.91,1.01,1.09,1.35
2020-03-25,0.64,0.77,0.8,0.91,1.03,1.11,1.37
2020-03-26,0.63,0.75,0.78,0.92,1.05,1.12,1.38
2020-03-27,0.61,0.73,0.77,0.92,1.08,1.14,1.39
2020-03-28,0.6,0.71,0.75,0.92,1.1,1.16,1.4
2020-03-29,0.58,0.69,0.73,0.92,1.12,1.18,1.41
2020-03-30,0.55,0.67,0.72,0.93,1.14,1.21,1.42
2020-03-31,0.53,0.66,0.7,0.93,1.16,1.23,1.44
2020-04-01,0.51,0.63,0.69,0.93,1.18,1.25,1.45
2020-04-02,0.49,0.62,0.67,0.94,1.2,1.27,1.47
2020-04-03,0.47,0.6,0.66,0.94,1.23,1.3,1.48
2020-04-04,0.45,0.58,0.64,0.94,1.25,1.32,1.49
2020-04-05,0.44,0.59,0.65,0.99,1.25,1.32,1.47
2020-04-06,0.43,0.57,0.64,1,1.27,1.34,1.49
2020-04-07,0.7,0.93,1.12,1.12,1.12,1.13,1.25
2020-04-08,0.69,0.93,1.12,1.13,1.14,1.15,1.27
2020-04-09,0.68,0.94,1.12,1.13,1.16,1.18,1.3
2020-04-10,0.68,0.95,1.11,1.14,1.18,1.2,1.33
2020-04-11,0.66,0.96,1.1,1.15,1.21,1.23,1.36
2020-04-12,0.67,0.95,1.08,1.15,1.23,1.25,1.39
2020-04-13,0.67,0.95,1.07,1.16,1.25,1.28,1.42
2020-04-14,0.66,0.96,1.05,1.16,1.27,1.3,1.44
2020-04-15,1.06,1.14,1.14,1.14,1.14,1.2,1.27
2020-04-16,1.04,1.12,1.12,1.13,1.14,1.2,1.29
2020-04-17,1.02,1.09,1.09,1.12,1.14,1.21,1.31
2020-04-18,1,1.06,1.07,1.11,1.15,1.21,1.33
2020-04-19,0.99,1.03,1.04,1.09,1.15,1.21,1.35
2020-04-20,0.96,1,1.01,1.08,1.16,1.21,1.36
2020-04-21,0.98,1.02,1.05,1.06,1.08,1.11,1.21
2020-04-22,0.94,1,1.03,1.04,1.08,1.11,1.22
2020-04-23,0.91,0.98,1,1.03,1.07,1.11,1.23
2020-04-24,0.88,0.95,0.97,1.01,1.06,1.11,1.24
2020-04-25,0.85,0.92,0.94,0.99,1.06,1.11,1.25
2020-04-26,0.81,0.88,0.91,0.98,1.06,1.11,1.26
2020-04-27,0.78,0.85,0.87,0.96,1.06,1.11,1.27
2020-04-28,0.74,0.81,0.84,0.95,1.07,1.11,1.28
2020-04-29,0.7,0.78,0.81,0.94,1.07,1.11,1.28
2020-04-30,0.67,0.75,0.78,0.92,1.08,1.12,1.29
2020-05-01,0.63,0.71,0.75,0.91,1.08,1.13,1.31
2020-05-02,0.58,0.67,0.71,0.9,1.09,1.14,1.31
2020-05-03,0.54,0.64,0.68,0.89,1.1,1.15,1.32
2020-05-04,0.5,0.61,0.65,0.88,1.11,1.16,1.33
2020-05-05,0.47,0.58,0.62,0.87,1.12,1.18,1.34
2020-05-06,0.43,0.54,0.6,0.86,1.12,1.19,1.35
2020-05-07,0.4,0.51,0.57,0.85,1.13,1.2,1.36
2020-05-08,0.36,0.49,0.54,0.84,1.14,1.22,1.38
2020-05-09,0.33,0.45,0.52,0.83,1.16,1.23,1.39
2020-05-10,0.29,0.43,0.5,0.83,1.17,1.24,1.4
2020-05-11,0.26,0.4,0.47,0.82,1.18,1.26,1.41
2020-05-12,0.24,0.37,0.46,0.82,1.19,1.27,1.43
2020-05-13,0.21,0.35,0.44,0.81,1.2,1.28,1.44
2020-05-14,0.19,0.33,0.42,0.81,1.22,1.29,1.45
2020-05-15,0.16,0.32,0.4,0.81,1.23,1.31,1.47
2020-05-16,0.15,0.3,0.39,0.81,1.24,1.32,1.48
2020-05-17,0.13,0.29,0.37,0.81,1.26,1.34,1.49
2020-05-18,0.12,0.28,0.36,0.81,1.27,1.35,1.5
2020-05-19,0.12,0.26,0.35,0.81,1.28,1.37,1.51
2020-05-20,0.12,0.25,0.34,0.81,1.29,1.38,1.53
2020-05-21,0.12,0.25,0.34,0.82,1.3,1.39,1.55
2020-05-22,0.12,0.24,0.33,0.82,1.31,1.4,1.57
2020-05-23,0.12,0.24,0.33,0.82,1.33,1.41,1.58
2020-05-24,0.12,0.24,0.33,0.83,1.34,1.42,1.59
2020-05-25,0.13,0.24,0.33,0.83,1.35,1.43,1.61
2020-05-26,0.13,0.24,0.32,0.84,1.36,1.44,1.62
2020-05-27,0.14,0.24,0.33,0.85,1.37,1.45,1.65
2020-05-28,0.14,0.25,0.35,0.86,1.37,1.46,1.65
2020-05-29,0.15,0.25,0.35,0.86,1.38,1.47,1.66
2020-05-30,0.15,0.26,0.36,0.87,1.39,1.48,1.67
2020-05-31,0.15,0.27,0.36,0.88,1.39,1.5,1.68
2020-06-01,0.15,0.28,0.37,0.88,1.4,1.51,1.69
