Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,1,1,1,1
2020-03-04,1,1,1,1,3,3,4
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,1,1,1,1,3,3,4
2020-03-09,0,0,0,0,0,0,0
2020-03-10,1,1,1,2,4,4,5
2020-03-11,1,1,1,2,3,3,4
2020-03-12,0,0,0,0,0,0,0
2020-03-13,1,1,2,3,5,6,7
2020-03-14,1,1,1,2,3,3,4
2020-03-15,0,0,0,0,1,1,2
2020-03-16,1,1,1,2,3,4,5
2020-03-17,1,1,1,3,4,5,6
2020-03-18,1,1,2,3,5,6,7
2020-03-19,2,2,2,5,8,8,10
2020-03-20,2,2,3,6,10,11,12
2020-03-21,2,2,3,5,8,8,10
2020-03-22,3,4,5,9,12,13,15
2020-03-23,4,5,6,9,14,14,16
2020-03-24,4,5,6,12,19,20,22
2020-03-25,7,8,9,14,20,22,25
2020-03-26,7,10,11,18,24,25,27
2020-03-27,14,16,17,23,29,31,34
2020-03-28,25,27,28,35,42,44,47
2020-03-29,19,22,23,31,39,41,44
2020-03-30,14,18,19,31,44,47,53
2020-03-31,21,25,27,44,66,69,75
2020-04-01,21,24,25,35,47,50,59
2020-04-02,23,25,27,36,46,48,53
2020-04-03,27,30,32,41,52,55,60
2020-04-04,34,40,42,53,66,69,74
2020-04-05,21,24,26,46,71,76,86
2020-04-06,19,22,23,41,71,77,89
2020-04-07,20,23,24,34,47,56,79
2020-04-08,14,19,21,35,50,54,64
2020-04-09,12,14,16,27,44,48,56
2020-04-10,18,20,21,29,38,40,45
2020-04-11,10,12,13,19,27,28,31
2020-04-12,13,15,16,23,30,32,35
2020-04-13,12,13,14,20,28,29,33
2020-04-14,12,14,15,21,28,29,33
2020-04-15,12,16,18,26,34,36,39
2020-04-16,12,16,18,31,41,42,47
2020-04-17,15,20,23,33,43,45,48
2020-04-18,9,13,15,26,38,41,47
2020-04-19,10,12,13,20,29,33,41
2020-04-20,4,5,6,12,27,32,39
