Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,1,4,4,4
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,2,2,2,2
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,1,1,1,1,3,3,4
2020-03-12,0,0,0,0,0,0,0
2020-03-13,1,1,1,2,4,4,5
2020-03-14,0,0,0,0,0,0,0
2020-03-15,1,1,1,1,3,3,4
2020-03-16,1,1,2,3,6,6,7
2020-03-17,2,2,3,4,6,6,7
2020-03-18,3,3,4,6,8,9,10
2020-03-19,5,6,6,9,12,13,14
2020-03-20,37,38,39,45,51,52,54
2020-03-21,72,73,74,83,91,93,95
2020-03-22,131,135,137,150,161,163,168
2020-03-23,34,38,40,52,66,69,74
2020-03-24,43,48,51,66,82,85,93
2020-03-25,54,60,63,80,98,102,111
2020-03-26,344,344,349,365,386,386,386
2020-03-27,526,541,548,588,630,638,651
2020-03-28,592,611,619,668,719,734,755
2020-03-29,290,312,325,392,466,482,511
2020-03-30,359,386,401,486,577,597,638
2020-03-31,438,470,488,591,704,726,773
2020-04-01,1097,1132,1158,1288,1397,1412,1458
2020-04-02,1358,1412,1442,1597,1762,1789,1847
2020-04-03,1673,1735,1766,1958,2161,2205,2291
2020-04-04,1344,1437,1490,1811,2212,2338,2539
2020-04-05,1689,1842,1935,2495,2932,2999,3144
2020-04-06,2409,2537,2605,2965,3338,3430,3574
2020-04-07,3032,3179,3257,3686,4140,4248,4459
2020-04-08,3402,3579,3680,4180,4734,4855,5086
2020-04-09,3642,3827,3915,4516,5212,5400,5881
2020-04-10,4204,4405,4529,5212,5968,6189,6720
2020-04-11,4658,4855,4981,5752,6674,6959,7732
2020-04-12,4564,4868,5023,6208,8157,8528,9393
2020-04-13,4726,5310,5738,7688,9648,10072,11060
2020-04-14,5499,6297,6723,8744,11129,11727,12828
2020-04-15,5481,6685,7180,9465,11885,12467,13606
