Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,1,1,1,1,3,3,4
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,1,1,1,2,3,3,4
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,1,1,1,2,4,4,5
2020-03-17,1,1,2,3,5,5,6
2020-03-18,0,0,0,0,0,0,0
2020-03-19,1,1,1,2,3,3,4
2020-03-20,1,2,2,3,6,7,8
2020-03-21,2,2,2,4,6,7,9
2020-03-22,2,3,3,5,8,9,10
2020-03-23,0,0,0,1,3,4,6
2020-03-24,3,5,6,10,15,16,18
2020-03-25,6,7,7,10,14,14,14
2020-03-26,6,7,8,12,17,18,20
2020-03-27,9,10,11,16,21,23,25
2020-03-28,9,12,13,23,33,34,39
2020-03-29,46,48,50,58,67,69,73
2020-03-30,38,40,42,50,60,61,65
2020-03-31,26,30,32,45,60,65,74
2020-04-01,33,37,39,53,68,72,78
2020-04-02,38,44,47,70,91,94,101
2020-04-03,51,56,59,80,114,125,137
2020-04-04,94,100,103,121,142,146,156
2020-04-05,69,75,77,95,115,120,136
2020-04-06,87,97,102,133,168,176,192
2020-04-07,112,120,124,148,174,180,191
2020-04-08,149,158,164,191,221,228,241
2020-04-09,169,179,184,215,249,255,269
2020-04-10,183,213,228,272,314,323,340
2020-04-11,232,248,256,297,342,352,373
2020-04-12,228,241,249,292,339,353,383
2020-04-13,266,282,290,337,389,400,425
2020-04-14,247,262,270,322,398,424,480
2020-04-15,312,330,339,394,454,467,496
2020-04-16,325,343,353,410,474,490,516
2020-04-17,379,406,417,482,554,569,599
2020-04-18,372,393,404,468,542,557,598
2020-04-19,320,340,351,432,574,609,679
2020-04-20,283,307,322,479,630,660,719
