Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,1,3,3,3
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,1,1,1,2,4,4,5
2020-03-14,1,1,1,2,3,3,4
2020-03-15,1,1,1,2,3,3,4
2020-03-16,2,2,2,4,5,6,7
2020-03-17,2,2,2,4,6,6,7
2020-03-18,2,3,3,5,7,8,9
2020-03-19,4,5,5,8,11,11,13
2020-03-20,5,6,6,9,13,13,15
2020-03-21,7,10,10,14,18,19,21
2020-03-22,5,6,7,13,19,20,23
2020-03-23,2,3,4,8,14,15,18
2020-03-24,7,10,11,18,25,26,29
2020-03-25,10,14,15,22,28,29,32
2020-03-26,12,14,15,21,27,29,32
2020-03-27,15,19,21,29,37,39,42
2020-03-28,18,20,21,29,37,38,42
2020-03-29,10,14,17,30,43,46,51
2020-03-30,11,14,15,30,46,50,56
2020-03-31,14,16,17,26,40,45,54
2020-04-01,10,11,12,19,28,30,36
2020-04-02,12,14,15,22,29,31,36
2020-04-03,11,13,14,20,28,30,34
2020-04-04,9,11,12,18,25,27,33
2020-04-05,5,6,7,15,27,30,37
2020-04-06,6,7,8,13,20,22,29
2020-04-07,5,7,7,12,17,19,22
2020-04-08,7,9,10,21,30,32,35
2020-04-09,8,10,11,17,23,25,28
2020-04-10,10,12,13,19,26,27,30
2020-04-11,4,6,6,11,19,22,28
2020-04-12,0,2,3,11,20,23,27
2020-04-13,2,2,3,7,14,17,22
2020-04-14,4,5,5,9,13,14,17
2020-04-15,1,1,1,3,6,7,9
2020-04-16,3,4,4,7,11,12,14
2020-04-17,2,3,3,6,9,10,12
2020-04-18,3,4,4,7,11,12,13
2020-04-19,3,4,5,8,12,13,15
2020-04-20,2,3,4,6,10,11,12
