Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,3,4,4,7,11,11,13
2020-03-02,4,5,6,10,16,17,19
2020-03-03,4,5,6,11,16,17,19
2020-03-04,5,6,6,11,16,18,21
2020-03-05,7,8,9,13,18,20,22
2020-03-06,7,8,8,13,19,20,22
2020-03-07,12,13,14,20,26,27,29
2020-03-08,40,43,44,51,59,61,64
2020-03-09,32,35,36,43,51,53,57
2020-03-10,68,71,74,84,92,94,100
2020-03-11,32,36,37,49,62,65,70
2020-03-12,39,43,45,59,73,76,82
2020-03-13,48,52,55,70,86,90,98
2020-03-14,231,241,247,265,284,290,295
2020-03-15,133,139,143,163,184,189,197
2020-03-16,431,447,456,492,528,538,551
2020-03-17,179,192,199,241,287,296,316
2020-03-18,229,246,256,307,364,376,401
2020-03-19,293,311,323,386,455,468,498
2020-03-20,1597,1617,1674,1733,1837,1837,1908
2020-03-21,1931,1992,2018,2169,2331,2372,2436
2020-03-22,3011,3081,3127,3386,3668,3668,3793
2020-03-23,1628,1737,1793,2131,2500,2573,2717
2020-03-24,2086,2225,2308,2749,3227,3322,3556
2020-03-25,2559,2755,2852,3410,4013,4152,4431
2020-03-26,8159,8504,8614,9246,9380,9653,9749
2020-03-27,9799,10157,10331,11340,12422,12613,13075
2020-03-28,12616,13092,13367,14743,16169,16467,17159
2020-03-29,11797,12679,13032,14744,16499,16867,17585
2020-03-30,14834,16408,17152,19626,22039,22548,23505
2020-03-31,19739,20997,21591,24485,27443,28029,29312
2020-04-01,24527,27090,28166,32107,36051,36846,38472
2020-04-02,28247,29595,30323,34444,38986,40039,42275
2020-04-03,30928,32404,33186,38747,46665,49494,54098
2020-04-04,33840,35876,36927,49481,62069,64215,68658
2020-04-05,44080,48085,50122,62112,75360,78418,84462
2020-04-06,51897,56659,59078,74342,91005,94351,101922
2020-04-07,58971,63604,66114,82035,99729,103511,111771
2020-04-08,59863,65722,67676,83110,99129,101821,104204
2020-04-09,45894,47911,49469,57522,66692,68346,72208
2020-04-10,45402,48170,49507,57792,66903,69020,72745
2020-04-11,41798,44050,45160,53568,62682,64320,69222
2020-04-12,74823,80447,83108,99882,118193,121854,129557
2020-04-13,80346,86565,89852,108173,128403,132440,140662
2020-04-14,87344,94280,98089,118459,141086,146116,155764
2020-04-15,39462,44172,45186,54387,66834,67689,71985
2020-04-16,43249,45617,47014,55541,64583,66882,71433
2020-04-17,44923,47406,48901,57007,66097,68127,72051
2020-04-18,68121,73051,75521,90153,106112,109298,115937
2020-04-19,65510,70163,72694,87073,102477,105940,112770
2020-04-20,62375,67235,69858,84244,100306,103597,110402
2020-04-21,34374,35853,36698,43249,50299,51693,54544
2020-04-22,33635,35419,36402,42122,48497,49798,52784
2020-04-23,31721,33287,34138,38945,44159,45363,47744
2020-04-24,27537,29073,29810,34093,38812,39803,42553
2020-04-25,23276,24875,25572,29234,33123,34009,35673
2020-04-26,15707,18161,19751,23502,26926,27580,29158
2020-04-27,9545,11145,11945,18493,24143,24768,26622
2020-04-28,5756,6966,7674,13721,21462,22305,23616
2020-04-29,4326,5531,6205,10795,15322,16007,17355
2020-04-30,4027,5187,5811,9131,12089,12567,13847
2020-05-01,4507,5095,5456,7641,9931,10406,11490
2020-05-02,4076,4338,4562,5616,6270,6270,6270
2020-05-03,9313,9347,9347,10448,11060,11363,11497
2020-05-04,9206,9517,9664,10116,10240,10339,11144
2020-05-05,9184,9462,9600,9974,10722,10879,11122
2020-05-06,3577,3823,3956,4731,5557,5730,6071
2020-05-07,3643,3917,4058,4889,5814,6008,6428
2020-05-08,3659,3943,4086,5017,6028,6224,6623
2020-05-09,10574,11202,11202,12127,12737,13130,13525
2020-05-10,9706,10026,10209,11187,12252,12509,12853
2020-05-11,10369,10741,10950,12025,13173,13433,13852
2020-05-12,6425,6837,7079,8460,9940,10242,10856
2020-05-13,6835,7357,7618,9119,10809,11132,11810
2020-05-14,7315,7841,8137,9835,11698,12080,12967
2020-05-15,14348,14920,15183,16934,18673,19037,19615
2020-05-16,15427,16059,16363,18230,20218,20669,21290
2020-05-17,14495,15162,15480,17402,19423,19897,20727
2020-05-18,15948,17359,17910,20370,22883,23351,24342
2020-05-19,17357,18251,18713,21130,23784,24388,25596
2020-05-20,19492,20321,20847,23650,26597,27266,28712
2020-05-21,21630,22665,23191,26322,29771,30546,32200
2020-05-22,21961,23039,23676,27336,31778,33240,36809
2020-05-23,21432,23252,24229,32907,40642,42030,45124
2020-05-24,24029,26897,29125,38048,46637,48443,52100
2020-05-25,26744,32040,33687,43488,53916,56452,60763
2020-05-26,29109,32373,33907,43677,54228,56871,61309
2020-05-27,29688,32174,33745,42585,53078,55439,59956
2020-05-28,26185,29440,31505,41575,51877,53480,59051
2020-05-29,25952,27236,27982,32150,36710,37640,39636
2020-05-30,25089,26423,27176,32825,44832,47191,49881
2020-05-31,31829,34220,35480,42823,50607,52078,55789
2020-06-01,33738,36175,37603,45759,54797,56730,60143
2020-06-02,34952,37879,39300,48008,57626,59871,64221
2020-06-03,23432,24458,24745,29134,33990,34948,36793
2020-06-04,27651,29194,29872,34183,39022,40202,42282
2020-06-05,26202,27552,28202,32258,36792,37758,39620
2020-06-06,26601,29677,31025,37963,45213,46817,49928
2020-06-07,26798,29147,30330,37008,44641,46376,49812
2020-06-08,25300,27689,28878,35972,44136,45909,49528
2020-06-09,19802,20759,21465,24797,28848,30067,33397
2020-06-10,19004,19991,20550,23604,27125,27869,29402
2020-06-11,18103,19026,19503,22414,25645,26322,27794
2020-06-12,15697,18190,19626,23362,26754,27466,28719
2020-06-13,15361,18079,18996,22245,25508,26103,27460
2020-06-14,15031,15959,16401,18849,21587,22148,23474
2020-06-15,13613,15860,16594,19374,22136,22713,23778
2020-06-16,11598,12984,13797,19439,23801,24306,25388
2020-06-17,10288,11793,12595,18704,25022,25648,26636
2020-06-18,9560,11240,12221,19005,25438,26091,27768
2020-06-19,10622,11980,12737,18315,24733,25615,27691
2020-06-20,12083,13406,14114,18377,23852,25449,27730
2020-06-21,13337,15011,15865,21485,25193,25733,26869
2020-06-22,15572,17393,18722,24157,27709,28360,29702
2020-06-23,15652,16905,17571,21403,25546,26613,29117
2020-06-24,15296,16621,17360,21760,27411,29050,31128
2020-06-25,15463,16757,17536,21819,26726,28279,32320
2020-06-26,17519,18177,19778,23706,28285,28364,32239
2020-06-27,19721,21569,22356,28787,35136,36110,38523
2020-06-28,26536,29455,30331,35391,40213,41163,43638
2020-06-29,29933,32401,33257,37840,42668,43705,45500
2020-06-30,30572,34656,37061,43403,49016,50019,52380
2020-07-01,36611,39187,40300,45681,51189,52383,54986
2020-07-02,40286,43428,44686,50667,57006,58201,60989
2020-07-03,42269,44391,45421,51497,58032,59470,62206
2020-07-04,40944,43030,44108,50453,57555,59374,63368
2020-07-05,45876,48221,49332,56233,63909,65589,68822
2020-07-06,41452,43629,44732,53134,67233,70557,77001
2020-07-07,48583,51043,52424,59950,68307,70320,74577
2020-07-08,51156,53720,54943,62792,71543,73603,77631
2020-07-09,51463,54118,55359,63517,72718,74711,79646
2020-07-10,56498,59230,60774,69446,79130,81231,85880
2020-07-11,53284,55857,57332,66057,76029,78633,86132
2020-07-12,52904,55698,57073,65721,75369,78346,87271
2020-07-13,52524,55090,56370,64913,74831,77351,85238
2020-07-14,55214,58096,59478,68222,78043,79865,84608
2020-07-15,55575,58357,59880,68545,78260,80481,84947
2020-07-16,57695,60684,62263,71387,81046,83010,87943
2020-07-17,55891,58625,60033,68885,78683,80892,85855
2020-07-18,54232,57145,58702,67272,77036,79167,84259
2020-07-19,50646,53478,54941,63289,72688,74966,82294
2020-07-20,50953,53599,54799,62941,72259,74359,78778
2020-07-21,53363,56523,58131,66598,76015,77896,82501
2020-07-22,53079,56139,57747,66273,75475,77581,81473
2020-07-23,53361,56641,58059,66533,75763,77698,81784
2020-07-24,55041,59953,61744,70838,80301,82575,86563
2020-07-25,52551,55309,56712,65059,74387,76247,80832
2020-07-26,47988,50153,51543,59463,68224,70427,76013
2020-07-27,49411,51728,52987,60661,69224,71155,75369
2020-07-28,49906,53347,54752,62763,71349,73416,77115
2020-07-29,50069,53139,54548,62459,71114,73047,76413
2020-07-30,50603,55347,57199,65586,74727,76544,79708
2020-07-31,51105,54015,55434,63554,72379,74144,78156
2020-08-01,48015,50509,51714,59284,67693,69611,74265
2020-08-02,41548,43442,44721,51911,60624,63265,71321
2020-08-03,37305,39107,40205,46623,54490,57279,65554
2020-08-04,39519,45241,48061,56379,64673,66391,69856
2020-08-05,42447,45026,46185,53084,60704,62407,65585
2020-08-06,42972,47475,48993,56564,64413,66216,69697
2020-08-07,44951,48742,50265,57649,65516,67061,70828
2020-08-08,46834,50914,52600,60286,68357,70100,74258
2020-08-09,44914,47348,48499,55498,63205,64761,68869
2020-08-10,43604,45672,46896,53733,61323,63122,66936
2020-08-11,45347,47917,49181,56406,64202,65867,69398
2020-08-12,44946,47283,48353,55511,63374,64930,67950
2020-08-13,43001,45208,46312,53171,60651,62384,65793
2020-08-14,44282,50567,53805,63217,72239,74014,77907
2020-08-15,44219,46669,47883,54789,62599,64646,68395
2020-08-16,33726,35914,37364,50664,67500,71014,77223
2020-08-17,33172,34952,36171,42774,53080,58597,68896
2020-08-18,35652,37798,38854,44819,51532,53138,56672
2020-08-19,35688,38123,39195,45106,51586,52891,55840
2020-08-20,35261,37618,38671,44435,50777,52131,55058
2020-08-21,36276,38990,40123,45995,52399,53868,56686
2020-08-22,36046,38075,39087,44841,51176,52520,55146
2020-08-23,28996,30532,31291,36670,44202,47368,53232
2020-08-24,28579,30383,31227,35986,41394,42734,45771
2020-08-25,30908,33855,34953,40210,45709,46953,49812
