Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0
2020-03-15,1,1,1,1,3,3,4
2020-03-16,1,1,1,3,4,5,5
2020-03-17,1,1,1,2,4,4,5
2020-03-18,1,1,1,3,4,5,5
2020-03-19,1,1,2,3,6,6,7
2020-03-20,1,2,2,4,7,7,9
2020-03-21,2,2,3,5,8,9,10
2020-03-22,0,0,0,1,4,5,6
2020-03-23,1,1,1,3,6,6,8
2020-03-24,1,2,2,4,6,7,9
2020-03-25,2,3,4,7,10,11,13
2020-03-26,3,4,5,9,14,15,17
2020-03-27,4,6,6,10,14,15,17
2020-03-28,6,7,8,13,17,18,21
2020-03-29,7,8,9,15,24,26,31
2020-03-30,3,4,5,10,17,19,24
2020-03-31,11,13,14,19,25,27,29
2020-04-01,6,7,8,12,18,19,22
2020-04-02,11,14,15,21,28,29,32
2020-04-03,12,14,15,22,29,30,34
2020-04-04,15,19,22,31,40,42,46
2020-04-05,17,20,21,33,52,56,64
2020-04-06,21,24,26,39,54,57,65
2020-04-07,28,36,41,54,67,70,75
2020-04-08,21,23,25,34,45,48,58
2020-04-09,27,30,31,41,52,54,60
2020-04-10,29,33,34,45,56,59,65
2020-04-11,31,35,38,55,74,79,89
2020-04-12,36,42,47,76,97,101,109
2020-04-13,43,55,63,108,135,140,152
2020-04-14,108,119,124,149,177,182,195
2020-04-15,107,115,120,145,174,181,195
2020-04-16,105,117,124,170,221,231,253
2020-04-17,113,129,137,192,253,266,293
2020-04-18,100,119,134,210,284,302,337
2020-04-19,79,82,87,106,132,141,145
2020-04-20,68,74,77,110,160,168,188
