Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,1,1,1,2,3,3,4
2020-03-15,1,1,2,3,5,6,7
2020-03-16,1,1,2,3,5,5,6
2020-03-17,1,2,2,3,5,6,7
2020-03-18,1,1,1,2,4,4,5
2020-03-19,1,2,2,4,6,6,7
2020-03-20,0,0,0,1,2,3,4
2020-03-21,2,3,3,5,8,9,10
2020-03-22,0,0,0,1,4,5,6
2020-03-23,2,2,3,5,8,8,10
2020-03-24,2,3,3,5,8,9,11
2020-03-25,2,3,3,6,9,10,11
2020-03-26,3,4,5,10,15,16,18
2020-03-27,0,0,0,4,10,12,15
2020-03-28,4,5,6,10,14,15,18
2020-03-29,0,0,0,4,10,12,16
2020-03-30,4,6,7,12,17,18,21
2020-03-31,0,0,1,5,13,14,18
2020-04-01,3,4,5,8,13,14,16
2020-04-02,1,2,2,5,9,10,13
2020-04-03,3,4,4,7,11,12,14
2020-04-04,1,1,2,5,9,10,14
2020-04-05,2,2,3,5,9,10,12
2020-04-06,2,3,3,6,10,11,12
2020-04-07,0,0,0,3,8,9,12
2020-04-08,1,1,1,3,7,8,10
2020-04-09,1,2,2,4,7,8,10
2020-04-10,0,0,0,2,5,6,8
2020-04-11,1,2,2,4,7,7,9
2020-04-12,2,2,2,5,8,8,10
2020-04-13,2,3,3,6,9,10,12
2020-04-14,0,0,0,2,5,6,9
2020-04-15,2,3,3,6,9,10,11
2020-04-16,2,3,3,6,9,10,11
2020-04-17,0,0,0,2,5,6,9
2020-04-18,3,3,4,7,14,15,19
2020-04-19,3,4,5,9,17,19,24
2020-04-20,0,0,0,3,8,9,12
