Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.97,0.98,0.98,1,1.02,1.02,1.03
2020-03-03,0.95,0.96,0.97,1,1.03,1.04,1.05
2020-03-04,0.93,0.95,0.96,1,1.05,1.05,1.07
2020-03-05,0.9,0.93,0.94,1,1.06,1.07,1.09
2020-03-06,0.88,0.91,0.92,1,1.08,1.09,1.12
2020-03-07,0.85,0.89,0.91,1,1.1,1.12,1.15
2020-03-08,0.82,0.87,0.89,1,1.12,1.14,1.18
2020-03-09,0.8,0.85,0.87,1,1.14,1.16,1.2
2020-03-10,0.77,0.83,0.85,1,1.15,1.18,1.23
2020-03-11,0.75,0.81,0.84,1,1.17,1.21,1.26
2020-03-12,0.73,0.79,0.82,1.01,1.2,1.23,1.3
2020-03-13,0.71,0.79,0.83,1.04,1.24,1.28,1.34
2020-03-14,0.74,0.81,0.85,1.08,1.29,1.33,1.4
2020-03-15,0.72,0.81,0.86,1.1,1.33,1.37,1.43
2020-03-16,0.74,0.84,0.89,1.14,1.38,1.41,1.47
2020-03-17,0.77,0.87,0.92,1.18,1.42,1.46,1.52
2020-03-18,0.84,0.94,1,1.24,1.49,1.51,1.57
2020-03-19,0.91,1.02,1.06,1.32,1.54,1.57,1.62
2020-03-20,0.94,1.03,1.08,1.34,1.58,1.61,1.66
2020-03-21,0.89,1,1.05,1.33,1.6,1.63,1.69
2020-03-22,1,1.1,1.15,1.44,1.68,1.71,1.75
2020-03-23,1.05,1.15,1.21,1.48,1.72,1.75,1.81
2020-03-24,1.09,1.2,1.25,1.52,1.76,1.8,1.87
2020-03-25,1.07,1.18,1.23,1.5,1.76,1.81,1.89
2020-03-26,1.11,1.21,1.26,1.53,1.79,1.85,1.92
2020-03-27,1.11,1.2,1.25,1.52,1.8,1.85,1.93
2020-03-28,1.11,1.2,1.24,1.52,1.8,1.85,1.94
2020-03-29,1.11,1.21,1.26,1.53,1.81,1.86,1.96
2020-03-30,1.13,1.21,1.27,1.54,1.82,1.87,1.98
2020-03-31,1.07,1.17,1.21,1.48,1.76,1.82,1.93
2020-04-01,1.01,1.09,1.14,1.4,1.68,1.74,1.86
2020-04-02,1,1.09,1.13,1.4,1.67,1.73,1.84
2020-04-03,0.87,0.99,1.03,1.3,1.57,1.63,1.75
2020-04-04,0.79,0.9,0.93,1.2,1.49,1.55,1.67
2020-04-05,0.73,0.77,0.8,1.1,1.41,1.48,1.61
2020-04-06,0.67,0.69,0.72,0.99,1.28,1.34,1.46
2020-04-07,0.61,0.64,0.66,0.91,1.17,1.23,1.35
2020-04-08,0.55,0.58,0.6,0.81,1.06,1.11,1.22
2020-04-09,0.49,0.53,0.55,0.76,1.01,1.05,1.16
2020-04-10,0.44,0.46,0.49,0.69,0.94,0.99,1.09
2020-04-11,0.37,0.4,0.43,0.62,0.87,0.92,1.02
2020-04-12,0.33,0.37,0.4,0.61,0.86,0.91,1
2020-04-13,0.28,0.33,0.37,0.58,0.84,0.9,0.98
2020-04-14,0.23,0.29,0.32,0.53,0.78,0.84,0.95
2020-04-15,0.18,0.25,0.28,0.5,0.75,0.81,0.91
2020-04-16,0.13,0.21,0.24,0.47,0.72,0.78,0.88
2020-04-17,0.1,0.16,0.19,0.43,0.66,0.73,0.85
2020-04-18,0.1,0.11,0.15,0.4,0.63,0.7,0.8
2020-04-19,0.1,0.1,0.12,0.37,0.63,0.67,0.79
2020-04-20,0.1,0.27,0.4,0.41,0.41,0.42,0.56
2020-04-21,0.1,0.26,0.37,0.38,0.39,0.4,0.53
2020-04-22,0.1,0.24,0.33,0.35,0.38,0.39,0.53
2020-04-23,0.1,0.23,0.29,0.33,0.37,0.39,0.54
2020-04-24,0.1,0.22,0.26,0.31,0.37,0.39,0.54
2020-04-25,0.24,0.27,0.29,0.29,0.29,0.32,0.36
2020-04-26,0.21,0.25,0.26,0.27,0.29,0.31,0.37
2020-04-27,0.18,0.23,0.24,0.26,0.28,0.31,0.38
2020-04-28,0.16,0.2,0.21,0.25,0.29,0.31,0.4
2020-04-29,0.14,0.17,0.19,0.24,0.29,0.32,0.41
2020-04-30,0.12,0.15,0.16,0.23,0.3,0.33,0.44
2020-05-01,0.1,0.13,0.15,0.23,0.32,0.35,0.46
2020-05-02,0.1,0.11,0.13,0.23,0.34,0.37,0.49
2020-05-03,0.1,0.1,0.12,0.24,0.36,0.4,0.52
2020-05-04,0.1,0.1,0.11,0.24,0.39,0.43,0.55
2020-05-05,0.1,0.1,0.11,0.25,0.42,0.46,0.57
2020-05-06,0.1,0.1,0.11,0.27,0.45,0.49,0.61
2020-05-07,0.1,0.1,0.11,0.29,0.48,0.53,0.69
2020-05-08,0.1,0.11,0.12,0.3,0.52,0.57,0.73
2020-05-09,0.1,0.11,0.12,0.33,0.56,0.61,0.76
2020-05-10,0.14,0.27,0.4,0.47,0.48,0.48,0.59
2020-05-11,0.15,0.28,0.42,0.5,0.52,0.52,0.63
2020-05-12,0.16,0.3,0.46,0.53,0.56,0.56,0.67
2020-05-13,0.18,0.33,0.49,0.56,0.6,0.61,0.71
2020-05-14,0.2,0.35,0.52,0.59,0.65,0.67,0.75
2020-05-15,0.22,0.38,0.53,0.63,0.71,0.72,0.8
2020-05-16,0.25,0.42,0.56,0.66,0.76,0.78,0.86
2020-05-17,0.27,0.45,0.57,0.7,0.81,0.84,0.9
2020-05-18,0.3,0.5,0.6,0.74,0.87,0.9,0.97
2020-05-19,0.33,0.51,0.61,0.77,0.92,0.95,1.01
2020-05-20,0.35,0.52,0.62,0.8,0.97,0.99,1.06
2020-05-21,0.38,0.54,0.63,0.83,1.02,1.04,1.12
2020-05-22,0.41,0.56,0.64,0.86,1.06,1.1,1.17
2020-05-23,0.44,0.58,0.66,0.9,1.12,1.16,1.25
2020-05-24,0.46,0.6,0.68,0.93,1.17,1.21,1.31
2020-05-25,0.5,0.62,0.71,0.97,1.22,1.27,1.37
2020-05-26,0.52,0.65,0.72,1,1.28,1.33,1.42
2020-05-27,0.54,0.66,0.74,1.03,1.32,1.38,1.47
2020-05-28,0.56,0.68,0.76,1.06,1.36,1.42,1.51
2020-05-29,0.57,0.7,0.77,1.09,1.4,1.47,1.58
2020-05-30,0.59,0.72,0.79,1.12,1.44,1.51,1.62
2020-05-31,0.61,0.73,0.8,1.14,1.48,1.55,1.68
2020-06-01,0.62,0.75,0.82,1.17,1.51,1.6,1.73
